AAGAB hsa:79719
FOXP4 hsa:116113
FTL hsa:2512
FTO hsa:79068
FUT4 hsa:2526
FUZ hsa:80199
FXR1 hsa:8087
FXYD5 hsa:53827
GABRA3 hsa:2556
GADD45A hsa:1647
GALNT13 hsa:114805
GALNT13 hsa:117248
GALNT2 hsa:2590
GALNT4 hsa:100528030
GALNT4 hsa:8693
GAPDH hsa:2597
GAS5-AS1 ---
GATA2 hsa:2624
GATAD1 hsa:57798
GCC2 hsa:9648
GDAP2 hsa:54834
GEM hsa:2669
GEMIN8 hsa:54960
GFPT2 hsa:9945
GLRB hsa:2743
GNB1L hsa:54584
GNPDA2 hsa:132789
GOLGA4 hsa:2803
GOT1 hsa:127845
GOT1 hsa:2805
GOT1 hsa:51026
GPR108 hsa:56927
GPR137B hsa:7107
GPRIN2 hsa:9721
GRIK1 hsa:2897
GRIP1 hsa:10499
GRIP1 hsa:23426
GRIP1 hsa:85329
GRK5 hsa:2869
GSDMB hsa:55876
GSK3A hsa:2931
GSTM4 hsa:2948
GSTO2 hsa:119391
GTF2H2C hsa:728340
GUCA1A hsa:118142757
GUCA1A hsa:2978
GULP1 hsa:51454
GYG1 hsa:2992
GZF1 hsa:64412
H1F0 hsa:3005
HACL1 hsa:26061
HACL1 hsa:337880
HAUS3 hsa:79441
HAUS8 hsa:93323
HDAC7 hsa:51564
HDAC7 hsa:9734
HDGFL3 hsa:50810
HERC3 hsa:8916
HIF1AN hsa:55662
HIRA hsa:7290
HIVEP1 hsa:3096
HLA-A hsa:3105
HLA-E hsa:3133
HNRNPDL hsa:9987
HOMER3 hsa:9454
HPDL hsa:84842
HPX hsa:3263
HS3ST1 hsa:9957
HS3ST5 hsa:222537
HS3ST5 hsa:64711
HSPA1B hsa:3304
HSPA8 hsa:3312
IFITM3 hsa:10410
IGF2BP3 hsa:10643
IGFBP2 hsa:3485
IGSF9 hsa:57549
IKZF2 hsa:22807
IL27RA hsa:9466
ILRUN hsa:64771
INIP hsa:58493
ISG15 hsa:9636
IST1 hsa:9798
ITGA7 hsa:3679
JAG1 hsa:182
JAK3 hsa:3718
JUN hsa:3725
KANK3 hsa:256949
KATNAL2 hsa:83473
KBTBD6 hsa:89890
KCND1 hsa:3750
KCNIP4 hsa:80333
KCNMB2 hsa:10242
KCNMB2 hsa:27094
KCTD15 hsa:79047
KCTD9 hsa:54793
KDM1B hsa:221656
KDM5A hsa:5927
KHNYN hsa:23351
KIF19 hsa:124602
KLF6 hsa:1316
KLF8 hsa:11279
KLHL15 hsa:80311
KLHL22 hsa:84861
KRTCAP3 hsa:200634
KXD1 hsa:79036
LAMC3 hsa:10319
LDLRAP1 hsa:26119
LGR4 hsa:55366
LINC00467 ---
LINC00648 ---
LINC00665 ---
LINC00847 ---
LINC01535 ---
LINC02575 ---
LINS1 hsa:55180
LIPG hsa:9388
LITAF hsa:9516
LMNTD2 hsa:256329
LPAR6 hsa:10161
LPCAT1 hsa:79888
LRFN5 hsa:145581
LRRC27 hsa:80313
LRRC39 hsa:127495
LRRCC1 hsa:85444
LRRTM3 hsa:347731
LSM3 hsa:27258
LURAP1 hsa:541468
LUZP1 hsa:7798
LZIC hsa:84328
LZTR1 hsa:8216
MAGEE1 hsa:51438
MAGEE1 hsa:57692
MAGEE1 hsa:728239
MAGEL2 hsa:54551
MAL2 hsa:114569
MANEA hsa:79694
MAP1LC3C hsa:440738
MAP2K6 hsa:5608
MAP3K13 hsa:9175
MAP3K14-AS1 ---
MAP3K2 hsa:10746
MAP3K6 hsa:9064
MAP3K7 hsa:6885
MAP7D3 hsa:79649
MAPKAPK2 hsa:9261
MAPKAPK3 hsa:7867
MBOAT1 hsa:154141
MCAM hsa:4162
MCAT hsa:27349
MCCC1 hsa:56922
MCF2L-AS1 ---
MCTS1 hsa:28985
MED14 hsa:9282
MED15 hsa:51586
MED31 hsa:51003
MED9 hsa:55090
MEF2A hsa:4205
METRNL hsa:284207
METTL22 hsa:79091
METTL9 hsa:51108
MID1 hsa:4281
MIER3 hsa:166968
MINPP1 hsa:9562
MIR181A2HG ---
MIR4453HG ---
MIR600HG ---
MKNK2 hsa:2872
MLX hsa:51085
MLX hsa:6945
MMACHC hsa:25974
MPHOSPH8 hsa:54737
MPP6 hsa:10200
MPP6 hsa:51678
MRM2 hsa:29960
MRPL39 hsa:54148
MRPL40 hsa:64976
MSN hsa:4478
MTM1 hsa:4534
MTMR7 hsa:9108
MTR hsa:4548
MUC1 hsa:4582
MVP hsa:9961
MYH9 hsa:4627
MYO1D hsa:4642
MYO1E hsa:4643
MYO9A hsa:4649
MYSM1 hsa:114803
NABP1 hsa:64859
NAP1L5 hsa:266812
NAV3 hsa:89795
NBEAL1 hsa:65065
NDRG1 hsa:10397
NDUFA8 hsa:4702
NDUFAF4 hsa:29078
NDUFB6 hsa:4712
NEURL2 hsa:140825
NFRKB hsa:4798
NFYB hsa:4801
NHSL2 hsa:340527
NIPSNAP3B hsa:55335
NKD2 hsa:85409
NKTR hsa:4820
NLRX1 hsa:79671
NOD1 hsa:10392
NOL8 hsa:55035
NOS1AP hsa:9722
NPY1R hsa:4886
NR1H3 hsa:10062
NR2C2AP hsa:126382
NR6A1 hsa:2649
NRXN1 hsa:9378
NSA2 hsa:10412
NSRP1 hsa:84081
NTF4 hsa:4909
NTN5 hsa:126147
NUFIP2 hsa:57532
OBI1 hsa:79596
OFD1 hsa:8481
OGA hsa:10724
OGG1 hsa:4968
OLFM2 hsa:93145
OPN1SW hsa:611
ORMDL3 hsa:94103
OSBPL9 hsa:114883
OXSR1 hsa:9943
PABPC1 hsa:26986
PALD1 hsa:27143
PAPPA hsa:5069
PCDHB10 hsa:56126
PCDHB12 hsa:56124
PCGF6 hsa:84108
PCIF1 hsa:63935
PCNX1 hsa:22990
PDCD6IP hsa:10015
PDE3B hsa:5140
PDK3 hsa:5165
PDPN hsa:10630
PDXDC1 hsa:23042
PEX26 hsa:55670
PFKL hsa:5211
PGBD2 hsa:267002
PGM3 hsa:5238
PHC3 hsa:80012
PHF2 hsa:5252
PHF2 hsa:5253
PHYKPL hsa:85007
PI4KA hsa:5297
PIAS1 hsa:8554
PIGA hsa:5277
PIGBOS1 hsa:101928527
PIGG hsa:54872
PIGL hsa:9487
PIGY hsa:84992
PIK3C2A hsa:5286
PIP4K2A hsa:5305
PJA2 hsa:9867
PLAU hsa:5328
PLCB2 hsa:5330
PLCH1 hsa:23007
PLEKHA8 hsa:84725
PLIN3 hsa:10226
PMVK hsa:10654
PNPO hsa:55163
POP5 hsa:51367
PPCDC hsa:60490
PPM1F hsa:9647
PPM1H hsa:57460
PPP2R1B hsa:5519
PRDM5 hsa:11107
PRDX4 hsa:10549
PRKAB2 hsa:5565
PRKCD hsa:5580
PRODH hsa:5625
PRR13 hsa:54458
PRRC1 hsa:133619
PRXL2C hsa:195827
PTCD3 hsa:55037
PTOV1-AS1 ---
PTPDC1 hsa:138639
PTPN13 hsa:5783
PTPRG-AS1 ---
PTPRU hsa:10076
PWP2 hsa:5822
PWRN1 ---
QSOX2 hsa:169714
RAB11FIP1 hsa:80223
RAB9A hsa:9367
RABGEF1 hsa:27342
RABL2B hsa:11158
RAD51D hsa:5892
RAMAC hsa:83640
RANBP1 hsa:5902
RAP2A hsa:5911
RAP2C hsa:57826
RASGEF1B hsa:153020
RASSF1 hsa:11186
RBBP6 hsa:5930
RBM19 hsa:9904
RBM23 hsa:55147
RBM33 hsa:155435
RBM43 hsa:375287
RBM5 hsa:10181
RBM6 hsa:10180
RBMXL1 hsa:494115
RBPMS hsa:11030
RDH14 hsa:57665
REC8 hsa:9985
REL hsa:5966
REXO5 hsa:81691
RFX3-AS1 ---
RFXANK hsa:8625
RHBDF1 hsa:64285
RIMKLB hsa:57494
RIPK2 hsa:8767
RNF168 hsa:165918
RNF170 hsa:81790
ROBO2 hsa:6092
RP9 hsa:6100
RPL13A hsa:23521
RPL17-C18orf32 hsa:100526842
RPL36A hsa:6166
RPL36A hsa:6173
RREB1 hsa:6239
