SEC14L2	hsa:23541
SEC23IP	hsa:11196
SEPT2	hsa:23157
SEPT2	hsa:4735
SEPT5	hsa:5413
SERTAD2	hsa:9792
SESTD1	hsa:91404
SETD7	hsa:80854
SF3B1	hsa:10992
SF3B1	hsa:23451
SFXN3	hsa:81855
SIK2	hsa:23235
SIKE1	hsa:80143
SKIV2L	hsa:6499
SLC11A2	hsa:4891
SLC22A18	hsa:5002
SLC25A1	hsa:6576
SLC2A12	hsa:154091
SLC2A8	hsa:29988
SLC39A3	hsa:29985
SLMAP	hsa:7871
SMU1	hsa:55234
SNAP29	hsa:9342
SNED1	hsa:25992
SRCRB4D	hsa:136853
SSTR2	hsa:6752
STAG2	hsa:10735
STAM2	hsa:10254
STAMBPL1	hsa:57559
STK38L	hsa:23012
STX3	hsa:6809
TAF5	hsa:6877
TANGO2	hsa:128989
TARBP1	hsa:6894
TBC1D10B	hsa:26000
TBL1XR1	hsa:79718
TCP11L2	hsa:255394
THADA	hsa:63892
THAP11	hsa:57215
THAP7	hsa:80764
THUMPD1	hsa:55623
TIMM10B	hsa:26515
TMEM143	hsa:55260
TMEM145	hsa:284339
TMEM150A	hsa:129303
TMEM87B	hsa:84910
TMSB4X	hsa:7114
TOMM40L	hsa:84134
TPM3	hsa:7170
TRMT2A	hsa:27037
TTC12	hsa:54970
TTC39B	hsa:158219
TTC7A	hsa:57217
TVP23B	hsa:51030
TXNRD2	hsa:10587
UBE2D4	hsa:51619
UBE2K	hsa:3093
UBE3C	hsa:9690
UEVLD	hsa:55293
UFD1L	hsa:7353
URI1	hsa:8725
USP9X	hsa:8239
VAPB	hsa:9217
VWC2	hsa:375567
WDR41	hsa:55255
WDR55	hsa:54853
WDR75	hsa:84128
WDR78	hsa:79819
WDR83	hsa:84292
WIPI1	hsa:55062
WWC3	hsa:55841
XPO7	hsa:23039
ZBBX	hsa:79740
ZBTB44	hsa:29068
ZC3H11A	hsa:9877
ZDHHC8	hsa:29801
ZDHHC9	hsa:51114
ZFAND4	hsa:93550
ZFP41	hsa:286128
ZHX2	hsa:22882
ZNF12	hsa:7559
ZNF160	hsa:90338
ZNF177	hsa:7730
ZNF205	hsa:7755
ZNF248	hsa:57209
ZNF280C	hsa:55609
ZNF324B	hsa:388569
ZNF526	hsa:116115
ZNF559	hsa:84527
ZNF576	hsa:100170229
ZNF576	hsa:79177
ZNF596	hsa:169270
ZNF677	hsa:342926
ZNF713	hsa:349075
ZNF74	hsa:7625
ZNF773	hsa:374928
ZNF774	hsa:342132
ZNF781	hsa:163115
ZNF814	hsa:730051
ZNRF2	hsa:223082
ZSCAN22	hsa:342945
ZSWIM7	hsa:125150
