ADA	hsa:100
DDTL	hsa:100037417
CDH3	hsa:1001
PDCD6IP	hsa:10015
ZNF576	hsa:100170229
ZNF783	hsa:100289678
CENPS	hsa:100526739
RPL17-C18orf32	hsa:100526842
GALNT4	hsa:100528030
ZHX1-C8orf76	hsa:100533106
NR1H3	hsa:10062
PTPRU	hsa:10076
ARPC3	hsa:10094
CDH3	hsa:1013
TOB1	hsa:10140
LPAR6	hsa:10161
RBM6	hsa:10180
RBM5	hsa:10181
PIGBOS1	hsa:101928527
MPP6	hsa:10200
PLIN3	hsa:10226
KCNMB2	hsa:10242
SIGMAR1	hsa:10280
ZNF267	hsa:10308
LAMC3	hsa:10319
SYCP2	hsa:10388
NOD1	hsa:10392
NDRG1	hsa:10397
IFITM3	hsa:10410
NSA2	hsa:10412
CDC42EP2	hsa:10435
CAP1	hsa:10487
GRIP1	hsa:10499
SEMA4F	hsa:10505
PRDX4	hsa:10549
ARL6IP5	hsa:10550
TXNRD2	hsa:10587
PDPN	hsa:10630
IGF2BP3	hsa:10643
PMVK	hsa:10654
CTCF	hsa:10664
OGA	hsa:10724
SMS	hsa:10743
MAP3K2	hsa:10746
ZNF274	hsa:10782
SEC24A	hsa:10802
CPLX2	hsa:10814
SPINK5	hsa:11005
RBPMS	hsa:11030
SLC35D2	hsa:11046
CHD2	hsa:1106
PRDM5	hsa:11107
AP4S1	hsa:11154
RABL2B	hsa:11158
RASSF1	hsa:11186
CEP250	hsa:11190
SEC23IP	hsa:11196
ERI2	hsa:112479
CMTM7	hsa:112616
KLF8	hsa:11279
MAL2	hsa:114569
MYSM1	hsa:114803
GALNT13	hsa:114805
OSBPL9	hsa:114883
ATG4A	hsa:115201
FOXP4	hsa:116113
GALNT13	hsa:117248
GUCA1A	hsa:118142757
GSTO2	hsa:119391
SFXN4	hsa:119559
ADSSL1	hsa:122622
TARSL2	hsa:123283
CMKLR1	hsa:1240
SPATA33	hsa:124045
CDYL2	hsa:124359
KIF19	hsa:124602
AFMID	hsa:125061
CLDND2	hsa:125875
NTN5	hsa:126147
ZNF57	hsa:126295
NR2C2AP	hsa:126382
CCSAP	hsa:126731
CNTN1	hsa:1272
TPRG1L	hsa:127262
LRRC39	hsa:127495
GOT1	hsa:127845
UHMK1	hsa:127933
ARHGEF19	hsa:128272
C22orf39	hsa:128977
TANGO2	hsa:128989
ANKRD54	hsa:129138
TMEM150A	hsa:129303
SLC66A3	hsa:130814
COMT	hsa:1312
COPA	hsa:1314
KLF6	hsa:1316
SYNPR	hsa:132204
SPATA18	hsa:132671
GNPDA2	hsa:132789
EGFLAM	hsa:133584
PRRC1	hsa:133619
CMBL	hsa:134147
COX7B	hsa:1349
B3GAT2	hsa:135152
CPS1	hsa:1373
PTPDC1	hsa:138639
DOCK11	hsa:139818
SPIN4	hsa:139886
CRKL	hsa:1399
SMCR8	hsa:140775
NEURL2	hsa:140825
SAMD8	hsa:142891
FGFBP3	hsa:143282
CACUL1	hsa:143384
ALG10B	hsa:144245
CPNE8	hsa:144402
E2F7	hsa:144455
LRFN5	hsa:145581
CMTM4	hsa:146223
ZNF582	hsa:147948
ZNF681	hsa:148213
CTBS	hsa:1486
B3GALNT2	hsa:148789
RASGEF1B	hsa:153020
CNKSR3	hsa:154043
SAMD3	hsa:154075
SLC2A12	hsa:154091
MBOAT1	hsa:154141
RBM33	hsa:155435
TTC39B	hsa:158219
ZNF483	hsa:158399
CPS1	hsa:1589
CXorf38	hsa:159013
DGKB	hsa:1607
SPRED1	hsa:161742
ZNF781	hsa:163115
CITED4	hsa:163732
GADD45A	hsa:1647
DDX3X	hsa:1654
RNF168	hsa:165918
DDX11	hsa:1663
MIER3	hsa:166968
QSOX2	hsa:169714
ADAMTS19	hsa:171019
ZNF675	hsa:171392
SPTSSA	hsa:171546
AGA	hsa:175
JAG1	hsa:182
CHD2	hsa:1826
DUSP9	hsa:1852
ECE1	hsa:1889
ECM1	hsa:1893
ABCA1	hsa:19
EFNA3	hsa:1944
PRXL2C	hsa:195827
AMN1	hsa:196394
EIF2S3	hsa:1968
EPHA2	hsa:1969
SPAG17	hsa:200162
KRTCAP3	hsa:200634
FBXO45	hsa:200933
ZNF584	hsa:201514
EN1	hsa:2019
ESRRG	hsa:2104
ETS1	hsa:2113
TBC1D32	hsa:221322
KDM1B	hsa:221656
CCZ1	hsa:221960
HS3ST5	hsa:222537
ZSCAN23	hsa:222696
FGFR2	hsa:2263
IKZF2	hsa:22807
ZHX2	hsa:22882
ARSG	hsa:22901
ELL2	hsa:22936
FOXC1	hsa:2296
PCNX1	hsa:22990
PLCH1	hsa:23007
EXOSC7	hsa:23016
PDXDC1	hsa:23042
CLUAP1	hsa:23059
ZBTB43	hsa:23099
FLII	hsa:2314
DIP2A	hsa:23181
SIK2	hsa:23235
ATP11A	hsa:23250
SMG6	hsa:23293
UBR2	hsa:23304
WASHC4	hsa:23325
KHNYN	hsa:23351
UBR4	hsa:23352
GRIP1	hsa:23426
SF3B1	hsa:23451
RPL13A	hsa:23521
FKBP8	hsa:23770
FTL	hsa:2512
FUT4	hsa:2526
TMEM9	hsa:252839
CADM2	hsa:253559
EHBP1L1	hsa:254102
EIF2S3B	hsa:255308
GABRA3	hsa:2556
TCTEX1D2	hsa:255758
LMNTD2	hsa:256329
KANK3	hsa:256949
TAB3	hsa:257397
FBXO7	hsa:25793
GALNT2	hsa:2590
GAPDH	hsa:2597
MMACHC	hsa:25974
SNED1	hsa:25992
TENM4	hsa:26011
HACL1	hsa:26061
EDRF1	hsa:26098
WSB1	hsa:26118
LDLRAP1	hsa:26119
GATA2	hsa:2624
BLOC1S1	hsa:2647
