"","ENSEML_ID.biotype.symbol","X553C2","X3113C4","iPS1_dup","X690C5","iPS1","iPSC6","iPSC2_dup","iPSC2","iPSC5","X22q1115","X22q1115_dup","X1220C2","X1804","X22q1110C5","X22q1130","X22q1130_dup","X22q1160","X537","X1275C9","FoldChange","p.value"
"10964","ENSG00000179833.3|protein_coding|SERTAD2",16.7162,9.81843,16.2178,14.2964,11.376,15.0305,17.5427,5.58108,14.409,13.5169,19.0686,20.1703,15.985,15.9196,15.6505,21.5672,20.9896,10.7436,17.8282,1.27529515090367,0.0428182597743741
"10969","ENSG00000179889.14|protein_coding|PDXDC1",31.2497,23.874,32.2585,24.7455,31.0693,39.8241,26.3231,29.2397,33.0943,32.8876,37.3361,41.604,30.333,28.8293,46.4883,43.0926,75.3671,31.3577,37.5821,1.34125601538879,0.0454922494730191
"10973","ENSG00000179915.16|protein_coding|NRXN1",19.8822,16.1174,15.4132,27.0692,34.0333,14.2716,21.9373,32.0619,19.3387,17.3915,8.94415,5.29471,17.6246,12.8131,4.65615,9.79988,4.70758,27.5288,19.8052,0.578184727729896,0.0137412668270973
"10995","ENSG00000180182.5|protein_coding|MED14",16.9642,19.7699,21.6016,16.1343,12.5967,18.5888,16.8788,16.0833,17.5776,17.9271,16.6693,29.359,27.0431,18.9137,32.0944,22.1022,17.4273,15.9503,25.1565,1.28287303323021,0.0308513551552082
"11001","ENSG00000180233.9|protein_coding|ZNRF2",2.36402,3.94146,1.92189,2.63124,1.92154,2.51762,2.77536,1.94595,2.48147,2.52722,3.77353,3.06616,3.39566,2.39597,3.14087,3.12974,3.79708,2.96778,5.34839,1.34166320378835,0.0217842442381205
"11024","ENSG00000180488.10|protein_coding|FAM73A",4.54449,5.09832,5.98918,4.93581,5.23864,5.01403,4.24167,3.85578,4.26309,3.94544,5.11169,7.49407,5.12809,5.2481,5.80268,7.17558,8.1359,4.9839,5.23124,1.21421479025155,0.0478514246475609
"11033","ENSG00000180616.4|protein_coding|SSTR2",16.884,26.9388,3.83901,24.4547,5.79003,15.0665,24.689,25.9758,8.67584,11.6046,11.5915,1.15551,17.2315,11.6178,11.6123,1.3405,1.45833,7.44599,16.62,0.54171251722104,0.0493404967250142
"11040","ENSG00000180758.10|protein_coding|GPR157",0.894895,1.27715,1.93006,0.659195,1.56608,3.18029,2.00516,1.32359,1.80835,1.90818,4.28968,3.35164,1.93301,2.7071,2.6887,2.69453,1.99763,0.818569,3.49948,1.59098894007895,0.0272236847749181
"11122","ENSG00000181638.13|protein_coding|ZFP41",9.34163,7.98557,10.8851,9.28732,9.70263,8.23188,12.7826,11.1456,8.17372,8.22552,9.49224,6.54983,9.76645,6.93134,8.93681,8.66223,6.93212,8.92009,8.37082,0.851177372065566,0.0407896187368589
"11169","ENSG00000182149.15|protein_coding|IST1",157.894,133.347,141.122,136.149,159.805,166.86,156.47,137.664,165.757,178.572,172.558,172.342,167.658,162.455,227.459,177.951,206.31,166.792,145.733,1.18078723724566,0.00642699711325932
