"","X","X67ND","X128ND","X162ND","X190ND","X212ND","X226ND","X272ND","X367ND","X67SD","X128SD","X162SD","X190SD","X212SD","X226SD","X272SD","X367SD","X67Nor","X128Nor","X162Nor","X212Nor","X190Nor","X226Nor","X272Nor","X367Nor","X67IL17","X128IL17","X162IL17","X212IL17","X190IL17","X226IL17","X272IL17","X367IL17","FoldChange","p.value"
"10808","ENSG00000162775",7.131567,7.05586,6.3098359507,9.43744,8.499092,11.27376,9.75058,9.53965,7.06273,7.541872,7.145804723,11.68859,8.1367205885,8.81432,8.339535,10.004944,9.230195,15.650030178,7.241825,8.20414,10.60497,14.104641,11.19003,16.5979,7.641010412,10.765772669,11.092066,25.334534,14.500014,10.076091,15.687203,16.8850900053,0.724882959201709,0.00464756195954133
"10810","ENSG00000162779",1.063466,0.850812,0.280494,2.475928,0.596196,1.692185,0.9241495,2.112023,0.051677,0,1.29275,0.1931349899,0,0.732319,1.85971,0.253327062,1.673182,0.752729,0.22536,0,0.6988805,0.996895,0.435253,1.451789,1.717435,1.8913011264,0,0.3274140778,0.3141787,0.484653,1.19522,0.51494,0.387403858439536,0.0367150206399893
"10844","ENSG00000162928",14.60305,12.44293,17.644931,18.229078,18.495376,19.309941,24.34128,21.63361,22.21314,24.7598737,18.317,20.922396,15.06057,14.491737,18.96193,18.18301199,27.17765,19.67573,23.70147,16.90522,15.908156,14.888514,22.504771,19.52653,24.6271,23.09272,17.09592,27.379284,15.36075,19.71307,24.87797,22.088746,0.756595970139537,0.0400261463660936
"10883","ENSG00000163071",3.212007,2.829271,2.1418807,2.82016006,2.13706,4.31388,5.023228,5.65715,3.25538,5.22406,3.462575,3.4682115116,3.00676,1.130775,5.890297,6.3222026105,3.313972,2.114598,5.635942,2.5460200833,4.331121,5.163537,4.288581,2.9631473041,4.59002,2.686738739,5.13207,5.568549,1.62785,3.595693,4.8955527,4.540743,0.579318317625695,0.0466250760622993
"10947","ENSG00000163322",8.436566,11.40002,7.771289,18.2489,10.728472,16.960209,14.56018,12.31918,12.600286,5.4986617,9.54753,13.70657,10.9509734,13.62582,17.29177,11.990411,12.292762,16.289556,10.316171,9.505107513,15.34574,14.2721089497,16.730023,19.59144,13.75828,10.631268,14.02804,23.158456,13.759167,14.9595952397,20.0326630823,18.936083,0.617447130158742,0.0120888756616959
"10987","ENSG00000163467",1.4814,1.20634,0.831297,2.00953,1.00484,1.63564,2.190862,2.03252,0,2.61069,2.75226,2.2172,0,1.056489,2.441645,2.2549,0.892466,1.56786,1.844474,2.303719,2.2667,2.29857,0.353999,1.46435,3.0232865205,0,0.0234462,2.17943,1.459528,1.95113,1.81896,2.47544,0.574931321544294,0.00405876335112569
"11069","ENSG00000163682",897.135251,477.61836,642.619869,567.33991,699.18816,100.26019,81.131758,60.887036,1033.68439,596.475036,594.337987,396.68977,644.16485,69.673555,69.1736190076,59.30763,256.19873,300.530889,762.569678,277.489941,160.752016,301.95022,632.44299,305.76041,168.266133,312.33643,271.15777,169.60881,123.30104,309.57695,508.69136097,548.79297,3.35535850278711,0.021760858197848
"11071","ENSG00000163684",12.88745,12.36488,15.63508,18.12251,12.585763,14.06676,17.21842,15.68058,15.2755,17.43975,23.63531,20.483584,15.1335486,11.54021,19.28689,18.2152202,32.11831,14.752294,20.96134,15.9706452,20.60769,15.32822,20.18553,26.85934,29.23174,16.74255,27.47635,29.46241,23.99589,17.83586,21.39183,24.4779,0.821548537086636,0.0490924579714327
"11094","ENSG00000163749",0.266317,0.325511,0.749131,0.794688,0.342565,0.572678,0.9664831,0.962341,0.248057,0.461617,0.449298,2.60896,0.168498,0.255069,0.76549,0.511385,1.849925,0.478293,0.421169,0,0.4843707,0.43171,0.204409,0.64474,0.8871601,0.964227,0.754374,0.685799,0.4886319,1.241006,0.620159,0.832344,0.510748454708362,0.0325283249875471
"11124","ENSG00000163840",0.856028,1.19469,0.952761,1.37465,1.1347545,1.42727,1.74792,1.74978,3.10713,0.983274,1.02334,1.83287,0.780414,1.613082,1.68188,1.27357,1.96878,1.20437,2.53331,1.290735,2.56643,1.73156,1.57158,1.65874,2.49943,1.806785,2.732685,2.5143,0.850826,1.41115,1.69058,1.74796,0.656902082982783,0.00632582810412057
"11245","ENSG00000164168",23.97409,22.98942,19.92633,33.78721,20.72954,23.37052,31.75559,27.07463,21.95518,25.77812,23.4043,40.63269,28.53427,16.75551,29.5504503351,27.85686,36.15383,32.96588,24.606834,20.46853,30.73684,29.099324,25.6176500221,26.907560048,34.26959,22.75763,33.46588,28.41576,17.1626690874,26.77585,32.61736,33.51411,0.755417955054814,0.0491682822801886
"11262","ENSG00000164219",13.76181,7.53013,15.829416,15.96275,15.00916,24.95922,20.76815,25.96429,11.39859,8.02703,15.741303,14.24131,16.13251,14.803191,15.743503,12.95423,13.35216,25.91249,13.25343,6.64748,21.168412,20.332739,17.25405,15.64227,15.3118,20.61985,29.452851,23.60418,16.26707,17.16027,20.69805834,22.17169,0.59472781802992,0.024970391627682
"11303","ENSG00000164338",8.016434,10.497511,8.7170338798,11.110286,7.345319,10.149594,13.6562348043,11.677612,6.932713,14.35003,6.7581725,30.26302,12.12616,13.27938,9.9356954139,18.91911,9.342574,14.67186,9.82619,7.918358,17.932541,13.55170789,14.709452,18.299622,9.6992343,11.99064,17.81415781,16.30953,21.134886,12.532426,12.952365,17.1164827,0.742080538545997,0.0244407454832901
