PEG3	hsa:5178
PFKP	hsa:5214
PGGT1B	hsa:5229
PTX3	hsa:5309
PLAGL1	hsa:5325
PLCG2	hsa:5336
ATP6V1G2	hsa:534
SLCO1C1	hsa:53919
SMIM11B	hsa:54065
POMC	hsa:5443
ANLN	hsa:54443
RIN2	hsa:54453
PIMREG	hsa:54478
NECAB2	hsa:54550
PPARA	hsa:5465
FEV	hsa:54738
CMTM6	hsa:54918
FAM118A	hsa:55007
HEATR3	hsa:55027
FEZF2	hsa:55079
FANCI	hsa:55215
MOB1A	hsa:55233
TMEM74B	hsa:55321
DRAM1	hsa:55332
HJURP	hsa:55355
PNP	hsa:5539
ASIC4	hsa:55515
CDCA7L	hsa:55536
CEP72	hsa:55722
CENPN	hsa:55839
SULF2	hsa:55959
CFC1	hsa:55997
PRPH	hsa:5630
TRIM39	hsa:56658
B2M	hsa:567
NDUFA4L2	hsa:56901
SMYD2	hsa:56950
VARS2	hsa:57176
PTCH1	hsa:5727
TTYH1	hsa:57348
GATAD2B	hsa:57459
ZFAT	hsa:57623
PTN	hsa:5764
PTPN13	hsa:5783
PTPRB	hsa:5787
PTPRZ1	hsa:5803
PTX3	hsa:5806
PWP2	hsa:5822
RPRD1B	hsa:58490
RAD17	hsa:5884
SIGIRR	hsa:59307
CCND1	hsa:595
PRPH	hsa:5961
TRIM27	hsa:5987
BRD2	hsa:6046
RPA3	hsa:6119
RPL9	hsa:6133
RRM2	hsa:6241
RXRB	hsa:6257
RYR3	hsa:6263
S100A10	hsa:6281
S100A11	hsa:6282
S100B	hsa:6285
VPS52	hsa:6293
SCN1A	hsa:6323
CCL2	hsa:6347
SDC1	hsa:6382
PRDM16	hsa:63976
NCAPG	hsa:64151
SFRP2	hsa:6423
SP5	hsa:6440
NOM1	hsa:64434
SCG5	hsa:6447
ALG1L2	hsa:644974
CPEB1	hsa:64506
SHMT1	hsa:6470
CENPH	hsa:64946
SKIV2L	hsa:6499
TPP1	hsa:65057
SLC1A3	hsa:6507
SLC1A5	hsa:6510
SLC8A2	hsa:6543
SLIT1	hsa:6585
SLIT1	hsa:6586
SNCG	hsa:6623
FAN1	hsa:6624
ZFP36L2	hsa:678
MST1	hsa:6789
AURKA	hsa:6790
KLF5	hsa:688
TCF7L2	hsa:6934
TCF12	hsa:6938
BUB1	hsa:699
BUB1B	hsa:701
TF	hsa:7018
THBS1	hsa:7057
SERPING1	hsa:710
TNC	hsa:7134
TNNI1	hsa:7135
TOP2A	hsa:7153
C4A	hsa:720
TRIP6	hsa:7205
TTK	hsa:7272
TUBB	hsa:7280
CCDC169	hsa:728591
EIF3CL	hsa:728689
TYMS	hsa:7298
VARS2	hsa:7407
WNT8B	hsa:7479
CSKMT	hsa:751071
YES1	hsa:7525
ZIC1	hsa:7545
ZNF17	hsa:7565
CA12	hsa:771
CACNA1C	hsa:775
EVI5	hsa:7813
FZD5	hsa:7855
DEK	hsa:7913
MBOAT7	hsa:79143
MMP28	hsa:79148
PRRC2A	hsa:7916
BAG6	hsa:7917
DDX39B	hsa:7919
IRX3	hsa:79191
TFEB	hsa:7942
EFL1	hsa:79631
CENPU	hsa:79682
ZNF408	hsa:79797
BORA	hsa:79866
ATAT1	hsa:79969
CALD1	hsa:800
MED28	hsa:80306
RASSF7	hsa:8045
PTP4A2	hsa:8073
TMEM121	hsa:80757
