D2HGDH hsa:728294
DAAM2 hsa:23500
DAB2 hsa:1601
DACH1 hsa:1602
DAXX hsa:1616
DCLRE1C hsa:64421
DCN hsa:1634
DDAH2 hsa:23564
DDN hsa:23109
DDR1 hsa:780
DDR2 hsa:4921
DDX39B hsa:7919
DDX52 hsa:11056
DES hsa:1674
DGKI hsa:9162
DHRS3 hsa:9249
DIRAS1 hsa:148252
DKK2 hsa:27123
DLG4 hsa:1742
DLG4 hsa:3996
DLGAP3 hsa:58512
DLK1 hsa:8788
DLX1 hsa:1745
DLX5 hsa:1749
DLX6 hsa:1750
DMBX1 hsa:127343
DMRT2 hsa:10655
DMRTA2 hsa:63950
DMTN hsa:2039
DNA2 hsa:1763
DNAJA4 hsa:55466
DNAJB5 hsa:25822
DNAJC12 hsa:56521
DOCK1 hsa:1793
DOCK4 hsa:9732
DOCK6 hsa:57572
DPF1 hsa:8193
DPH6 hsa:89978
DPP4 hsa:1803
DPY19L4 hsa:286148
DSG2 hsa:1829
DSP hsa:1832
DSP hsa:1834
DTL hsa:10673
DTL hsa:51514
DTX1 hsa:1840
DUSP4 hsa:1846
DUSP5 hsa:1847
DUSP8 hsa:1850
DUSP9 hsa:1852
E2F7 hsa:144455
EBF1 hsa:1879
EBF2 hsa:64641
EBF3 hsa:22924
EBF3 hsa:253738
ECM1 hsa:1893
ECT2 hsa:1894
EDNRA hsa:1909
EEF1A2 hsa:1917
EFCC1 hsa:79825
EFNB3 hsa:1949
EGFL6 hsa:25975
EGLN3 hsa:112399
EGR4 hsa:1961
EHMT2 hsa:10919
ELMO1 hsa:9844
EMILIN1 hsa:11117
EML4 hsa:27436
EMP2 hsa:2013
EMX1 hsa:2016
EMX2 hsa:2018
EN2 hsa:2020
ENO2 hsa:2026
ENO3 hsa:2027
ENOSF1 hsa:55556
EOGT hsa:285203
EPB41 hsa:2035
EPB41L2 hsa:2037
EPHA2 hsa:1969
EPHB4 hsa:2050
ESPL1 hsa:9700
ESRRG hsa:2104
EVA1B hsa:55194
EXO1 hsa:9156
F3 hsa:1272
F3 hsa:2152
FABP3 hsa:2170
FAIM2 hsa:23017
FAM107A hsa:11170
FAM114A1 hsa:92689
FAM131B hsa:9715
FAM131C hsa:348487
FAM153A hsa:285596
FAM171B hsa:165215
FAM20C hsa:56975
FAM234B hsa:57613
FAM241B hsa:219738
FAM76B hsa:143684
FAM83A hsa:84985
FAM86B1 hsa:85002
FANCG hsa:2189
FAP hsa:1056
FAP hsa:11146
FAP hsa:2191
FAT1 hsa:2195
FAT4 hsa:79633
FBLN2 hsa:2199
FBLN5 hsa:10516
FBN1 hsa:2200
FBN2 hsa:2201
FBN3 hsa:84467
FBXL6 hsa:26233
FBXO41 hsa:150726
FEV hsa:54738
FEZF1 hsa:389549
FEZF2 hsa:55079
FGA hsa:2243
FGF14 hsa:2259
FGFR3 hsa:2261
FGFR4 hsa:2264
FGFRL1 hsa:53834
FKBP10 hsa:60681
FKBP4 hsa:2288
FKBP4 hsa:63943
FLNB hsa:2317
FLRT2 hsa:23768
FMOD hsa:2331
FN1 hsa:2335
FN3K hsa:64122
FNDC4 hsa:64838
FNDC5 hsa:252995
FOPNL hsa:123811
FOS hsa:2353
FOSB hsa:2354
FOSL2 hsa:2355
FOXD1 hsa:2297
FOXF1 hsa:2294
FOXG1 hsa:2290
FOXO4 hsa:4303
FREM1 hsa:158326
FRMD4B hsa:23150
