S1PR3	hsa:1903
EDNRA	hsa:1909
EEF1A2	hsa:1917
SCAMP5	hsa:192683
EFNB3	hsa:1949
MEGF6	hsa:1953
EGR4	hsa:1961
EPHA2	hsa:1969
AHSG	hsa:197
WDR90	hsa:197335
SLC5A9	hsa:200010
SPAG17	hsa:200162
EMP2	hsa:2013
EMX1	hsa:2016
EMX2	hsa:2018
EN2	hsa:2020
KHDRBS2	hsa:202559
ENO2	hsa:2026
ENO3	hsa:2027
TUBB	hsa:203068
EPB41	hsa:2035
EPB41L2	hsa:2037
DMTN	hsa:2039
EPHB4	hsa:2050
AMER3	hsa:205147
ESRRG	hsa:2104
ALB	hsa:213
F3	hsa:2152
FABP3	hsa:2170
FANCG	hsa:2189
FAP	hsa:2191
FAT1	hsa:2195
UNC5B	hsa:219699
FAM241B	hsa:219738
FBLN2	hsa:2199
FBN1	hsa:2200
LRTOMT	hsa:220074
FBN2	hsa:2201
OAF	hsa:220323
RNF152	hsa:220441
MARCH8	hsa:220972
RASGEF1A	hsa:221002
NSUN6	hsa:221078
NT5DC1	hsa:221294
LBH	hsa:221491
SMIM13	hsa:221710
THSD7A	hsa:221981
FGA	hsa:2243
FGF14	hsa:2259
FGFR3	hsa:2261
FGFR4	hsa:2264
NID2	hsa:22795
FKBP4	hsa:2288
ABLIM3	hsa:22885
FOXG1	hsa:2290
EBF3	hsa:22924
FOXF1	hsa:2294
SHANK2	hsa:22941
FOXD1	hsa:2297
ABCF1	hsa:23
GOLGA8A	hsa:23015
FAIM2	hsa:23017
UNC13A	hsa:23025
PDXDC1	hsa:23042
MPP2	hsa:2305
NMNAT2	hsa:23057
PEG10	hsa:23089
DDN	hsa:23109
NPIPB3	hsa:23117
TAB2	hsa:23118
FRMD4B	hsa:23150
FLNB	hsa:2317
LPIN1	hsa:23175
CYFIP1	hsa:23191
NBEAL2	hsa:23218
ARC	hsa:23237
ADGRL2	hsa:23266
FMOD	hsa:2331
PHF24	hsa:23349
FN1	hsa:2335
NCS1	hsa:23413
NOMO1	hsa:23420
ITGB3BP	hsa:23421
TRAM1	hsa:23471
QPRT	hsa:23475
DAAM2	hsa:23500
RBP2	hsa:23504
FOS	hsa:2353
FOSB	hsa:2354
FOSL2	hsa:2355
RASD2	hsa:23551
DDAH2	hsa:23564
CORO1C	hsa:23603
SH3BP1	hsa:23616
ZIM2	hsa:23619
PRKD3	hsa:23683
FLRT2	hsa:23768
FRZB	hsa:2487
FNDC5	hsa:252995
FZD2	hsa:2535
EBF3	hsa:253738
ASPHD1	hsa:253982
METAP1D	hsa:254042
BPIFC	hsa:254240
GABBR1	hsa:2550
HK1	hsa:255061
GABRA2	hsa:2555
GABRA3	hsa:2556
