"","X","X67ND","X128ND","X162ND","X190ND","X212ND","X226ND","X272ND","X367ND","X67SD","X128SD","X162SD","X190SD","X212SD","X226SD","X272SD","X367SD","X67Nor","X128Nor","X162Nor","X212Nor","X190Nor","X226Nor","X272Nor","X367Nor","X67IL17","X128IL17","X162IL17","X212IL17","X190IL17","X226IL17","X272IL17","X367IL17","FoldChange","p.value"
"1788","ENSG00000088832",205.49454411,238.110962,256.46165,192.193920637,184.239568,165.31129,209.33658,233.72709,207.18784,336.483629,222.18322,243.218475,210.5547500338,177.9628,205.804894,225.50874,254.878802,206.1919610026,221.274756,223.096109,190.57197,201.6967,201.31766,184.138759,264.175286,195.7238,187.7304091,180.26735,192.015542096,211.56063,202.10273,173.8526533509,1.16421810329768,0.0448153798623109
"1802","ENSG00000089006",51.589666,47.407444,48.13801728,60.0773049,53.951181,92.19718518,54.1111080077,51.36133,59.048780709,86.603070745,54.633189,68.8763999,35.8560472366,81.3702742454,60.26366,73.8245619211,49.803788,66.7861320285,67.8516832908,67.960724018,84.360717,81.018892,94.568349912,106.444158,54.457911,84.89377,103.99025,97.839725,103.78444299,81.959977,85.830212089,102.20942,0.688885802087063,0.00866738029212581
"1819","ENSG00000089154",55.75024,61.23119,85.22767,106.92187,69.95049,45.49615,76.345342,92.04621,48.6237001961,56.06564,76.88098,92.49227,85.94712,54.66198,65.628372,102.16182,48.709614,81.149189,57.31781,54.25145,98.401776,73.6051,79.86169,106.559625,71.908254,74.90157,82.77485,100.11723,80.10546,78.005452,70.98762,91.35512,0.67357442595803,0.0322725560141018
"1821","ENSG00000089159",35.07171,42.108786,30.97352,32.96927908,33.34593,25.631103941,44.796448,30.227069,26.578586,30.860555084,26.91622,29.78466,27.04557,29.46678564,35.4420420027,33.185398,30.415155,31.99994,27.593274,26.316714,40.278788,38.8275450082,35.672563,51.141839,37.10796577,30.7646346062,40.1845164032,38.422789,54.8103641,34.956589,36.889108,45.0351150352,0.701088281668057,0.0276238248612641
"1827","ENSG00000089220",470.6525,361.6932,356.3172,375.8193,350.5458,387.843,410.1482,374.5314,431.2092,342.0776,413.4291,317.2178,386.53,410.1956,345.1191,339.8727,439.2097,384.1987,462.7358,491.7189,331.4881,366.3029,383.7068,305.5138,438.8057,374.5231,359.4344,329.5177,364.6385,390.7388,388.9564,279.2924,1.2817939662509,0.0159948945528099
"1857","ENSG00000090006",117.906961,177.4039,134.10923,184.4696911,235.7404211784,152.754637969,182.424936,166.97461109,119.943243942,109.30024,95.955401,138.64402608,165.06144,109.1317247586,147.56562486,143.55279218,86.945657,117.309602,52.027424,61.9420670032,154.1136502095,142.2750440516,147.2733572798,163.052208,99.4284,143.598897,111.975932,125.00168,165.8359256816,134.9684200023,115.731471,106.82082042,0.524505143894261,0.01200551265202
"1876","ENSG00000090447",9.1146915,12.798678,7.47781,12.770269,8.876088,18.435107,8.558255,10.68,7.763131,9.998142,13.092712,15.27864,15.906669,17.24725,9.432497,11.64983,7.646771,15.57882,10.556813,15.66678,19.499197,17.336002,20.657036,20.771789,10.692329,18.11799,15.86902,22.382382,32.707349,16.939393,14.016677,12.703345,0.631825217676004,0.0282004909078406
"1880","ENSG00000090520",61.84474,57.691886,55.9562,60.62726,65.78929,52.56446,75.903557,52.316838,68.072329,58.71092,66.56849,61.43765,68.98454,40.99349,67.514689,60.037815,90.625768,71.096206,102.91151,83.168743,67.561157,71.05247,62.86395,62.321977,77.947593,67.06049,68.47332,64.514085,62.348585,78.09699,60.11045,70.12518,1.31843371880758,0.0458682860918647
"1882","ENSG00000090534",0.445845,0.316164,0.95931,0.790161,0,0.696195,0.504869,0.225941,0.822781,0.51645,0.657588,0,0.563197,0.285375,0.28176,0,0.263294,0.626497,0.385444,0.688975,0.729734,0.883688,1.06158,0.822421,0.373178,1.08645,0,0.947152,0.4999163213,1.06256,1.217562,0.716709,0.561616367250973,0.0234529320665145
"1908","ENSG00000091073",4.176703,15.222575,5.889311,10.81145876,8.47820272,3.431854,10.161017,9.851053,3.323396,5.049167,5.823038,16.622948,8.0904628875,11.0516759279,10.459377,8.45656586,7.865628,8.887201,6.1191124,5.257651,9.52233,12.827884,9.4544334013,13.179069,9.175595,13.463659,10.462621,12.420675,11.77756621,12.424598,12.200258,14.982108,0.625328333236315,0.01924572933819
"1913","ENSG00000091136",8.74083,14.317982629,8.335244443,26.6154398715,6.48371528,16.288865,26.678640814,18.5905301598,13.98585,10.3330646,15.915372,28.363947904,10.779036,6.9051116,28.2102,12.730858,42.042947,64.02604,33.19007,40.81118097,99.117989,71.268752,57.8861,86.96389,26.933724,61.943673,76.838498,90.464725,108.69583,86.39349,58.879649,106.2949,0.57122226016866,0.0259631324659252
"1924","ENSG00000091436",6.241264,3.631434,4.771809,3.705527,3.421028,11.77971,5.611437,3.873525,3.085353,4.48971557,3.952416,7.495472,4.7692988,10.254939,5.06323,5.802785,4.909767,9.158199,7.5225018,8.983903,11.52755,11.48298,11.378725,12.8492911,6.732662,10.76903,11.91399,12.181924,14.46941,9.36028,10.58223,12.409581,0.647233526943794,0.0184216811146853
"1927","ENSG00000091490",8.1856232025,3.731819,8.223981,9.194629,7.3240342,4.989072,5.563335,8.595605,12.430261,10.251385,6.35308,14.993432,6.46097991,3.955104414,6.963028,7.770355,16.7081537255,8.0912911069,12.523536,17.41373,18.9333808,19.2171570126,20.586537,23.7349468223,20.16437201,17.0393786451,15.610359,14.104181,13.577803805,13.787764,20.91311333,28.99935,0.663700364648717,0.0400742954134201
"1957","ENSG00000092098",49.24508,76.13956,39.62138,61.91542,49.48414,50.13843,51.253342,52.113196,47.28758,34.180904216,45.6228,42.30914,60.95127,42.346830317,42.30876,51.81506,34.6739521928,40.7199502858,33.70533,35.47188454,53.260705,47.31232,40.3889954085,46.692339188,35.189837,39.7303,36.4912156239,51.90108,38.282722126,35.6507131,37.4665243,47.3148,0.770411715077982,0.0176007652800985
"1969","ENSG00000092377",1.72052,0.982584,1.93777,1.56495,1.32439,2.47591,2.3057001,2.03357,1.22655,2.74316,1.283046,2.61203,1.76698,1.27143,2.2853102269,2.0384500158,0.646296,1.53859,1.71648,1.95115,2.488301,2.734385,3.0142219748,2.5707000646,0.878495,2.41691,2.41469,1.9682926,3.4791965366,1.04331,3.3327,3.338716364,0.541518158195984,0.0160639369881114
