TUBB	hsa:203068
INTS6L	hsa:203522
TMEM31	hsa:203562
CLN8	hsa:2055
QARS	hsa:2058
ERCC4	hsa:2072
FBL	hsa:2091
ESR1	hsa:2099
ETV1	hsa:2115
EYA2	hsa:2139
F2RL2	hsa:2151
F13A1	hsa:2162
FANCG	hsa:2189
UNC5B	hsa:219699
MRPL21	hsa:219927
CBWD5	hsa:220869
LRRN4CL	hsa:221091
CPN2	hsa:221184
CES5A	hsa:221223
FAM162B	hsa:221303
OARD1	hsa:221443
TMEM217	hsa:221468
ZBTB9	hsa:221504
C6orf136	hsa:221545
CCZ1B	hsa:221960
ADGRF2	hsa:222611
KCTD20	hsa:222658
LHFPL5	hsa:222662
FGF8	hsa:2253
NID2	hsa:22795
CLCA4	hsa:22802
ZNF652	hsa:22834
RHOBTB3	hsa:22836
COBLL1	hsa:22837
MON1B	hsa:22879
FOXJ3	hsa:22887
RPIA	hsa:22934
NINL	hsa:22981
IGSF9B	hsa:22997
ABCF1	hsa:23
ALDOC	hsa:230
GOLGA8A	hsa:23015
EXOSC7	hsa:23016
SNRNP200	hsa:23020
KDM1A	hsa:23028
SAMD4A	hsa:23034
SMG1	hsa:23049
EMC1	hsa:23065
ARHGAP26	hsa:23092
AKR1B1	hsa:231
ATP10B	hsa:23120
FLII	hsa:2314
MAP1A	hsa:23173
NBEAL2	hsa:23218
ANKRD28	hsa:23243
ATP11A	hsa:23250
KIF13B	hsa:23303
NCAPD3	hsa:23310
ZCCHC11	hsa:23318
FAM189A1	hsa:23359
RRP8	hsa:23378
SRGAP2	hsa:23380
COMMD3	hsa:23412
RYBP	hsa:23429
SLC35A3	hsa:23443
SLC44A1	hsa:23446
FOLH1	hsa:2346
LEPROTL1	hsa:23484
HAAO	hsa:23498
LRRC8B	hsa:23507
RPL13A	hsa:23521
SRRM2	hsa:23524
FOS	hsa:2353
FOSB	hsa:2354
ATP6V0A2	hsa:23545
FOSL2	hsa:2355
RASD2	hsa:23551
WBP1	hsa:23559
CCNDBP1	hsa:23582
LEMD3	hsa:23592
EDC4	hsa:23644
TRIM29	hsa:23650
SLC7A11	hsa:23657
TMEM245	hsa:23731
BHMT2	hsa:23743
ALK	hsa:238
ABCA4	hsa:24
EML2	hsa:24139
PANX1	hsa:24145
PRPF6	hsa:24148
CDC26	hsa:246184
RNASEH1	hsa:246243
AFG1L	hsa:246269
SPESP1	hsa:246777
FSHR	hsa:2492
NR5A2	hsa:2494
FUS	hsa:2521
KDSR	hsa:2531
CADM2	hsa:253559
CERS5	hsa:253782
FBXO33	hsa:254170
GAGE1	hsa:2543
ANKK1	hsa:255239
GABRA4	hsa:2557
COL6A5	hsa:256076
CCDC110	hsa:256309
LMNTD2	hsa:256329
GAD2	hsa:2572
PRPF40B	hsa:25766
SLC24A2	hsa:25769
RASGRP3	hsa:25780
RAB3GAP2	hsa:25782
BAMBI	hsa:25805
RAB26	hsa:25837
COG4	hsa:25839
PRKD2	hsa:25865
POLR1A	hsa:25885
CNOT10	hsa:25904
ANAPC15	hsa:25906
TAZ	hsa:25937
WWTR1	hsa:25937
PRR3	hsa:25945
SEC31B	hsa:25956
PNISR	hsa:25957
VIRMA	hsa:25962
RNF167	hsa:26001
GORASP2	hsa:26003
LIG1	hsa:26018
