GH01J212541,
GH01J212590,ZNF316
GH01J212615,ZNF316
GH01J212615,POLR2A
GH01J212615,USF2
GH06J031927,KLF6
GH06J031927,ATF3
GH06J031927,KLF9
GH06J031927,YY1
GH06J031927,CEBPA
GH06J031927,FOXA1
GH06J031927,ZMYM3
GH06J031927,SSRP1
GH06J031927,CHD4
GH06J031927,MXD4
GH06J031927,KMT2B
GH06J031927,KLF11
GH06J031927,FOXA2
GH06J031927,SAP130
GH06J031927,HOMEZ
GH06J031927,ZNF511
GH06J031927,THAP11
GH06J031927,ZSCAN9
GH06J031927,RXRA
GH06J031927,ZBTB33
GH06J031927,ETV4
GH06J031927,KAT7
GH06J031927,FOSL2
GH06J031927,DRAP1
GH06J031927,TEAD3
GH06J031927,DMAP1
GH06J031927,TBP
GH06J031927,JUND
GH06J031927,CREM
GH06J031927,MBD1
GH06J031927,ZNF205
GH06J031927,FOXP1
GH06J031927,KDM1A
GH06J031927,TBX3
GH06J031927,RCOR1
GH06J031927,HHEX
GH06J031927,NRF1
GH06J031927,HNF4A
GH06J031927,GATAD1
GH06J031927,HBP1
GH06J031927,RBPJ
GH06J031927,RAD21
GH06J031927,HMG20B
GH06J031927,ZNF48
GH06J031927,HDAC2
GH06J031927,MIER2
GH06J031927,BHLHE40
GH06J031927,REST
GH06J031927,TFAP4
GH06J031927,MAX
GH06J031927,RXRB
GH06J031927,ATF1
GH06J031927,NR2F6
GH06J031927,IKZF5
GH06J031927,ELF3
GH06J031927,ARID3A
GH06J031927,SP1
GH06J031927,KDM3A
GH06J031927,ZNF580
GH06J031927,NFIA
GH06J031927,ARID4B
GH06J031927,NFIL3
GH06J031927,HNF1A
GH06J031927,PPARG
GH06J031927,ZNF644
GH06J031927,SOX13
GH06J031927,MLX
GH06J031927,ZNF384
GH06J031927,ZNF24
GH06J031927,SMC3
GH06J031927,MIXL1
GH06J031927,SP5
GH06J031927,NCOR1
GH06J031927,GATAD2A
GH06J031927,FOXK2
GH06J031927,XRCC5
GH06J031927,NFKBIZ
GH06J031927,TGIF2
GH06J031927,SMARCC2
GH06J031927,TCF7
GH06J031927,TAF1
GH06J031927,ZNF7
GH06J031927,IRF2
GH06J031927,ELF1
GH06J031927,ZBTB26
GH06J031927,ZKSCAN8
GH06J031927,HNF4G
GH06J031927,ZHX2
GH06J031927,TFDP1
GH06J031927,MNT
GH06J031927,ETS1
GH06J031927,EGR1
GH06J031927,CREB1
GH06J031927,FOXA3
GH06J031927,RFXANK
GH06J031927,RCOR2
GH06J031927,RERE
GH06J031927,AHR
GH06J031927,ZBTB25
GH06J031927,RBFOX2
GH06J031927,GABPA
GH06J031927,POLR2A
GH06J031927,TFE3
GH06J031927,EP300
GH06J031927,SKI
GH06J031927,ZGPAT
GH06J031927,TEAD1
GH06J031927,NR2F1
GH02J027969,
GH16J031329,FOXA1
GH16J031329,ZNF148
GH16J031329,HES1
GH16J031329,SP1
GH16J031329,PAX8
GH16J031329,MYNN
GH16J031329,E4F1
GH16J031329,NFATC1
GH16J031329,FOXP1
GH16J031329,ZNF48
GH16J031329,ZSCAN4
GH16J031329,MTA3
GH16J031329,ZNF473
GH16J031329,ZNF311
GH16J031329,MNT
GH16J031329,ATF7
GH16J031329,IKZF1
GH16J031329,ZNF621
GH03J128578,SOX5
GH03J128578,SOX13
GH19J049318,ZNF26
GH19J012753,
GH19J012755,BHLHE40
GH19J012755,KDM1A
GH10J004406,
GH0XJ055719,
GH0XJ056107,ELF1
GH0XJ056107,MLLT1
GH0XJ056107,SIN3A
GH0XJ056107,POLR2A
GH0XJ056107,MNT
GH0XJ056107,ZBTB17
GH22J041281,
GH12J007831,
GH12J007872,RBFOX2
GH12J007872,KDM1A
GH12J007837,ZNF10
GH12J007837,SMC3
GH12J007837,EBF1
GH12J007837,RAD21
GH12J007837,ZBTB48
GH12J007837,SPI1
GH12J007837,CTCF
GH12J007837,ELF1
GH12J007837,ZNF518A
GH12J007837,ZNF143
GH12J007837,ARID4B
GH12J007837,HMBOX1
GH0XJ071223,RBFOX2
GH09J037083,ZNF843
GH09J037083,PRDM6
GH09J037083,OSR2
GH09J037083,ZSCAN5C
GH09J036572,
GH17J004640,CTCF
GH17J004640,ZNF654
GH17J004640,SP2
GH17J004640,SIN3A
GH17J004640,ZBTB48
GH17J004640,RAD21
GH17J004640,HDAC2
GH17J004640,ZNF398
GH17J004640,SP3
GH17J004640,TBP
GH17J004640,ZBTB8A
GH17J004640,ZFX
GH17J004640,PATZ1
GH17J004640,ZBTB20
GH17J004640,EZH2
GH17J004640,ZNF335
GH17J004640,ZNF444
GH20J018298,
GH20J018142,RBM22
GH20J018433,FEZF1
GH19J057630,
GH17J049355,PKNOX1
