"","GeneFeature","X10_3651","X13_4506B","X16_9319","X19_9429_6120","X26_2038A","X28_2038B","X2_BJ2A","X31_1792A","X34_1792E","X39_1835_3","X43_2497B","X7_3440","FoldChange","p.value"
"14539","NTRK3",871,881,570,741,710,308,1014,314,225,858,463,683,0.604621848739496,0.0315104695524093
"14543","NUAK1",3543,1627,1754,2701,3203,2012,1044,3331,3455,4459,3240,1891,1.56847133757962,0.0336843647175482
"14544","NUAK2",1768,1130,777,1538,1826,1666,906,1347,1640,1477,1758,891,1.38573466476462,0.0398902466542937
"14625","NXPH1",600,1995,1701,395,90,431,2259,131,174,95,51,842,0.124743326488706,0.0157965224264876
"14648","OBSCN",839,387,457,812,1726,1675,956,1317,1589,1310,777,945,1.90946314831665,0.00431806463373702
"14649","OBSL1",7938,4792,6186,5303,4786,5167,5835,4133,4580,4344,3843,4978,0.766527746060744,0.0332321009028066
"14673","ODZ4",5482,5480,4983,5073,2575,3886,7393,3722,4334,3940,3434,4527,0.66461230190054,0.0045129320179235
"14702","OMG",22,33,26,14,14,12,33,10,14,16,6,26,0.467532467532468,0.00374275171119132
"14712","OPHN1",1026,713,1102,729,604,725,1134,752,726,690,462,1063,0.686492110282643,0.00977938631700087
"15134","OSBP2",405,383,270,236,124,182,424,284,275,175,202,197,0.648563968668407,0.041752370878947
"15260","PAG1",1539,1718,2129,1142,726,1423,2214,1219,1250,925,685,1945,0.582764105923084,0.00530351104292208
"15272","PAK1",2615,895,731,2005,2034,1485,856,2102,2601,3951,3100,940,1.89915443919423,0.0310716381333845
"15277","PAK6",76,95,90,46,30,59,141,50,61,50,22,69,0.526112185686654,0.0252424779952563
"15299","PAOX",310,206,264,205,160,141,324,167,209,215,189,181,0.725503355704698,0.0396414269353532
"15337","PARP12",179,70,88,127,176,134,50,150,186,147,225,69,1.74614065180103,0.0139582665362956
"15338","PARP14",846,673,262,636,1224,1163,886,786,956,1067,981,545,1.60524948024948,0.00738081310099643
"15351","PARVG",22,2,8,28,45,48,8,40,74,37,28,9,3.53246753246753,0.0023247721234951
"15373","PBLD",222,162,214,164,113,160,290,152,176,123,76,230,0.62402496099844,0.00900145073557755
"15382","PC",2410,1856,1999,1730,1083,1602,2608,1500,1550,1196,1458,1414,0.698094366314388,0.0186331426713767
"15391","PCCB",1833,1785,1996,1709,1470,1612,2538,1161,1179,1519,1629,1383,0.762184276058342,0.0377792646856416
"15393","PCDH10",1312,2225,2650,569,441,926,3422,489,465,1052,588,1359,0.343330155152986,0.0298319669941865
"15404","PCDH9",1238,956,1166,914,738,664,1621,815,854,957,379,942,0.644580956559895,0.0159315917623464
"15412","PCDHA4",543,746,1130,845,790,730,1031,606,541,350,264,853,0.637334887334887,0.0266476117866201
"15421","PCDHB10",412,467,512,452,330,379,409,251,306,268,265,282,0.709944751381215,0.0111283721480904
"15448","PCDHGA7",49,32,9,23,238,347,125,137,226,116,233,4,5.3595041322314,0.00200630576988532
"15455","PCDHGB5",15,10,8,17,77,86,16,164,219,68,167,22,8.875,0.00580870015812859
"15531","PDE3A",1175,611,687,1495,637,556,638,552,356,480,249,755,0.527886588323074,0.0342416954510556
"15548","PDE8B",145,230,180,99,98,118,156,68,84,123,67,346,0.482698961937716,0.0361576063375781
"15573","PDK4",107,29,16,97,126,154,16,155,140,81,49,39,2.31907894736842,0.0204046445798426
"15608","PEA15",36228,38675,50246,22106,16614,25708,41597,20273,18842,26048,17742,35597,0.557930754870817,0.00518177441920884
"15650","PEX6",1028,639,618,776,360,371,512,480,474,409,570,751,0.616096207215541,0.0106308718596192
"15661","PFKFB2",505,398,548,385,316,485,579,316,316,463,378,541,0.769282814614344,0.0334143886218722
"15712","PHACTR1",432,217,302,389,331,346,457,111,290,134,118,331,0.625,0.0475419470647032
"15713","PHACTR2",227,152,175,189,193,253,126,195,204,282,332,185,1.3842504743833,0.0357568877950337
"15757","PHLDB2",1477,455,380,1675,2971,1415,280,1162,1636,1461,2328,330,2.38699151620622,0.0191577587639593
"15774","PHYHIPL",4532,4276,6313,2788,1920,4796,7581,3078,2631,1540,1455,4719,0.510443907444801,0.0177548232963728
"15815","PIGZ",87,48,68,40,9,51,108,37,30,26,23,41,0.448979591836735,0.0235749976825749
"15828","PIK3R1",4006,4687,6088,2510,1865,3403,5196,3238,3036,2437,1889,4162,0.595444481969305,0.0135156688721429
"15837","PIM1",873,261,295,619,821,530,588,693,679,1029,1427,310,1.75797691785472,0.0496631446864228
"15851","PIP5K1B",138,76,33,87,338,174,180,107,137,209,257,37,2.21778584392014,0.0255946861599195
"15880","PKD1L1",4,4,6,3,13,8,5,9,8,11,2,3,2.04,0.0349527036381592
"15888","PKDREJ",83,53,68,60,50,67,50,34,49,31,32,100,0.635265700483092,0.0293343717419107
"15934","PLAC4",13,11,7,15,37,28,6,7,30,31,33,4,2.96428571428571,0.00633084758484342
"15952","PLCD3",2254,4512,3469,1685,2101,2337,3420,763,756,2045,1536,2017,0.549518926081696,0.0363272207619372
"15954","PLCE1",804,3615,2403,743,621,1279,2897,922,577,749,284,1449,0.372093023255814,0.0477324132704842
"15969","PLD5",444,206,585,260,116,163,206,357,315,16,4,472,0.44684767602393,0.0481792459308858
"15983","PLEKHA8P1",72,33,35,49,75,68,53,53,64,66,57,41,1.35335689045936,0.038881146642586
"16017","PLK1",5661,1770,1548,4229,4977,3133,2361,5369,5772,4490,4932,1741,1.65644136337377,0.0426504106705401
"16019","PLK2",1350,713,660,1215,1025,1043,880,1582,1513,1901,2084,758,1.64060258249641,0.0212278471274561
"16050","PLXND1",5437,1994,2529,3354,4638,4008,2552,5495,3425,7188,8377,2564,1.7976668475312,0.0285861464265125
"16057","PMEL",68,11,27,62,98,67,11,71,162,50,76,26,2.55609756097561,0.0229361746093655
"16076","PMS2P5",46,48,46,68,76,54,71,68,88,80,62,53,1.28915662650602,0.0421500748652257
"16115","POC1B-GALNT4",8,7,13,5,5,1,11,3,6,7,4,10,0.481481481481481,0.0111321334670709
"16175","POLR3G",167,67,81,108,196,127,96,102,118,210,168,88,1.5172981878089,0.0480812666710432
"16266","PPFIA2",718,601,707,581,343,291,400,341,506,479,137,593,0.5825,0.00616838617025382
"16315","PPP1R12A",3303,2290,2423,2783,3800,3526,3480,2767,3095,3922,3842,2245,1.26797385620915,0.0288944728798623
"16327","PPP1R16B",184,35,32,174,300,136,51,150,211,117,173,75,1.97277676950998,0.0461290578877732
"16452","PRELID2",47,13,31,47,83,85,28,73,74,76,113,39,2.45853658536585,0.000119467695823115
"16490","PRKCA",2825,2921,3708,1622,1393,2627,5145,1587,1484,1076,1463,2521,0.513819229537936,0.0254974542233161
"16545","PRORSD1P",26,21,23,26,21,14,26,11,26,11,17,36,0.632911392405063,0.0135389898130059
"16580","PRR18",42,90,83,64,43,71,70,21,31,25,4,54,0.483870967741935,0.0158410765595025
"16611","PRRT3",503,356,378,324,279,366,496,242,343,242,303,304,0.751800084709869,0.0434641951213924
"16644","PRTG",3698,1211,938,3417,4896,2962,1661,2266,3812,4123,3708,1379,1.76909947984395,0.0293864958281893
"16744","PTCH2",283,191,270,157,128,179,236,188,211,106,39,192,0.64033107599699,0.0377751876169904
"16745","PTCHD1",133,295,251,101,34,90,251,42,65,62,29,275,0.246554364471669,0.00324265604402873
"16764","PTGFR",8,15,11,19,22,15,2,21,24,64,34,9,2.8125,0.0441166448380779
"16787","PTP4A3",337,481,443,289,179,282,336,225,222,181,276,253,0.638148667601683,0.0141566503476806
"16793","PTPMT1",556,416,396,297,229,247,453,300,263,286,323,318,0.676518883415435,0.0172959579241497
"16806","PTPN3",124,246,309,116,80,141,144,85,77,28,29,232,0.375747224594364,0.0107590254688442
"16816","PTPRD",15575,8475,13862,9793,6903,8465,17648,12707,10433,6777,5519,10914,0.666133452213933,0.0438536774119372
"16833","PTPRZ1",53172,98918,133680,41920,43923,63299,84421,34971,45794,34711,9645,76051,0.475954703561523,0.0245042690561429
"16864","PVT1",154,136,181,181,191,214,148,215,150,246,163,115,1.28852459016393,0.0369978153256327
"16886","PYGM",20,9,11,8,22,11,16,26,17,20,28,8,1.72222222222222,0.0239484955200212
"16979","RAB6B",4162,3143,3773,2723,1540,2741,4650,2960,3204,2981,1042,3838,0.649109426174346,0.0191396114368627
"16985","RAB9A",1058,1011,1194,657,646,745,1309,836,687,822,657,910,0.715588858120215,0.0244269721877536
"17039","RAI14",6431,2224,1799,4676,5815,3948,2972,6189,6034,4764,7080,3011,1.60233031781367,0.0340516832685467
"17071","RAP2A",5389,3987,5852,3468,3276,3837,5746,3198,3968,3949,2367,4403,0.713988559542382,0.0197447142580431
"17100","RASD2",269,225,285,151,83,166,154,201,154,69,47,337,0.506685432793807,0.0149084659101846
"17177","RBM43",285,78,17,221,145,202,171,487,421,379,298,105,2.20296465222349,0.0271630794965185
"17231","RCN3",143,67,86,95,154,163,99,169,218,240,546,49,2.76437847866419,0.0481936317882847
"17257","REEP4",802,337,317,531,676,568,483,765,726,667,911,292,1.56154960173787,0.0221736089529693
"17339","RGMA",18739,18733,22284,12945,10535,15268,20187,12933,13740,6433,1673,16474,0.553958413342843,0.0104989511224686
