"","GeneFeature","X10_3651","X13_4506B","X16_9319","X19_9429_6120","X26_2038A","X28_2038B","X2_BJ2A","X31_1792A","X34_1792E","X39_1835_3","X43_2497B","X7_3440","FoldChange","p.value"
"20780","TMEM132E",591,192,217,82,34,137,463,109,92,26,46,373,0.231491136600626,0.0238082538242283
"20800","TMEM150C",209,128,172,165,138,153,217,127,125,145,66,151,0.723608445297505,0.0290889414761974
"20925","TMEM54",609,285,520,329,141,310,583,277,411,227,255,357,0.604174431606411,0.0298651711902232
"20932","TMEM59L",1583,1622,3199,694,385,1113,3166,920,953,604,453,1612,0.372852812394746,0.027132347188112
"20936","TMEM63A",1162,1090,1687,793,794,1007,1157,648,719,703,462,763,0.651383042693927,0.0384543764912454
"20937","TMEM63B",3738,2969,3970,2129,2806,3518,4086,2175,2030,2123,1729,3337,0.710910079588709,0.0359733384474911
"20979","TMOD2",2576,2548,2610,1810,1648,2125,4153,1240,1722,1366,442,2626,0.523371929179685,0.00867472543146497
"21059","TNFSF9",16,4,4,22,22,30,15,40,42,29,55,10,3.07042253521127,0.00225800669526989
"21077","TNNT1",7,2,2,7,12,14,3,9,8,6,25,3,3.08333333333333,0.0292513437737508
"21186","TPSG1",17,2,7,8,1,6,16,9,5,2,2,19,0.36231884057971,0.0465471764669006
"21187","TPST1",1199,1070,1152,1038,863,836,1175,844,815,1151,891,812,0.837728824076947,0.0489322948175861
"21227","TRAPPC6A",451,329,469,357,160,243,473,369,319,275,296,306,0.69685534591195,0.0174466578223054
"21263","TRIM22",554,975,614,710,1638,1382,394,991,716,1196,1153,746,1.77210117705985,0.0091377387891456
"21278","TRIM37",4395,3587,4123,3582,3014,3709,4320,3263,3261,3389,2295,3395,0.808947953166396,0.0178148974979631
"21320","TRIM71",339,69,76,275,464,258,84,264,303,391,287,107,2.07052631578947,0.0178958924551409
"21363","TRPC5",5,13,10,10,1,1,12,4,4,6,6,10,0.366666666666667,0.00156164858666532
"21377","TRPV2",1,2,1,2,10,10,3,15,13,25,32,1,10.5,0.00751561082090562
"21378","TRPV3",12,5,2,12,19,16,5,13,21,15,15,9,2.2,0.00185671788697667
"21400","TSGA10IP",13,1,1,16,29,19,1,11,30,8,21,2,3.47058823529412,0.0139539633351599
"21420","TSPAN12",2142,2717,3874,1604,1329,2157,3484,1596,1495,790,610,1982,0.504777573878378,0.0155127504277745
"21497","TTC37",4343,3386,3574,3599,4640,4553,3587,3828,4345,4562,3767,3421,1.17275216795984,0.0146424815980334
"21569","TTYH2",2469,2842,4252,1869,1457,2541,4310,2357,1684,1251,756,2767,0.542762980171808,0.0183376838061906
"21574","TUBA1C",2795,1487,1625,1417,6507,5573,2811,7277,3854,5675,5851,1240,3.0538021978022,8.30453270936392e-05
"21584","TUBB2A",15524,10729,10326,7602,6958,6665,16860,7763,7151,9713,4139,7403,0.619323826778096,0.044908681473732
"21596","TUBG2",552,366,457,392,252,313,527,350,358,383,355,331,0.766095238095238,0.0395975761667936
"21649","TYRO3",5057,3375,5164,3033,2399,3335,6054,3791,3985,2019,2034,3454,0.671959291425948,0.0459938947107203
"21747","UBQLNL",5,3,5,11,13,16,1,9,19,11,6,12,2,0.0413838672403218
"21769","UCHL3",503,264,218,397,420,333,309,439,478,579,626,246,1.48425400103252,0.030989590953374
"21819","UHRF1BP1L",1848,1503,1266,1865,2682,2389,1607,1250,1910,2699,1977,1245,1.3827940861367,0.0489115879254339
"21846","UNC80",537,598,737,368,308,498,930,265,379,357,116,535,0.519028340080972,0.0126207501955906
"21867","UPP1",1077,581,378,625,1454,870,573,635,767,1502,927,384,1.70121614151465,0.0449857914621587
"21916","USP25",1164,546,714,1120,1198,948,884,1172,1629,1267,1373,789,1.45428407130535,0.0149103388610649
"21936","USP44",251,53,47,186,229,281,99,314,403,507,278,113,2.68624833110814,0.00289425126794575
"21937","USP45",422,210,283,295,386,437,333,407,419,479,305,345,1.28866525423729,0.0367453495349648
"21965","UTRN",4394,2083,2189,3582,3985,3357,2273,3663,4466,4105,4148,2601,1.38558579605186,0.033406724383981
"21991","VAT1",8618,4400,4298,6279,5799,6201,6045,8689,8172,10968,10641,4506,1.47806478064781,0.0364493170246689
"22102","VSTM4",540,1269,1732,469,133,450,595,854,432,171,223,1230,0.38783204798629,0.0374947111158759
"22246","WFIKKN1",50,18,18,23,33,30,18,58,61,51,120,11,2.55797101449275,0.0434354840686524
"22297","WSCD1",9921,17633,14327,6432,7015,8269,19253,6031,6135,10281,3765,8585,0.544917335294349,0.0412705698483336
"22304","WWC1",4148,3313,3296,3362,2020,2774,3394,2902,2813,2464,2570,2752,0.766987416728349,0.00661556941902945
"22305","WWC2",2414,1202,1392,2186,2841,2421,2024,2033,2359,2585,3212,1282,1.47152380952381,0.0129768104814778
"22366","XRRA1",188,84,126,152,306,260,107,238,282,270,317,180,1.99880525686977,8.16593880016821e-05
"22516","ZDHHC14",432,479,451,220,141,237,508,185,209,213,148,229,0.488572660629582,0.0114668248736368
"22517","ZDHHC15",543,426,486,376,197,473,668,295,320,400,267,413,0.67032967032967,0.0225771289189806
"22540","ZFAND1",608,235,314,461,538,471,300,553,447,573,549,360,1.37445127304653,0.0494099711011142
"22598","ZHX3",2133,1619,1831,1269,1406,1185,2161,1389,1298,1417,1319,1483,0.763528963414634,0.0359251684043524
"22740","ZNF28",712,628,636,535,564,546,752,542,574,602,544,648,0.862183584760931,0.0313555321245431
"22745","ZNF281",1795,807,921,1426,1550,1327,1104,1545,1773,1743,1530,974,1.34737441297851,0.0446726165998622
"22755","ZNF296",26,18,21,17,16,17,24,17,14,16,13,25,0.709923664122137,0.00722012594189297
"22880","ZNF501",515,279,390,278,194,258,396,261,211,242,189,329,0.619570187471422,0.0111130797284218
"22881","ZNF502",405,247,274,248,95,114,311,113,167,251,238,170,0.590936555891239,0.0239608499589205
"22925","ZNF559-ZNF177",19,8,21,20,6,11,21,12,17,5,5,12,0.554455445544555,0.0313248435919064
"23047","ZNF704",5088,3261,4771,3950,2648,3157,4592,2698,4105,3148,2106,3647,0.705756845390968,0.0111959462229506
"23111","ZNF790",227,145,156,161,141,140,173,125,166,149,101,175,0.792671166827387,0.0376682406859304
"23125","ZNF813",261,186,196,239,213,245,148,249,285,267,249,191,1.23505323505324,0.0369537687861185
"23161","ZNF883",198,136,149,157,137,108,152,137,94,118,58,164,0.682008368200837,0.00801738902588585
