ODZ4	hsa:26011
NELF	hsa:26012
CHD5	hsa:26038
RAI14	hsa:26064
ARHGEF26	hsa:26084
TES	hsa:26136
GARS	hsa:2617
GARS	hsa:2618
GAS1	hsa:2619
GATA3	hsa:2625
GATA6	hsa:2627
GATM	hsa:2628
GBP1	hsa:2633
GBP3	hsa:2635
GBX2	hsa:2637
NUPR1	hsa:26471
MYOF	hsa:26509
GREM1	hsa:26585
GDNF	hsa:2668
GFAP	hsa:2670
NBEA	hsa:26960
PABPC1	hsa:26986
GJB2	hsa:2706
FOXP1	hsa:27086
CACNG4	hsa:27092
DKK2	hsa:27123
KCNH5	hsa:27133
SRPX2	hsa:27286
PCSK1N	hsa:27344
GLI3	hsa:2737
GNG7	hsa:2788
GPD1	hsa:2819
GPM6A	hsa:2823
CDH20	hsa:28316
P4HA3	hsa:283208
OLFML1	hsa:283298
GAS2L3	hsa:283431
PRTG	hsa:283659
LAMA1	hsa:284217
SSC5D	hsa:284297
MCHR1	hsa:2847
GPR26	hsa:2849
UNC80	hsa:285175
HCG22	hsa:285834
CNPY1	hsa:285888
GPR37	hsa:2861
GRIA3	hsa:2892
GRID2	hsa:2895
GRIK2	hsa:2898
C13orf15	hsa:28984
GRIK3	hsa:2899
GRIK2	hsa:2901
GRIN2A	hsa:2903
TMOD2	hsa:29767
ST8SIA5	hsa:29906
SLC25A24	hsa:29957
GZMA	hsa:3001
NXPH1	hsa:30010
ANXA2	hsa:302
HAS3	hsa:3038
CFH	hsa:3075
SOX8	hsa:30812
KCNIP2	hsa:30819
EHD4	hsa:30844
HHEX	hsa:3087
ANXA11	hsa:311
HLA-DPB1	hsa:3113
HLA-DPB1	hsa:3115
HLA-DPB1	hsa:3125
HLX	hsa:3142
HMMR	hsa:3161
FOXA1	hsa:3169
HOXA11	hsa:3207
HOXA13	hsa:3209
HOXB3	hsa:3213
HOXC6	hsa:3223
APC	hsa:324
BIRC5	hsa:332
ICAM1	hsa:3383
ID1	hsa:3397
ID3	hsa:3399
NAT8L	hsa:339983
ID4	hsa:3400
TMEM173	hsa:340061
CYP26C1	hsa:340665
FREM2	hsa:341640
FMN1	hsa:342184
CFI	hsa:3426
C2orf55	hsa:343990
SH3RF3	hsa:344558
IGF2	hsa:3481
IGFBP3	hsa:3486
IGFBP7	hsa:3490
CYR61	hsa:3491
IL1RAP	hsa:3556
IL4R	hsa:3566
IL7R	hsa:3575
IL11	hsa:3589
IL13RA1	hsa:3597
IL13RA2	hsa:3598
IL16	hsa:3603
INHBA	hsa:3624
INHBB	hsa:3625
C7	hsa:3627
ISLR	hsa:3671
ITGA1	hsa:3672
ITGA2	hsa:3673
ITGA5	hsa:3678
ITGA7	hsa:3679
ITGB4	hsa:3691
ITGB5	hsa:3693
ITIH3	hsa:3699
ITPKB	hsa:3707
ITPR2	hsa:3709
JUP	hsa:3728
KCNA1	hsa:3736
C1orf95	hsa:375057
KCND2	hsa:3751
KCNF1	hsa:3754
LHFPL3	hsa:375612
ENHO	hsa:375704
KCNJ6	hsa:3763
SLC27A1	hsa:376497
KCNJ10	hsa:3766
KCNJ16	hsa:3773
KCNN3	hsa:3782
KCNQ3	hsa:3786
KDR	hsa:3791
KPNA2	hsa:3838
KRT17	hsa:3872
KRT18	hsa:3875
ILDR2	hsa:387597
FIBIN	hsa:387758
C11orf96	hsa:387763
RHOB	hsa:388
SHISA6	hsa:388336
BTBD17	hsa:388419
IGFL3	hsa:388555
KRT81	hsa:3887
VGLL3	hsa:389136
LAMA2	hsa:3908
LAMA5	hsa:3911
LAMB1	hsa:3912
LAMB3	hsa:3914
LAMC2	hsa:3918
LDHA	hsa:3939
LGALS1	hsa:3956
ARHGDIB	hsa:397
LHX1	hsa:3975
LIF	hsa:3976
BNC1	hsa:40
LMO1	hsa:4004
LMO2	hsa:4005
EML6	hsa:400954
C3orf72	hsa:401089
C4orf48	hsa:401115
DTHD1	hsa:401124
VWA5A	hsa:4013
LOX	hsa:4015
