ABCB1 hsa:5243
AC003005.2 ---
AC005062.1 ---
AC005234.1 ---
AC005682.1 ---
AC007098.1 ---
AC007255.1 ---
AC007424.1 ---
AC007790.1 ---
AC008066.1 ---
AC009480.1 ---
AC009511.2 ---
AC010422.1 ---
AC010729.2 ---
AC011476.2 ---
AC012173.1 ---
AC013429.2 ---
AC016954.1 ---
AC019070.2 ---
AC022784.5 ---
AC024940.2 ---
AC026616.1 ---
AC027698.1 ---
AC067942.1 ---
AC068308.1 ---
AC068481.1 ---
AC069029.1 ---
AC073611.1 ---
AC079061.1 ---
AC080125.1 ---
AC083867.2 ---
AC084783.1 ---
AC090181.1 ---
AC090602.1 ---
AC090772.2 ---
AC090825.1 ---
AC092612.1 ---
AC092620.2 ---
AC098831.1 ---
AC099489.1 ---
AC099811.3 ---
AC102953.1 ---
AC106028.3 ---
AC106707.2 ---
AC107896.1 ---
AC107959.1 ---
AC112487.1 ---
AC124068.2 ---
AC127502.1 ---
AC127522.1 ---
AC131571.1 ---
AC134669.1 ---
AC138028.4 ---
AC138969.2 ---
AC139426.1 ---
AC145124.1 ---
ACSS1 hsa:84532
ACSS3 hsa:79611
ACTG2 hsa:72
ADM hsa:133
AKAP17BP ---
AL031280.1 ---
AL080316.1 ---
AL109615.2 ---
AL132656.2 ---
AL132992.1 ---
AL137779.1 ---
AL138733.1 ---
AL139130.1 ---
AL139184.1 ---
AL163193.1 ---
AL353691.1 ---
AL354793.1 ---
AL359918.2 ---
AL360182.2 ---
AL445933.1 ---
AL450405.1 ---
AL513185.1 ---
AL513523.2 ---
AL590399.4 ---
AL627402.1 ---
ALOX5 hsa:240
ANG hsa:283
ANKRD1 hsa:27063
ANKRD44-IT1 ---
ANKUB1 hsa:389161
ANO3 hsa:63982
ANOS1 hsa:3730
ANXA1 hsa:301
AOX1 hsa:316
AP000763.1 ---
AP001781.1 ---
AP002370.2 ---
AP002381.1 ---
AP002478.1 ---
AP002498.1 ---
AP002768.1 ---
AP002957.1 ---
AP003071.2 ---
AP006222.1 ---
