MAP1LC3A	hsa:84557
ZDHHC12	hsa:84885
UTP4	hsa:84916
COL27A1	hsa:85301
KIAA1755	hsa:85449
PDLIM4	hsa:8572
STC2	hsa:8614
CCK	hsa:8767
SOCS2	hsa:8835
PROM1	hsa:8842
CCK	hsa:885
HERC3	hsa:8916
ARC	hsa:8996
HAP1	hsa:9001
PHLDB2	hsa:90102
TSPAN18	hsa:90139
ANGPTL1	hsa:9068
CLDN6	hsa:9074
CREB3L1	hsa:90993
PDLIM1	hsa:9124
BOC	hsa:91653
LGI1	hsa:9211
SPSB4	hsa:92369
WDR46	hsa:9277
CD9	hsa:928
LEMD1	hsa:93273
CD37	hsa:951
IGDCC3	hsa:9543
CXCL14	hsa:9547
SOX13	hsa:9580
CD44	hsa:960
GREB1	hsa:9687
ACAP1	hsa:9744
SPOCK2	hsa:9806
CDH1	hsa:999
