TGFB1I1 hsa:7041
TH hsa:7054
TNFRSF12A hsa:51330
TPPP3 hsa:51673
TRIM27 hsa:5987
TRIM39 hsa:56658
TRIM71 hsa:131405
TSPAN18 hsa:90139
TSPO hsa:706
TSTD1 hsa:100131187
TTYH1 hsa:57348
TUBB hsa:203068
TUBB hsa:7280
TVP23C-CDRT4 hsa:100533496
TXNIP hsa:10628
UTP4 hsa:84916
VXN hsa:254778
WDR46 hsa:9277
ZACN hsa:353174
ZDHHC12 hsa:84885
ZFHX3 hsa:463
ZFP36L1 hsa:677
ZIC3 hsa:7547
ZIC4 hsa:84107
ZMYND10 hsa:51364
ZNF423 hsa:23090
ZP3 hsa:7784
ZSCAN1 hsa:284312
