"","GENE_ID","A_58a","A_117b","A_282a","A_285b","A_483b","A_689b","A_755a","A_L8a","A_L10a","B_99b","B_107b","B_139a","B_292b","B_317b","B_365a","B_L7a","B_L9a","B_pyauma","FoldChange","p.value"
"14011","ENSG00000176393",60.52,48.57,79.36,35.96,54.78,76.59,43.08,55.04,58.03,36.36,50.76,36.84,56.95,23.05,50.91,35.12,53.09,39.44,1.3383091080205,0.0297749748204084
"14037","ENSG00000176542",6.89,9.58,7.26,7.19,9.67,13.58,9.83,7.96,5.91,5.54,6.52,6.09,6.28,6.1,6.47,5.85,7.41,9.65,1.2997830078451,0.0410408855656815
"14051","ENSG00000176624",50.96,56.91,43.44,65.44,53.9,35.9,62.9,48.62,46.71,38.81,38.97,45.27,42.05,38.52,52.79,33.36,44.86,42.82,1.23136839316466,0.0188117697799668
"14077","ENSG00000176771",4.4,6.24,2.65,8.46,4.38,3.67,7.16,3.7,8.01,4.01,1.8,2.69,2.56,6.16,3.67,4.88,2.9,1.43,1.61694352159468,0.0308398066753509
"14236","ENSG00000177556",88.08,104.83,111.56,76.18,111.24,129.78,107.6,114.74,96.79,198.98,129.43,99.07,122.76,140.61,103.9,115.23,130.8,137.47,0.798472310630172,0.0339973067284151
"14238","ENSG00000177565",67.58,64.5,62.88,78.22,62.31,38.81,62.09,52.45,60.92,29.75,43.4,41.71,48.51,51.22,54.7,52.85,51.95,55.22,1.28056649041485,0.00958859870521863
"14259","ENSG00000177675",1.31,1.05,4.03,3.31,3.76,1.01,1.29,4.72,1.35,0.03,0.84,1.6,1.07,0.1,1.75,1.87,0.73,1.55,2.28825995807128,0.0300451119888027
"14308","ENSG00000177954",6713.63,4239.39,6076.79,7983.2,3830.41,6347.19,4896.13,4980.43,5418.04,5139.09,3938.24,4098.04,4484.07,5457.06,5670.42,3187.15,3887.33,4339.72,1.25581600711622,0.0433344863229767
"14322","ENSG00000178033",0.3,0.23,0.2,0.48,0.38,0.33,0.31,0.35,0.51,0.11,0.08,0.19,0.29,0.15,0.39,0.19,0.39,0.19,1.56060606060606,0.0276896577495751
"14343","ENSG00000178150",5.45,3.13,3.68,5.96,4.62,5.35,3.77,9,4.58,4.84,2.69,3.48,3.97,3.43,3.61,3.68,2.34,4.18,1.41340782122905,0.0393520939965661
"14378","ENSG00000178381",34.5,31.02,39.95,22.79,31.65,40.61,31.37,40.46,26.21,36.89,47.88,29.43,34.25,50.71,33.15,41.88,41.27,43.54,0.831643454038997,0.0495809175526783
"14574","ENSG00000179456",50.16,57.82,62.41,50.94,52.33,40.24,51.77,40.78,40.3,36.43,55.15,50.37,33.12,45.72,41.54,32.2,31.27,39.7,1.22229822161423,0.0320812079281141
"14624","ENSG00000179833",10.83,11.67,8.68,11.38,14.26,10.37,16.7,7.73,9.72,6.85,9.96,9.73,9.9,8.21,9.61,6.15,8.34,7.96,1.32107938991005,0.0213928035170178
"14800","ENSG00000180815",0.36,0.53,0.7,0.7,0.46,0.43,0.81,0.71,0.81,0.51,0.38,0.49,0.53,0.19,0.47,0.61,0.62,0.09,1.41645244215938,0.0455500908612236
"14821","ENSG00000180914",1.49,1.39,1.36,0.57,1.77,1.2,1.64,1.07,0.86,1.01,0.65,0.9,0.92,0.68,1.32,0.94,0.73,1.15,1.36746987951807,0.0381480227922653
"14907","ENSG00000181418",1.18,4.43,3.57,1.65,3.59,1.9,4.83,3.28,1.43,7.45,6.57,7.4,3.71,3.84,2.67,5.48,5.67,4.86,0.542707240293809,0.00418893423552775
"14911","ENSG00000181450",14.03,13.12,19.86,17.33,13.09,3.91,14.37,16.44,13.08,6.91,11.87,10.78,8.55,11.05,15.17,8.66,8.15,10.06,1.37313596491228,0.0435314700987114
"14971","ENSG00000181817",27.51,32.7,36.69,18.42,28.24,40.11,38.85,38.46,31.38,54.71,52.33,39.53,42.67,51.18,25.28,45.12,43.64,29.59,0.761255044916026,0.0250881571022188
"15057","ENSG00000182247",27.02,47.63,33.89,41.27,45.54,33.05,33.97,40.09,26.55,20.35,18.55,24.13,28.05,33.44,36.51,22.83,35.11,33.83,1.30146360759494,0.0241631264577709
"15308","ENSG00000183337",26.19,25.51,37.07,32.05,25.64,28.37,23.16,56.18,41.43,16.57,23.02,19.04,31.21,16.74,30.47,23.26,28.77,24.16,1.38623147627087,0.0407714805175331
"15332","ENSG00000183474",12.57,14.55,18.59,14.92,16.16,7.39,13.82,6.31,9.02,9.81,9.24,17.29,28.03,23.45,23.62,21.56,21.86,11.92,0.67951792780909,0.042943597515672
"15338","ENSG00000183495",34.2,34.18,35.2,28.65,40.1,33.21,34.89,34.54,41.6,24.16,27.22,29.06,38.87,20.77,35.18,30.14,35.11,31.23,1.16497387208361,0.0467739835222533
"15522","ENSG00000184227",3.35,8.01,4.04,0.69,2.99,2.61,6.46,3.79,2.2,12.48,7.65,4.03,4.69,7.83,2.21,7.17,8.01,7.03,0.558756137479542,0.0275189747064245
"15584","ENSG00000184497",0.66,1.44,0.64,0.94,1.33,2.07,0.69,1.52,2.54,0.64,0.06,1.23,1.28,0.37,0.36,0.14,1.28,0.25,2.10873440285205,0.0256287715445408
"15609","ENSG00000184613",201.28,254.62,119.65,306.87,201.72,142.28,142.73,216.54,236.32,149.62,81.67,185.52,185.21,110.57,184.9,113.99,125.67,146.74,1.4191324801969,0.0248689308046169
"15746","ENSG00000185187",3.64,2.75,2.62,1.67,2,4.25,2.91,4.59,8.44,10.63,9.31,3.14,8.5,4.34,3.93,6.01,6.58,3.48,0.587804005722461,0.040230416542309
"15848","ENSG00000185630",106.8,74.17,128.12,127.06,89.76,38.78,66.26,99.47,123.4,36.42,47.69,60.91,91.1,45.04,81.52,67.47,77.72,61.16,1.50048327856176,0.019592158023302
"15896","ENSG00000185813",15.88,30.24,33.29,16.93,23.67,22.23,31.34,27.78,34.77,50.38,31.99,35.87,40.99,22.63,25.52,51.62,32.11,35.59,0.72277318640955,0.025819016519194
"15927","ENSG00000185920",110.03,124.96,89.94,220.5,96.8,50.45,119.85,199.88,188.07,69.91,75.44,102.18,101.28,52.4,141.74,44.01,71.66,73.6,1.63950725191882,0.0315112691490458
"15963","ENSG00000186073",14.79,8.91,15.01,10.63,15.84,8.92,12.39,10.94,12.4,5.65,6.37,6.27,9.17,7.93,12.38,7.44,8.29,9.34,1.50782537067545,0.00196543532251992
"16218","ENSG00000187123",8.46,8.36,3.6,10.5,5.87,8.59,5.73,7.4,8.04,4.89,4.66,5.42,6.99,4.27,8,5.3,6.08,4.67,1.32358790771679,0.0396234334441111
"16409","ENSG00000188004",1.64,1.37,1.24,0.55,1.41,0.45,0.61,0.66,0.71,2.6,0.74,2.29,1.44,1.5,1.26,2.54,1.47,1.32,0.569920844327177,0.0145436211524704
"16468","ENSG00000188266",3.97,2.56,1.8,2.67,3.09,3.02,1.94,2.25,1.91,0.5,2.25,1.23,2.41,1.39,1.98,1.96,1.98,2.6,1.4239263803681,0.0298094543614402
"16491","ENSG00000188352",26.41,24.52,27.14,25.31,29.44,21.44,30.83,22.61,26.7,11.94,22.2,17.98,25.89,14.33,23.66,23.44,24.22,18.78,1.28480596360447,0.0088743918490138
"16676","ENSG00000189079",32.12,24.68,26.68,45.54,33.53,25.35,30.6,23.34,25.06,12.2,21.6,21.48,25.37,15.97,32.2,18.93,20.36,26.41,1.37209541435328,0.0179574622020953
"16780","ENSG00000196139",4.86,3.43,1.76,1.73,3.98,3.09,7.34,2.42,3.38,2.31,0.87,2.75,2.08,3.04,0.81,1.25,1.32,1.01,2.07189119170984,0.0151768185532338
"16813","ENSG00000196230",138.54,226.46,154.47,287.43,181.63,267.06,125.22,292.79,416.33,116.64,161.09,116.21,158.68,94.47,5.81,235.1,113.51,191.94,1.75116678537015,0.0202291764912197
"17040","ENSG00000196972",4.11,3.86,5.75,2.46,4.47,3.17,3.29,4.79,4.24,6.63,3.95,5.61,6.04,2.79,3.39,7.84,8.1,6.03,0.717348154029377,0.0444099087065992
"17081","ENSG00000197111",690.96,696.95,768.62,791.41,726.01,805.35,693.69,740.26,860.44,498.37,660.86,655.52,749.16,527.34,744.47,626.77,713.29,562.4,1.18045965794032,0.00712656483483574
"17149","ENSG00000197361",0.64,0.32,0.47,0.35,0.34,0.3,0.14,0.95,0.18,0.66,0.34,0.31,0.88,0.69,0.97,1.3,0.72,0.51,0.578369905956113,0.0407268430267893
"17211","ENSG00000197565",15.46,17.88,7.71,11.51,20.03,21.05,29.57,14.54,6.81,24.7,30.96,21.21,34.61,16.96,22.43,18.72,36.49,16.17,0.650438695163104,0.0243483558631368
"17360","ENSG00000198034",1012.63,862.74,848.16,1103.09,947.92,953.18,882.84,895.28,962.51,814.41,789.99,805.95,798.03,1019.24,973.42,688.94,760.9,814.24,1.13438899843539,0.0218442326439364
"17474","ENSG00000198429",15.45,13.7,11.52,10.86,18.4,16.35,17.8,14.24,12.19,9.49,8.73,14.02,13.43,12.12,14.18,11.4,12.24,10.49,1.23006597549482,0.0279155681213565
"17509","ENSG00000198553",5.65,4.72,4.81,5.67,5.61,4.68,3.81,2.94,3.14,1.57,2.82,2.03,2.87,1.45,3.01,2.72,2.85,3.55,1.79405334499344,0.000289961038880479
"17531","ENSG00000198624",4.33,4.31,2.2,3.68,2.06,3.1,3.63,4.03,2.32,3.78,0.9,1.85,2.1,0.87,3.42,2.1,2.78,1.65,1.52493573264782,0.0238209732623084
"17532","ENSG00000198625",21.95,29.58,48.61,27.11,37.77,19.51,24.36,25.57,21.48,11.93,22.39,17.69,25.14,16.89,24.46,21.8,22.21,24.45,1.36895592640137,0.0463073675342386
"17560","ENSG00000198712",10357.4,13425.9,12685.4,11612.6,11603.5,17859.2,14813.1,13584.3,13967.6,17150.3,14095.2,19271.6,13747.6,16631.1,16529.5,19771.5,13583.7,16369,0.814878745765361,0.0106276429369782
"17589","ENSG00000198763",3217.93,4649.79,4283.75,2598.16,4636.75,4569.51,5707.57,4384.83,4075.93,5528.57,4902.5,6386.03,4781.9,5488.83,5279.62,7500.89,4810.22,6505.97,0.744838723731565,0.00381352484973999
"17603","ENSG00000198795",41.88,42.2,37,58.15,29.91,37.75,34.85,45.02,62.12,35.05,43.65,33.03,40.73,35.47,38.04,20.77,30.09,20.43,1.30821503061293,0.037212722961339
"17663","ENSG00000198894",29.92,31.74,34.45,29.17,36.01,22.91,33.65,32.09,32.03,24.06,28.79,26.38,25.93,26.43,25.75,30.17,28.09,29.41,1.15085098567405,0.0140579340040022
"17665","ENSG00000198899",6806.63,7998.19,7651.22,6983.71,7756.6,10024.2,9951.47,7994.66,7552.18,8881.97,8277.48,11004,7948.2,9961.57,8923.31,11594.8,8138.75,9484,0.863500022799038,0.041393610011652
"17825","ENSG00000204065",46.83,56.83,62.67,15.95,68.62,20.24,51,47.94,17.05,56.37,67.35,61.23,45.39,64.21,34.79,86.5,69.54,93.46,0.668803123488356,0.0323945150077256
"17843","ENSG00000204138",55.24,62.9,61.86,61.98,74.8,55.42,60.96,62.86,53.92,40.31,64.23,62.14,57.96,48.83,53.96,53.43,48.69,51.24,1.14382578672601,0.0301678686159144
"18010","ENSG00000204599",2.18,2.43,1.59,2.28,3.31,1.69,1.9,2.63,3.11,3.05,4.36,3.76,3.38,3.25,2.63,3.14,2.02,2.48,0.752404702529391,0.0227786041066666
"18042","ENSG00000204677",3.94,1.5,2.08,2.45,3.86,2.32,2.28,3.16,1.63,0.35,0.93,2.43,1.75,1.06,1.19,1.46,3.22,2.54,1.55525787006028,0.0455941146115419
"18195","ENSG00000205309",4.24,5.31,9.88,3.88,7.13,4.11,4.8,4.92,7.67,10.03,9.65,5.81,9.2,6.97,5.89,9.45,9.12,4.4,0.736528644356211,0.0489416982040288
"18422","ENSG00000206346",2.81,2.35,1.92,2.01,0.6,1.39,2.78,2.95,1.69,3.32,3.16,2.98,3.37,1.85,2.76,2.71,3.11,1.7,0.741185897435897,0.0436619608867942
"18839","ENSG00000212747",19.6,17.58,21.1,20.32,20.9,16.8,22.49,22.48,23.58,16.92,20.06,16.83,23.66,12.05,14.83,15.87,16.09,21.11,1.17424723669165,0.0473326650127324
"18850","ENSG00000212907",6488.57,8324.7,6922.69,5687.12,7367.44,3705.36,9764.45,8326.98,7737.57,7470.04,6969.26,8345.01,8028.5,7452.9,10822.5,14077.4,9178.86,10330.2,0.778048222024956,0.0490613322452422
"18970","ENSG00000213186",19.82,22.46,13.64,23.78,12.56,18.86,12.26,13.79,15.89,10.18,10.7,12.24,19.33,10.51,19.41,8.15,11.99,8.86,1.37433779294244,0.0351340789602649
"18991","ENSG00000213221",2.45,4.33,7.61,3.51,1.46,3.93,3.34,4.84,7.84,8.68,11.09,7.69,9.09,4.28,2.97,8.33,9.74,4.76,0.589974485967282,0.0198276088468041
"19000","ENSG00000213235",0.13,1.1,1.22,0.73,0.67,0.11,1.34,0.55,0.22,0.14,0.15,0.31,0.25,0.36,0.39,0.53,0.25,0.34,2.23161764705882,0.0465459965871747
"19422","ENSG00000214102",0.56,0.78,1.49,0.33,1.38,0.3,0.62,1.14,0.41,0.96,1.2,1.71,1.54,1.07,1.08,0.72,1.01,1.8,0.632100991884581,0.0336437808749255
"19751","ENSG00000215146",19.55,8.1,11.78,16,24.45,6.49,15.69,20.68,16.87,4.67,7.98,8.8,12.3,7.84,15.16,7.34,4.37,14.01,1.69285800897296,0.0169741361327869
"20285","ENSG00000219200",98.71,120.71,145.36,83.31,115.35,167.98,117.48,128.72,127.26,215.71,164.42,143.9,171.59,118.37,97.49,177.34,167.54,151.06,0.785039291753705,0.0312789770958739
"20551","ENSG00000221968",10,13.11,20.38,10.34,15.24,11.47,14.58,21.47,17.76,28.96,25.21,16.56,29.01,16.55,12.12,24.12,28.96,10.47,0.699885392790164,0.0438036275284983
"20775","ENSG00000223766",7.14,13.04,0.74,14.85,9.67,9.05,1.03,16.87,8.4,0.88,1,0.89,8.1,7.05,0.71,7.7,9.49,0.95,2.19717160728855,0.0477224677842057
"20961","ENSG00000224156",138.54,226.46,154.47,287.43,181.63,267.06,125.22,292.79,416.33,116.64,161.09,116.21,158.68,94.47,5.81,235.1,113.51,191.94,1.75116678537015,0.0202291764912197
"21364","ENSG00000224994",2.18,2.43,1.59,2.28,3.31,1.69,1.9,3.11,3.11,3.05,4.36,4.04,3.39,3.25,2.63,3.14,2.44,2.48,0.750521195274496,0.019869803992162
"22521","ENSG00000227470",42.17,38.83,58.24,41.89,31.24,3.93,17.62,38.28,44.14,16.56,35.51,21.16,12.52,10.94,36.31,17.47,25.16,19.27,1.62308876346845,0.0464566384502665
"22883","ENSG00000228253",8570.86,11120.9,8301.65,9138.95,9674.33,7240.9,11772.9,8910.82,8288.58,10489.1,10389,13845.7,10040.5,13875.2,12123.6,12990.7,9431.63,12285.4,0.787136026141067,0.00388475374326054
"23051","ENSG00000228681",3.97,5.61,5.13,2.42,5.6,1.8,4.66,4.46,3.15,2.06,4.41,2.15,2.04,0.99,1.51,3.53,3.69,4.08,1.50449713818479,0.0400672696883371
"23216","ENSG00000229018",0.32,1.25,2.4,1.31,1.22,0.44,1.13,1.28,1.95,1.87,1.18,3.02,1.97,1.32,2.52,2.32,1.53,2.8,0.609821910415542,0.0184214022202766
"23528","ENSG00000229684",138.54,226.46,154.47,287.43,181.63,267.06,125.22,292.79,416.33,116.64,161.09,116.21,158.68,94.47,5.81,235.1,113.51,191.94,1.75116678537015,0.0202291764912197
"23646","ENSG00000229929",2.18,2.43,1.59,2.28,3.31,1.69,1.9,2.63,3.11,3.53,6.28,3.76,3.38,3.25,2.63,3.14,2.02,2.48,0.693140794223827,0.0409655812296271
"23741","ENSG00000230143",9.48,10.35,9.52,6.32,11.85,7.25,12.06,12.58,10.45,12.58,15.7,13.05,13.13,9.27,9.5,14.17,13.05,9.69,0.815870710005448,0.0446815515510777
"23830","ENSG00000230308",2.18,2.43,1.59,2.28,3.31,1.69,1.9,2.63,3.11,3.05,4.36,4.07,3.78,3.25,2.63,3.14,2.02,2.48,0.733842946490619,0.0188504525698846
"24726","ENSG00000232280",6.87,8.8,7.52,4.73,9.3,5.44,10.63,9.6,8.33,11.13,14.03,22.17,11.93,9.52,7,12.27,21.72,6.86,0.610649061133499,0.0292418293673691
"24748","ENSG00000232339",1.05,1.29,1.09,1,1.41,1.05,1.33,1.69,0.95,2.2,1.92,1.65,1.22,1.54,1.18,1.47,1.33,1.38,0.781857451403888,0.0278249527625248
"24792","ENSG00000232421",138.54,226.46,154.47,287.43,181.63,267.06,125.22,292.79,416.33,116.64,161.09,116.21,158.68,94.47,5.81,235.1,113.51,191.94,1.75116678537015,0.0202291764912197
"24807","ENSG00000232450",5.12,3.92,4.01,3.06,7.43,5.51,8.25,4.08,4.9,3.19,4.28,2.85,3.67,2.6,2.21,3.88,3.89,2.77,1.57736877982277,0.0112918847753913
"24861","ENSG00000232575",138.54,226.46,154.47,287.43,181.63,267.06,125.22,292.79,416.33,116.64,161.09,116.21,158.68,94.47,5.81,235.1,113.51,191.94,1.75116678537015,0.0202291764912197
"24988","ENSG00000232839",2.18,2.43,1.59,2.28,3.31,1.69,1.9,2.63,3.11,3.05,4.36,4.07,3.78,3.25,2.63,3.14,2.02,2.48,0.733842946490619,0.0188504525698846
"25328","ENSG00000233564",7.14,13.04,0.74,14.85,9.67,9.05,1.03,16.87,8.4,0.88,1,0.89,8.1,7.05,0.71,7.7,9.49,0.95,2.19717160728855,0.0477224677842057
"25590","ENSG00000234114",1.77,0.71,1.75,2.51,4.22,5.61,0.36,4.76,5.86,0.22,0.07,3.55,0.76,0.54,2.49,0.12,0.84,0.1,3.17031070195627,0.0225212895222479
"25822","ENSG00000234616",12.85,12.79,20.84,17.78,17.47,7.08,9.29,12.93,18.55,6.39,10.71,7.31,15.88,5.49,11.57,13.61,11.65,9.84,1.40162249864792,0.0464656033476052
"26020","ENSG00000235067",138.54,226.46,154.47,287.43,181.63,267.06,125.22,292.79,416.33,116.64,161.09,116.21,158.68,94.47,5.81,235.1,113.51,191.94,1.75116678537015,0.0202291764912197
"26111","ENSG00000235241",2.38,8.02,4.78,1.71,4.12,3.85,5.89,5.43,3.9,6.37,7.18,8.77,6.06,3.15,4.61,10.16,8.26,12.84,0.594658753709199,0.0206597995259654
"26305","ENSG00000235661",0.46,1.4,0.92,1.13,0.61,0.18,0.25,0.23,1.68,0.2,0.24,0.53,0.48,0.19,0.44,0.22,0.23,0.25,2.46762589928058,0.0395250447525008
"26572","ENSG00000236252",3.16,2.01,2.18,0.41,3.32,1.58,1.86,2.39,1.49,0.91,0.6,0.96,1.14,0.93,2.49,1.11,1.39,1.58,1.65616561656166,0.0356512995015362
"26649","ENSG00000236428",22.66,13.36,18.5,19.63,16.26,39.31,17.44,16.04,14.1,8.36,7.14,11.77,16.38,6.13,13.25,6.71,15.06,17.75,1.72891272549976,0.0168286800989195
"27176","ENSG00000237550",151.89,89.22,163.14,180.43,233.41,231.09,200.15,130.66,96.29,59.13,135.47,136.18,90.14,152.82,78.98,71.34,113.23,114.17,1.55159439177685,0.0142126727510244
"27378","ENSG00000237973",6.49,9.37,6.25,5.85,6.38,3.45,3.56,7.26,5.86,8,6.89,14.34,7.38,8.22,8.96,10.02,7.66,11.81,0.654058597502401,0.00640501103758179
"27481","ENSG00000238196",1.05,1.23,1.11,1.08,1.41,1,1.54,1.92,0.82,2.37,2.26,2.01,1.7,1.88,1.03,1.6,1.71,1.17,0.709472345835982,0.0158814638733871
"27618","ENSG00000239557",0.83,1.04,0.5,1.03,0.61,1.31,0.55,1.16,0.54,0.44,0.36,0.63,0.6,0.14,0.79,1.14,0.45,0.18,1.60042283298097,0.0449134927889557
"28427","ENSG00000242615",10.41,5.1,11.85,8.67,12.72,17.04,10.52,7.68,4.87,5.72,8.23,5.96,6.93,4.91,7.14,7.1,6.49,7,1.49394754539341,0.0354796057930669
"28569","ENSG00000243199",4.73,4.77,5.77,4.24,3.99,2.55,3.23,4.59,4.85,4.34,2.85,2.63,4.91,3.41,3.28,1.55,3.66,3.37,1.29066666666667,0.0482888473830142
"28891","ENSG00000244398",919.3,503.45,381.74,690.22,514.72,595.84,544.53,436.81,435.93,350.72,420.68,514.54,234.42,483.97,334.6,180.06,377.09,321.57,1.56093422218078,0.00852024600862171
"29346","ENSG00000249072",1684.4,1568.27,1257.72,1317.35,1808.43,1384.17,1369.32,1945.25,1872.88,847.87,856.17,1423.92,867.73,396.94,1616.81,955.78,1734.22,1245.11,1.42870114786491,0.0142360589683983
"29785","ENSG00000250420",3.51,3.47,2.47,3.34,3.6,5.67,0.3,3.21,8.08,1.03,1.82,0.98,0.57,0.14,3.1,2.99,1.47,0.74,2.62071651090343,0.013335341781804
"30410","ENSG00000253537",10.9,11.55,1.26,4.47,8.82,0.85,6.89,4.14,2.34,12.21,5.36,12.06,12.78,9.85,5.97,18.15,11.69,4.59,0.552773580833153,0.0338836253768596
"30487","ENSG00000253731",7.33,3.85,0.35,2.28,8.71,0.93,4.53,1.87,3.17,6.26,9.35,8.41,5.41,6.82,4.31,7.43,8.04,1.19,0.577070954211814,0.0475164827119225
"31023","ENSG00000254996",17.22,17.95,21.88,19.79,19.39,26.65,16.79,21.33,26.31,14.1,13.47,19.08,20.91,10.45,17.77,13.25,20.5,16.18,1.28549859309588,0.0157938998099788
"31066","ENSG00000255085",3.95,5.59,2.78,1.13,5.75,1.55,7.62,4.8,2.78,6.28,5.2,6.84,6.46,10.44,3.15,7.29,6.6,11.67,0.56233380259659,0.0133468942524292
"31392","ENSG00000256060",24.95,21.91,17.42,15.19,17.93,19.48,17.5,18.47,16.53,27.39,26.29,19.87,16.79,27.35,19.65,23.11,19.92,26.06,0.820520273216102,0.0255775998934643
"31512","ENSG00000256667",9.94,7.14,9.46,9.36,7.34,8.53,9.31,9.2,10.28,4.71,6.86,6.9,8.24,6.17,10.75,5.74,6.43,6.09,1.3016642430118,0.00923933805384378
"31934","ENSG00000258500",2.92,4.05,3.02,1.81,8.29,3.95,5.6,4.35,2.39,0.84,2.1,2.22,3.63,2.37,0.99,0.93,1.79,5.19,1.8135593220339,0.040221059031171
"32151","ENSG00000259024",8.28,17.41,8.7,3.97,11.04,1.57,7.75,8.26,4.8,11.13,7.99,10.71,11.49,19.49,10.29,14.51,16.92,11.99,0.626790080335313,0.0267244756493805
"32255","ENSG00000259316",17.31,26.08,22.75,21.08,10,37.6,26.79,6.13,19.06,22.43,16.48,10,0.56,2.43,5.45,19.09,5.93,13.38,1.9509138381201,0.0235558023003046
"32334","ENSG00000259556",2.1,2.63,1.73,1.2,1.19,2.15,1.27,1.55,1.1,0.82,1.23,1.03,1.05,0.8,1.84,1.12,1.56,1.25,1.39439252336449,0.0436288100049596
"32744","ENSG00000261371",1.09,0.65,0.67,1.11,1.08,0.88,1.04,0.15,0.12,1.95,1.3,1.18,1.29,1.27,1.57,0.89,2.08,0.56,0.5616211745244,0.0115968994229148
"33027","ENSG00000262788",20.63,19.75,33.23,20.97,16.48,44.63,26.26,22.17,30.57,31.17,15.97,12.89,14.57,15.39,8.56,14.75,13.63,16.8,1.63285326654143,0.0133456352978225
"33075","ENSG00000263042",0.56,0.78,1.49,0.33,1.38,0.3,0.62,1.14,0.41,0.96,1.2,1.71,1.54,1.07,1.08,0.72,1.01,1.8,0.632100991884581,0.0336437808749255
"33457","ENSG00000266907",0.51,0.9,0.08,0.53,0.94,0.41,0.65,0.34,0.48,0.14,0.45,0.26,0.15,0.14,0.16,0.33,0.23,0.27,2.27230046948357,0.0100715686754797
"33763","ENSG00000268235",0.68,1.13,0.28,0.21,1.09,1.33,1.29,1.21,0.29,0.82,2.35,0.6,2.03,0.92,1.52,1.27,1.85,2.92,0.525910364145658,0.026145269417224
"34007","ENSG00000269837",50.47,31.27,42.22,57.01,50.97,55.83,40.53,42.72,45.35,20.8,50.56,41.12,29.02,32,37.97,42.58,38.51,43.52,1.23890145203523,0.0412655127063439
"34016","ENSG00000269896",4.31,1.92,2.28,3.86,2.53,3.53,2.57,2.39,3.64,3.75,2.33,6.54,9.88,5.14,4.25,12.25,7.83,6.79,0.46000680735194,0.00951708506937363
"34323","ENSG00000270773",2.82,3.28,2.55,2.78,3.15,2.73,5.65,4.9,3.7,0.97,1.51,3.47,3.11,0.94,1.64,1.37,1.03,1.83,1.98865784499055,0.00205657962505789
"34845","ENSG00000272220",3.19,27.57,38.65,40.1,4.38,11.69,67.94,32.19,4.62,10.32,1.74,3.96,14.62,0.24,0.76,2.74,9.95,16.46,3.78894555025498,0.0335525517805671
"35101","ENSG00000273780",4.78,5.73,13.11,1.87,3.79,1.93,6.26,5.89,4.1,11.23,16.97,7.26,7.99,6.61,8.69,9.37,6.23,8.27,0.57443718228032,0.0237251863488651
"35545","ENSG00000274911",1.04,1.13,3.7,1.52,2.58,1.41,3.44,3.67,2.2,4.95,3.13,2.37,5.88,1.74,2.67,5.45,3.65,3.63,0.618165521362414,0.0319678804627387
"35601","ENSG00000275035",26.04,24.5,26.76,20.73,22.7,20.67,29.15,34.21,42.47,42.44,39.35,31.41,32.24,16.74,32.26,36.03,46.98,42.34,0.773101097595297,0.0497934122398219
"35825","ENSG00000275581",30.16,32.49,18.94,31.83,20.54,23.61,22.44,30.35,22.15,22.81,47.07,35.09,33.91,47.12,28.98,28.29,29.34,39.4,0.745200474343771,0.0195010684289228
"36024","ENSG00000276061",6.08,9.97,16.22,8.63,9.32,7.84,3.67,10.31,9.46,15.65,15.48,15.14,16.75,4.41,12.47,15.3,15.48,9.3,0.679279879979997,0.0277785379292108
"36339","ENSG00000276848",0.89,1.29,1.07,0.8,1.35,1.28,1.21,1,1.28,0.9,0.79,1.27,0.59,0.13,0.84,0.85,0.83,1,1.4125,0.0178834690514062
"36406","ENSG00000277005",18,17.64,19.92,21.59,24.78,21.37,14.8,12.89,15.69,7.66,13.8,8.99,21.07,11.62,20.47,10.73,7.88,19.89,1.36499877159938,0.0430467884644797
"36571","ENSG00000277424",15.64,20.8,19.88,11.39,19.15,16.37,22.77,15.32,14.83,28.54,25.06,23.38,22.18,30.31,17.39,26.97,20.73,19.37,0.729911653344552,0.00349385887975921
"37004","ENSG00000278530",0.64,0.71,0.9,0.41,0.41,0.56,0.67,0.56,0.61,0.51,0.41,0.51,0.51,0.47,0.46,0.3,0.49,0.33,1.37092731829574,0.0136727414109774
"37191","ENSG00000279119",18,17.64,19.92,21.59,24.78,21.37,14.8,12.89,15.69,7.66,13.8,8.99,21.07,11.62,20.47,10.73,7.88,19.89,1.36499877159938,0.0430467884644797
"37453","ENSG00000280606",108.33,125.91,125.69,127.52,113.81,167.6,127.83,105.9,127.11,99.08,111.2,103.12,94.9,88.25,102.37,94.19,107.18,76.68,1.2881854567431,0.00143285766948067
"38310","ENSG00000282619",3.95,5.59,2.78,1.13,5.75,1.55,7.62,4.8,2.78,6.28,5.2,6.84,6.46,10.44,3.15,7.29,6.6,11.67,0.56233380259659,0.0133468942524292
"38519","ENSG00000282947",224.44,189.95,233.05,343.2,213.66,309.36,276.54,256.92,293.86,154.41,201.54,198.86,269.9,174.69,263.74,188.7,220.35,197.74,1.25190782542662,0.0244166190413945
