"","GENE_ID","A_58a","A_117b","A_282a","A_285b","A_483b","A_689b","A_755a","A_L8a","A_L10a","B_99b","B_107b","B_139a","B_292b","B_317b","B_365a","B_L7a","B_L9a","B_pyauma","FoldChange","p.value"
"7934","ENSG00000140332",40.07,43.78,39.35,35.71,32.87,23.16,23.91,41.41,49.81,23.83,24.85,34.66,27.1,17.08,34.54,20.16,33.9,17.83,1.41085702073093,0.0124307196539054
"7951","ENSG00000140443",20.63,22.23,32,33.19,28.77,21.4,21.65,28.44,34.43,12.86,18.13,19.22,31.13,10,24.77,16.69,21.97,21.83,1.37451868629672,0.0186763080971747
"8003","ENSG00000140750",55.2,49.3,47.69,50.16,51.59,63.06,75.14,52.15,58.69,36.46,54.4,44.3,60.74,33.52,55.3,33.42,41.99,52.3,1.21955240889363,0.0395218865676096
"8025","ENSG00000140943",66.84,55.83,69.22,72.18,84.54,52.5,60.99,63.8,68.01,48.2,51.7,62.96,71.03,39.09,62.09,54.99,63.24,55,1.16842415896124,0.0494491187918864
"8085","ENSG00000141391",5.61,8.16,8.31,7.07,6.96,10.79,7.22,7.48,8.39,11.7,9.03,10.38,7.95,8.49,7.03,10.81,12.16,7.74,0.820612029546254,0.0447301390616026
"8138","ENSG00000141627",44.66,39.58,49.38,39.71,39.97,27.92,60.4,44.68,37.71,29.64,31.65,33.49,34.04,45.22,36.46,32.97,30.3,37.96,1.23186732107914,0.0342417968259144
"8167","ENSG00000141934",1.64,1.44,1.79,0.37,0.59,1.65,0.72,0.91,0.72,0.39,0.48,0.65,0.97,0.19,0.53,0.64,0.91,0.66,1.81365313653137,0.0294729332465248
"8206","ENSG00000142252",24.9,25.65,31.26,31.57,24.17,35.98,20.14,30.79,35.75,27.01,26.32,22.89,26.34,21.09,21.72,23.36,23.92,21.45,1.21536665109762,0.0253729455516037
"8329","ENSG00000143207",65.6,69.76,85.97,70.88,72.48,74.73,73.36,64.83,63.19,44.83,69.49,55.6,56.36,74.61,70.76,56.51,59.53,67.52,1.15415788620522,0.0284443319614101
"8386","ENSG00000143443",1.95,7.25,10.18,4.24,7.09,6.78,3.36,4.27,3.52,12.55,5.66,8.16,4.05,9.23,7.38,13.23,11.59,6.75,0.61882951653944,0.0272046444242114
"8445","ENSG00000143756",18.89,21.9,27.59,23.53,19.98,13.22,25.59,16.73,18.33,13.73,17.94,18.04,17.28,19.63,18.97,10.89,14.32,16.47,1.26135669179059,0.0308094210174731
