GH10J003737	ZIC2||NR2F1||ZNF217||ARID3A||IKZF1||MTA2||RELB
GH10J003740	CEBPB||CEBPG
GH10J003847	BCLAF1||SP1||NCOR1||ZNF600||JUND||ZNF580||ZNF592||ATF2||CEBPA||ZNF10||ATF3||ZIC2||YY1||MXD4||BCL11A||CEBPB||TRIM22||BHLHE40||FEZF1||ZNF639||ZEB1||HOMEZ||MAX||ZNF217||ARNT||EP300||NFATC3||TAF9B||THAP11||MBD2||FOXA2||CTBP1||MAFF||NBN||RXRA||SMAD4||SAP130||CUX1||RFX5||IRF4||MIER3||RARA||STAT3||ZNF316||TEAD3||EBF1||ZBTB33||TBP||THRB||ZNF843||TCF7L2||SMARCA5||USF2||FOSL2||NFE2||CREM||ZFP91||FOXP1||MAFK||PRDM6||DRAP1||BCL6||ATF1||ZBTB40||SOX5||ZNF318||ZNF2||SMARCA4||EHMT2||ZNF189||NFE2L2||SMARCE1||ETV1||INSM2||BATF||HDAC2||ELF1||NCOA1||ZFP37||HNF4A||ZSCAN23||EP400||ZNF24||HMG20A||FOXA1||SCRT1||FOXK2||MAFG||ZEB2||STAT5A||RBPJ||IKZF1||GATAD1||RB1||BMI1||NFATC1||RAD21||MIER2||HDGF||NR2F1||NFYC||CHD4||DPF2||TCF7||NR2F6||ZNF792||MTA3||RFX1||TFAP4||ZNF652||GATA4||JUNB||BACH1||STAT1||TOE1||HDAC8||ZBTB21||GLIS1||ELF3||RXRB||IKZF5||ZNF398||SP7||CEBPG||TCF12||POLR2A||L3MBTL2||PRDM4||ZFP69B||MEIS2||NFIA||ZMYM3||HDAC1||JUN||NKRF||TRIM28||ARID4B||ARID1B||PKNOX1||GMEB1||KLF10||ARID3A||KLF5||CREB1||NR2C1||HNF1A||GABPB1||SOX13||PPARG||ZNF366||NFIL3||ZBTB12||SP3||ZFP3||ZSCAN4||GATAD2B||HLF||ZXDB||TARDBP||TBL1XR1||MNT||CHD1||KDM1A||ZSCAN21||EGR2||ZNF629||MIXL1||ZNF692||GATAD2A||ZNF660||ZHX2||DACH1||REST||TAF1||NFKBIZ||ZBTB49||OSR2||LEF1||ZNF687||ZNF354B||FOS||PATZ1||IRF2||RNF2||IKZF2||RAD51||TRIM24||GFI1B||MTA2||MZF1||ZBTB17||SOX6||ZNF558||ZKSCAN8||KAT8||IRF3||ZNF512||GLIS2||ZBTB6||EED||NFRKB||ATF7||ETS1||LARP7||PRDM10||CHAMP1||RUNX3||NR4A1||KLF8||GABPA||ETV6||EGR1||ZNF740||ZNF501||RCOR2||RERE||TSHZ1||GTF2A2||MEF2D||ZGPAT||FOXA3||RBFOX2||RELB||TFE3||BRD9||ZBTB20||ZNF423||OVOL3||AFF1||SIN3A||ZBTB25||KLF17||HMBOX1||PRDM1||RCOR1||CBFA2T3||ZNF37A||ZNF335||TEAD1||HIC1||SCRT2||MTA1||ZSCAN5C||EMSY||ZNF184||WT1||ERF
GH10J003714	ELK1
GH10J003719	
GH10J003857	RARA||THRB||ZBTB33||ATF2||RXRB
GH10J003858	ZBTB33
GH10J003860	ZIC2||BHLHE40
GH10J003708	JUND||MEIS2||GATA2||HDAC1||DPF2||ARID1B||SMARCE1||CTBP1||IKZF1||EP300||PKNOX1||MTA1||SMARCA4
GH10J003704	ATF4||NR2F6||MEIS2||ATF3||IKZF1||RAD21||POLR2A||PKNOX1||MEF2D||HMBOX1||NR2F1
