GH18J031645	BCLAF1||SP1||ZNF600||JUND||ZIC2||BCL11A||CEBPB||TRIM22||FEZF1||IRF4||SMC3||EBF1||CBFB||ZNF843||FOSL2||PRDM6||BHLHE40||BATF||ELF1||ZNF24||STAT5A||IKZF1||BMI1||RB1||ZNF362||HDGF||NR2F1||TCF7||MTA3||ATF2||JUNB||BACH1||STAT1||GLIS1||SP7||ZNF18||PRDM4||TRIM28||ZBED1||ZNF384||ZNF217||PKNOX1||POLR2A||ARID3A||TARDBP||TBL1XR1||ATF3||ZNF629||ZNF692||SPI1||ZNF687||FOS||IKZF2||RAD51||CREM||MTA2||YY1||ZBTB33||EED||PRDM10||DPF2||NBN||RUNX3||ETV6||ARNT||CTCF||RELB||ZFHX2||GATAD2B||PRDM1||MLLT1||WT1
GH18J031647	
GH18J031652	BCLAF1||SMARCA4||IKZF1||NFATC1||HDGF||ATF2||MEIS2||TARDBP||PKNOX1||SPI1||ZNF687||RNF2||ZBTB33||EED||IKZF2||RUNX3||ETV6||MLLT1
GH18J031610	ZIC2||ZNF341||HOMEZ||CTCF||YY1||TEAD3||RAD21||ZNF48||ZNF3||TRIM28||NR2F6||ZNF644||POLR2A||SMC3||GATAD2A||ZNF143||XRCC5
GH18J031614	ZNF366||ZNF512||PRDM1
GH18J031563	RAD21||CTCF
GH18J031562	
GH18J031571	CEBPA||RXRA||HNF4A||ZNF133||CEBPG||SP1||ZNF644||HLF||GATAD2A||MAX
GH18J031591	CEBPA||YY1||FOXA1||HOMEZ||FOXA2||MAFF||SMAD4||RXRA||SAP130||RARA||ZNF316||TEAD3||NFE2||CREM||FOXP1||MAFK||DRAP1||BCL6||TBP||SOX5||JUND||HNF4A||HMG20A||MAFG||GATAD1||RAD21||TFAP4||GATA4||NR2F6||ELF3||IKZF5||RXRB||CEBPG||REST||MAX||SP1||ARID3A||HNF1A||PPARG||NFIL3||FOXK2||MIXL1||GATAD2A||TAF1||TCF7||ZKSCAN8||KAT8||ZNF7||ETS1||HNF4G||SOX13||RCOR2||RERE||POLR2A||ZGPAT||FOXA3||RBFOX2||CREB1||TFE3||TEAD1||EMSY
GH18J031617	POLR2A||BMI1||ARID3A||IKZF1||MTA2||IKZF2
GH18J031581	CEBPA||YY1||FOXA2||RXRA||JUND||HNF4A||FOXA1||RAD21||CEBPG||REST||MAX||SP1||ZFX||HLF||HNF4G||EP300||EGR1||ATF3||NR2F2
GH18J031582	
GH18J031583	YY1||FOXA2||RXRB||GATAD2A||RXRA
GH18J031555	BCLAF1||ZNF654||YY1||CTCF||REST||TRIM22||RAD21||SMC3||ZNF189||ZNF384||RB1||ZNF362||ZNF143||TRIM28||ARID3A||ZNF366||HLF||PKNOX1||MBD1||ARID2||MIXL1||ZNF335
GH18J031556	
GH18J031554	YY1||RXRA||HNF4A||REST||SP1
