InputTerm,Symbol,GHIDs,GHtype,NumGenesAway,OtherGeneTargets,Score,Sources,TFBSs,TSSdistance
ELF1,ELF1,GH13J040609,Promoter/Enhancer,95,ENSG00000288542||RLIMP1||FOXO1||SLC25A15||COG6||WBP4,3.370149,Ensembl||FANTOM5||ENCODE||dbSUPER,CREB1||ZNF629||ZIC2||ZNF600||POLR2A||ZBTB20||ZSCAN5C||OSR2||ZBTB48||MYNN||ATF2||ZFHX2||SPI1||PRDM4||FEZF1||PRDM6||JUN||GLIS1||EGR2||SP7||ZBTB8A||PKNOX1,448239
ELF1,ELF1,GH13J041354,Enhancer,36,RF00026-287||RNU6-57P||NAA16||piR-46271-001||MTRF1||RGCC,3.259591,FANTOM5||ENCODE,CEBPG||CEBPA||CEBPB||KLF9,-295107
FOSL2,FOSL2,GH02J028389,Promoter/Enhancer,0,ENSG00000270640||lnc-FOSL2-2||FLJ31356||ENSG00000270210||ENSG00000227938||PLB1||SNRPGP7||NRBP1||SUPT7L||PPP1CB||GPN1||ZNF512||WDR43||IFT172,618.0176,FANTOM5||Ensembl||EPDnew||ENCODE||CraniofacialAtlas||dbSUPER,CEBPG||SP1||HNRNPL||CREB1||GATAD2A||CTCF||ATF7||TEAD4||PRDM10||ZNF629||REST||TFE3||LEF1||SOX13||IKZF1||NFKBIZ||KDM1A||ZNF692||POLR2A||RCOR2||ZNF7||BACH1||TARDBP||JUND||FOXA1||LARP7||GABPA||PRDM1||ZNF143||PHF21A||ZIC2||ZSCAN4||RBFOX2||PKNOX1||RXRB||ZNF24||PATZ1||RAD21||IRF2||ZNF740||BRD4||IKZF2||TRIM22||EZH2||HDAC1||PBX2||ZNF600||GTF2F1||YY1||SOX6||ZNF341||FOXJ2||ZFX||GATAD2B||CEBPA||TCF12||FOXK2||SCRT2||KMT2B||EED||MNT||NRF1||RFX3||CEBPB||NONO||KLF9||MGA||ZBTB20||ETS1||SIN3A||ZSCAN29||SP2||GTF2E2||TCF7||ELK1||UBTF||ZNF639||NKRF||ZNF766||HMBOX1||ZNF524||RELB||SMARCC1||KLF7||SMARCC2||EGR1||ZXDB||SMARCA5||CTBP1||ZBTB10||TAF9B||ZBTB26||RNF2||ZKSCAN8||TGIF2||SMARCA4||ATF3||ZEB1||DEAF1||HDAC2||NR3C1||ZNF444||FOS||KDM4B||ASH2L||E2F5||ZSCAN5C||CHD2||FOXA2||OSR2||JUN||NR2C2||KAT7||RCOR1||ZBTB11||ZBTB48||E2F1||ZNF318||ZNF592||SMC3||E2F6||KLF4||MLLT1||EP300||MAX||ZBTB25||ZBTB17||ELK4||CHD1||MBD1||ZBTB33||ZNF217||MYC||ZNF205||TEAD1||SMARCB1||EP400||SIX5||TFDP1||NCOR1||FOSL1||NFXL1||HCFC1||PCBP1||MAZ||RFX5||ARNT||DEK||CREM||MXI1||NR2F2||ELF1||KLF13||FOXP1||TBX3||PTBP1||NFIC||NBN||ZSCAN9||WT1||HDGF||ZC3H8||ZFHX2||MBD2||KLF8||FOSL2||ZNF792||BCOR||SAP130||TBP||DPF2||JUNB||MIER3||ZNF335||ZNF610||BHLHE40||STAT1||GABPB1||ZNF395||STAT3||ZNF511||KLF6||ZGPAT||PRDM4||MXD4||ZNF384||IRF4||ZNF213||ZFP69B||TCF7L2||SAFB||DNMT3B||BATF||GATAD1||EBF1||NFIB||KLF17||ZNF654||DRAP1||ZNF768||USF2||ZNF513||ZMYM3||ZKSCAN1||ZNF18||PHF20||ATF4||HIC1||CBX1||SMAD5||ATM||SMAD4||BCL6||RB1||SUPT5H||ZNF366||ADNP||SSRP1||ZNF16||HOMEZ||TFAP4||HLTF||KDM5A||CHD4||KLF5||ZNF687||HNF4A||KLF11||ZNF843||VEZF1||ZSCAN26||NFIL3||BCL11B||IKZF5||RXRA||PRDM6||ATF2||THAP11||ZNF3||ZNF324||MAFK||RARA||TOE1||NFIA||DMAP1||GLIS1||TRIM28||ZNF398||ZNF2||ARID4B||ZNF664||ZEB2||ETV4||KLF16||TAF1||TEAD3||ZFP37||HMG20A||NR2F6||MAFF||XRCC5||MITF||SRF||SP3||ZNF48||KLF1||MIER2||SMARCE1||HNF4G||MXD3||SOX5||LCORL||HLF||ARID3A||ZNF197||ZHX2||ZNF580||ZFP36||ATF1||ZNF579||NFYC||HBP1||EGR2||L3MBTL2||RBPJ||SREBF1||ZNF362||ZNF701||GATA4||ELF3||FOXA3||MLX||ESRRA||RFXANK||GFI1B||MIXL1||ZNF652||ZNF148||PPARG||CBFA2T3||ARID1B||HMG20B||ZBTB40||MTA3||SP7||ZSCAN21||CC2D1A||ZNF644||BCL3||GLIS2||SP5||ZBTB8A||ERF||ARID2||GMEB1||RAD51||KAT8||AHR,2912
FOSL2,FOSL2,GH02J028385,Enhancer,1,lnc-FOSL2-2||LOC105374383||FLJ31356||RBKS,0.4424177,Ensembl||dbSUPER,,-6547
FOSL2,FOSL2,GH02J028386,Enhancer,1,lnc-FOSL2-2||LOC105374383||FLJ31356||PLB1||SNRPGP7||ENSG00000227938||ENSG00000230730||RBKS,0.4424177,ENCODE||dbSUPER,FOSL1||EP300||ZNF584||JUN||ZNF148||ZBTB40||MZF1||POLR2A,-5040
FOSL2,FOSL2,GH02J028384,Enhancer,1,LOC105374383||lnc-FOSL2-2||FLJ31356||RBKS,0.4424177,dbSUPER,,-7511
FOSL2,FOSL2,GH02J028376,Enhancer,1,LOC105374383||lnc-FOSL2-2||FLJ31356||ENSG00000270210||WDR43||NRBP1||GPN1||PPP1CB||RBKS||BABAM2,4.119327,Ensembl||FANTOM5||ENCODE||dbSUPER,IKZF1||ZIC2||ZSCAN4||PKNOX1||SP1||POLR2A||PBX2||MGA||ZFX||TCF7||RFX1||SMARCC2||ESR1||ZKSCAN1||CTBP1||MCM3||CEBPB||ZNF444||ZBTB11||ZNF592||KLF4||ZNF217||NFYA||NFYB||NR2F2||CUX1||MBD2||ZNF644||ELF1||HDAC8||ZNF395||SPI1||NCOA3||BCL6||BHLHE40||ZNF589||ZNF687||ZBTB40||VEZF1||MAZ||ZBTB7B||NRF1||ZNF143||NFXL1||MTA1||KLF1||RAD21||MYC||SMARCE1||MAX||L3MBTL2||NR4A1||NR3C1||HDGF||CREB1,-12707
FOSL2,FOSL2,GH02J028402,Enhancer,1,ENSG00000270640||FLJ31356||ENSG00000270210||ENSG00000227938||PLB1||SNRPGP7,0.409542,dbSUPER,ZIC2||FOXA2||ARNT||POLR2A||ZNF143,11037
FOSL2,FOSL2,GH02J028404,Enhancer,1,FLJ31356||ENSG00000270640||ENSG00000270210||PLB1||ENSG00000227938||SNRPGP7||PPP1CB,24.33401,FANTOM5||ENCODE||dbSUPER,GATAD2A||REST||RXRB||SP1||GABPA||FOXA2||CTCF||YY1||KDM1A||JUND||NR2F2||WT1||ZFHX2||BCOR||SAP130||GABPB1||NR2F1||RAD21||KLF17||USF2||FOSL2||SMAD4||NR2F6||BHLHE40||ADNP||HOMEZ||HNF4A||POLR2A||NFIL3||RXRA||JUN||RARA||MAX||ARID4B||ETV4||KLF1||HNF4G||ZMYM3||MYC||HBP1||EGR2||ELF3||FOXA3||PPARG||SMARCA5||ZNF644,16028
FOSL2,FOSL2,GH02J028375,Enhancer,2,LOC105374383||lnc-RBKS-8||FLJ31356||RBKS,0.3721704,Ensembl||dbSUPER,,-17147
