GH12J053524,
GH12J053740,ZNF629
GH12J053740,ZNF692
GH12J053740,ZIC2
GH12J053740,POLR2A
GH12J053740,EZH2
GH12J053740,ZNF600
GH12J053740,ZNF561
GH12J053740,SCRT2
GH12J053740,ZNF639
GH12J053740,TSHZ1
GH12J053740,OSR2
GH12J053740,ZNF266
GH12J053740,ZBTB17
GH12J053740,ZNF423
GH12J053740,ATF2
GH12J053740,WT1
GH12J053740,OVOL3
GH12J053740,ZNF189
GH12J053740,PRDM4
GH12J053740,ZNF213
GH12J053740,ZFP69B
GH12J053740,KLF17
GH12J053740,ZNF18
GH12J053740,HIC1
GH12J053740,ZNF843
GH12J053740,VEZF1
GH12J053740,FEZF1
GH12J053740,ZSCAN26
GH12J053740,CBLL2
GH12J053740,ZNF146
GH12J053740,PRDM6
GH12J053740,ZNF324
GH12J053740,ZNF660
GH12J053740,GLIS1
GH12J053740,ZNF24
GH12J053740,ZNF664
GH12J053740,KLF10
GH12J053740,KLF16
GH12J053740,ZBTB12
GH12J053740,INSM2
GH12J053740,ZBTB21
GH12J053740,CTBP1
GH12J053740,GATA2
GH12J053740,ZBTB6
GH12J053740,ZNF488
GH12J053740,SP7
GH12J053740,ZNF121
GH12J053740,ZBTB8A
GH12J053740,PKNOX1
GH12J053740,ZEB2
GH12J053515,
GH02J060582,CTCF
GH02J060582,HNRNPL
GH02J060582,BACH1
GH02J060582,LARP7
GH02J060582,REST
GH02J060582,RAD21
GH02J060582,IRF2
GH02J060582,TRIM22
GH02J060582,GATAD2B
GH02J060582,ARNT
GH02J060582,ARID3A
GH02J060582,TCF7L2
GH02J060582,DPF2
GH02J060582,MTA3
GH02J060582,CTBP1
GH02J060582,RNF2
GH02J060582,ESRRA
GH02J060582,ZBTB26
GH02J060582,ZNF592
GH02J060582,SMC3
GH02J060582,MBD1
GH02J060582,ZNF205
GH02J060582,TARDBP
GH02J060582,TFDP1
GH02J060582,ZFHX2
GH02J060582,IKZF1
GH02J060582,ZNF189
GH02J060582,ZNF207
GH02J060582,MIER3
GH02J060582,ZNF335
GH02J060582,GABPB1
GH02J060582,SMARCA5
GH02J060582,ZNF213
GH02J060582,SAFB
GH02J060582,SKIL
GH02J060582,EBF1
GH02J060582,ZNF654
GH02J060582,ZNF143
GH02J060582,SMAD4
GH02J060582,BCL6
GH02J060582,RB1
GH02J060582,EZH2
GH02J060582,MXI1
GH02J060582,VEZF1
GH02J060582,THAP11
GH02J060582,ZNF660
GH02J060582,GLIS1
GH02J060582,ZHX1
GH02J060582,TEAD3
GH02J060582,MTA1
GH02J060582,YY1
GH02J060582,KDM3A
GH02J060582,XRCC5
GH02J060582,ZNF48
GH02J060582,BHLHE40
GH02J060582,ZNF217
GH02J060582,ZNF24
GH02J060582,HBP1
GH02J060582,ELF3
GH02J060582,ATF7
GH02J060582,EGR1
GH02J060582,ZBTB8A
GH02J060582,ERF
GH02J060582,LEF1
GH02J060582,AHR
GH02J060735,RNF2
GH02J060735,EZH2
GH02J060735,ZBTB26
GH02J060735,ZFHX2
GH02J060735,ZNF335
GH02J060735,EGR1
GH19J013877,HNRNPL
GH19J013877,ZBTB6
GH02J027969,
GH19J006333,DPF2
GH19J006333,SMARCE1
GH19J049318,ZNF26
GH22J041281,
GH18J050272,
GH05J093683,
GH05J092824,
GH19J016806,
GH19J016863,
GH11J012985,
GH03J024681,
GH03J024829,PRDM10
GH03J024829,ZIC2
GH03J024829,ZNF600
GH03J024829,ZNF561
GH03J024829,RAD21
GH03J024829,CTCF
GH03J024829,ZNF10
GH03J024829,OSR2
GH03J024829,ZNF623
GH03J024829,ZNF777
GH03J024829,ZNF202
GH03J024829,ZNF660
GH03J024829,ZNF785
GH03J024829,REST
GH03J024829,L3MBTL2
GH03J024829,EZH2
GH03J024829,ZBTB8A
GH0XJ047803,FOXA1
GH0XJ047803,ZNF24
GH0XJ047803,ZNF148
GH0XJ047803,CEBPB
GH0XJ047803,RFX1
GH0XJ047803,BDP1
GH0XJ047803,ATF3
GH0XJ047803,FOXA2
GH0XJ047803,ZBTB17
GH0XJ047803,SALL2
GH0XJ047803,SIN3A
GH0XJ047803,TBP
GH0XJ047803,POLR3A
GH0XJ047803,ZNF335
GH0XJ047803,RFX5
GH0XJ047803,ZNF660
GH0XJ047803,ZNF664
GH0XJ047803,ZBTB33
GH0XJ047803,SREBF2
GH0XJ047803,L3MBTL2
GH0XJ047803,CREB1
GH16J003403,
GH16J003290,SOX6
GH16J003290,CBX3
GH16J003290,JUND
GH16J003290,MTA3
GH16J003290,KDM1A
GH16J003290,TRIM28
GH16J003290,ZNF274
GH16J003290,CBX1
GH16J003290,KLF5
GH16J003290,ZEB2
GH16J003290,ZBTB33
GH16J003290,TRIM24
GH16J003126,
GH16J003129,
GH19J057630,
GH19J044004,ZSCAN23
GH19J044004,ZNF785
GH19J043820,CREB1
GH19J043820,ZNF143
GH19J043820,ZNF311
GH19J043820,NRF1
GH19J043820,ZBTB11
GH19J043820,SIX5
GH19J043820,HCFC1
GH19J043820,ETS1
GH19J043820,ZBTB33
GH19J043820,GABPB1
GH19J043820,L3MBTL2
GH19J043820,ZNF169
GH19J043820,EZH2
GH06J028986,PRDM1
GH06J028986,BCOR
GH06J028986,ZBTB33
GH19J056228,
GH19J012018,JUND
GH19J012018,JUN
GH19J037184,ZNF366
GH19J037268,
GH19J037298,
GH19J037291,
GH19J037127,ZNF143
GH19J037127,ZNF248
GH19J037127,ZNF274
GH19J037127,ZNF18
GH19J037127,KLF5
GH19J037127,TRIM28
GH19J037127,ETS1
GH19J037127,ZNF280D
GH19J037127,ZNF626
GH19J037007,RFX1
GH19J037007,NRF1
GH19J037007,ZBTB2
GH19J037007,GABPA
GH19J037007,ELF1
GH19J037007,GABPB1
GH19J037007,ZNF148
GH19J037007,ZNF83
GH19J036268,
GH19J052065,SOX6
GH19J052065,ZNF274
GH03J040761,
GH01J248861,EGR2
GH08J144752,
GH19J052537,
GH19J052536,
GH19J052584,NFIC
GH19J052584,NFIB
GH19J052630,
GH19J052065,SOX6
GH19J052065,ZNF274
GH19J058257,ZNF143
GH19J058257,ZNF239
GH19J058257,CBX3
GH19J058257,ZNF524
GH19J058257,POLR2A
GH19J058257,MTA3
GH19J058257,XRCC3
GH19J058257,TRIM28
GH19J058257,ZNF274
GH19J058257,CBX5
GH19J058257,SKIL
GH19J058257,SUPT5H
GH19J058257,KLF5
GH19J058257,ZNF507
GH19J058257,ID3
GH19J058257,ZBTB33
GH19J058257,ZNF518A
GH19J058257,GTF2F1
GH19J058257,ZNF280D
GH19J058257,ZNF133
GH19J058257,TRIM24
GH19J058257,MAFK
