DRAP1 ENSG00000175550
NFE2L2 ENSG00000116044
NFIA ENSG00000162599
PHF21A ENSG00000135365
SKIL ENSG00000136603
SMARCA4 ENSG00000127616
TRIM25 ENSG00000121060
ZBTB2 ENSG00000181472
ZBTB20 ENSG00000181722
ZFP91 ENSG00000186660
ZHX1 ENSG00000165156
ZNF10 ENSG00000256223
ZNF24 ENSG00000172466
ZNF623 ENSG00000183309
ZNF623 ENSG00000276340
ZNF768 ENSG00000169957
