GH11J072398	CEBPA||CHD4||KDM6A||KMT2B||FOXA2||CTBP1||SAP130||ZNF511||HOMEZ||MIER3||THAP11||ZSCAN9||SMAD4||ETV4||FOSL2||RARA||DRAP1||TEAD3||DMAP1||BCL6||CREM||FOXP1||TCF7L2||ZNF217||PKNOX1||KDM1A||FOXA1||SOX5||GTF2F1||HHEX||HMG20A||RBPJ||DPF2||HMG20B||ZNF48||ZNF792||MIER2||ZNF3||NFYC||RXRB||ATF1||NR2F6||NCOA3||IKZF5||ELF3||CEBPG||ZNF580||NFIA||ARID4B||NFIL3||NR2F1||HNF1A||PPARG||ZNF644||SOX13||MLX||MIXL1||SP5||NCOR1||GATAD2A||RAD21||FOS||XRCC5||HNRNPL||EP300||TCF7||ZHX2||ESRRA||IRF2||ELF1||ZKSCAN8||REST||PHF8||FOXA3||RFXANK||RCOR2||RERE||ZBTB25||TFE3||SKI||ZGPAT||TEAD1||ERF
GH11J072396	
GH11J072471	CTCF||POLR2A||CEBPG||REST||DEK||CEBPB||ZNF654||TRIM22||MAX||EP300||BHLHE40||RAD21||RFX5||SIN3A||SMC3||STAT3||TBP||TCF7L2||USF2||MYC||EHMT2||FOXK2||SCRT1||SMARCA4||MAFF||ZNF143||L3MBTL2||GATA2||ATF3||XRCC5||CHD2||OSR2||YY1||RNF2||PRDM10||BMI1||ZNF121||TARDBP||ZNF444||SCRT2||ZBTB44||MGA
GH11J072314	TCF12||NR2F1||NR2F6||CBFA2T2||CBFA2T3||NR2C1
GH19J054179	RCOR1||CTCF||ZNF217||ZNF341||ELF1||SIN3A||YY1||MYNN||RAD21||KLF16||MAZ||ZNF189||BMI1||RFX1||RFX5||KLF1||SMC3||MNT||SP3||ZNF143||KDM1A||CTBP1||POLR2A||PRDM10||TRIM22||RFX3||ZBTB11||RBFOX2||ZNF444
GH19J054183	
GH19J054178	ZNF580||HCFC1||SIX5||ZNF592||MBD2||TARDBP||ZNF217||ETS1||DEAF1||SIN3A||THAP11||ZNF143||CREM||SUZ12||ELF1||POLR2A||ZBTB33||IKZF1||GABPB1||L3MBTL2||ZXDB||CHD2||ELF4||KLF8||USF1||BCLAF1
GH19J054180	POLR2A
GH19J054018	NCOR1||CTCF||DNMT3B||CEBPG||CEBPA||REST||CEBPB||ZNF654||MAX||ZEB1||EP300||ZNF623||BHLHE40||FOXA2||SAP130||RAD21||MAFF||SIN3A||GABPA||SMC3||STAT3||TBP||SKIL||ETV4||TEAD3||ATF1||ZNF205||SPI1||ZNF318||JUND||PRDM10||FOXM1||SMARCA4||ZEB2||MAFG||TCF12||EGR1||ZNF792||MIER2||HDAC2||NR2F6||ZBTB40||TFAP4||ZNF143||TEAD4||ZMYM3||ZFP36||MEIS2||CREM||DPF2||ELF3||JUNB||SP1||ARID3A||L3MBTL2||SREBF1||HDAC1||GABPB1||ZNF366||ARID1B||ARID4B||ZNF561||NFIL3||SMARCE1||CREB1||HNF1A||ATF3||KDM1A||POLR2A||ZNF660||CHD2||ZBTB8A||SP5||ZNF280D||XRCC5||MAFK||TCF7||ZNF512||RNF2||RFX1||CTBP1||TRIM24||IKZF1||MZF1||SOX6||PKNOX1||USF2||RB1||ATF7||NFE2L2||TRIM22||REPIN1||LEF1||BCOR||ZNF302||ETV6||AFF1||CBFA2T3||NR2F2||ZNF157||EMSY||ZNF444||MIER1||NR2F1
GH19J053851	SPI1||MYC||MAX||POLR2A
