GH10J005035,
GH18J031724,YY1
GH18J031724,RXRA
GH18J031724,HNF4A
GH18J031724,REST
GH18J031724,RFX1
GH18J031724,NR2F2
GH18J031724,SP1
GH18J031556,
GH04J110252,
GH11J072135,CTCF
GH11J072135,SPI1
GH11J072133,SPI1
GH11J071639,NONO
GH11J071639,CTCF
GH11J071639,REST
GH11J071639,ZNF592
GH11J071639,CUX1
GH11J071639,SMC3
GH11J071639,SMARCA5
GH11J071639,SKIL
GH11J071639,ZNF205
GH11J071639,BHLHE40
GH11J071639,SMARCE1
GH11J071639,MAZ
GH11J071639,ZNF24
GH11J071639,IKZF1
GH11J071639,NRF1
GH11J071639,RB1
GH11J071639,L3MBTL2
GH11J071639,TCF12
GH11J071639,NCOA6
GH11J071639,ZFX
GH11J071639,RAD21
GH11J071639,CTBP1
GH11J071639,TRIM22
GH11J071639,SOX6
GH11J071639,LARP7
GH11J071639,ZNF512B
GH11J071639,ZNF143
GH11J071639,MTA3
GH11J071639,ATF7
GH11J071639,ZNF121
GH11J071639,GATAD2B
GH11J071639,EZH2
GH11J071639,ZNF335
GH11J071639,ELK1
GH11J071639,ZBTB26
GH04J055313,
GH04J055157,
GH07J139523,ZNF341
GH07J139523,ZNF664
GH07J139523,SP3
GH07J139523,KDM4B
GH07J139523,EZH2
GH07J139523,ZBTB6
GH07J139523,ZKSCAN1
GH07J139523,ZNF37A
