GH12J132597	ZNF580||ZSCAN16||ZBTB10||ZNF639||ZEB1||KLF7||MCM7||ZNF148||HES1||ZNF610||SP2||NONO||ZNF585B||NKRF||TRIM25||ZNF843||SP1||ZNF146||ZNF658||E4F1||BCL11B||KLF16||ZNF571||GLI4||HLTF||ZNF624||ZBTB48||MLLT1||SMARCA4||ZNF2||EHMT2||ZBTB1||INSM2||HDAC2||ZSCAN23||YBX1||REST||SCRT1||ZC3H8||ZNF547||NRF1||ZNF48||ARHGAP35||DPF2||CBLL2||ZNF19||POLR2A||ARNT||ZBTB21||ZNF133||ZNF398||SP7||ZNF548||PRDM4||ZFP36||ZFP69B||NCOA3||CSDE1||MCM2||PHF20||GMEB1||ZBTB7A||ZNF701||ZNF792||YY2||KLF1||ZNF184||ZNF785||ZNF366||SP3||BCL6B||TRIM22||ZSCAN4||ZNF687||ZNF324||ZNF169||SUZ12||ZSCAN26||CTBP1||ZNF544||ZSCAN21||ZNF791||ZNF175||KDM1A||RBAK||ZBTB49||OSR2||ZNF143||ZNF776||GTF2F1||ZNF266||PATZ1||ZBTB17||ZNF680||HDGF||ZNF311||ZBTB33||ZNF512||ZNF114||BCL11A||ZNF280C||ZNF592||ZNF512B||ZNF24||NBN||BCOR||BMI1||ZNF777||ZKSCAN1||PRDM2||ZNF211||TSHZ1||ZNF670||CC2D1A||ZBTB20||NFXL1||ZNF423||OVOL3||KLF17||ZNF274||ZNF621||RCOR1||ZNF23||ZNF335||SMARCA5||ZNF248||HDAC1||ZNF157||ZBTB2||MIER1||ZBTB26||ZNF444
GH19J036194	
GH20J053503	IKZF1||ZBTB7B||ZNF217||FOXA2||CTBP1||NKRF||YY1||SIN3A||ZBTB40||EHMT2||HDAC2||FOXA1||POLR2A||ZC3H8||LARP7||YBX1||NFRKB||L3MBTL2||ZNF687||SUZ12||FOXK2||CREB1||RNF2||MTA1||ZNF512||ZNF24||ZNF579||GTF2F1||CHD1||RCOR1||ZNF282||MGA||ZNF444
GH20J054059	CHD2||ZBTB33||EGR1||SP1||ARHGAP35||L3MBTL2||POLR2A||ZNF184||ZNF687||RUNX3||NFXL1
GH16J071454	
GH12J132597	ZNF580||ZSCAN16||ZBTB10||ZNF639||ZEB1||KLF7||MCM7||ZNF148||HES1||ZNF610||SP2||NONO||ZNF585B||NKRF||TRIM25||ZNF843||SP1||ZNF146||ZNF658||E4F1||BCL11B||KLF16||ZNF571||GLI4||HLTF||ZNF624||ZBTB48||MLLT1||SMARCA4||ZNF2||EHMT2||ZBTB1||INSM2||HDAC2||ZSCAN23||YBX1||REST||SCRT1||ZC3H8||ZNF547||NRF1||ZNF48||ARHGAP35||DPF2||CBLL2||ZNF19||POLR2A||ARNT||ZBTB21||ZNF133||ZNF398||SP7||ZNF548||PRDM4||ZFP36||ZFP69B||NCOA3||CSDE1||MCM2||PHF20||GMEB1||ZBTB7A||ZNF701||ZNF792||YY2||KLF1||ZNF184||ZNF785||ZNF366||SP3||BCL6B||TRIM22||ZSCAN4||ZNF687||ZNF324||ZNF169||SUZ12||ZSCAN26||CTBP1||ZNF544||ZSCAN21||ZNF791||ZNF175||KDM1A||RBAK||ZBTB49||OSR2||ZNF143||ZNF776||GTF2F1||ZNF266||PATZ1||ZBTB17||ZNF680||HDGF||ZNF311||ZBTB33||ZNF512||ZNF114||BCL11A||ZNF280C||ZNF592||ZNF512B||ZNF24||NBN||BCOR||BMI1||ZNF777||ZKSCAN1||PRDM2||ZNF211||TSHZ1||ZNF670||CC2D1A||ZBTB20||NFXL1||ZNF423||OVOL3||KLF17||ZNF274||ZNF621||RCOR1||ZNF23||ZNF335||SMARCA5||ZNF248||HDAC1||ZNF157||ZBTB2||MIER1||ZBTB26||ZNF444
GH20J046002	
GH20J046012	REST||ZKSCAN1
GH19J012018	JUND||JUN
GH19J011949	SKIL||XRCC3||IRF9||ZNF318||CBX1||POLR2A||EP400||ARNT||TRIM28||KLF5||MLLT1||ZNF280D||TRIM24||SOX6||ZNF626||ZNF512||NFRKB||ZNF24||GTF2F1||CBX3||CBX5||KDM1A||ZNF274||SMARCA5
GH10J133312	GABPA||POLR2A
GH10J133311	
GH19J057371	
GH19J055634	ZMYM3||BCOR||ATF7
GH19J055597	RBFOX2
GH16J030008	EZH2||ZSCAN16||NFIC||ZIC2||ZBTB10||ZNF341||ZEB1||KLF7||SIN3A||ELF1||KLF9||ZNF610||SP2||PAX8||YY1||ZNF146||KLF16||PRDM10||ZSCAN5A||BHLHE40||ZNF2||SMARCE1||MAX||INSM2||SCRT1||CBLL2||TOE1||RFX1||ZNF837||GLIS1||ZNF398||SP7||ZNF18||EGR1||ZFP69B||POLR2A||ZNF561||ZBTB7A||ZNF701||ZNF792||KLF1||ZNF785||CTCF||ZBTB12||SP3||ZFP3||ZSCAN4||L3MBTL2||ZNF687||ZNF324||ZXDB||ZSCAN26||MNT||ZNF629||ZNF692||ZNF473||PATZ1||ZBTB17||GLIS2||TARDBP||KLF8||BACH1||TSHZ1||ZBTB11||ZFHX2||ZBTB20||KLF17||ZNF335||HIC1||SCRT2||ZNF157||ZBTB26
