GH12J019654	RAD21||PRDM6||BHLHE40||CEBPB||NR2F2
GH12J019966	JUND||CEBPB||EP300||STAT3||TBP||USF2||GATA2||POLR2A||SPI1||RFX1||MTA2
GH12J019963	CEBPB||HNF4A||GATA2||IKZF2||RUNX3
GH12J020151	GATA2||EP300
GH12J019969	YY1||BCL11A||CEBPB||DEK||MAX||SIN3A||EP300||RXRA||RAD21||RFX5||IRF4||SMC3||STAT3||TBP||ZBTB33||CBFB||TCF7L2||USF2||ZNF143||BHLHE40||BATF||ELF1||JUND||IKZF1||ZHX1||MAFF||MTA3||NFE2L2||ATF2||JUNB||HNF4A||POLR2A||SP1||GATA2||ZBED1||PKNOX1||SPI1||MAFK||IKZF2||CHD2||CREM||MTA2||EED||TCF12||DPF2||RUNX3||ETV6||ATF3||USF1||GATAD2B
GH12J019850	BHLHE40||RFX1
GH12J019706	
GH12J019978	CEBPB||ELK1||MAX||EP300||RAD21||STAT3||USF2
GH12J019622	MAFF||MAFK||SPI1
GH12J019771	BHLHE40||EP300
GH12J019855	CEBPB
GH12J019980	
GH12J019661	
GH12J019988	RXRA||USF2||HNF4A||SP1||NR2F2
GH12J019985	CEBPB||EP300||CEBPG
GH12J020175	
GH12J019862	ZNF384
GH12J019710	CEBPB||EP300||JUND||NFE2L2||FOS
GH12J020183	
GH12J019990	CEBPB||DEK||MAX||EP300||SMC3||STAT3||TBP||TCF7L2||MAFF||NFE2L2||MAFK
GH12J020184	
GH12J020187	EBF1||BATF||ATF2||JUNB||HNF4A||GATA2
GH12J019866	
GH12J019995	FOXA2||RAD21||CTCF
GH12J019777	JUND||CEBPB||MAX||EP300||RAD21||SMC3||STAT3||TBP||POLR2A||CTCF||SREBF2
GH12J019783	
GH12J020194	CTCF||RAD21||YY1
GH12J020196	SPI1
GH12J019997	BRCA1||YY1||CEBPB||EP300||RXRA||RFX5||SMC3||STAT3||TBP||JUND||ZZZ3||HNF4A||SP1||POLR2A
GH12J019138	ATF3||NFIC||YY1||RXRA||HNF4A||RAD21||PKNOX1||MAX||FOS||NFIB||HMBOX1||NR2F2||WT1
GH12J019665	ZNF547
GH12J020201	
GH12J020202	
GH12J020007	
GH12J020206	TRIM28
GH12J020013	
GH12J020210	JUND||ATF2||BRCA1||CEBPB||MAX||RAD51||EP300||POLR2A||REST||RXRA||RFX5||SMC3||YY1||STAT3||TBP||TCF7L2||USF2||SPI1||INSM2||ZFP37||TAF1||RAD21||ZNF362||MAFF||NFE2L2||TOE1||ZBTB21||BHLHE40||ZFP36||ZFP69B||SP1||GATA2||TRIM28||KLF10||CREB1||ZNF366||L3MBTL2||ZEB2||ZNF629||ZNF660||OSR2||FOS||MAFK||CHD2||EED||ATF3||BACH1||KDM1A||SIN3A||PRDM1||HIC1||ZNF184
GH12J020015	
GH12J020018	CEBPB||EP300||STAT3||TCF7L2
GH12J019882	BRCA1||CEBPB||MAX||EP300||PRDM1||RAD21||RFX5||SMC3||STAT3||TBP||TCF7L2||MAFF||NFE2L2||POLR2A||GATA2||MAFK
GH12J019791	SPI1||MTA2||RUNX3||ETV6
GH12J020024	
GH12J020027	IRF4||BATF||JUNB||BACH1||IKZF1||IKZF2||MTA2||DPF2||RELB
GH12J019885	BRCA1||YY1||CEBPB||EP300||PRDM1||MAFF||FOXA2||RXRA||RFX5||STAT3||TBP||ZBTB33||TCF7L2||JUND||MAFK||HNF4A||FOXA1||RAD21||REST||MAX||SP1||HLF||HNF4G||ATF3
GH12J020031	MTA2
GH12J020033	
GH12J019892	YY1||CEBPB||EP300||STAT3||TBP
GH12J019677	TRIM22||HDGF||PKNOX1||IKZF1||TARDBP||IKZF2||MTA2||NBN||ZBTB40||RELB||MLLT1
GH12J020040	
GH12J019893	BCLAF1||JUND||YY1||BCL11A||CEBPB||TRIM22||CTCF||MAX||EP300||FOXA2||RAD21||RFX5||IRF4||SMC3||TBP||BHLHE40||BATF||HNF4A||ZNF24||IKZF1||FOXA1||BMI1||NFATC1||NR2F1||TCF7||ATF2||JUNB||BACH1||ZNF217||PKNOX1||KLF5||ARID3A||TARDBP||TBL1XR1||IKZF2||RAD51||MTA2||POLR2A||DPF2||RUNX3||ATF3||ARNT||RELB||SP1
GH12J019799	BCL11A||TRIM22||BATF||IKZF1||NR2F1||JUNB||BACH1||TARDBP||IKZF2||MTA2||EED||DPF2||RELB
GH12J020044	
GH12J020262	MAFF||MAFK
GH12J019901	
GH12J020264	SIN3A||YY1||HNF4A||EGR1||SP1||POU5F1||NANOG||ZNF143||POLR2A
GH12J020267	JUND||YY1||RXRA||BHLHE40||SPI1||HNF4A||SP1||CHD2||HNF4G
GH12J019683	JUND||FOSL2||REST
GH12J019680	NFIC||NFIB||CTCF
GH12J020276	
GH12J019908	CEBPB||EP300||SPI1||IKZF1||IKZF2||ETV6
GH12J019903	EP300||NFE2L2||POLR2A
GH12J020280	ATF2||JUND||HNF4A||JUN||ATF7||CREB1
GH12J020283	
GH12J020282	
GH12J019736	
GH12J020284	CREB1
GH12J019915	JUND||POLR2A||YY1||TRIM22||CTCF||MAX||RXRA||RAD21||SMC3||ZBTB33||BCL6||BHLHE40||MYC||HNF4A||FOXA1||IKZF1||BMI1||NR2F1||TFAP4||BACH1||REST||TCF12||SP1||NFIA||ZNF217||PKNOX1||TARDBP||IKZF2||MTA2||HNF4G||NBN||DPF2||ATF3||ARNT||RELB||EP300||GATAD2B
GH12J020077	
GH12J019921	SPI1
GH12J019923	
GH12J019738	ZNF654||CEBPB||TRIM22||CTCF||RAD21||SMC3||ZBTB40||MAFF
GH12J019740	HNF4A
GH12J020314	
GH04J086931	
GH04J086941	MYC||JUND||ZNF592||NFIC||NONO||CEBPB||FEZF1||ZNF639||MNT||MAX||EP300||RFX5||TAL1||TBP||FOSL2||FOXP1||PRDM6||ATF1||STAT5A||SMARCA4||HNF4A||EP400||ZNF384||TCF12||TEAD4||CSDE1||BHLHE40||ZBTB40||SP7||SREBF1||MEIS2||ZMYM3||HDAC1||JUN||TRIM28||DPF2||ARID1B||JUNB||GMEB1||ZNF366||SMARCE1||HLF||ZXDB||PKNOX1||ZEB2||KDM1A||ATF3||ZSCAN21||ZNF629||DACH1||CBFA2T2||OSR2||FOS||RNF2||TRIM24||SOX6||CHAMP1||ATF7||NCOR1||TSHZ1||GATAD2B||CBX3||MEF2D||ZNF121||HMBOX1||CBFA2T3||ZNF335||HIC1||PML||MTA1||HDAC2
GH04J086945	ZNF600||ZIC2||FEZF1||ZNF2||ZNF24||ZBTB33||ZNF362||GLIS1||PRDM4||ZBTB12||L3MBTL2||MLLT1||ZEB2||ZNF629||PRDM10||ZNF501||ZNF423||WT1
GH04J086946	ZNF316||SCRT1||MAFG||ZNF664||MAFF||ZNF3||PRDM4||SP1||POU5F1||NANOG||RUNX3||HMBOX1||PRDM1||SCRT2||EMSY
GH04J086950	HNF4A||ZNF384||ATF4||NR2F6||NANOG||EP300||CBFA2T3||NR2F1
GH04J086955	FOXA2||JUND||ZNF146||SMARCE1||ATF3||FOS||PRDM1
GH04J086957	BCLAF1||IRF4||BATF||JUND||IKZF1||MTA3||ATF2||JUNB||ZNF217||SPI1||IKZF2||MTA2||EED||NBN||DPF2||RUNX3||RELB||YY1
GH04J086965	BHLHE40||FOXA2||SMARCA5||PRDM6||SPI1||ELF1||EGR1||IKZF1||IKZF2||MTA2||EED||NBN||PKNOX1||ZKSCAN1||RELB
GH04J086967	NCOR1||IKZF1||NFIC||TAL1||ZNF146||HLTF||STAT5A||SMARCA4||SPI1||FOXM1||HDAC2||TCF12||TEAD4||ZMYM3||HDAC1||ARID1B||SMARCE1||KDM1A||CBFA2T2||CTBP1||ZNF24||SOX6||CHAMP1||BCOR||GATAD2A||MTA2||CC2D1A||CBFA2T3||PML||SMARCA5||MTA1
GH04J086900	
GH04J086968	DPF2||OSR2||HMBOX1
GH04J086976	BCLAF1||ZNF600||SSRP1||CEBPA||ATF3||CHD4||YY1||FOXA1||HOMEZ||ZNF217||THAP11||FOXA2||CTBP1||SMAD4||RXRA||SAP130||PAX8||IRF4||ETV4||MIER3||RARA||TEAD3||ZBTB33||EBF1||ZNF843||SMARCA5||JUND||FOSL2||ZNF146||CREM||FOXP1||BCL6||ZNF205||KDM1A||BHLHE40||ZBTB48||TCF7L2||SOX5||ZNF2||SPI1||SMARCE1||BATF||HNF4A||TBX3||ZNF24||HMG20A||HBP1||EGR1||IKZF1||BMI1||RAD21||DPF2||ATF2||JUNB||BACH1||HDAC2||RFX1||NR2F6||ELF3||RXRB||REST||MAX||SP1||JUN||ARID4B||ARID3A||ZNF792||HNF1A||ZNF644||SOX13||PPARG||NFIL3||ZNF384||TARDBP||MBD1||MNT||ZEB2||HNRNPL||FOXK2||ZSCAN21||ZNF629||EGR2||TGIF2||MIXL1||SMARCC2||GATAD2A||OSR2||TCF7||XRCC5||FOS||PATZ1||IRF2||MZF1||MTA2||ZBTB17||KAT8||ZKSCAN8||HNF4G||ZNF579||IKZF2||CREB1||NBN||RUNX3||GABPA||ATF7||RCOR2||ZGPAT||FOXA3||RELB||RFX3||ZFHX2||GATAD2B||TEAD1||ZNF335||MLLT1||ZSCAN5C||DNMT3B||WT1||ERF
GH04J086894	EHMT2||FOS||ZNF121
GH04J086970	IKZF1||NFIC||ZNF217||CTBP1||ZNF623||ZBTB48||ZNF2||ZNF189||SMARCE1||FOXA1||DPF2||LCORL||NFIB||ZNF398||ZNF18||TRIM28||FOS||MZF1||PRDM10||PRDM1||WT1
GH04J086972	IKZF1||CEBPA||YY1||CEBPB||FEZF1||HOMEZ||FOXA2||KDM6A||CTBP1||SMAD4||RXRA||ZNF511||SAP130||TAL1||MIER3||RARA||TRIM25||DMAP1||TEAD3||KAT7||FOSL2||CREM||FOXP1||PRDM6||DRAP1||BCL6||ZNF205||IRF9||THRAP3||SOX5||JUND||ZNF217||PKNOX1||POLR2A||HDAC2||HNF4A||HMG20A||SCRT1||ZC3H8||RBPJ||ZNF48||TCF12||RAD21||MTA2||ATF4||NR2F6||GATA4||ZNF652||ELF3||RXRB||IKZF5||CEBPG||MAX||SP1||NFIA||DPF2||ARID1B||ARID4B||NR2C1||ZNF644||SOX13||PPARG||ZNF366||NFIL3||NR2F1||MLX||KDM1A||ATF3||MIXL1||GATAD2A||SP5||CBFA2T2||TCF7||XRCC5||IRF2||RNF2||TRIM24||ZKSCAN8||KAT8||ZNF512||ZNF579||CHAMP1||ZHX2||GABPA||NCOR1||RCOR2||GATAD2B||ZGPAT||FOXA3||CREB1||NR2F2||EP300||NFXL1||ZBTB25||RCOR1||PRDM1||CBFA2T3||TEAD1||SCRT2||MTA1||HDAC1||SMARCA4||ERF
GH04J086907	SPI1||EGR1||IKZF1||ZNF143||IKZF2||RELB
GH04J086958	BCLAF1||ZNF600||IKZF1||MYC||NCOR1||ZNF580||ZNF592||POLR2A||ZNF10||NFIC||YY1||NONO||BCL11A||REST||TRIM22||HES1||BHLHE40||FEZF1||MBD2||MNT||SIN3A||ARNT||TAF9B||GABPA||FOXA2||NBN||RXRA||SAP130||TAL1||RUNX1||NUFIP1||ZBTB33||CBFB||ZNF843||NFE2||SKIL||NCOA2||ZFP91||MYNN||ASH2L||PRDM6||TAF1||PRDM10||ATF1||HLTF||STAT5A||ZNF318||JUND||SMARCA4||SPI1||ZNF189||ETV1||FOXM1||MAX||RAD51||HDAC2||NCOA1||HNF4A||EP400||ZNF24||ZNF384||FOXK2||ZEB2||ZC3H8||EGR1||FOXA1||BMI1||NFATC1||TCF12||RAD21||MTA2||NR2F1||ATF4||RLF||MTA3||NR2F6||ATF2||TEAD4||JUNB||E2F7||GLIS1||SP7||ZNF18||PRDM4||SP1||MEIS2||HDAC1||TRIM28||ZBED1||DPF2||ZNF217||ARID1B||PKNOX1||CREM||NFATC3||ZNF561||TEAD2||NR2C1||CEBPB||GABPB1||CUX1||POU5F1||ZNF366||SMARCE1||PHF21A||ZXDB||TARDBP||TBL1XR1||MLLT1||KDM1A||NANOG||ATF3||ZNF629||ZNF692||GATAD2A||DACH1||CBFA2T2||OSR2||KLF16||LEF1||GTF2F1||PATZ1||RNF2||IKZF2||TRIM24||CTBP1||ZBTB17||SOX6||ZNF512||EED||NFRKB||HNF4G||CHAMP1||RUNX3||NR4A1||ETV6||TCF7||BCOR||ATF7||ZNF501||TSHZ1||GATAD2B||CBX3||EP300||MEF2D||NR2F2||RELB||CC2D1A||BRD9||AFF1||HMBOX1||PRDM1||CBFA2T3||PML||MTA1||ZBTB44||ZBTB2||MIER1||PBX2||CEBPG
GH04J086963	NCOR1||ZNF316||FOSL2||NFE2||ZFP91||JUND||CBX1||HDAC2||ZNF384||MAFG||ZEB2||TCF12||ZNF362||CHAMP1||MAFK||NR2F6||MAFF||ARNT||SP7||ZMYM3||DPF2||ARID1B||JUNB||SMARCE1||KDM1A||ATF3||NFE2L2||FOS||TRIM24||ZNF24||BCOR||CBX3||EP300||ZNF121||CBFA2T3||SMARCA5||NR2F1||HDAC1||SMARCA4||EMSY
GH04J086981	ZNF316||SPI1||TCF7||ZNF217||IKZF2||RAD51
GH04J086993	CEBPA||ATF3||CHD4||YY1||MXD4||CEBPB||THAP11||KDM6A||FOXA2||SMAD4||RXRA||SAP130||ETV4||MIER3||RARA||TEAD3||ZSCAN9||ZBTB33||JUND||CREM||FOXP1||BCL6||ZNF205||SOX5||HNF4A||HMG20A||RBPJ||GATAD1||FOXA1||RAD21||MIER2||ARHGAP35||TFAP4||NR2F6||ELF3||RXRB||REST||CEBPG||MAX||SP1||NFIA||ARID4B||KDM3A||ARID3A||ZNF644||ATM||SOX13||EGR1||PPARG||NFIL3||HLF||MLX||SMC3||TGIF2||ZNF24||MIXL1||SMARCC2||GATAD2A||TAF1||NFKBIZ||TCF7||IRF2||ZKSCAN8||KAT8||ETS1||HNF4G||ATF7||RCOR2||RERE||FOXA3||ZGPAT||GABPA||CREB1||NR2F2||TFE3||EP300||CBFA2T3||TEAD1||ERF
GH04J086991	ZBTB33
GH04J086990	ZBTB33
GH04J087024	BCLAF1||SP1||CEBPA||ZIC2||BCL11A||ZNF592||SMAD5||TRIM22||ZNF217||FOXA2||CTBP1||SMAD4||SAP130||IRF4||EBF1||CBFB||MAX||FOXP1||PRDM6||BCL6||BHLHE40||SPI1||SMARCE1||PKNOX1||POLR2A||HMG20A||FOXA1||ZNF24||HBP1||IKZF1||NFATC1||NR2F1||ATF4||DPF2||MTA3||ATF2||BACH1||NR2F6||NCOA3||PRDM4||MEIS2||ZKSCAN1||ARID4B||CREB1||HNF1A||NFIL3||ZNF384||TARDBP||MBD1||MNT||GATAD2A||ZNF687||IKZF2||RAD51||CREM||MTA2||EED||SOX13||TCF12||NBN||RUNX3||ETV6||ARNT||FOXA3||RELB||GATAD2B||MLLT1
GH04J086843	
GH04J086870	MLLT1
GH04J086997	EBF1||ZNF362||SPI1||CREM||RUNX3||MLLT1
GH04J086844	NR2F2
GH04J087025	
GH04J087001	ZNF843||OSR2||USF1||ZNF121
GH04J086999	IKZF1
GH04J087000	
GH04J086855	JUND||ZNF217||CTBP1||STAT3||CTCF||SMARCE1||FOXA1||DPF2||NANOG||RAD21||EP300||POLR2A
GH04J087010	NCOR1||IKZF1||JUND||ZNF592||BRCA1||YY1||TRIM22||BHLHE40||ZNF341||ZFP64||ARNT||NFATC3||TAF9B||THAP11||SMAD4||RXRA||ZNF511||SAP130||TAL1||NKRF||ZNF316||ZBTB33||EBF1||ZSCAN9||RBM22||USF2||FOSL2||MYNN||ZFP91||FOXP1||PRDM6||BCL6||PRDM10||TCF7L2||MLLT1||SOX5||ZNF318||SMARCA4||FOXM1||RAD51||HDAC2||HNF4A||HMG20A||ZNF384||FOXK2||ZEB2||RBPJ||TCF12||RAD21||MIER2||TCF7||NR2F6||TEAD4||TFAP4||TOE1||GLIS1||IKZF5||SP7||ZNF18||REST||MAX||SP1||MEIS2||NFIA||HDAC1||DPF2||ARID1B||ARID4B||JUNB||GMEB1||HNF1A||KLF1||CEBPB||ZNF644||GABPB1||PPARG||ZNF366||SMARCE1||NFIL3||CHD2||PKNOX1||TBL1XR1||KDM1A||ATF3||ZNF629||MIXL1||GATAD2A||SP5||CBFA2T2||FOS||RNF2||IKZF2||ZNF24||KAT8||ZKSCAN8||HNF4G||SOX13||RUNX3||NR4A1||MTA3||EGR1||TRIM28||BCOR||ATF7||LEF1||MNT||SREBF1||RERE||EP300||FOXA3||ZGPAT||USF1||NR2F2||BRD9||AFF1||HMBOX1||PRDM1||CBFA2T3||TEAD1||ZSCAN5C||EMSY||CEBPG
GH04J087017	NCOR1||NFIC||HES1||BHLHE40||ARNT||TAL1||ZFP91||MYNN||PRDM10||STAT5A||SMARCA4||FOXM1||HDAC2||ZNF384||TCF12||MTA2||ATF4||NR2F6||TEAD4||DPF2||ARID1B||CREM||GMEB1||CEBPB||SMARCE1||ATF1||ATF3||ZNF629||CBFA2T2||KLF16||ZNF24||RNF2||TRIM24||SOX6||ATF7||LEF1||ZSCAN29||GATAD2B||EP300||FOS||HMBOX1||CBFA2T3||PML
GH04J087018	ZNF600||IKZF1||ZNF592||TRIM22||HES1||ARNT||EBF1||ZFP91||MYNN||PRDM6||SPI1||ZNF24||ZNF384||ZBTB33||BMI1||HDGF||NR2F6||TCF12||DPF2||ZNF217||ARID1B||GMEB1||CEBPB||ARID3A||ATF1||ZNF629||IKZF2||TRIM24||MTA2||SOX6||NFRKB||RNF2||NBN||PKNOX1||RUNX3||BCOR||ATF7||LEF1||ZBTB40||RELB||FOS||ZNF121||HMBOX1||SMARCA5||MLLT1||SMARCA4
GH04J087016	ZNF316||CEBPB||EMSY||CEBPG
GH04J087028	NCOR1||IKZF1||MYC||CEBPA||ZIC2||ZNF341||MNT||CTCF||SIN3A||RXRA||NKRF||RBM22||TAL1||PRDM6||PRDM10||STAT5A||SMARCA4||SPI1||HDAC2||ZFP37||HNF4A||REST||EGR1||TCF12||RAD21||TEAD4||CEBPG||SP1||NFIA||HDAC1||TRIM28||DPF2||ARID1B||KLF1||ZEB2||KDM1A||EGR2||CBFA2T2||ZNF143||CHD2||MZF1||ZBTB17||ATF7||EP300||RELB||NR2F2||CEBPB||ZFHX2||NFXL1||CBFA2T3||MLLT1||ZBTB2
GH04J087047	HNF4A||RXRA
GH04J087044	NCOR1||IKZF1||BHLHE40||MNT||HDAC2||NRF1||TCF12||NR2F6||ZNF652||ARNT||L3MBTL2||MEIS2||GATA2||HDAC1||DPF2||ARID1B||SMARCE1||ATF1||KDM1A||RNF2||CTBP1||SOX6||CHAMP1||PKNOX1||BCOR||LEF1||NR2F2||EP300||CBFA2T3||NR2F1||SMARCA4
GH04J087046	RXRA||HNF4A
GH04J087118	POLR2A||ZNF217||IRF2||CTBP1||RXRA||TCF7L2||CTCF||BATF||HNF4A||FOXA1||DPF2||NCOA3||NR2F6||CREB1||ZNF687||SP5||ESRRA||RAD21||EP300||PKNOX1||NR2F2||FOS||RCOR1||SCRT2
GH04J087097	NCOR1||HDAC2||TCF12||ARID1B||ZNF121||CBFA2T3
GH04J087098	THRB
GH04J087086	CEBPA||FOXA2||MAFF||SAP130||ETV4||RARA||ZNF316||TEAD3||CREM||FOXP1||MAFK||BCL6||TCF7L2||SPI1||HNF4A||HMG20A||FOXA1||MAFG||HHEX||GATAD1||HMG20B||NR2F6||ELF3||RXRB||PPARG||MIXL1||GATAD2A||TCF7||RXRA||SOX13||RCOR2||RERE||ZGPAT||FOXA3||PAX8||EP300||TEAD1||EMSY
GH04J087068	IKZF1||ZNF600||RBM22||PRDM6||ZBTB48||ZBTB33||ZNF664||ZNF398||ZNF384||YY2||ZNF366||MZF1||ZNF239||ZNF512||ZBTB11||PRDM1||BCLAF1
GH04J087041	FOXA2||JUND||FOXA1||ATF2||ATF3||EGR1
GH04J087043	ZNF687||EP300
GH04J087045	ZBTB33||MLLT1
GH04J087042	PRDM6
GH04J087077	
GH04J087078	PRDM6||CEBPB
GH04J087111	NCOR1||IKZF1||TAL1||ATF1||NCOA1||MEIS2||DPF2||ARID1B||ATF3||SOX6||ATF2||PKNOX1||EP300||CBFA2T3||HDAC1||SMARCA4||HDAC2
GH04J087048	MYC||IKZF1||NCOR1||ZNF600||JUND||NFIC||REST||BHLHE40||FEZF1||MBD2||ZNF341||MNT||CTCF||MAX||ZNF217||ARNT||CTBP1||TAL1||EBF1||PRDM6||PRDM10||STAT5A||MLLT1||SMARCA4||ZNF2||SPI1||EHMT2||ZNF189||PKNOX1||FOXM1||BATF||HDAC2||MAFK||YBX1||ZNF384||FOXK2||ZEB2||TCF12||MTA2||ATF4||NR2F6||MTA3||POLR2A||ZNF143||TEAD4||SP7||L3MBTL2||MEIS2||HDAC1||DPF2||ARID1B||CREM||TEAD2||CEBPB||ZNF184||SMARCE1||BCL6B||RAD21||ATF1||TBL1XR1||KDM1A||ATF3||ZNF629||CBFA2T2||KLF16||LEF1||GTF2F1||FOS||RNF2||TRIM24||ZNF24||ZBTB17||HDGF||SOX6||ZNF512||ATF2||ZNF579||CHAMP1||RUNX3||RB1||ATF7||GATAD2A||GATAD2B||CBX3||EP300||MEF2D||NR2F2||CC2D1A||HMBOX1||CBFA2T3||SMARCA5||PML||MTA1||NR2F1||THRA||PHB2||PBX2||ZNF444
GH04J087035	FEZF1||MAFF||ZNF316||MAFK||PRDM6||MAFG||ZBTB33||PKNOX1||EMSY
GH04J087034	ZBTB33
GH04J087036	ZNF600
