GH17J037300	ZNF600||ZNF592||ATF2||ZNF639||ZNF316||RBM22||NFE2||PRDM6||SMARCA4||ZNF189||NFE2L2||ZFP37||MAFG||MAFK||MAFF||ZBTB21||MEIS2||ARID1B||CREM||ZNF561||ZNF184||ATF1||PKNOX1||ZSCAN21||ZNF629||ZNF660||ZBTB17||POLR2A||ATF7||BACH1||ZBTB44||EMSY
GH17J037512	ZNF600||ZNF10||YY1||RXRA||RARA||RBM22||HNF4A||ZNF652||MAX||SP1||MZF1
GH17J037286	TAL1||ETV1||EGR1||MEIS2||ARID1B||GABPB1||RBAK||DACH1||PKNOX1||ETV6||CBFA2T3
GH17J037212	CTCF
GH17J037214	RBM22
GH17J037506	ZNF600||CTCF||RXRA||RAD21||HNF4A||ZNF143||XRCC5||SP1
GH17J037511	RBM22||ZBTB33
GH17J037239	ZNF654||CEBPA||ATF3||REST||CTCF||MAFF||RAD21||SMC3||ZNF316||MAFK||JUND||FOXK2||CEBPG||CEBPB||GATAD2B||FOXA3||SCRT2||EMSY
GH17J037240	CEBPA||ATF3||CEBPB||JUND||CTCF||FOXK2||HNF4A||CEBPG||RAD21||GATAD2B||SCRT2
GH17J037261	ZNF10
GH17J037225	SIN3A||EZH2
GH17J037211	MAFG||MEIS2
GH17J037123	SPI1||GATA2||CEBPB
GH17J037231	SPI1||HNF4A
GH17J037163	
GH17J037162	
GH17J037117	ATF3||NFIC||ZIC2||YY1||FEZF1||FOXA2||RXRA||PRDM6||ZBTB48||JUND||ZNF2||INSM2||HNF4A||ZNF24||FOXA1||RAD21||ZNF664||GLIS1||PRDM4||SP1||ZNF561||ZSCAN4||ZEB2||ZNF629||OSR2||MZF1||ZBTB17||NR2F2||ZBTB44||ZSCAN5C||WT1
GH17J037198	PRDM6
GH17J037202	
GH17J037161	NFIC
GH17J037160	ZNF316
GH17J037107	YY1||RXRA||PRDM6||JUND||HNF4A||RAD21||ZNF652||GLIS1||REST||MAX||SP1||EGR1||NANOG||ZFHX2||SCRT2
GH17J037109	ZNF600||ZIC2||ZEB1||ZNF610||RBM22||PRDM6||ZNF2||ZNF189||INSM2||ZSCAN23||ZNF24||SCRT1||ZNF664||ATF4||ZNF518A||SP7||ZNF18||PRDM4||GATA2||TRIM28||BCL6B||ZEB2||OSR2||PATZ1||MZF1||EZH2||PRDM1||ZBTB44||ZSCAN5C||WT1
GH17J037855	
GH17J037707	ZNF600||SSRP1||ZMYM3||CEBPA||ATF3||CHD4||YY1||KLF11||HOMEZ||THAP11||FOXA2||KDM6A||MAFF||SMAD4||RXRA||ZNF511||SAP130||ETV4||MIER3||TAL1||RARA||ZNF316||DMAP1||GABPB1||TEAD3||ZSCAN9||ZBTB33||RBM22||FOSL2||JUND||CREM||MYNN||FOXP1||DRAP1||MBD1||BCL6||TBP||ZNF205||KDM1A||RAD21||SOX5||ZNF189||NFE2L2||HNF4A||HMG20A||HBP1||RBPJ||GATAD1||FOXA1||ZNF48||RFX5||HMG20B||BHLHE40||ZNF792||RFX1||TEAD4||TFAP4||ZNF3||ZNF518A||GATA4||HDAC2||CSDE1||NR2F6||GLIS1||ELF3||IKZF5||RXRB||REST||CEBPG||MAX||MAFK||SP1||NFIA||ATF1||ZKSCAN1||JUN||TRIM28||ARID4B||ARID3A||HNF1A||ZNF580||ZNF644||SOX13||PPARG||NFIL3||NR2F1||ZFP3||MLX||FOXK2||SMC3||ZNF629||TGIF2||MIXL1||GATAD2A||TAF1||SP5||TCF7||XRCC5||FOS||IRF2||ELF1||ZBTB26||SOX6||KAT8||ZNF7||TFDP1||ETS1||HNF4G||POLR2A||CREB1||ZHX2||GABPA||EGR1||BMI1||ATF7||ZNF501||BACH1||RCOR2||RERE||FOXA3||ZGPAT||RBFOX2||TFE3||RFX3||CBFA2T3||TEAD1||NR2F2||DNMT3B||ERF
GH17J037103	
GH17J037191	ZIC2||FEZF1||PRDM6||OSR2||GFI1B||FOS||WT1
GH17J037146	SSRP1||CEBPA||CHD4||YY1||FOXA1||THAP11||FOXA2||CTBP1||RXRA||SMAD4||SAP130||TEAD3||ZBTB33||RBM22||MAX||FOSL2||JUND||CREM||FOXP1||SOX5||NFE2L2||HNF4A||ZNF48||RAD21||ELF3||IKZF5||CEBPG||SP1||POLR2A||GATA2||ATF1||JUN||ARID4B||NR2F6||ARID3A||SOX13||NFIL3||HLF||MLX||FOXK2||GATAD2A||TCF7||FOS||CHD2||HNF4G||ATF3||RCOR2||FOXA3||CREB1||TEAD1||NR2F2
GH17J037098	ZIC2||SP2||ZBTB33||YY2||ZBTB8A
GH17J037182	RBM22||SCRT2
GH17J037088	MAFF||ZNF316||FOSL2||MAFK||PRDM10||BHLHE40||ELF1||RAD21||ZNF362||NR2F1||CTCF||RFX1||GLIS1||ZNF384||SPI1||ZNF687||FOS||MTA2||SMC3||RUNX3||SCRT2||NR2F2||WT1
GH17J037138	GATA2
GH17J037176	FEZF1
GH17J037179	JUND||FOS
GH17J037079	CEBPA||ATF3||CEBPB||MNT||RXRA||RBM22||POLR2A||TBP||SUPT5H||SCRT1||HNF4A||CEBPG||MAX||PAF1||RAD21||HLF||CTCF||ZNF558||FOXA3||SCRT2
GH17J037130	ZNF600||ZIC2||HES1||FEZF1||ZNF843||RBM22||ZNF146||PRDM6||ATF1||ETV1||ZFP37||FOXK2||NRF1||TEAD4||NR2F6||SP7||PRDM4||MEIS2||GATA2||HDAC1||TRIM28||ARID1B||CREM||ZNF366||ZBTB8A||ZEB2||ZNF629||KDM1A||DACH1||OSR2||MYNN||GFI1B||PKNOX1||NCOR1||MNT||PRDM1||CBFA2T3||ZNF335||ZBTB44
GH17J037802	RXRA||HNF4A||SP1||HNF4G
GH17J037172	
GH17J037174	ZNF654||CTCF||RAD21||SMC3
GH17J037169	FOXA1||FOXA2||RERE||FOXA3
GH09J019403	ZNF217||CTBP1||CUX1||SMARCE1||PKNOX1||FOXA1||DPF2||CTCF||HLF||KDM1A||ZNF24||FOS||ATF7||TRIM28
GH09J019411	IKZF1||EP300||CTBP1||TAL1||HDAC2||EGR1||DPF2||NR2F6||ARID1B||GMEB1||CREB1||SMARCE1||ATF3||KDM1A||CBFA2T2||FOS||RNF2||CBFA2T3||SMARCA4
GH09J019413	ZNF384||MEIS2||MGA
GH09J019397	SAP130||RARA||RFX1||TFAP4
GH09J019424	OSR2||NR2F2
GH09J019386	MAFK||NR2F2
GH09J019431	NFIC||RXRA||REST||MAX||NR2F2||SP1
GH09J019430	TEAD3||FOXA3
GH09J019441	BCLAF1||IKZF1||ARNT||RELB||MLLT1
GH09J019451	BCLAF1||ZNF592||TRIM22||IRF4||EBF1||ASH2L||BHLHE40||BATF||IKZF1||BMI1||ATF2||JUNB||BACH1||KLF5||SPI1||ZNF687||IKZF2||MTA2||EED||NBN||DPF2||RUNX3||ARNT||ZBTB40||RELB||MLLT1
GH09J019445	ATF2||POLR2A||SIN3A||TAF1||SP1||ZNF143||CHD2||KDM1A
GH09J019458	BCLAF1||YY1||KLF11||DEK||THAP11||CTCF||RAD21||ATF2||TRIM28||ARID4B||ZNF366||OSR2||IRF2||KAT8||ZNF143||ZGPAT||CC2D1A||PRDM1||MLLT1||ZNF444
GH09J019454	
GH09J019456	RUNX3
