GH17J037404,
GH10J005035,
GH14J099644,ATF2
GH14J099644,ETS1
GH14J099644,JUND
GH14J099644,ATF7
GH14J099644,EZH2
GH07J137774,JUND
GH07J137513,
GH02J162152,CTCF
GH02J162152,ZNF654
GH02J162152,TRIM22
GH02J162152,RAD21
GH02J162152,SMC3
GH02J162152,ZNF48
GH02J162152,ATF2
GH02J162152,ZNF143
GH16J067473,CEBPB
GH02J011724,GLIS1
GH02J011786,CTCF
GH02J011786,TRIM22
GH02J011786,ZNF189
GH02J011786,ZNF48
GH02J011786,RAD21
GH02J011786,XRCC5
GH02J011786,MLLT1
GH11J072135,CTCF
GH11J072135,SPI1
GH11J072133,SPI1
GH11J071639,CTCF
GH11J071639,REST
GH11J071639,ZNF592
GH11J071639,NONO
GH11J071639,CUX1
GH11J071639,SMC3
GH11J071639,SMARCA5
GH11J071639,SKIL
GH11J071639,ZNF205
GH11J071639,MAZ
GH11J071639,BHLHE40
GH11J071639,NRF1
GH11J071639,SMARCE1
GH11J071639,IKZF1
GH11J071639,RB1
GH11J071639,ZNF24
GH11J071639,TCF12
GH11J071639,L3MBTL2
GH11J071639,NCOA6
GH11J071639,ZFX
GH11J071639,RAD21
GH11J071639,LARP7
GH11J071639,CTBP1
GH11J071639,TRIM22
GH11J071639,ZNF143
GH11J071639,SOX6
GH11J071639,ZNF512B
GH11J071639,MTA3
GH11J071639,ATF7
GH11J071639,GATAD2B
GH11J071639,ZNF121
GH11J071639,EZH2
GH11J071639,ZBTB26
GH11J071639,ZNF335
GH11J071639,ELK1
GH22J039557,RAD21
GH22J038208,ZFP36
GH22J038208,ZNF548
GH22J038208,ZFP3
GH22J038208,SPI1
GH22J038208,EGR2
GH22J038208,ZFHX2
GH22J038089,ZBTB33
GH22J038089,ZMYM3
GH22J038089,ZKSCAN1
GH22J038089,ZNF143
GH22J038089,USF1
GH22J038089,KDM1A
GH22J037646,ZNF837
GH04J082844,
