GH17J037399	ZNF10||CEBPB||RFX5||JUND||FOS||SCRT2
GH10J004901	ZNF592||NFIC||YY1||REST||FOXA2||RXRA||JUND||HNF4A||CAVIN1||RAD21||ZBTB40||MAX||SP1||NR4A1||EGR1||ATF3||GATAD2A
GH10J004852	ATF3||YY1||FOXA2||RXRA||ZNF316||ZBTB33||JUND||HNF4A||FOXA1||RAD21||REST||MAX||SP1||EGR1||TAF1||FOS||HNF4G||NR2F2
GH10J004847	BCLAF1||MYC||ZNF654||NCOR1||IKZF1||SSRP1||JUND||ZNF592||CEBPA||ATF3||NFIC||YY1||CTCF||CEBPB||REST||TRIM22||MBD2||TBP||MNT||HOMEZ||ZNF217||ARNT||EP300||THAP11||FOXA2||HCFC1||NBN||RXRA||RAD21||RFX5||IRF4||SMC3||MIER3||TAL1||RARA||TRIM25||ZNF316||TEAD3||NUFIP1||SMARCA5||USF2||SIN3A||FOSL2||NFE2||RELA||SKIL||CREM||MYNN||DRAP1||MBD1||BCL6||PRDM10||ZNF205||STAT5A||MLLT1||ZBTB40||SOX5||SUPT5H||ZNF2||SMARCA4||GTF2F1||EHMT2||FOXM1||HDAC2||NCOA1||HNF4A||MAFK||EP400||HMG20A||FOXA1||MAZ||ZNF24||MAFG||ZEB2||EGR1||RBPJ||NRF1||RB1||TCF12||CHAMP1||HMG20B||MIER2||ZHX1||MTA2||ZSCAN29||ATF4||NFYC||RLF||NR2F6||RBM39||SIN3B||NFE2L2||ZNF143||POLR2A||TEAD4||MAFF||BHLHE40||IKZF5||CEBPG||L3MBTL2||SP1||MEIS2||HDAC1||JUN||TRIM28||DPF2||ARID1B||ARID4B||RUNX1||NFATC3||JUNB||KDM3A||GMEB1||ARID3A||CREB1||NR2C1||ZNF580||ZNF184||GABPB1||PPARG||SMARCE1||NFIL3||PHF21A||CHD2||ATF1||TBL1XR1||MLX||ARID2||KDM1A||MIXL1||GATAD2A||ZNF660||DACH1||ZHX2||SPI1||NFKBIZ||CBFA2T2||DDX20||KLF16||XRCC5||FOS||CDC5L||IRF2||RNF2||CTBP1||TRIM24||ZBTB17||HDGF||SOX6||ZKSCAN8||KAT8||NFRKB||HNF4G||SOX13||ZNF579||MTA3||ATF7||LEF1||CBX3||MEF2D||FOXA3||ZGPAT||CBX5||NR2F2||CC2D1A||BRD9||AFF1||TARDBP||HMBOX1||CBFA2T3||TEAD1||PML||MTA1||NR2F1||KLF6||ZBTB2||EMSY||ZNF444||ERF
GH10J004834	RFX1||USF1
GH10J004811	JUND||CTBP1||TCF7L2||USF2||FOSL2||NFE2||RAD51||MAFG||ZNF362||BHLHE40||L3MBTL2||ARID1B||CREM||SMARCE1||POLR2A||ZSCAN4||TSC22D4||ATF3||FOS||MAFK||EP300||TFE3||ZNF23||MGA||EMSY
GH10J004807	JUND||NFATC1||ATF2||JUNB||POLR2A||EP300||RUNX3||SIN3A
GH10J004803	ZNF316||ZNF146||MAFK||REST||JUND||EP300
GH10J004762	ZNF654||JUND||ATF2||REST||CEBPB||ZEB1||CTCF||EP300||ELF1||FOXA2||RAD21||SMC3||PRDM6||INSM2||HNF4A||MAFK||FOXA1||ZNF362||ZBTB21||BHLHE40||JUN||POLR2A||CHD1||ZNF629||NFE2L2||FOS||CREB1||TRIM22||ZNF184
GH20J006001	SCRT2
GH20J006003	ZNF654||ZNF600||TRIM22||CTCF||FOXA2||RAD21||CUX1||SMC3||ZBTB33||HDGF||ZNF652||ZSCAN21||PRDM1
GH20J005996	BCLAF1||TRIM22||EBF1||BHLHE40||MAX||IKZF1||ATF2||SPI1||IKZF2||MTA2||EED||NBN||RUNX3||RELB||MLLT1||POLR2A
GH20J005990	ZBTB40||HLF
GH20J006028	JUND
GH20J005972	SPI1||CEBPB
GH20J006033	NCOR1||IKZF1||ZNF592||TAL1||PRDM10||ETV1||EP400||ZEB2||TCF12||ATF4||NR2F6||TEAD4||MEIS2||HDAC1||DPF2||ARID1B||GMEB1||CEBPB||SMARCE1||TBL1XR1||KDM1A||CBFA2T2||ZNF24||SOX6||RNF2||PKNOX1||LEF1||EP300||MEF2D||HMBOX1||CBFA2T3||NR2F1||SMARCA4||HDAC2||CEBPG
GH20J005977	
GH20J005979	CHD4||RXRA||HNF4A||NR2F6||MAFK||SP1||ZNF580||ZNF384||HLF||HMBOX1||POLR2A
GH20J006057	FOXA2||PRDM10||SPI1||FOXA1||ZNF24
GH20J006074	YY1||HOMEZ||CTCF||SMAD4||RXRA||SAP130||RARA||ZNF316||THRB||RBM22||NFE2||MAFK||BCL6||PRDM10||RAD21||SOX5||JUND||NFE2L2||HNF4A||MAFG||NR2F6||MAFF||RXRB||REST||SP1||ARID4B||ZNF644||PPARG||NFIL3||NR2F1||SMC3||MIXL1||GATAD2A||XRCC5||ESRRA||EMSY
GH20J005586	ZNF592||BHLHE40||ELF1||ZNF24||IKZF1||RB1||HDGF||NR2F1||ATF2||L3MBTL2||NKRF||ZNF217||GABPB1||TARDBP||EGR2||ZNF687||IKZF2||RAD51||NBN||ARNT||ZBTB40||PAX8||RELB||ZFHX2||MAZ||MLLT1
GH20J005778	ZNF654||IKZF1||NCOR1||SSRP1||ZNF592||KLF9||CEBPA||NFIC||MXD4||NONO||CTCF||CEBPB||REST||FOXA1||KLF11||TRIM22||BHLHE40||HOMEZ||MNT||ARNT||KMT2B||TAF9B||THAP11||FOXA2||KDM6A||MAFF||NBN||RXRA||SMAD4||ZNF511||SAP130||RAD21||SMC3||ETV4||MIER3||TAL1||RARA||DMAP1||GABPB1||ZNF316||TEAD3||ZSCAN9||THRB||KAT7||SMARCA5||USF2||FOSL2||NFE2||JUND||CREM||MYNN||FOXP1||PRDM6||DRAP1||MBD1||BCL6||ATF1||ZNF205||KDM1A||STAT5A||MYRF||SOX5||ZNF318||SMARCA4||SPI1||MYC||FOXM1||MAX||BATF||HDAC2||TBX3||EP400||HMG20A||MXD3||ZNF384||FOXK2||MAFG||ZEB2||HBP1||ZBTB33||RBPJ||HHEX||GATAD1||ZNF48||TCF12||MIER2||HMG20B||MTA2||ZNF664||NFYC||ZNF514||MAFK||NR2F6||ZNF792||SIN3B||TEAD4||TFAP4||ZNF3||GATA4||ZNF652||STAT1||HNF4A||GLIS1||ELF3||IKZF5||RXRB||CEBPG||L3MBTL2||MEIS2||NFIA||HDAC1||ZKSCAN1||JUN||DPF2||ARID1B||ARID4B||PKNOX1||ARID3A||HNF1A||ZNF580||ZNF644||SOX13||PPARG||SMARCE1||NFIL3||NR2F1||HLF||TBL1XR1||MLX||ARID2||ATF3||TGIF2||MIXL1||SMARCC2||GATAD2A||DACH1||SP5||NFKBIZ||CBFA2T2||ZNF143||KLF16||TCF7||XRCC5||FOS||IRF2||ELF1||RNF2||CHD2||TRIM24||CTBP1||ZBTB26||YY1||SOX6||ZKSCAN8||KAT8||ZNF7||ATF2||TFDP1||ETS1||ZNF579||CREB1||CHAMP1||RUNX3||ZHX2||NR4A1||GABPA||RB1||ZNF740||BCOR||ATF7||LEF1||RCOR2||RERE||GATAD2B||CBX3||EP300||FOXA3||ZGPAT||RFXANK||TFE3||RFX3||CC2D1A||AFF1||ZBTB25||HMBOX1||CBFA2T3||TEAD1||PML||KLF6||MGA||DNMT3B||EMSY||PHB2||ERF
GH20J005538	POLR2A||SOX6||PKNOX1
GH07J092137	ZIC2||PRDM6||GLIS1||GATA2||EGR2||DACH1||PRDM10||ZFHX2||HMBOX1||WT1
GH07J092158	CEBPB||MAFK||JUND||JUNB||POLR2A||SPI1||EP300||FOS
GH07J092155	PKNOX1
GH07J092100	
GH07J092177	JUND||PRDM6||SP7||MEIS2||PKNOX1||ATF3||DACH1||PRDM1
GH07J092075	JUND||ZNF217||CTBP1||IRF4||SMARCE1||BATF||DPF2||RAD51||JUNB||ZNF24||CREB1||FOS||RAD21||ATF7||ARID3A
GH07J092041	CEBPA||ATF3||YY1||FOXA1||HOMEZ||KMT2B||THAP11||FOXA2||KDM6A||SMAD4||RXRA||SAP130||MIER3||RARA||TEAD3||ZBTB33||JUND||CREM||FOXP1||PRDM6||BCL6||SOX5||HNF4A||HMG20A||NRF1||HHEX||RAD21||ZNF792||LCORL||TFAP4||ZNF652||ELF3||IKZF5||RXRB||REST||CEBPG||MAX||SP1||MEIS2||ARID4B||NR2F6||ARID3A||HNF1A||ZNF644||PPARG||NFIL3||HLF||MLX||FOXK2||MIXL1||SMARCC2||GATAD2A||TAF1||SP5||NFKBIZ||IRF2||KAT8||ZKSCAN8||ETS1||HNF4G||SOX13||RCOR2||POLR2A||MEF2D||ZGPAT||FOXA3||GABPA||CREB1||EP300||TEAD1||ERF
GH07J092049	IKZF1||CTCF||TEAD3||RAD21||SMC3||GABPA
GH07J092070	NR2F6||MEIS2||DACH1||PKNOX1||CBFA2T3||NR2F1
GH07J092052	
GH07J092060	
GH07J091949	JUND||IRF4||ZNF316||EBF1||NFE2||PRDM6||EHMT2||BATF||SCRT1||JUNB||ZFP69B||ATF3||ZNF692||TCF12||CBFA2T3||SCRT2||ZSCAN5C
GH07J091945	CEBPA||CEBPB||ZNF217||THAP11||FOXA2||SMAD4||SAP130||MIER3||RARA||ZNF316||TEAD3||ZSCAN9||THRB||FOXP1||BCL6||SOX5||CTCF||SMARCE1||HMG20A||FOXA1||RBPJ||GATAD1||DPF2||ELF3||RXRB||CEBPG||ZMYM3||NR2F6||ARID3A||NFIL3||HLF||MNT||MIXL1||GATAD2A||KDM1A||IRF2||KAT8||ZKSCAN8||ATF7||SOX13||BCOR||RCOR2||ZGPAT||FOXA3||TFE3||ZNF121||TEAD1
GH07J091946	BHLHE40||IRF2||SPI1||IKZF1||MEIS2||PKNOX1||IKZF2||EED||RELB
GH07J091972	
GH07J092024	JUND||EP300||FOS
GH07J092018	ZSCAN4
GH07J091968	
GH07J092259	JUND||SPI1||ATF3||FOS
GH07J091995	FOXA2||BATF||NFATC1||ATF2||JUNB||SPI1||EED||TCF12||RUNX3
GH07J091953	CEBPA||CEBPB
GH07J091952	
GH07J091894	NCOR1||IKZF1||NFIC||ARNT||NKRF||TAL1||ZNF316||NFE2||SMARCA4||FOXM1||EP400||FOXK2||MAFG||TCF12||MTA2||TEAD4||MAFF||ZBTB40||MEIS2||HDAC1||DPF2||ARID1B||TEAD2||SMARCE1||KDM1A||DACH1||CBFA2T2||DDX20||RNF2||SOX6||ZNF24||LEF1||MNT||GATAD2B||EP300||MEF2D||CBFA2T3||EMSY
GH07J091897	JUND||CTBP1||DPF2||MEIS2||ZNF24||PKNOX1||HMBOX1
GH07J091851	REST||BHLHE40||CTCF||SKIL||TAL1||ATF1||RAD21||EHMT2||HDAC2||NR2F1||NR2F6||DPF2||ARID1B||NR2C1||KDM1A||SOX6||ZNF143||MTA3||FOXK2||TRIM28||CBX3||EP300||CC2D1A||CBFA2T3||SMARCA5||SMARCA4||MIER1
GH07J091963	ZBTB33
GH07J091892	NCOR1||IKZF1||JUND||ZNF592||ZIC2||BHLHE40||TAL1||NFE2||IRF9||SMARCA4||EHMT2||HDAC2||FOXK2||TCF12||CHAMP1||TEAD4||GLIS1||SP7||ARID1B||GMEB1||YY2||PTTG1||KDM1A||ATF3||EGR2||FOS||ZNF24||MZF1||SOX6||ZNF512||NR4A1||MEF2D||PRDM1||CBFA2T3||MTA1
GH07J092379	SPI1
GH07J091847	SPI1||SCRT1||EZH2||SCRT2
GH07J091835	
GH07J091694	
GH07J091683	NCOR1||NFIC||MBD2||ATF1||SPI1||FOXK2||TCF12||NR2F6||TEAD4||ZNF398||ARID1B||SMARCE1||TBL1XR1||CBFA2T2||TRIM24||SOX6||RNF2||EP300||MEF2D||HMBOX1||CBFA2T3
GH07J091759	CEBPA||HOMEZ||ZNF217||THAP11||ELF1||FOXA2||CTBP1||SAP130||RARA||TEAD3||NFE2||FOXP1||PKNOX1||FOXA1||FOXK2||DPF2||NCOA3||ELF3||RXRB||NR2F6||KDM3A||CREB1||ZNF644||MNT||GATAD2A||ZNF24||IRF2||RAD21||EP300||KAT8||SOX13||FOXA3||ERF
GH07J092402	REST||ZNF316||MYC||MAX||POLR2A||MAFK||MAFG||RAD21||HLF||CTCF||EMSY
GH07J091861	
GH07J092807	BCLAF1||SP1||ZNF600||IKZF1||NCOR1||MYC||JUND||ZNF592||POLR2A||CEBPA||ATF3||NFIC||YY1||MXD4||BCL11A||CEBPB||DEK||TRIM22||MBD2||HOMEZ||MAX||ARNT||KMT2B||IRF2||EP300||TAF9B||THAP11||ELF1||REST||MAFF||NBN||SMAD4||RXRA||SAP130||RAD21||IRF4||SMC3||RFX5||ETV4||TAL1||MIER3||RARA||STAT3||DMAP1||GABPB1||ZNF316||TEAD3||NUFIP1||ZSCAN9||ZBTB33||FOSL2||NFE2||RELA||SKIL||CREM||MAFK||BCL6||PRDM10||ATF1||KDM1A||IRF9||BHLHE40||SOX5||ZNF318||SMARCA4||SPI1||EHMT2||ZNF189||NFE2L2||ETV1||FOXM1||BATF||HDAC2||NCOA1||HNF4A||EP400||HMG20A||ZNF24||MAFG||ZEB2||STAT5A||RBPJ||GATAD1||NFATC1||CHAMP1||MIER2||HDGF||NR2F1||ATF4||TCF7||NR2F6||MTA3||TEAD4||ATF2||ZNF652||JUNB||BACH1||ELF3||IKZF5||RXRB||SP7||KLF1||TCF12||CEBPG||L3MBTL2||NFIA||HDAC1||JUN||TRIM28||PYGO2||ZBED1||DPF2||ARID1B||ARID4B||GMEB1||KLF5||CREB1||NR2C1||ZNF644||SOX13||ARID3A||PPARG||SMARCE1||NFIL3||ZBTB8A||HLF||ZXDB||TARDBP||TBL1XR1||PTTG1||MIXL1||GATAD2A||DACH1||NFKBIZ||DDX20||GTF2F1||ZNF687||FOS||CDC5L||RNF2||IKZF2||TRIM24||CTBP1||MTA2||ZBTB17||SOX6||KAT8||EED||NFRKB||ETS1||MNT||PKNOX1||RUNX3||NR4A1||GABPA||FOXK2||EGR1||ETV6||ZNF740||ATF7||LEF1||ELF4||RCOR2||ZSCAN29||GATAD2B||GTF2A2||CBX3||MEF2D||FOXA3||ZGPAT||CBX5||NR2F2||RELB||CC2D1A||BRD9||AFF1||ZNF184||SIN3A||ZBTB25||PRDM1||CBFA2T3||TEAD1||SMARCA5||MTA1||MLLT1||ZBTB2||MGA||EMSY||ERF
GH07J092812	BCLAF1||SP1||BCL11A||TRIM22||MAFF||CUX1||IRF4||ZNF316||CBFB||RBM22||MAFK||BATF||ELF1||ZNF24||MAFG||STAT5A||IKZF1||BMI1||RB1||NFATC1||NR2F1||TCF7||MTA3||ATF2||JUNB||BACH1||TCF12||ZBED1||ZNF217||POLR2A||ARID3A||TBL1XR1||SPI1||IKZF2||CREM||MTA2||EED||NBN||DPF2||RUNX3||ETV6||ARNT||RELB||GATAD2B||SCRT2||MLLT1||EMSY
GH17J036550	BCL11A||TRIM22||IRF4||PRDM6||BHLHE40||SPI1||BATF||ELF1||NR2F1||CHD4||TCF7||ZBTB40||ZNF217||PKNOX1||ARID3A||MTA2||IKZF2||NBN||DPF2||RUNX3||ARNT||ZSCAN29||RELB||MLLT1
GH04J110201	CEBPA||NFIC||SMAD4||SAP130||RARA||KAT7||BCL6||HMG20A||NR2F6||IKZF5||RXRB||CEBPG||NFIA||ZNF644||NR2F1||GATAD2A||SOX13||FOXA3||TFE3
GH04J110200	NCOR1||ZNF592||ZMYM3||NFATC3||FOXA2||SMAD4||SAP130||TAL1||RARA||NFE2||NCOA2||ZFP91||KDM1A||THRAP3||EHMT2||FOXM1||HDAC2||ZC3H8||TCF12||CHAMP1||MEIS2||DPF2||ARID1B||NR2F6||GMEB1||SMARCE1||ATF3||GATAD2A||ZNF24||TRIM24||SOX6||SOX13||PKNOX1||BCOR||MNT||RCOR2||GATAD2B||FOXA3||CC2D1A||CBFA2T3||SMARCA5||HDAC1||SMARCA4||EMSY
GH04J110190	CEBPA||CEBPB||CEBPG
GH04J110208	
GH04J110183	POLR2A||NFIC||FOXM1||JUND||IKZF1||BMI1||MTA2||ZBTB40||MEIS2||GATA2||HDAC1||ARID1B||SMARCE1||SPI1||RNF2||IKZF2||GFI1B||SOX6||PRDM10||PKNOX1||NCOR1||EP300||CBFA2T3||ZBTB44||SMARCA4
GH04J110188	BHLHE40||ZKSCAN1||ARID3A||EGR2
GH04J110211	ZNF654||ZNF223||TRIM22||CTCF||ZNF623||RXRA||RAD21||SMC3||ZNF433||EBF1||SMARCA5||HNF4A||EP400||REST||FOXK2||ZNF547||ZNF664||ZNF19||ZNF143||ZNF518A||ZC3H11A||NCOA6||ZNF140||ZNF202||ZBTB8A||ZNF560||HLF||ZNF404||ZNF680||ZNF501||ZNF138||ZBTB11
GH04J110216	
GH04J110218	ZNF707||TRIM28
GH04J110222	
GH04J110162	MYC||IKZF1||ZNF10||CEBPB||HES1||ZNF341||MNT||CTCF||MAX||EP300||TAL1||STAT3||NFE2||JUND||ZNF189||SMARCE1||MAFG||ZBTB33||ZNF664||NFE2L2||TEAD4||POLR2A||MEIS2||GATA2||HDAC1||DPF2||ARID1B||ZXDB||ZEB2||OSR2||RNF2||MAFK||CHD2||CTBP1||MTA2||SOX6||ZBTB6||PKNOX1||FOS||PRDM1||CBFA2T3||SMARCA4
GH04J110157	JUND||GLI4||SP7||FOS||CBFA2T3
GH04J110155	ZIC2||MEIS2||EGR2||ZFHX2||ZNF121
GH04J110234	
GH04J110158	CEBPB||NFE2||PRDM6||INSM2||HDAC2||ZNF24||MAFG||JUND||ZNF664||GLIS1||SP7||ZXDB||ZEB2||KDM1A||OSR2||FOS||GFI1B||ZBTB17||BCL11A||TSHZ1||HIC1||HDAC1||WT1
GH04J110171	ZNF217||FOXA1||GLIS1||SP7||CEBPB||EP300
GH04J110224	ZNF316||NFE2||RAD51||MAFG||NR2F6||MAFF||L3MBTL2||HDAC1||DPF2||ARID1B||SMARCE1||NFE2L2||ZNF24||SOX6||CHAMP1||NCOR1||LEF1||GATAD2B||HMBOX1||CBFA2T3||NR2F1||SMARCA4||EMSY
GH04J110273	
GH04J110272	
GH04J110270	JUND||PRDM10||FOS||CEBPB
GH04J110128	GATA2||PRDM1
GH04J110245	MEIS2||DPF2||CREM||PKNOX1||ZNF24||ATF2
GH04J110246	IKZF1||NCOR1||ZNF592||CEBPA||NFIC||YY1||NONO||REST||HES1||BHLHE40||MBD2||MNT||ARNT||NFATC3||TAF9B||NBN||RXRA||TARDBP||TAL1||ZNF316||ZBTB5||JUND||NFE2||RELA||NCOA2||ZFP91||MYNN||PRDM10||HLTF||STAT5A||IRF9||ZNF318||MLLT1||MCM7||SMARCA4||EHMT2||FOXM1||RAD51||HDAC2||NCOA1||HNF4A||EP400||ZNF384||FOXK2||ZEB2||ZC3H8||EGR1||DIDO1||NRF1||FOXA1||CAVIN1||TCF12||RAD21||CHAMP1||MTA2||TAF7||RLF||NR2F6||RFX1||POLR2A||TEAD4||E2F7||L3MBTL2||MAX||SP1||MEIS2||HDAC1||PYGO2||DPF2||ARID1B||CREM||GMEB1||TEAD2||NR2C1||CEBPB||ZNF184||SMARCE1||ZNF507||HLF||ATF1||TBL1XR1||PTTG1||KDM1A||ATF3||DACH1||KHSRP||CBFA2T2||DDX20||KLF16||GTF2F1||ZNF24||ZNF354B||RNF2||TRIM24||CTBP1||SOX6||NFRKB||HNF4G||PKNOX1||NR4A1||MTA3||ZNF740||TRIM28||BCOR||ATF7||ZBED1||LEF1||GATAD2A||ZSCAN29||GATAD2B||GTF2A2||CBX3||EP300||MEF2D||CC2D1A||BRD9||AFF1||HMBOX1||CBFA2T3||PML||MTA1||NR2F1||EMSY||PHB2
GH04J110140	
GH04J110106	CEBPA||ATF3||YY1||CEBPB||FOXA1||EP300||FOXA2||MAFF||RXRA||IRF4||ZNF316||FOSL2||JUND||NFE2||MAFK||PRDM6||NFE2L2||BATF||HNF4A||MAFG||IKZF1||RAD21||ATF4||JUNB||BACH1||BHLHE40||CEBPG||REST||MAX||SP1||ZKSCAN1||JUN||ZNF217||ARID3A||NFIL3||HLF||SPI1||FOS||IKZF2||CREM||MTA2||DPF2||RUNX3||FOXK2||FOXA3||PRDM1||SMARCA4||EMSY
GH04J110289	
GH04J110287	BCLAF1||ZNF600||JUND||BCL11A||TRIM22||IRF4||ZNF316||EBF1||NFE2||BATF||ZNF24||IKZF1||NR2F1||TCF7||MTA3||ATF2||JUNB||BACH1||HNF4A||ZNF217||ZNF792||TARDBP||TBL1XR1||ATF3||ZNF629||ZNF660||SPI1||FOS||IKZF2||CREM||MTA2||EED||NBN||DPF2||RUNX3||ETV6||ARNT||RELB||ZFHX2||GATAD2B
GH04J110109	
GH04J110137	ZBTB40||SPI1||HMBOX1
GH04J110130	CEBPA||FOXA2||MAFF||RXRA||SMAD4||MIER3||RARA||ZNF316||TEAD3||FOXP1||MAFK||SOX5||JUND||HDAC2||HNF4A||TBX3||HMG20A||MAFG||HHEX||HMG20B||GATA4||NR2F6||RXRB||PPARG||HLF||GATAD2A||TCF7||SOX13||PRDM10||ATF3||RERE||FOXA3||SP1||CBFA2T3||TEAD1||EMSY
GH04J110118	IRF2||ELF1||CTBP1||ZNF217||RFX5||SMARCE1||DPF2||CREB1||RAD51||FOS||CEBPB||PRDM1
GH04J110116	
GH04J110084	JUND||NFIC||NFATC3||RXRA||ZNF316||CBFB||MYNN||PRDM6||IRF9||ETV1||HNF4A||EP400||ZEB2||NFATC1||ATF4||TEAD4||SP7||REST||ZNF18||L3MBTL2||PRDM4||MAFK||SP1||MEIS2||NFIA||HDAC1||DPF2||ARID1B||NR2C1||CEBPB||GABPB1||IKZF1||PPARG||SMARCE1||POLR2A||ATF3||OSR2||ZNF24||CTBP1||TRIM24||CREM||SOX6||ATF2||EP300||RUNX3||GABPA||ATF7||GTF2A2||RELB||FOS||HMBOX1||CBFA2T3||SMARCA4||EMSY||CEBPG
GH04J110310	SPI1||FOXM1||HDAC1||ATF1||CC2D1A
GH04J110103	
GH04J110102	
GH04J110009	NFIC||FEZF1||HNF4A||TRIM28||NFIB
GH04J110013	
GH04J110074	ZNF316||NFE2||MAFG||CEBPB||EMSY
GH04J110361	RUNX3
GH04J110046	SCRT2
GH04J110064	YY1||FOXA2||SMAD4||RXRA||RARA||ZBTB33||CREM||FOXP1||SOX5||JUND||HNF4A||RXRB||CEBPG||SP1||CEBPB||NFIL3||HLF||GATAD2A||HNF4G||SOX13||ATF3||RCOR2||FOXA3||TEAD1
GH04J110054	BCLAF1||YY1||BCL11A||HOMEZ||FOXA2||RXRA||ZBTB33||EBF1||JUND||NFE2||BATF||HNF4A||IKZF1||RAD21||ATF2||BACH1||REST||TCF12||MAX||SP1||IKZF2||EED||HNF4G||DPF2||RUNX3||EGR1||ATF3||GABPA||RELB||GATAD2B||MAZ
GH04J110020	TEAD3||TEAD1
GH04J110006	REST||CTCF||RB1||RAD21||IKZF1||ARID2||MIXL1||RXRA||IKZF2||RUNX3||TRIM22||SMARCA5||RELB||CC2D1A||SCRT2
GH04J110007	RXRA||HNF4A||RAD21||NR2F6
GH04J110005	ZNF654||REST||TRIM22||CTCF||RAD21||SMC3||HNF4A||RB1||ZNF143||MEIS2||IKZF1||PKNOX1||ARID2||MIXL1||RXRA||IKZF2||RUNX3||SMARCA5||RELB||CC2D1A||SCRT2
GH04J110364	RAD21||SP1||RXRA||NR2F2
GH04J110029	
GH04J110096	
GH04J110043	ZIC2||BHLHE40||FOXA2||MAFF||ZNF511||SAP130||ZNF316||TEAD3||FOXP1||MAFK||BCL6||HNF4A||HMG20A||MAFG||ZNF652||ELF3||ARID3A||GATAD2A||IRF2||ELF1||KAT8||SOX13||GABPA||ZGPAT||TEAD1||EMSY
GH04J110073	
GH04J110071	ZNF398
GH04J110058	ZNF623||ZNF316||CBFB||SMARCA5||BATF||ELF1||ZNF24||IKZF1||NR2F1||MTA3||ATF2||JUNB||MAFK||ZMYM3||ARID3A||BCL6B||SPI1||IKZF2||CREM||MTA2||EED||DPF2||RUNX3||ETV6||RELB||PRDM1
GH04J110062	
GH04J110346	
GH04J110347	YY1||ZBTB33||RAD21||SP1
GH04J109996	SPI1||IKZF1
GH04J109993	IKZF1||ATF2||JUNB||MEIS2||ZBED1||PKNOX1||ARID3A||IKZF2||DPF2||MNT||HMBOX1
GH04J109999	ZNF654||REST||TRIM22||CTCF||FOXA2||RAD21||SMC3||HNF4A||PRDM4||MIXL1||RXRA||FOXK2||FOXA3||PRDM1||TEAD1
GH04J110000	
GH04J109988	BCLAF1||ZNF207||BCL11A||CEBPB||TRIM22||MAX||ZNF217||EP300||RFX5||IRF4||CBFB||JUND||BHLHE40||SPI1||PKNOX1||BATF||ELF1||STAT5A||IKZF1||BMI1||NFATC1||HDGF||NR2F1||TCF7||MTA3||ATF2||JUNB||TCF12||TRIM28||NKRF||ZBED1||CREM||KLF5||CREB1||ARID3A||TARDBP||ATF1||MNT||TBL1XR1||ZNF629||FOS||IKZF2||RAD51||CTBP1||MTA2||YY1||EED||YBX1||ZNF143||NBN||DPF2||RUNX3||ETV6||ARNT||ZSCAN29||RELB||GATAD2B||PRDM1||ZNF335||MAZ||MLLT1
GH04J109952	FEZF1||PRDM6||GLIS1||CTCF||ZBTB44
GH04J109983	
GH04J109946	RXRA||HNF4A||SP1
GH04J109947	FOS
GH04J109944	CEBPA||CEBPB||FOSL2||JUND||EHMT2||HMG20A||NRF1||CEBPG||JUN||DPF2||NR2F6||NR2C1||ZNF644||ZNF384||HLF||ATF3||GATAD2A||FOS||SOX13||CREB1||NR2F1
GH04J109929	CTCF||PKNOX1
GH04J109974	FOXA1||HOMEZ||FOXA2||SAP130||FOXP1||YBX1||ZNF205||SOX5||ZNF652||EGR1||ARID3A||FOXK2||GATAD2A||SP5||KAT8||ZNF512||SOX13||FOXA3||PRDM1
GH04J109968	CTBP1
GH04J109967	ZNF217||CTBP1||JUND||SMARCE1||DPF2||CREB1||FOS
GH04J109920	SIN3A||RFX1||PKNOX1||BMI1
GH19J012889	ZC3H8||MZF1
GH19J012899	BCLAF1||SP1||BCL11A||TRIM22||EBF1||CBFB||BHLHE40||IKZF1||NR2F1||MTA3||TCF12||NKRF||PKNOX1||POLR2A||KLF5||TARDBP||TBL1XR1||CREM||MTA2||EED||LARP7||IKZF2||ZNF143||NBN||DPF2||RUNX3||ARNT||RELB||GATAD2B||MAZ||MLLT1
GH19J012907	
GH19J012911	ZNF600||ZNF580||POLR2A||ZNF10||NFIC||ZIC2||MXD4||FEZF1||ZNF341||ZEB1||HOMEZ||FOXA2||ZNF610||SMAD4||SP2||SAP130||ETV4||RARA||GABPB1||TEAD3||ZNF843||ZNF146||FOXP1||PRDM6||DRAP1||MBD1||BCL6||ZSCAN5A||ZBTB48||SOX5||ZNF2||SPI1||MYC||MAX||ZSCAN23||MXD3||HBP1||ZNF48||NFYC||TFAP4||GLIS1||ELF3||ZNF133||RXRB||ZNF398||SP7||ZNF18||ZFP69B||NFIA||ARID4B||NR2F6||ZNF561||ZBTB7A||YY2||ZNF366||ZBTB8A||ZXDB||PKNOX1||ZEB2||MLX||FOXK2||ZNF629||EGR2||ZNF692||GATAD2A||ZNF660||ZFX||OSR2||IRF2||PATZ1||MZF1||ZBTB17||ZNF558||KAT8||GLIS2||ZBTB6||PRDM10||RUNX3||KLF8||GABPA||FOXA3||CREB1||TFE3||ZFHX2||ZBTB20||ZNF423||PBX2||ZNF274||ZNF335||ZBTB44||WT1
