ACACA	GH17J037404
AKR1C2	GH10J005035
CYP46A1	GH14J099644
DGKI	GH07J137774
DGKI	GH07J137513
FAP	GH02J162152
HSD11B2	GH16J067473
LPIN1	GH02J011724
LPIN1	GH02J011786
LRTOMT	GH11J072135
LRTOMT	GH11J072133
LRTOMT	GH11J071639
MGAT3	GH22J039557
PLA2G6	GH22J038208
PLA2G6	GH22J038089
PLA2G6	GH22J037646
SCD5	GH04J082844
