"","Gene","C1","C2","C4","C6","P1","P2","P3","P4","log2_fold_change","p_value","q_value","significant"
"5839","B3GALTL",40.1629,43.6257,54.0876,28.9101,19.0706,25.2963,5.81565,7.4063,-1.53414,5e-05,0.00164804,"yes"
"5857","FREM2",0.791275,1.5932,1.84685,1.76855,0.872125,0.767044,0.0730826,0.199425,-1.65009,4e-04,0.00896533,"yes"
"5865","RGCC",1.90559,1.20213,3.81885,4.5145,1.27917,0.939671,3.99726,62.6882,2.59037,2e-04,0.00519897,"yes"
"5938","CLN5",27.7155,36.6972,28.7102,29.8361,19.8328,17.7826,8.94557,12.5773,-1.05601,0.00015,0.0041716,"yes"
"5952","GPC5",1.4799,1.36519,0.69537,2.4655,0.827018,0.328321,0.175854,0.350211,-1.83673,0.00435,0.0476892,"yes"
"5959","RAP2A",76.3732,130.084,117.158,114.335,71.8581,49.6051,26.2668,28.2444,-1.3154,5e-05,0.00164804,"yes"
"5969","ZIC2",0.769876,0.356191,0.135996,0.78829,0.350605,0.429606,0.780603,12.3363,2.76084,0.00035,0.00815894,"yes"
"5993","ATP11A",1.95414,1.41653,0.963281,1.25728,1.73295,1.53124,5.00754,3.97473,1.13113,0.003,0.0368401,"yes"
"5999","LAMP1",150.751,143.608,143.228,160.38,114.283,94.5603,43.4305,85.7854,-0.822789,0.0023,0.0306579,"yes"
"6052","UBL3",69.6366,111.617,86.7658,106.628,64.5939,77.5558,26.5249,35.7488,-0.873971,0.00195,0.0276232,"yes"
"6075","POSTN",0.388026,2.45456,1.32808,1.6282,10.1545,25.5274,0.519777,311.953,5.90781,5e-05,0.00164804,"yes"
"6149","KLHL1",0.0428283,0.0476384,0.0136671,0.0152064,0.339322,0.969695,0.689387,0.0801875,4.12245,0.0016,0.0240143,"yes"
"6150","DACH1",17.504,10.6366,12.7267,8.50758,23.526,25.7404,29.9678,15.0832,0.933746,7e-04,0.0134565,"yes"
"6158","FBXL3",33.2315,39.7039,29.4006,30.7961,23.4119,24.4542,11.8527,14.7874,-0.837426,0.00215,0.0293568,"yes"
"6231","GAS6",5.65198,6.02855,5.07086,8.88446,4.62819,6.68565,31.8515,43.784,1.76201,5e-05,0.00164804,"yes"
"6271","ABHD4",48.5835,47.629,51.4972,55.5527,39.4775,25.3451,19.3901,19.125,-0.975978,2e-04,0.00519897,"yes"
"6274","MMP14",2.36026,8.81315,3.59822,5.56214,0.99552,4.80533,1.43598,76.6391,2.04438,5e-05,0.00164804,"yes"
"6276","REM2",1.49965,1.05583,1.89038,1.03235,6.43051,8.01961,11.7376,2.13643,2.37026,0.0011,0.0181879,"yes"
"6321","INSM2",0.119369,0.591395,0.168464,0.0978601,0.399143,8.07161,0.422334,0.136465,3.20809,0.00085,0.0154192,"yes"
"6348","FRMD6",1.17572,2.2033,1.45943,2.22273,1.12038,1.70202,3.4366,17.3744,1.74285,5e-04,0.0105649,"yes"
"6405","MPP5",20.2405,22.8049,19.6164,17.4837,12.0504,14.6474,9.03046,9.29314,-0.832011,0.00185,0.0266305,"yes"
"6418","SMOC1",153.82,206.656,195.299,333.22,63.3776,99.5221,42.5911,10.3676,-2.04209,5e-05,0.00164804,"yes"
"6424","SIPA1L1",17.4619,14.1974,9.70797,8.75176,7.52511,8.29395,2.1353,8.37116,-0.928896,0.00125,0.0198856,"yes"
"6425","RGS6",1.8747,4.29073,2.36534,4.61053,0.541825,1.7256,0.324002,0.713691,-1.99134,0.0027,0.03424,"yes"
"6435","DNAL1",10.7923,12.8929,9.48972,8.54548,7.54359,7.64071,2.54984,3.1074,-1.00129,4e-04,0.00896533,"yes"
"6442","VSX2",1.66647,1.61492,0.188301,0.0904147,9.27542,48.2812,0.468411,0.882665,4.04847,5e-05,0.00164804,"yes"
"6455","TTLL5",9.72298,8.96664,9.71055,8.00373,6.88594,6.05576,2.89895,3.33717,-0.924654,0.00205,0.0285059,"yes"
"6472","TSHR",0.253718,0.861934,0.655135,2.86839,0.225356,0.65918,0.00919448,0.0172271,-2.34841,0.0025,0.0322442,"yes"
"6513","LINC00617",0.678833,0.75124,0.407661,0.432924,2.07396,3.89648,4.38025,12.42,3.32599,5e-05,0.00164804,"yes"
"6518","AK7",19.0856,10.738,8.54295,3.36099,5.89515,9.50476,2.60602,1.21155,-1.11858,0.0033,0.039467,"yes"
"6527","EVL",49.7415,40.7849,52.7363,59.7435,80.5995,77.2344,136.045,75.1361,0.862156,0.001,0.0171336,"yes"
"6533","DLK1",0.779524,2.55284,1.41224,1.05569,4.65104,1.52333,47.5091,6.07515,3.36495,5e-05,0.00164804,"yes"
"6535","MEG3",0.0678929,0.159684,0.120736,0.0753476,3.64529,68.353,14.4558,59.501,8.4284,5e-05,0.00164804,"yes"
"6624","MEG9",0.097973,0.0476388,0.0402136,0.0119998,0.151351,0.265989,0.144919,1.48282,3.36986,0.00375,0.0432752,"yes"
"6625","DIO3",0.403897,0.318856,0.29048,0.446813,1.16352,1.10073,10.447,3.04223,3.43159,5e-05,0.00164804,"yes"
"6649","KIF26A",0.32773,0.320976,0.360249,0.160475,1.08314,2.10187,6.67911,5.09485,3.67713,5e-05,0.00164804,"yes"
"6651","INF2",3.74333,4.1777,4.73256,4.66835,6.13311,3.6202,16.0938,17.9507,1.33826,8e-04,0.01476,"yes"
"6677","CCNB1IP1",54.6319,76.5087,70.6574,82.3667,86.5052,67.6873,276.161,171.501,1.08269,0.00025,0.00629326,"yes"
"6688","NDRG2",70.1798,178.909,162.897,330.068,84.1739,47.3808,13.3857,8.39125,-2.27487,5e-05,0.00164804,"yes"
"6708","AJUBA",6.38295,5.73085,6.4039,3.67176,5.03126,4.75821,16.4897,25.5234,1.22315,2e-04,0.00519897,"yes"
"6754","HEATR5A",18.7482,21.3912,20.5323,17.4432,17.4522,14.672,3.5574,6.61004,-0.885224,0.001,0.0171336,"yes"
"6786","MDGA2",1.18032,2.52606,2.02714,2.78701,1.20746,0.992408,0.105503,0.528036,-1.58841,0.0034,0.040344,"yes"
"6803","PYGL",7.8961,5.15199,6.95942,5.37233,6.47071,3.53691,14.6549,27.7692,1.04676,0.00205,0.0285059,"yes"
"6807","NID2",0.426021,0.288126,0.406583,0.430702,0.348527,0.35305,0.432919,8.60719,2.65057,5e-05,0.00164804,"yes"
"6814","BMP4",0.172357,0.433017,0.406991,0.0906141,0.0411542,0.426684,0.243884,12.9348,3.62906,6e-04,0.0121356,"yes"
"6851","SPTB",0.332416,1.24208,0.738591,1.81152,0.0970744,0.403194,0.0127764,0.2174,-2.49741,0.0018,0.0261597,"yes"
"6865","ACTN1",11.2498,11.3666,11.1442,10.1178,10.6184,10.999,21.7662,55.7203,1.17543,0.00015,0.0041716,"yes"
"6890","LTBP2",0.284868,0.381629,0.35813,0.307206,0.348715,0.4251,1.04649,7.1734,2.7555,5e-05,0.00164804,"yes"
"6894","PGF",0.53593,0.323648,0.51357,0.59683,1.25161,1.36038,3.73599,3.40206,2.30723,0.00275,0.0346418,"yes"
"6900","TGFB3",0.97146,1.05967,0.992576,1.08206,0.438216,0.534568,0.418156,16.6536,2.13584,5e-05,0.00164804,"yes"
"6918","STON2",8.35619,12.6527,11.6249,9.07196,9.17249,7.68435,0.742352,1.4026,-1.13411,0.00225,0.0301775,"yes"
"6920","GALC",15.0846,16.4189,0.521716,14.8861,5.4932,10.0514,2.80667,2.33248,-1.18144,0.0013,0.0205514,"yes"
"6934","FBLN5",1.46031,3.28054,1.28739,1.6644,0.784424,3.20493,0.311596,33.7195,2.30523,5e-05,0.00164804,"yes"
"6965","BCL11B",0.375427,0.279503,0.175858,0.163902,1.5654,2.27211,0.0446097,0.0775465,1.99306,0.00355,0.0416664,"yes"
"6971","BEGAIN",0.584168,0.546341,0.500202,0.431255,1.78674,2.81444,1.56056,2.42856,2.05869,0.003,0.0368401,"yes"
"6991","AHNAK2",0.0387811,0.0850965,0.290834,0.0537378,0.158131,0.136492,0.0961513,1.98892,2.34481,0.00035,0.00815894,"yes"
"6994","JAG2",0.250289,0.380355,0.631618,0.268771,1.06734,1.37748,2.3247,2.60745,2.26852,0.00115,0.0188702,"yes"
"7134","THBS1",0.439114,1.32253,1.87422,0.395121,2.21614,3.70701,1.19897,72.3585,4.3014,5e-05,0.00164804,"yes"
"7156","NUSAP1",21.6221,30.6702,113.373,82.5239,29.3289,20.1592,53.1676,33.6733,-0.864349,0.00405,0.0455557,"yes"
"7180","CASC4",109.521,127.684,113.754,106.78,80.5865,82.7773,30.2123,44.2306,-0.944735,9e-04,0.0159439,"yes"
"7196","SEMA6D",3.63316,11.3834,4.33806,12.2561,0.693387,8.24153,2.06189,2.1024,-1.27093,0.00175,0.0256797,"yes"
"7209","USP8",14.6669,17.894,14.562,13.7387,10.507,11.1089,5.10938,7.61941,-0.825444,0.00255,0.032694,"yes"
"7238","TPM1",33.2263,35.758,37.1556,19.6142,31.1367,39.6782,20.4269,410.848,1.99734,0.00015,0.0041716,"yes"
"7278","THSD4",3.06301,0.147978,0.187986,0.213815,0.0380792,0.11176,6.56991,8.87389,2.10977,5e-05,0.00164804,"yes"
"7292","LOXL1",8.23524,6.21535,8.66896,4.3745,11.4735,10.297,31.8944,58.3685,2.02674,5e-05,0.00164804,"yes"
"7294","ISLR2",1.54615,1.14763,0.13827,0.101063,7.70675,16.5108,2.09415,1.24102,3.23169,5e-05,0.00164804,"yes"
"7299","ARID3B",3.28806,1.64987,1.90937,1.21001,1.69319,2.25637,10.4419,3.48873,1.15,0.00375,0.0432752,"yes"
"7327","CRABP1",125.062,152.39,190.263,660.343,593.459,1158.17,1148.82,245.818,1.4798,5e-05,0.00164804,"yes"
"7336","TMED3",52.9896,47.5186,41.8507,48.079,61.2166,55.0082,183.199,124.256,1.15365,0.00015,0.0041716,"yes"
"7344","MESDC1",7.09503,6.02472,6.50401,6.64211,11.7852,10.4759,24.974,21.004,1.37741,2e-04,0.00519897,"yes"
"7363","SH3GL3",0.053873,0.0584319,0.121004,0.0368512,0.979133,1.73203,0.531897,0.718204,3.87407,0.00165,0.0246912,"yes"
"7384","AEN",15.0652,15.6071,12.1167,15.9651,14.799,18.3815,60.3922,57.7858,1.36521,5e-05,0.00164804,"yes"
"7387","ABHD2",17.2868,17.4182,16.6076,18.1091,12.7626,12.2528,3.8634,7.08447,-0.948862,6e-04,0.0121356,"yes"
"7390","LOC254559",38.2624,18.9773,18.8814,16.0244,21.0831,18.3372,6.92241,7.50455,-0.775041,0.00405,0.0455557,"yes"
"7411","ST8SIA2",5.04345,5.66851,5.90565,8.22766,9.58784,12.875,12.0093,11.1805,0.877727,0.0025,0.0322442,"yes"
"7426","SYNM",6.34252,6.1541,7.87103,5.13837,2.65559,3.1687,0.452762,4.14643,-1.291,0.00045,0.00976765,"yes"
"7486","LPCAT4",11.0618,6.37477,7.28713,8.75819,15.3769,8.59606,41.2233,34.4836,1.57392,1e-04,0.00299584,"yes"
"7492","ACTC1",0.23955,0.216795,0.00796475,0.0620261,0.352764,0.225483,0.640307,14.3523,4.88672,5e-05,0.00164804,"yes"
"7500","RASGRP1",14.5048,16.2458,11.3767,17.4896,13.2652,9.34196,0.452106,0.367866,-1.34754,2e-04,0.00519897,"yes"
"7502","GPR176",1.1613,0.585763,0.552871,0.453121,0.866826,2.87988,4.08866,10.2469,2.71547,5e-05,0.00164804,"yes"
"7504","BMF",0.309803,0.574276,0.908023,0.902429,1.11463,2.76897,13.5388,5.41387,3.08322,5e-05,0.00164804,"yes"
"7508","C15orf52",3.04462,1.89052,2.7438,2.10843,1.50364,1.07587,0.129744,0.562258,-1.58096,0.0026,0.0331664,"yes"
"7524","EHD4",1.7106,1.16329,2.03371,0.471565,1.11178,1.31577,7.70158,21.7664,2.5679,5e-05,0.00164804,"yes"
"7531","ZFP106",9.40674,9.06263,10.859,7.61642,5.80884,4.48957,4.19758,5.13468,-0.912259,4e-04,0.00896533,"yes"
"7557","SHF",6.46392,6.35858,6.59304,7.82892,13.807,18.0373,14.6758,9.88935,1.04997,0.00275,0.0346418,"yes"
"7558","GATM",87.2125,86.3682,85.5672,175.582,99.4229,51.3453,17.5384,35.0468,-1.09613,1e-04,0.00299584,"yes"
"7561","FBN1",0.314611,0.484649,1.12231,0.308619,0.373044,0.724354,0.233982,18.5686,3.15753,5e-05,0.00164804,"yes"
"7582","MYO5C",2.93616,3.80685,4.32128,3.45457,2.07904,1.63414,0.249002,0.269289,-1.7787,2e-04,0.00519897,"yes"
"7594","PRTG",0.574867,0.704728,1.01789,0.688838,0.908532,1.15904,5.40613,7.58326,2.33399,5e-05,0.00164804,"yes"
"7608","ANXA2",64.2729,64.9534,15.5625,35.2215,30.2814,47.273,23.0786,529.561,1.80772,7e-04,0.0134565,"yes"
"7615","CA12",38.5782,30.4847,23.8756,14.4065,24.4325,23.9489,0.73977,7.60344,-0.920209,0.00225,0.0301775,"yes"
"7624","RBPMS2",0.251383,0.612454,0.739711,1.07458,1.21761,0.632184,17.8675,16.0598,3.73974,5e-05,0.00164804,"yes"
"7635","IGDCC3",14.9584,11.3885,9.41083,13.1188,18.7431,27.2978,248.006,32.0474,2.73808,5e-05,0.00164804,"yes"
"7655","ITGA11",0.136383,0.293183,0.0741323,0.169735,0.179366,0.559269,0.0244615,23.9479,5.19748,5e-05,0.00164804,"yes"
"7679","LOC283731",0.0321383,0.276906,0.0658025,0.0794192,0.602595,1.98603,0.641681,0.240461,2.93365,0.00245,0.0318164,"yes"
"7682","SEMA7A",1.41981,0.628225,0.528758,1.04014,1.91304,3.20167,6.99577,12.9722,2.79385,5e-05,0.00164804,"yes"
"7709","LINGO1",2.96349,1.73607,4.91103,5.06264,8.70367,15.9034,43.7244,13.7715,2.48425,5e-05,0.00164804,"yes"
"7717","CHRNB4",0.0184909,0.118581,0.0440073,0.256375,0.112269,0.981507,2.60887,0.262612,3.18021,0.004,0.0452625,"yes"
"7718","ADAMTS7",1.53109,1.51171,2.54099,2.76436,3.82747,3.20059,11.1591,11.8941,1.84934,5e-05,0.00164804,"yes"
"7759","NTRK3",7.28721,3.99135,11.3676,5.47006,2.64328,4.0532,1.13757,2.99806,-1.37609,0.0021,0.0289352,"yes"
"7827","WFIKKN1",0.0986347,0.445397,0.330665,0.517705,0.643459,0.740415,7.2597,7.63844,3.54763,0.00175,0.0256797,"yes"
