"","Gene","C1","C2","C4","C6","P1","P2","P3","P4","log2_fold_change","p_value","q_value","significant"
"8719","MVD",25.8135,23.1798,34.6566,30.0692,33.8253,29.1056,89.4995,62.5157,0.918501,0.00125,0.0198856,"yes"
"8727","CBFA2T3",0.510132,0.511513,0.598911,0.415073,1.87548,4.12479,2.4084,0.992642,2.20739,0.00155,0.0234265,"yes"
"8735","DBNDD1",20.862,18.1577,12.8615,13.3378,28.5183,30.1563,44.0474,25.1843,0.971721,0.0012,0.0194169,"yes"
"8757","RAP1GAP2",0.371682,0.256503,0.124157,0.172108,0.480396,2.08596,0.817618,0.0989262,1.91362,0.00395,0.0449658,"yes"
"8829","EFNB3",93.2974,155.988,95.1255,89.8538,87.4405,75.2672,37.6444,25.4412,-0.943571,0.001,0.0171336,"yes"
"8835","CHD3",6.43982,5.17322,9.35495,4.99493,11.3214,14.4639,9.2807,10.3097,0.805464,0.00435,0.0476892,"yes"
"8847","NDEL1",4.89517,6.31085,5.42248,5.5855,6.65952,8.40493,16.5185,17.6984,1.14957,0.0024,0.0314097,"yes"
"8849","WDR16",23.866,18.4777,16.1516,11.3937,8.18273,11.6128,0.282807,0.102241,-1.7921,3e-04,0.00728523,"yes"
"8854","SHISA6",0.0149116,7.00288,0.423051,6.8281,0.00956179,1.10373,0.0255405,0.0105683,-3.63393,1e-04,0.00299584,"yes"
"8855","DNAH9",0.0449395,1.77353,0.857737,0.996363,0.00641444,0.375797,0.0129785,0.0195935,-3.14636,0.0042,0.0466876,"yes"
"8863","HS3ST3B1",0.591205,1.60119,1.25237,0.784595,0.897327,0.469199,11.9371,10.9546,2.51996,0.00025,0.00629326,"yes"
"8911","ALDH3A2",28.7206,32.3864,27.9012,33.0543,26.1066,20.5128,9.50514,11.6407,-0.849003,0.0023,0.0306579,"yes"
"8912","SPECC1",53.0365,72.9121,68.2555,73.9628,52.0989,48.6498,25.9364,17.2563,-0.89765,0.00095,0.0166349,"yes"
"8917","MAP2K3",3.79034,4.42936,3.29557,4.33805,5.17727,6.9875,14.5012,13.4469,1.33928,0.00225,0.0301775,"yes"
"8947","PIPOX",20.2311,13.1723,13.8234,18.3561,13.8308,9.8895,3.37719,5.12465,-1.02527,0.00145,0.0223619,"yes"
"8986","TMEM132E",12.612,11.8515,4.45223,6.72095,5.59792,3.67417,0.101714,0.362998,-1.87184,0.00015,0.0041716,"yes"
"9027","PPP1R1B",6.23585,6.84386,24.1859,5.06323,5.08372,1.74496,1.71472,2.02465,-2.00193,0.00085,0.0154192,"yes"
"9047","IGFBP4",5.88971,9.63122,13.0667,15.8096,27.8313,14.5222,33.5685,426.813,3.50126,5e-05,0.00164804,"yes"
"9058","EIF1",187.699,189.754,193.443,224.705,240.126,256.389,684.602,429.917,1.01787,0.00135,0.0212089,"yes"
"9091","ARL4D",2.79757,3.11265,3.12406,4.32806,6.97344,17.3362,14.4354,4.86312,1.70643,0.0014,0.0218582,"yes"
"9119","MAPT",6.19153,3.22154,2.60653,3.98152,15.1433,24.8302,9.98307,2.61491,1.71611,5e-05,0.00164804,"yes"
"9148","IGF2BP1",4.00867,2.44648,5.6364,2.89746,6.10449,7.85479,18.4286,15.0857,1.66322,5e-05,0.00164804,"yes"
"9152","NGFR",0.957289,1.55157,0.412034,0.508168,3.58039,21.4633,1.69802,4.92978,3.2073,5e-05,0.00164804,"yes"
"9154","KAT7",93.017,96.1813,65.2044,94.0401,76.4077,50.2532,39.8953,25.7206,-0.857737,0.0023,0.0306579,"yes"
"9211","TBX2",0.205619,0.219481,1.02444,1.22009,1.15428,0.93956,0.0371088,7.48704,1.84909,0.0037,0.0429274,"yes"
"9235","PRKCA",9.37569,9.67304,8.76172,8.29576,9.27858,5.95363,1.46895,2.13584,-0.938677,0.00175,0.0256797,"yes"
"9252","KCNJ16",3.95372,7.66871,6.86465,21.1975,2.54124,3.44565,0.0100104,0.161482,-2.68796,5e-05,0.00164804,"yes"
"9288","ITGB4",38.944,28.8815,31.0381,23.0929,27.9987,16.9205,0.42402,10.8279,-1.11847,3e-04,0.00728523,"yes"
"9295","SPHK1",1.11042,0.32759,2.59621,0.158738,0.874891,0.868853,6.79394,18.4509,2.68631,0.00435,0.0476892,"yes"
"9298","SNHG16",42.0935,39.9093,30.4538,32.4361,39.0826,40.4967,112.666,61.0643,0.805919,0.004,0.0452625,"yes"
"9304","MGAT5B",4.25349,2.02708,2.85043,3.27341,5.32797,9.25154,13.6045,6.2949,1.47486,0.00065,0.0127547,"yes"
"9320","CBX2",6.95368,5.75267,7.3813,8.11579,12.3585,8.78572,16.3081,19.1843,1.00587,0.00065,0.0127547,"yes"
"9321","CCDC40",14.4822,7.23242,9.10528,5.94925,6.96386,6.23937,3.07978,1.44306,-1.05262,0.00175,0.0256797,"yes"
"9347","RAC3",53.1788,39.0461,49.3136,50.1268,71.5217,70.7643,165.489,114.719,1.14034,1e-04,0.00299584,"yes"
"9349","SLC16A3",2.78056,0.47549,3.60394,1.10239,5.58884,0.949352,3.67679,24.2091,2.11215,0.00295,0.0364034,"yes"
"9358","METRNL",11.1003,8.48327,7.60332,10.605,13.0193,13.4208,68.4941,63.5895,2.06855,5e-05,0.00164804,"yes"
"9371","MYO1C",2.83595,1.5826,2.15919,1.9045,2.64728,2.39666,4.43939,16.3882,1.60885,2e-04,0.00519897,"yes"
"9374","SLC43A2",37.316,33.1596,39.2559,36.0586,29.1933,27.7751,11.9606,9.06603,-0.902439,0.0012,0.0194169,"yes"
"9408","ATP2A3",0.16291,0.0987342,0.145863,0.210533,0.150276,0.499674,7.77679,1.72581,4.038,1e-04,0.00299584,"yes"
"9410","ANKFY1",19.3202,17.9298,20.3867,19.0257,16.3829,14.6048,5.36515,7.21339,-0.81531,0.00295,0.0364034,"yes"
"9435","PITPNM3",7.00504,5.26261,6.16062,7.70997,4.12938,2.33941,1.30349,1.86446,-1.43955,5e-05,0.00164804,"yes"
"9440","TEKT1",12.6797,10.4554,13.362,4.11322,2.939,7.25676,0.287253,0.0709048,-1.94407,0.00225,0.0301775,"yes"
"9472","PER1",5.82804,4.13183,3.94071,4.68698,5.59402,4.337,19.06,9.69671,1.05754,0.0016,0.0240143,"yes"
"9476","AURKB",4.0942,3.55187,18.6822,14.5929,7.46364,8.53477,56.6002,27.4932,1.29041,0.00185,0.0266305,"yes"
"9493","GAS7",24.9618,20.4808,13.6995,15.8868,16.3,12.2835,1.269,12.9014,-0.811394,0.0033,0.039467,"yes"
"9507","HS3ST3A1",3.09196,1.77505,1.32273,1.85098,1.14389,0.880294,10.9174,11.6988,1.61563,0.00345,0.0407774,"yes"
"9518","CENPV",70.3834,27.2812,78.6077,71.4048,93.3771,102.632,178.787,99.2075,0.936438,0.00065,0.0127547,"yes"
"9548","SLC47A2",7.27207,4.22182,6.31142,5.35062,4.6973,1.52776,0.0436291,0.760435,-1.71997,0.0043,0.0474505,"yes"
"9606","MYO1D",0.0996407,0.118922,0.13699,0.124382,0.293252,0.395784,0.44955,1.03039,2.1761,0.0041,0.0459473,"yes"
"9662","NEUROD2",1.27703,0.366794,0.0228192,0.0555768,2.73376,6.71483,0.0218102,0.110952,2.47596,0.0046,0.0496387,"yes"
"9729","JUP",4.153,0.93713,1.5905,0.836613,6.64403,5.42873,25.3451,27.2695,3.10521,5e-05,0.00164804,"yes"
"9755","VAT1",52.5509,62.2797,47.464,48.786,76.4913,86.5189,207.225,178.788,1.37907,5e-05,0.00164804,"yes"
"9763","MPP3",0.779714,0.722046,0.937731,0.811037,2.441,3.92185,2.53216,1.90526,1.73232,0.0011,0.0181879,"yes"
"9781","GFAP",1318.69,1056.81,626.057,618.109,587.53,204.82,1.61751,117.341,-1.98985,5e-04,0.0105649,"yes"
"9798","RPRML",1.37512,0.932035,2.51329,0.308606,1.07323,8.17522,9.78412,28.5426,3.21345,0.0028,0.0350963,"yes"
"9806","COPZ2",2.1695,0.441827,0.348012,0.369311,0.71069,1.06049,0.584735,22.594,2.90603,0.00255,0.032694,"yes"
"9841","COL1A1",0.523999,7.95793,2.20653,2.15968,17.44,37.7222,13.6215,2337.28,7.54897,2e-04,0.00519897,"yes"
"9853","MMD",17.5731,22.2418,18.1949,12.8758,21.6765,33.9556,33.0526,37.1574,0.828051,0.00415,0.0464045,"yes"
"9939","LINC00673",14.6625,34.8054,44.7601,57.7906,27.3114,23.1766,7.92279,6.33927,-1.23129,5e-05,0.00164804,"yes"
"9945","SDK2",1.98528,2.36149,2.47206,1.8561,4.37352,3.97674,20.4437,12.5647,2.25326,5e-05,0.00164804,"yes"
"9956","FDXR",7.77679,10.7079,14.2774,9.22398,12.5925,8.09288,39.0261,41.5482,1.27008,4e-04,0.00896533,"yes"
"9975","TRIM47",24.1152,17.5084,13.0849,19.9313,18.5074,6.40432,0.748034,8.79533,-1.11523,0.00295,0.0364034,"yes"
"10001","SOCS3",8.32594,6.82576,5.86672,4.63907,14.963,5.18534,5.37187,86.846,2.13076,5e-05,0.00164804,"yes"
"10046","PYCR1",30.2498,21.4666,21.9029,23.9648,32.834,27.858,90.4761,93.8966,1.32844,5e-05,0.00164804,"yes"
"10053","FASN",17.8302,12.6179,17.8986,14.6908,24.3956,20.3884,68.1523,74.7529,1.57407,5e-05,0.00164804,"yes"
"10095","MYL12A",41.3635,32.8251,25.7926,25.634,29.3307,33.6594,73.4536,155.131,1.21485,1e-04,0.00299584,"yes"
"10105","ARHGAP28",0.352811,0.273803,0.182251,0.122562,0.538235,0.42194,0.531303,6.52236,3.10498,1e-04,0.00299584,"yes"
"10114","RAB31",127.783,198.035,187.252,193.422,127.428,131.929,20.5283,51.437,-1.09244,7e-04,0.0134565,"yes"
"10121","IMPA2",0.990788,0.49868,0.883645,0.724618,2.00888,2.29593,14.4634,13.7488,3.39191,5e-05,0.00164804,"yes"
"10168","DTNA",49.095,56.2557,41.8474,49.8089,29.8171,31.8276,9.93705,21.7108,-1.07841,0.00035,0.00815894,"yes"
"10202","DCC",2.7375,1.33224,1.22491,1.86071,3.62647,14.9817,6.3746,5.76232,2.10326,5e-05,0.00164804,"yes"
"10206","RAB27B",1.64559,2.95566,3.27313,5.00548,0.998133,1.4884,0.483493,0.26657,-1.99257,2e-04,0.00519897,"yes"
"10220","PMAIP1",0.859308,3.15809,2.76498,2.24543,3.49203,6.05779,13.3087,34.8832,2.67717,5e-05,0.00164804,"yes"
"10221","CDH20",28.3296,25.6296,21.0737,32.2691,18.4092,23.0977,0.950119,7.48351,-1.1034,6e-04,0.0121356,"yes"
"10254","SALL3",2.1519,14.6897,14.3827,15.3624,1.27383,4.32428,1.60128,0.140415,-2.6661,5e-05,0.00164804,"yes"
"10264","COLEC12",0.517062,0.776291,0.58195,0.459738,0.128454,1.37639,0.0749595,14.2572,2.76178,5e-04,0.0105649,"yes"
"10267","YES1",43.115,50.8158,53.0298,54.3668,31.269,26.6278,28.0833,34.8485,-0.736583,0.00445,0.048365,"yes"
"10278","EPB41L3",21.2576,19.2306,29.4997,19.375,22.8293,8.27021,4.11286,6.2456,-1.10803,6e-04,0.0121356,"yes"
"10283","LAMA1",0.385661,0.479953,0.871612,1.10999,0.482548,1.09919,6.02217,7.49976,2.40728,5e-05,0.00164804,"yes"
"10301","ABHD3",2.44301,3.5141,4.53287,4.7613,1.7949,2.73108,19.6101,14.1116,1.32644,0.00445,0.048365,"yes"
"10313","AQP4",70.3627,163.68,118.701,111.807,19.9633,13.5397,0.0836569,1.92887,-3.70932,5e-05,0.00164804,"yes"
"10335","CELF4",3.69957,2.04488,1.89313,0.937431,5.49894,17.5583,4.00682,0.936744,1.70726,6e-04,0.0121356,"yes"
"10338","KC6",0.0778903,0.241456,0.450273,0.658614,1.69252,1.76218,5.81631,5.02613,3.32342,0.00215,0.0293568,"yes"
"10340","SYT4",7.83588,3.92711,1.03386,2.39718,15.4847,67.3589,12.0285,3.53854,2.69531,5e-05,0.00164804,"yes"
"10346","ST8SIA5",40.4859,20.0115,16.3678,20.975,18.8571,11.7035,0.0198226,1.32977,-1.61641,5e-05,0.00164804,"yes"
"10356","SMAD7",1.86857,1.81347,1.22231,1.47584,2.17856,5.18941,5.25673,7.67568,1.66983,0.00395,0.0449658,"yes"
"10382","ALPK2",0.203175,0.390372,0.101847,0.12541,0.287235,0.357528,0.39641,10.1517,3.7694,5e-05,0.00164804,"yes"
"10398","DSEL",3.77973,6.48084,7.72153,7.65066,2.78937,2.99531,0.460468,1.69644,-1.69049,5e-05,0.00164804,"yes"
"10408","FAM69C",66.222,96.1104,71.1988,120.525,68.5807,58.5832,0.305528,1.55441,-1.45634,5e-05,0.00164804,"yes"
"10414","MBP",0.0267145,0.161868,0.0616723,0.0917546,0.126372,0.34771,1.33568,0.848168,2.95819,5e-05,0.00164804,"yes"
"10426","FSTL3",2.65441,2.41763,2.38401,2.80427,3.88017,2.73791,3.48696,18.8008,1.49428,0.0017,0.0251903,"yes"
"10437","ARID3A",0.214272,0.681738,0.544087,0.561648,0.77044,0.877002,4.16623,3.81657,2.26631,9e-04,0.0159439,"yes"
"10440","CNN2",43.3404,35.3712,46.9043,50.315,53.3201,40.5366,114.474,144.665,1.00464,5e-04,0.0105649,"yes"
"10446","MIDN",44.2436,36.5721,36.3813,42.9827,50.4386,54.8522,96.8159,71.6025,0.772953,0.0022,0.0299046,"yes"
"10449","EFNA2",4.11984,3.91115,4.2147,4.55167,8.77645,11.6406,36.4845,26.8819,2.31843,5e-05,0.00164804,"yes"
"10455","REEP6",4.53931,5.90698,5.80901,4.29688,5.03011,5.63876,29.7534,14.1967,1.41011,0.00175,0.0256797,"yes"
"10460","CSNK1G2",20.6992,15.7131,19.6982,17.4664,22.2935,22.9277,50.2338,47.3246,0.956465,0.00035,0.00815894,"yes"
"10462","DOT1L",5.39213,4.50998,5.80658,6.34345,7.37345,6.50704,16.2051,14.2372,1.00713,0.00065,0.0127547,"yes"
"10463","SF3A2",48.0982,35.1128,40.4723,48.8738,55.0374,42.1321,175.54,90.8522,1.07512,3e-04,0.00728523,"yes"
"10468","GADD45B",1.15763,0.924804,1.42985,1.31055,1.55693,1.53146,4.14985,35.4559,3.14609,5e-05,0.00164804,"yes"
"10480","NFIC",4.95815,3.70914,5.0776,4.51208,2.68551,0.767417,0.268906,3.73373,-1.29206,0.0021,0.0289352,"yes"
"10488","ATCAY",8.9314,10.8293,16.4309,12.3889,22.5468,27.8197,14.1996,18.5394,0.774569,0.00335,0.0399072,"yes"
"10520","ALKBH7",40.0728,46.6462,52.2359,61.3626,70.6286,60.7847,156.29,76.4074,0.862087,0.002,0.0280947,"yes"
"10534","CAMSAP3",1.08765,1.37176,2.2501,1.35581,5.57295,3.38444,4.86344,3.11326,1.48127,0.0028,0.0350963,"yes"
"10572","ICAM1",0.315744,0.173086,0.150676,0.119606,0.193128,0.0952921,0.151009,5.49271,2.96617,5e-05,0.00164804,"yes"
"10575","PDE4A",0.998064,0.842428,1.2135,1.20172,2.27376,1.80384,3.04705,5.70118,1.59158,0.0028,0.0350963,"yes"
"10585","CARM1",20.2743,17.3257,20.3109,19.3937,26.7031,26.2435,58.1757,46.8739,1.03126,0.0023,0.0306579,"yes"
"10588","LDLR",2.80199,1.96831,6.09191,2.36948,3.6615,4.15375,20.0867,20.5462,1.87244,5e-05,0.00164804,"yes"
"10595","CNN1",0.193959,0.801756,1.95135,0.999848,1.32813,1.05017,10.7947,16.8634,2.92792,5e-05,0.00164804,"yes"
"10614","MAST1",3.81947,2.58677,3.35756,3.65522,8.18562,7.75665,8.6746,5.78961,1.1801,0.0024,0.0314097,"yes"
"10619","NFIX",84.6203,70.1332,62.7583,81.8449,48.9665,23.2057,0.196054,10.4523,-1.8538,5e-05,0.00164804,"yes"
"10625","ZSWIM4",3.99458,2.77941,3.14607,3.34147,5.64546,5.84132,12.4732,8.44948,1.28917,9e-04,0.0159439,"yes"
"10680","GLT25D1",12.2017,8.60472,9.84723,10.554,12.5302,8.70351,22.7089,37.7439,0.987185,0.00105,0.0176701,"yes"
"10696","GDF15",1.61664,0.593313,0.448908,0.443408,1.63322,2.96628,33.1182,35.5702,4.56218,5e-05,0.00164804,"yes"
"10715","CILP2",0.299911,0.32638,0.893398,0.851657,0.627022,1.26628,5.77285,2.94521,2.16183,0.0015,0.0228535,"yes"
"10744","ZNF536",3.27453,1.3173,2.43187,0.985656,3.84552,6.19059,5.92351,2.52522,1.20658,0.0032,0.0386993,"yes"
"10763","GPI",21.7465,17.3302,19.6482,19.7284,26.1543,25.6812,40.6997,61.6694,0.97494,2e-04,0.00519897,"yes"
"10777","FXYD5",20.4802,12.6204,23.8411,8.37447,59.2012,29.4433,11.6079,89.6862,1.54002,3e-04,0.00728523,"yes"
"10827","SPINT2",0.525696,0.612856,1.31901,0.631093,2.43053,6.39347,10.3734,3.10801,2.85234,5e-05,0.00164804,"yes"
"10851","DLL3",30.5425,82.5668,200.013,242.815,84.8585,43.8519,23.8221,11.726,-1.75896,5e-05,0.00164804,"yes"
"10852","SELV",0.43248,0.283618,1.14528,1.94203,0.20456,0.100057,0.0369737,0.0519216,-3.27281,0.00405,0.0455557,"yes"
"10865","LTBP4",15.2854,11.4681,20.0873,14.6275,24.7793,13.0918,46.2252,45.7048,1.07839,0.00025,0.00629326,"yes"
"10867","SNRPA",49.618,37.9021,57.9843,55.5213,59.5752,45.7663,186.228,116.562,1.02165,2e-04,0.00519897,"yes"
"10925","BCAM",4.26858,3.69492,3.52024,4.90785,6.51235,4.88722,25.4893,25.2989,1.92368,5e-05,0.00164804,"yes"
"10928","APOE",38.261,110.811,66.6929,742.921,70.9585,8.16078,15.472,133.584,-2.07092,1e-04,0.00299584,"yes"
"10943","VASP",12.7448,13.4603,11.1602,13.9358,16.3589,12.1627,36.7114,33.6273,0.9464,0.0031,0.0378225,"yes"
"10955","HIF3A",3.50415,0.935348,1.60251,1.59314,3.52499,1.92878,15.7478,6.41297,1.8547,4e-04,0.00896533,"yes"
"11001","PPP1R15A",12.1939,7.90497,9.99253,9.69349,13.9838,13.9806,28.0043,16.2444,0.860038,0.0041,0.0459473,"yes"
"11005","FTL",617.89,534.697,722.424,684.216,868.772,560.788,1773.36,1718.3,0.943307,0.00335,0.0399072,"yes"
"11012","PPFIA3",3.20166,2.70828,2.41322,2.63329,4.80458,6.16609,11.8019,5.22099,1.35332,5e-04,0.0105649,"yes"
"11033","PRMT1",110.111,80.9575,95.8823,104.152,134.42,143.242,352.394,218.454,1.11738,5e-05,0.00164804,"yes"
"11150","MYADM",14.376,11.7179,9.86334,9.80801,11.3682,11.622,25.175,38.6872,0.924315,0.00325,0.0390853,"yes"
"11181","BRSK1",12.4743,10.398,11.5474,13.5683,25.9241,29.7934,33.1598,15.3381,1.11882,2e-04,0.00519897,"yes"
"11182","SUV420H2",6.47426,7.17517,6.8796,9.63169,11.979,10.5541,29.3612,13.1311,1.10833,0.00125,0.0198856,"yes"
"11259","C2CD4C",3.95032,3.94617,4.65783,3.51861,7.41442,5.14498,12.614,12.3693,1.2239,0.00435,0.0476892,"yes"
"11265","LPPR3",39.9314,41.6682,56.0337,49.695,92.7017,122.733,84.6702,81.0859,1.02494,5e-05,0.00164804,"yes"
"11277","MEX3D",22.3109,19.6011,18.3773,23.242,32.4387,33.7982,45.9601,45.0157,0.912329,0.00205,0.0285059,"yes"
"11287","MKNK2",11.323,12.5673,13.1816,14.0348,17.495,17.107,57.3697,32.8709,1.28853,0.00025,0.00629326,"yes"
"11298","GNG7",12.2188,12.5364,11.8046,13.9189,7.45546,8.07069,5.54163,4.62718,-0.974187,0.0014,0.0218582,"yes"
"11329","SEMA6B",3.41806,10.0352,9.34048,13.281,13.8269,17.2921,68.2,23.3968,1.76626,5e-05,0.00164804,"yes"
"11343","FUT3",0.0861904,0.0882873,0.062869,0.169192,0.139774,0.104728,3.37185,0.908072,3.47627,0.003,0.0368401,"yes"
"11344","FUT5",0.448107,0.252138,0.121078,0.546252,0.356581,0.357785,1.76991,2.8929,1.97523,0.0035,0.0412074,"yes"
"11356","TUBB4A",5.09479,4.28652,3.62041,2.9626,16.2831,30.0484,35.9647,11.2268,2.55047,5e-05,0.00164804,"yes"
"11374","FLJ22184",7.59912,6.69227,10.4959,9.11605,14.3922,8.03258,32.408,17.5697,1.09461,0.00065,0.0127547,"yes"
"11406","OLFM2",27.4285,19.0602,5.82025,16.3811,26.5905,46.9795,37.0075,109.933,1.68268,5e-05,0.00164804,"yes"
"11407","COL5A3",0.735852,0.957177,0.715625,0.319596,1.02789,1.65873,0.235439,19.9549,3.06785,5e-05,0.00164804,"yes"
"11419","S1PR5",0.0748255,0.0617416,0.0393196,0.0158612,0.0356024,0.120359,0.0238334,2.40723,3.75401,0.00445,0.048365,"yes"
"11421","CDKN2D",4.05754,6.62961,7.88091,8.75471,18.4567,35.2468,28.7981,14.5356,1.82843,0.00025,0.00629326,"yes"
"11429","DOCK6",2.75456,1.57855,1.82146,2.14884,2.91948,1.77719,10.1867,11.1418,1.64813,5e-05,0.00164804,"yes"
"11435","ELAVL3",11.4098,10.401,11.3134,11.5099,22.8207,30.1301,33.7757,16.17,1.20498,5e-05,0.00164804,"yes"
"11492","SLC1A6",1.52017,1.61526,1.594,1.56271,6.45615,5.66624,10.4136,1.58233,1.9385,0.00145,0.0223619,"yes"
"11513","CPAMD8",0.362483,0.310454,0.392708,0.740033,1.30716,0.564361,1.36102,4.36036,2.07211,5e-05,0.00164804,"yes"
"11515","NR2F6",16.6221,15.1158,17.0136,18.0188,20.2311,22.1794,75.0144,73.6148,1.51659,5e-05,0.00164804,"yes"
"11525","JAK3",0.213516,0.0491447,0.153117,0.127195,0.181632,0.100537,2.23836,1.99694,3.05656,5e-05,0.00164804,"yes"
"11527","RAB3A",9.21531,4.37417,4.61832,4.44217,20.5852,38.6377,33.0001,10.0754,2.1752,5e-05,0.00164804,"yes"
"11534","ISYNA1",63.0276,32.1999,57.4017,34.1494,72.7615,47.6962,185.939,147.605,1.28137,4e-04,0.00896533,"yes"
"11537","CRLF1",47.8599,34.8922,105.937,129.101,21.3885,14.8172,0.817016,20.5136,-2.46553,5e-05,0.00164804,"yes"
"11539","CERS1",161.544,110.642,128.681,140.979,111.461,100.39,35.5198,40.0802,-0.914569,0.00075,0.0141304,"yes"
"11596","LGI4",0.372214,0.496285,0.26921,0.120166,3.67438,1.34877,14.0049,1.32726,4.01635,5e-05,0.00164804,"yes"
"11651","SIRT2",72.8726,106.812,165.995,177.705,102.492,60.7244,45.8653,41.7791,-1.06099,8e-04,0.01476,"yes"
"11697","ATP1A3",13.49,5.53258,5.20816,5.12977,24.9991,56.1486,55.1202,16.0588,2.37522,5e-05,0.00164804,"yes"
"11699","POU2F2",0.034347,0.0773516,0.130697,0.0298582,0.292728,0.546403,4.87435,0.904206,4.6033,5e-05,0.00164804,"yes"
"11784","SLC1A5",8.57701,4.18451,8.12471,4.94937,13.8117,9.59928,45.5489,43.1239,2.11715,5e-05,0.00164804,"yes"
"11789","BBC3",35.9883,36.399,26.6883,30.0712,44.6199,36.7336,117.946,75.3724,1.0887,5e-05,0.00164804,"yes"
"11792","SLC8A2",1.02128,0.386736,0.338105,0.317008,2.42334,4.58052,1.32949,0.545674,2.10556,0.002,0.0280947,"yes"
"11840","RRAS",12.9187,13.6841,19.4585,16.1825,17.9587,14.574,37.899,59.0697,1.05696,0.00445,0.048365,"yes"
"11949","CDC42EP5",5.27168,2.06585,1.11818,1.82195,4.09878,3.14735,20.1019,87.5342,3.48257,5e-05,0.00164804,"yes"
"11955","TNNT1",0.0768885,0.1149,1.00705,0.0950871,0.517001,0.800747,6.70241,5.34543,3.3687,0.0028,0.0350963,"yes"
"11964","COX6B2",0.222255,0.495914,0.500525,0.280101,0.693005,0.37216,1.56668,5.76866,2.48667,0.00035,0.00815894,"yes"
"11966","IL11",0.465707,0.288625,0.628265,0.289809,0.783189,0.950692,2.89115,6.1139,2.68285,3e-04,0.00728523,"yes"
"11968","UBE2S",53.2635,38.2717,86.0626,91.2104,82.735,127.58,338.579,142.575,1.36309,5e-05,0.00164804,"yes"
"12032","SOX11",18.1921,34.0202,34.1863,31.6052,54.0254,41.8161,82.9326,46.0771,0.930137,0.00125,0.0198856,"yes"
"12053","GREB1",4.27061,2.51401,1.84719,2.22999,3.02485,4.71843,5.9865,8.88801,1.05819,0.00135,0.0212089,"yes"
"12060","VSNL1",0.906311,1.38151,0.681719,0.517913,3.71574,12.5229,0.183055,3.02992,2.47965,0.00045,0.00976765,"yes"
"12068","KLHL29",0.512653,0.405914,0.513792,0.295973,0.386473,2.29755,0.728074,3.85483,2.07197,0.00415,0.0464045,"yes"
"12087","DPYSL5",36.0838,17.3892,22.8411,17.8076,53.4529,86.8748,96.0578,62.5515,1.66724,5e-05,0.00164804,"yes"
"12091","EMILIN1",1.42894,1.4582,0.882585,1.58535,1.34944,0.830823,0.795433,42.3376,3.08095,5e-05,0.00164804,"yes"
"12111","FOSL2",1.44422,1.77688,5.97651,0.925579,1.89472,1.51243,2.09414,23.6487,1.52583,0.0017,0.0251903,"yes"
"12113","PPP1CB",139.183,171.055,168.298,164.897,102.7,87.5848,53.0045,86.1516,-0.965771,0.00065,0.0127547,"yes"
"12121","LBH",5.7029,4.84292,3.45757,8.89363,12.8961,23.5748,23.0037,36.6958,2.07043,5e-05,0.00164804,"yes"
"12145","MORN2",99.9841,103.142,92.7453,83.1408,72.0177,69.8131,25.1812,24.058,-0.988143,0.00075,0.0141304,"yes"
"12151","PKDCC",2.05146,1.14749,1.00524,1.70511,2.21895,6.6877,15.0145,7.04627,2.38969,5e-05,0.00164804,"yes"
"12177","GTF2A1L",5.02894,5.19827,6.08174,3.11034,2.16766,5.03047,16.2762,14.3085,0.96024,0.00295,0.0364034,"yes"
"12180","ACYP2",23.1202,30.7178,30.3317,36.65,16.4622,25.8473,7.88354,5.24217,-1.12398,0.0021,0.0289352,"yes"
"12201","OTX1",1.72305,0.470046,0.0117388,0.0142595,0.0423325,0.396099,14.3775,0.0217143,2.74122,0.00465,0.0499999,"yes"
"12244","ACTG2",2.52648,1.90265,0.0757696,0.708501,1.69965,4.04399,0.33573,103.493,4.39352,5e-05,0.00164804,"yes"
"12245","DGUOK",50.3444,44.9021,41.6796,46.9437,53.0939,65.2604,132.259,84.651,0.866613,0.00255,0.032694,"yes"
"12248","MTHFD2",4.12906,4.13462,4.01246,3.0441,5.09589,8.54726,12.6791,26.1024,1.7748,0.00035,0.00815894,"yes"
"12267","DNAH6",0.979089,0.720952,0.520845,0.468284,0.357309,0.438857,0.0845751,0.112741,-1.43659,0.004,0.0452625,"yes"
"12288","LINC00152",4.38824,5.56153,7.81296,6.36395,7.82362,7.12687,24.0435,50.656,1.89368,0.0039,0.0445643,"yes"
"12322","CNGA3",2.01185,0.571121,5.76076,2.84976,0.520052,1.38379,1.12595,0.507503,-1.66194,0.0024,0.0314097,"yes"
"12359","SULT1C4",17.3456,26.4525,20.0823,24.6945,17.3284,11.9408,5.73134,8.83358,-1.01484,0.00425,0.047036,"yes"
"12364","SH3RF3",7.32391,5.14553,4.1809,6.57516,1.66035,1.8782,0.136465,1.1979,-2.25285,5e-05,0.00164804,"yes"
"12402","DBI",506.916,870.014,940.005,1303.75,633.325,385.211,164.524,157.537,-1.43339,5e-05,0.00164804,"yes"
"12406","PTPN4",5.16064,8.25686,6.94036,5.40179,4.15782,4.37663,2.55375,1.92872,-0.984724,9e-04,0.0159439,"yes"
"12415","GYPC",9.72554,12.6187,29.8228,17.3853,24.8542,19.254,65.8702,36.9709,1.07915,0.0023,0.0306579,"yes"
"12452","HNMT",29.1062,37.7067,37.9954,40.1084,20.5857,9.99625,0.767502,0.684314,-2.17756,5e-05,0.00164804,"yes"
