NOMO2 hsa:283820
NOSTRIN hsa:115677
NOTCH2NLA hsa:100996717
NOTCH2NLA hsa:100996763
NOTCH2NLA hsa:388677
NOTUM hsa:147111
NPIPA7 hsa:101059938
NPIPA7 hsa:101059953
NPIPA8 hsa:101059938
NPIPA8 hsa:101059953
NPY hsa:4852
NRG4 hsa:145957
NTRK1 hsa:4914
NUF2 hsa:83540
NXPH4 hsa:11247
NYAP1 hsa:222950
ODAPH hsa:152816
OLIG1 hsa:116448
OLIG2 hsa:10215
OTX2 hsa:5015
P2RX6 hsa:9127
PAFAH2 hsa:5051
PARP3 hsa:10039
PARVB hsa:29780
PAWR hsa:5074
PAX6 hsa:5080
PBX2 hsa:5089
PCLAF hsa:9768
PCNA hsa:5111
PCSK5 hsa:5125
PDLIM1 hsa:9124
PDPN hsa:10630
PDYN hsa:5173
PEG3 hsa:5178
PFKP hsa:5214
PGGT1B hsa:5229
PIEZO1 hsa:9780
PIMREG hsa:54478
PLAGL1 hsa:5325
PLCG2 hsa:5336
PMFBP1 hsa:83449
PNP hsa:4860
PNP hsa:5539
POMC hsa:5443
POMZP3 hsa:22932
PPARA hsa:5465
PPP2R3B hsa:28227
PRDM16 hsa:63976
PRPH hsa:5630
PRPH hsa:5961
PRR4 hsa:11272
PRR4 hsa:81607
PRRC2A hsa:7916
PSRC1 hsa:84722
PTCH1 hsa:5727
PTN hsa:5764
PTP4A2 hsa:8073
PTPN13 hsa:5783
PTPRB hsa:5787
PTPRZ1 hsa:5803
PTX3 hsa:5309
PTX3 hsa:5806
PWP2 hsa:5822
RAB21 hsa:23011
RAB31 hsa:11031
RAB34 hsa:83871
RAD17 hsa:5884
RAD51AP1 hsa:10635
RASSF7 hsa:8045
RBPMS hsa:11030
RGPD5 hsa:84220
RGS5 hsa:8490
RIMBP2 hsa:23504
RIN2 hsa:54453
RNF207 hsa:388591
RNF212 hsa:285498
RPA3 hsa:6119
RPL9 hsa:6133
RPRD1B hsa:58490
RRM2 hsa:6241
RXRB hsa:6257
RYR3 hsa:6263
S100A10 hsa:6281
S100A11 hsa:6282
S100B hsa:6285
SAMD10 hsa:140700
SCG5 hsa:6447
SCN1A hsa:6323
SCRT2 hsa:85508
SDC1 hsa:6382
SEC14L2 hsa:23541
SEMA6C hsa:10500
SERF1A hsa:8293
SERPING1 hsa:710
SFRP2 hsa:6423
SHMT1 hsa:6470
SIGIRR hsa:59307
SIPA1L1 hsa:26037
SKIV2L hsa:6499
SLC15A3 hsa:51296
SLC16A3 hsa:9123
SLC17A8 hsa:246213
SLC1A3 hsa:6507
SLC1A5 hsa:6510
SLC25A48 hsa:153328
SLC8A2 hsa:6543
SLCO1C1 hsa:53919
SLIT1 hsa:6585
SLIT1 hsa:6586
SLITRK2 hsa:84631
SMC4 hsa:10051
SMIM11B hsa:102723553
SMIM11B hsa:54065
SMYD2 hsa:56950
SNCG hsa:6623
SP5 hsa:389058
SP5 hsa:6440
SPARCL1 hsa:8404
SPATC1L hsa:84221
SPON1 hsa:10418
SPRY2 hsa:10253
SSPN hsa:8082
STK19 hsa:8859
STK38L hsa:23012
SUCLG2 hsa:8801
SULF2 hsa:55959
TANC1 hsa:85461
TCF12 hsa:6938
TCF7L2 hsa:6934
TCP11L2 hsa:255394
TEAD2 hsa:8463
TF hsa:2152
TF hsa:7018
TFEB hsa:7942
THBS1 hsa:7057
TIMELESS hsa:8914
TMEM121 hsa:80757
TMEM123 hsa:10360
TMEM123 hsa:114908
TMEM67 hsa:91147
TMEM74B hsa:55321
TMEM97 hsa:27346
TNC hsa:3371
TNC hsa:7134
TNFRSF12A hsa:51330
TNNI1 hsa:7135
TNRC6B hsa:23112
TOP2A hsa:7153
TP53I13 hsa:90313
TPP1 hsa:1200
TPP1 hsa:65057
TPX2 hsa:22974
TRIM27 hsa:5987
TRIM39 hsa:56658
TRIP6 hsa:7205
TROAP hsa:10024
TTK hsa:7272
TTYH1 hsa:57348
TUBA1C hsa:84790
TUBB hsa:203068
TUBB hsa:7280
TUBB4A hsa:10382
TYMS hsa:7298
TYW3 hsa:127253
UBE2C hsa:11065
UBE3D hsa:90025
UCHL5 hsa:51377
UHRF1 hsa:29128
USP41 hsa:373856
VARS2 hsa:57176
VARS2 hsa:7407
VPS52 hsa:6293
VSTM2A hsa:222008
WASHC1 hsa:100287171
WDR46 hsa:9277
WFIKKN2 hsa:124857
WNT8B hsa:7479
WWTR1 hsa:25937
YAP1 hsa:10413
YES1 hsa:7525
ZBTB20 hsa:26137
ZFAT hsa:57623
ZFP36L2 hsa:678
ZIC1 hsa:7545
ZNF17 hsa:7565
ZNF408 hsa:161882
ZNF408 hsa:79797
ZNF451 hsa:26036
ZNF503 hsa:84858
