NIPSNAP3B hsa:55335
NKX3-1 hsa:4824
NOX4 hsa:50507
NQO1 hsa:1728
NRCAM hsa:4897
NSUN4 hsa:387338
NSUN7 hsa:79730
NUDT7 hsa:283927
NUP153 hsa:9972
OAS3 hsa:4940
OBFC1 hsa:79991
OCLN hsa:100506658
ODZ2 hsa:57451
OPHN1 hsa:4983
OSBPL6 hsa:114880
PABPC4L hsa:132430
PAG1 hsa:55824
PAK2 hsa:5062
PAK2 hsa:5586
PAK3 hsa:5063
PAK3 hsa:8874
PARP11 hsa:57097
PARP12 hsa:64761
PARP14 hsa:54625
PARP9 hsa:83666
PCDHA1 hsa:56147
PCDHB5 hsa:26167
PCDHGA7 hsa:56108
PCDHGB5 hsa:56101
PCNXL2 hsa:80003
PDE10A hsa:10846
PDE12 hsa:201626
PGAP1 hsa:80055
PHF16 hsa:9767
PHF20 hsa:51230
PHF6 hsa:84295
PHKB hsa:5257
PIK3R3 hsa:8503
PLEKHA8 hsa:84725
PLS1 hsa:5357
PLXNA2 hsa:5362
PMFBP1 hsa:83449
PNMA2 hsa:10687
PNOC hsa:5368
POC5 hsa:134359
POLR3G hsa:10622
POU3F2 hsa:5454
POU3F4 hsa:5456
POU6F2 hsa:11281
PRDM4 hsa:11108
PRELID2 hsa:153768
PSMD5 hsa:5711
PSTPIP2 hsa:9050
PTP4A2 hsa:8073
PTPDC1 hsa:138639
PTPRZ1 hsa:5803
PUM1 hsa:9698
PURA hsa:5813
PUS7 hsa:54517
PUS7L hsa:83448
QKI hsa:9444
RAB11FIP2 hsa:22841
RAB27B hsa:5874
RALGAPB hsa:57148
RALGPS2 hsa:55103
RANBP17 hsa:64901
RASSF10 hsa:644943
RBBP5 hsa:5929
RBL1 hsa:5933
RBM12B hsa:389677
RBM43 hsa:375287
RFX7 hsa:64864
RGPD1 hsa:400966
RHOU hsa:58480
RNASEL hsa:6041
RNF224 hsa:643596
ROD1 hsa:9991
RPAP2 hsa:79871
RPL41 hsa:6171
RPL7L1 hsa:285855
RSC1A1 hsa:6248
RTTN hsa:25914
SASH1 hsa:23328
SATL1 hsa:340562
SCIN hsa:85477
SECISBP2 hsa:79048
SELRC1 hsa:65260
SERPINB1 hsa:1992
SESN1 hsa:27244
SETBP1 hsa:26040
SGMS2 hsa:166929
SGTB hsa:54557
SH3PXD2B hsa:285590
SHC3 hsa:53358
SKIV2L2 hsa:23517
SLC11A2 hsa:4891
SLC13A3 hsa:64849
SLC13A5 hsa:284111
SLC22A1 hsa:6580
SLC22A23 hsa:63027
SLC36A1 hsa:206358
SLC46A3 hsa:283537
SLC4A8 hsa:9498
SLC6A15 hsa:55117
SLC7A2 hsa:6542
SLFN13 hsa:146857
SLFN5 hsa:162394
SMCHD1 hsa:23347
SMG7 hsa:9887
SNORA51 hsa:677831
SNTG1 hsa:54212
SORD hsa:6652
SOX5 hsa:6660
SOX7 hsa:83595
SP1 hsa:199699
SP1 hsa:5669
SP1 hsa:6667
SP110 hsa:3431
SP110 hsa:5376
SP7 hsa:121340
SPG11 hsa:80208
SPINT1 hsa:6692
SPRED1 hsa:161742
SPRY2 hsa:10253
SPRY4 hsa:81848
SPTBN5 hsa:51332
SQRDL hsa:58472
SRFBP1 hsa:153443
SRXN1 hsa:140809
ST8SIA1 hsa:6489
STAT6 hsa:6778
STC2 hsa:8614
STK32A hsa:202374
STK4 hsa:6789
STXBP5L hsa:9515
SUSD5 hsa:26032
SYNJ2 hsa:8871
SYT1 hsa:6857
TAB3 hsa:257397
TAMM41 hsa:132001
TAOK1 hsa:57551
TCF4 hsa:6925
TCF4 hsa:6934
THAP6 hsa:152815
TIGD6 hsa:81789
TMCC1 hsa:23023
TMCO7 hsa:79613
TMEM131 hsa:23505
TMEM168 hsa:64418
TMEM170A hsa:124491
TMEM217 hsa:221468
TNFRSF10D hsa:8793
TNIP3 hsa:79931
TNKS hsa:8658
TNPO1 hsa:3842
TP53RK hsa:112858
TRAF5 hsa:7188
TRIB2 hsa:28951
TRIM13 hsa:10206
TRIM66 hsa:9866
TRMT5 hsa:57570
TRPC1 hsa:7220
TRPM8 hsa:79054
TRPS1 hsa:7227
TSC1 hsa:7248
TTC3 hsa:7267
TTPAL hsa:79183
TXNRD1 hsa:7296
TYW1B hsa:441250
UBR1 hsa:197131
USH2A hsa:7399
USP24 hsa:23358
USP44 hsa:84101
VPS33A hsa:65082
VPS41 hsa:27072
VTI1A hsa:143187
WBSCR27 hsa:155368
WDR4 hsa:10785
WDR67 hsa:93594
XPO1 hsa:7514
XRRA1 hsa:143570
XYLB hsa:9942
YARS2 hsa:51067
YEATS2 hsa:55689
YOD1 hsa:55432
YTHDF3 hsa:253943
ZBED4 hsa:9889
ZBTB33 hsa:10009
ZBTB39 hsa:9880
ZC3HAV1 hsa:56829
ZCCHC14 hsa:23174
ZFP90 hsa:146198
ZFYVE26 hsa:23503
ZHX3 hsa:23051
ZIK1 hsa:284307
ZMYM1 hsa:79830
ZMYM2 hsa:7750
ZNF10 hsa:7556
ZNF124 hsa:7678
ZNF134 hsa:7693
ZNF136 hsa:7695
ZNF140 hsa:7699
ZNF160 hsa:90338
ZNF17 hsa:7565
ZNF189 hsa:7743
ZNF227 hsa:7770
ZNF248 hsa:57209
ZNF253 hsa:56242
ZNF254 hsa:9534
ZNF26 hsa:7574
ZNF260 hsa:339324
ZNF280C hsa:55609
ZNF283 hsa:284349
ZNF300 hsa:91975
ZNF320 hsa:162967
ZNF35 hsa:7584
ZNF365 hsa:22891
ZNF37A hsa:7587
ZNF415 hsa:55786
ZNF423 hsa:23090
ZNF426 hsa:79088
ZNF431 hsa:170959
ZNF433 hsa:163059
ZNF438 hsa:220929
ZNF44 hsa:51710
ZNF454 hsa:285676
ZNF484 hsa:83744
ZNF485 hsa:220992
ZNF491 hsa:126069
ZNF506 hsa:440515
ZNF507 hsa:22847
ZNF518B hsa:85460
ZNF519 hsa:162655
ZNF525 hsa:170958
ZNF549 hsa:256051
ZNF551 hsa:90233
ZNF562 hsa:54811
ZNF568 hsa:374900
ZNF572 hsa:137209
ZNF578 hsa:147660
ZNF585B hsa:92285
ZNF586 hsa:54807
ZNF594 hsa:84622
ZNF597 hsa:146434
ZNF606 hsa:80095
ZNF616 hsa:90317
ZNF618 hsa:114991
ZNF623 hsa:9831
ZNF625 hsa:90589
ZNF677 hsa:342926
ZNF682 hsa:91120
ZNF708 hsa:7562
ZNF736 hsa:728927
ZNF737 hsa:100129842
ZNF778 hsa:197320
ZNF780A hsa:284323
ZNF780B hsa:163131
ZNF793 hsa:390927
ZNF84 hsa:7637
ZNF844 hsa:284391
ZNF845 hsa:91664
ZSWIM6 hsa:57688
ZXDA hsa:7789
ZXDB hsa:158586
