DBT hsa:1629
DCTN5 hsa:84516
DCXR hsa:51181
DDIT4 hsa:54541
DDR2 hsa:4921
DDX19A hsa:55308
DDX39B hsa:7919
DDX56 hsa:54606
DEGS1 hsa:8560
DENND1A hsa:57706
DGKB hsa:1607
DGKI hsa:9162
DHPS hsa:1725
DHRS1 hsa:115817
DHRS9 hsa:10170
DHX16 hsa:8449
DHX57 hsa:90957
DIO2 hsa:1734
DLC1 hsa:10395
DLC1 hsa:8655
DLC1 hsa:9940
DLGAP1 hsa:9229
DLL4 hsa:54567
DMGDH hsa:29958
DMRT3 hsa:58524
DMRTA1 hsa:63951
DNAI1 hsa:27019
DNAJB1 hsa:3337
DNAJB14 hsa:79982
DNAJC11 hsa:55735
DNAJC4 hsa:3338
DNAJC7 hsa:7266
DPF3 hsa:8110
DPP8 hsa:54878
DPPA2 hsa:151871
DRD1 hsa:1812
DRG1 hsa:10397
DRG1 hsa:4733
DRG1 hsa:51534
DROSHA hsa:29102
DSEL hsa:92126
DUSP13 hsa:51207
DUSP3 hsa:1845
DUSP5 hsa:1847
DYNC1H1 hsa:1778
EAF1 hsa:10847
EAF1 hsa:85403
ECHS1 hsa:1892
EDC4 hsa:23644
EEF1G hsa:1937
EEF2 hsa:1938
EGFL8 hsa:80864
EGFLAM hsa:133584
EGFR hsa:1956
EHMT2 hsa:10919
EIF2AK3 hsa:9451
EIF2B4 hsa:8890
EIF3F hsa:8665
EIF3G hsa:8666
EIF3K hsa:27335
EIF3L hsa:51386
EIF6 hsa:3692
ELAC1 hsa:55520
ELMOD3 hsa:84173
ELMSAN1 hsa:91748
ELP1 hsa:11014
ELP1 hsa:8518
EMC1 hsa:23065
EMC9 hsa:51016
EMILIN2 hsa:84034
EML2 hsa:24139
EMP1 hsa:2012
EMX2 hsa:2018
ENTPD5 hsa:957
ERCC4 hsa:2072
ERGIC3 hsa:51614
ERICH2 hsa:285141
ERO1A hsa:30001
ESR1 hsa:2099
ETV1 hsa:2115
ETV3L hsa:440695
EXOSC10 hsa:5394
EXOSC7 hsa:23016
EYA2 hsa:2139
F13A1 hsa:2162
F2RL2 hsa:2151
FAM114A1 hsa:92689
FAM122C hsa:159091
FAM156B hsa:727866
FAM162A hsa:26355
FAM162B hsa:221303
FAM163A hsa:148753
FAM189A1 hsa:23359
FAM193B hsa:54540
FAM212B hsa:55924
FAM216A hsa:29902
FAM219B hsa:57184
FAM221A hsa:340277
FAM83A hsa:84985
FANCG hsa:2189
FANK1 hsa:92565
FASTKD1 hsa:79675
FBL hsa:2091
FBXO33 hsa:254170
FBXW2 hsa:26190
FEZF2 hsa:55079
FGF23 hsa:8074
FGF8 hsa:2253
FHOD3 hsa:80206
FHOD3 hsa:91010
FKBP14 hsa:55033
FLAD1 hsa:80308
FLII hsa:2314
FLVCR1 hsa:28982
FLVCR2 hsa:55640
FMC1 hsa:100996928
FMC1 hsa:154791
FOCAD hsa:54914
FOLH1 hsa:2346
FOPNL hsa:123811
FOS hsa:2353
FOSB hsa:2354
FOSL1 hsa:8061
FOSL2 hsa:2355
FOXD4L6 hsa:653404
FOXJ3 hsa:22887
FOXN4 hsa:121643
FRAS1 hsa:80144
FRMPD4 hsa:9758
FSHR hsa:2492
FSIP1 hsa:161835
FTSJ3 hsa:117246
FUBP1 hsa:8880
FUS hsa:2521
GABARAP hsa:11337
GABRA4 hsa:2557
GAD2 hsa:2572
GAGE1 hsa:2543
GALNT13 hsa:114805
GALNT13 hsa:117248
GALNT6 hsa:11226
GARNL3 hsa:84253
GART hsa:2618
GATA2 hsa:2624
GATM hsa:2628
GBA hsa:2629
GCLM hsa:2730
GCNT7 hsa:140687
GDAP2 hsa:54834
GDPD2 hsa:54857
GEM hsa:2669
GFPT1 hsa:2673
GIPR hsa:2696
GNE hsa:10020
GNL1 hsa:2794
GNPDA2 hsa:132789
GNRH1 hsa:2796
GOLGA6L10 hsa:647042
GOLGA8A hsa:23015
GOLGB1 hsa:2804
GORASP2 hsa:26003
GOSR1 hsa:9527
GOT2 hsa:2806
GPANK1 hsa:7918
GPAT3 hsa:84803
GPATCH2L hsa:55668
GPBP1L1 hsa:60313
GPD1 hsa:2819
GPR12 hsa:2835
GPR143 hsa:4935
GPR155 hsa:151556
GPR183 hsa:1880
GPR75 hsa:10936
GPRC5D hsa:55507
GPS2 hsa:2874
GREM1 hsa:26585
GRHL2 hsa:79977
GRHPR hsa:9380
GSDMB hsa:55876
GSN hsa:2934
GSTM5 hsa:2949
GSTZ1 hsa:2954
GTF2H2 hsa:2966
GTF2H4 hsa:2968
GTF2IRD1 hsa:9569
GTF3C1 hsa:2975
GUCY1A2 hsa:2977
GUCY2C hsa:2984
GUCY2F hsa:2986
H2AFY2 hsa:55506
HAAO hsa:23498
HAND2 hsa:9464
HAVCR1 hsa:26762
HCRT hsa:3060
HDAC3 hsa:8841
HDAC6 hsa:10013
HDC hsa:3067
HDC hsa:51696
HELZ hsa:9931
HERC3 hsa:8916
HGF hsa:3082
HGF hsa:3569
HGF hsa:6654
HIPK3 hsa:10114
HIST1H1C hsa:3006
HIST1H2AH hsa:85235
HIST1H2AI hsa:8329
HIST1H2BO hsa:8348
HIST1H3E hsa:8353
HLA-A hsa:3105
HLA-B hsa:3106
