DPAGT1 hsa:1798 
DPH6 hsa:89978 
DPY19L4 hsa:286148 
DPYSL5 hsa:56896 
DRD4 hsa:1815 
DROSHA hsa:29102 
DSG2 hsa:1829 
DSP hsa:1832 
DSP hsa:1834 
DTD1 hsa:92675 
DTX2 hsa:113878 
DUS1L hsa:64118 
DUSP9 hsa:1852 
E2F4 hsa:1874 
EBF2 hsa:64641 
EBF3 hsa:22924 
EBF3 hsa:253738 
ECH1 hsa:1891 
ECT2 hsa:1894 
EFHC2 hsa:80258 
EFNA1 hsa:1942 
EHD4 hsa:30844 
EIF3A hsa:3692 
EIF3A hsa:8661 
ELF3 hsa:1999 
ELF4 hsa:2000 
ELOVL6 hsa:79071 
ELP1 hsa:11014 
ELP1 hsa:8518 
EML4 hsa:27436 
EMP2 hsa:2013 
ENAH hsa:55740 
ENO3 hsa:2027 
ENOSF1 hsa:55556 
EOGT hsa:285203 
ESYT1 hsa:23344 
ETV1 hsa:2115 
EXO1 hsa:9156 
EYA3 hsa:2140 
FAM104B hsa:90736 
FAM120A hsa:23196 
FAM168B hsa:130074 
FAM221A hsa:340277 
FAM229B hsa:619208 
FAM241B hsa:219738 
FAM53A hsa:152877 
FANCG hsa:2189 
FANCM hsa:57697 
FARSB hsa:10056 
FASTKD5 hsa:60493 
FAT1 hsa:2195 
FAT4 hsa:79633 
FBLN2 hsa:2199 
FBN3 hsa:84467 
FBXL6 hsa:26233 
FBXO4 hsa:26272 
FBXO43 hsa:286151 
FBXW11 hsa:23291 
FGF2 hsa:2247 
FGF2 hsa:2258 
FGFRL1 hsa:53834 
FKBP10 hsa:60681 
FKBP14 hsa:55033 
FKBP1A hsa:2280 
FLNB hsa:2317 
FNDC5 hsa:252995 
FOXN2 hsa:3344 
FPGT hsa:8790 
FREM1 hsa:158326 
FST hsa:10468 
FYCO1 hsa:79443 
FZD6 hsa:8323 
GAP43 hsa:2596 
GAS2 hsa:2620 
GATD1 hsa:347862 
GCDH hsa:2639 
GCN1 hsa:10985 
GEN1 hsa:348654 
GFER hsa:2671 
GHITM hsa:27069 
GJA1 hsa:2697 
GLI2 hsa:2736 
GNB1 hsa:2782 
GNB3 hsa:2784 
GNE hsa:10020 
GNL3 hsa:26354 
GOLGA6L9 hsa:440295 
GOLIM4 hsa:27333 
GPN2 hsa:54707 
GTF2F1 hsa:2962 
GTF2H2 hsa:2966 
GTPBP3 hsa:84705 
GTPBP6 hsa:8225 
GXYLT1 hsa:283464 
H1F0 hsa:3005 
H6PD hsa:9563 
HAUS2 hsa:55142 
HDAC7 hsa:51564 
HDAC7 hsa:9734 
HEATR1 hsa:55127 
HEXIM2 hsa:124790 
HLA-B hsa:3106 
HLA-C hsa:3107 
HMCES hsa:56941 
HMGA2 hsa:8091 
HMGN5 hsa:79366 
HOMEZ hsa:57594 
HOXC10 hsa:3226 
HS3ST3B1 hsa:9953 
HSCB hsa:150274 
HSD3B1 hsa:3283 
HSPA12B hsa:116835 
HSPA4 hsa:3308 
HSPBP1 hsa:23640 
ICE2 hsa:79664 
ID2 hsa:3398 
IER5L hsa:389792 
IFITM2 hsa:10581 
IFRD2 hsa:7866 
IGDCC4 hsa:57722 
IKZF2 hsa:22807 
IL32 hsa:9235 
IMPACT hsa:55364 
INF2 hsa:64423 
ING3 hsa:54556 
INHA hsa:3623 
INKA1 hsa:389119 
INPPL1 hsa:3636 
INTS13 hsa:55726 
ITGA2 hsa:3673 
ITGB1 hsa:3688 
ITGB3BP hsa:23421 
ITGB6 hsa:3694 
JRKL hsa:8690 
KATNA1 hsa:11104 
KAZALD1 hsa:81621 
KCNS1 hsa:3787 
KCTD10 hsa:83892 
KHDRBS2 hsa:202559 
KIF11 hsa:3832 
KIF14 hsa:9928 
KIFC1 hsa:3833 
KLHDC8A hsa:55220 
KLHL31 hsa:401265 
KLHL35 hsa:283212 
KLHL35 hsa:8507 
KMT5C hsa:84787 
KNTC1 hsa:9735 
KREMEN1 hsa:83999 
L3HYPDH hsa:112849 
LAMA5 hsa:3911 
LAMB1 hsa:3912 
LAX1 hsa:54900 
LCAT hsa:3931 
LDAH hsa:60526 
LDLRAD4 hsa:753 
LEAP2 hsa:116842 
LENG8 hsa:114823 
LFNG hsa:3955 
LHX1 hsa:3975 
LHX9 hsa:56956 
LMF2 hsa:91289 
LMNA hsa:4000 
LOXL4 hsa:84171 
LPA hsa:4018 
LPCAT1 hsa:79888 
LPIN3 hsa:64900 
LPXN hsa:9404 
LRIG1 hsa:26018 
