ITGB4 hsa:3691
ITPR2 hsa:3709
JAZF1 hsa:221895
KALRN hsa:8997
KAT2A hsa:2648
KAT2B hsa:8850
KCNA4 hsa:3739
KCND3 hsa:3752
KCNG4 hsa:93107
KCNJ10 hsa:3766
KCNJ16 hsa:3773
KCNMB1 hsa:3779
KCTD10 hsa:83892
KIAA0802 hsa:23255
KIAA1199 hsa:57214
KIAA1618 hsa:57674
KIRREL3 hsa:84623
KLF12 hsa:11278
KLF9 hsa:687
KLHDC8A hsa:55220
KLHL29 hsa:114818
KREMEN1 hsa:83999
KRTAP5-2 hsa:440021
KRTAP5-2 hsa:57830
LAMA4 hsa:3910
LAMA5 hsa:3911
LAP3 hsa:51056
LAP3 hsa:7852
LCAT hsa:3931
LCTL hsa:197021
LEF1 hsa:51176
LFNG hsa:3955
LGALS8 hsa:3964
LINGO2 hsa:158038
LIX1 hsa:167410
LMNA hsa:4000
LNX1 hsa:84708
LPAR6 hsa:10161
LRAT hsa:9227
LRIG3 hsa:121227
LRP1B hsa:53353
LRP4 hsa:4038
LRRC55 hsa:219527
LRRC61 hsa:65999
LRRCC1 hsa:85444
LRRN2 hsa:10446
LRRTM4 hsa:80059
LSM6 hsa:11157
LYPD6 hsa:130574
MAB21L1 hsa:4081
MAL hsa:4118
MAL hsa:57591
MAMDC2 hsa:256691
MAML2 hsa:23373
MAML2 hsa:84441
MAN1C1 hsa:57134
MAN2A2 hsa:4122
MAP3K13 hsa:9175
MAPK8 hsa:5599
MARCH3 hsa:115123
MATN2 hsa:4147
MEGF10 hsa:84466
METTL7A hsa:25840
MFHAS1 hsa:9258
MFSD2 hsa:84879
MGST1 hsa:4257
MKNK2 hsa:2872
MRAS hsa:22808
MST1 hsa:4485
MST1 hsa:6789
MST131 hsa:3084
MSX2 hsa:4488
MYBL1 hsa:4603
MYH2 hsa:4620
MYL12A hsa:10627
MYOF hsa:26509
MYT1 hsa:4661
MYT1 hsa:9088
NACC2 hsa:138151
NALCN hsa:259232
NAT8L hsa:339983
NBEA hsa:26960
NCAM1 hsa:4684
NDST3 hsa:9348
NEFL hsa:4747
NEFM hsa:4741
NET1 hsa:10103
NET1 hsa:10276
NET1 hsa:55119
NET1 hsa:6530
NET1 hsa:9152
NEXN hsa:91624
NHSL1 hsa:57224
NKAIN2 hsa:154215
NKX6-1 hsa:4825
NOD1 hsa:10392
NOG hsa:9241
NOTCH1 hsa:4851
NOX4 hsa:50507
NPNT hsa:255743
NQO1 hsa:1728
NR2F1 hsa:7025
NR4A2 hsa:4929
NRG1 hsa:3084
NRP2 hsa:4753
NRP2 hsa:8828
NT5E hsa:4907
NTF3 hsa:4908
NTN1 hsa:9423
NUP93 hsa:9688
ODZ4 hsa:26011
OR2J3 hsa:442186
P2RX3 hsa:5024
PAPPA hsa:5069
PAQR6 hsa:79957
PARP14 hsa:54625
PAX3 hsa:5077
PBK hsa:55872
PCDHB2 hsa:56133
PDE10A hsa:10846
PDE1C hsa:5137
PDE4D hsa:5144
PDE4DIP hsa:9659
PDE7B hsa:27115
PDP1 hsa:403313
PDP1 hsa:54704
PFKFB3 hsa:5209
PGM5 hsa:5239
PHF17 hsa:79960
PHLDA1 hsa:22822
PIK3IP1 hsa:113791
PIK3R3 hsa:8503
PINK1 hsa:65018
PIP5K1B hsa:8395
PITPNC1 hsa:26207
PLCD1 hsa:5333
PLEKHB1 hsa:58473
PLEKHG4B hsa:153478
PLXNA2 hsa:5362
PMP2 hsa:5375
PNOC hsa:5368
POLB hsa:11232
POLB hsa:5423
PPARGC1A hsa:10891
PPP2R2B hsa:5521
PPP2R5A hsa:5525
PRAGMIN hsa:157285
PRCP hsa:5547
PRDM8 hsa:56978
PRICKLE2 hsa:166336
PRKCA hsa:5578
PRKG1 hsa:5592
PRPH hsa:5630
PRPH hsa:5961
PRSS12 hsa:8492
PRSS35 hsa:167681
PSENEN hsa:55851
PSRC1 hsa:84722
PTCH1 hsa:5727
PTGDS hsa:5730
PTPRE hsa:5791
PXDNL hsa:137902
QDPR hsa:5860
QPCT hsa:25797
RAB31 hsa:11031
RAB7L1 hsa:8934
RAP2A hsa:5911
RARB hsa:5915
RASA4 hsa:10156
RASGRP1 hsa:10125
RASL10A hsa:10633
RBM24 hsa:221662
RBM9 hsa:23543
REV3L hsa:5980
RGMA hsa:56963
RHOBTB1 hsa:9886
RHOBTB3 hsa:22836
RHPN1 hsa:114822
RIMS2 hsa:9699
RLBP1L1 hsa:157807
RNASEH2B hsa:79621
RNASEL hsa:6041
RND3 hsa:390
RNF133 hsa:168433
RNF148 hsa:378925
RNF213 hsa:57674
RNF220 hsa:55182
ROBO2 hsa:6092
ROBO3 hsa:64221
RPL21 hsa:6144
RTL1 hsa:388015
RUNX1T1 hsa:862
RXRG hsa:6258
S100A16 hsa:140576
S100A16 hsa:388697
S1PR1 hsa:1901
S1PR3 hsa:1903
SALL4 hsa:57167
SAMD4A hsa:23034
SAMD9 hsa:54809
SBNO1 hsa:55206
SCARA3 hsa:51435
SCARNA17 hsa:677769
SCPEP1 hsa:59342
SDC3 hsa:9672
SEC31A hsa:22872
SEMA4B hsa:10509
SEMA4C hsa:54910
SEMA5B hsa:54437
SEPN1 hsa:57190
SERINC5 hsa:256987
