IFIT2	hsa:3433
IGFBPL1	hsa:347252
AQP4	hsa:361
AQP7	hsa:364
ITGA6	hsa:3655
ITGA3	hsa:3675
ITGA7	hsa:3679
ITGB4	hsa:3691
ITPR2	hsa:3709
KCNA4	hsa:3739
KCND3	hsa:3752
KCNJ10	hsa:3766
KCNJ16	hsa:3773
CA13	hsa:377677
KCNMB1	hsa:3779
RNF148	hsa:378925
RTL1	hsa:388015
S100A16	hsa:388697
VGLL3	hsa:389136
RND3	hsa:390
LAMA4	hsa:3910
LAMA5	hsa:3911
LCAT	hsa:3931
LFNG	hsa:3955
LGALS8	hsa:3964
ABLIM1	hsa:3983
LMNA	hsa:4000
FAM190A	hsa:401145
VWA5A	hsa:4013
PDP1	hsa:403313
LRP4	hsa:4038
MAB21L1	hsa:4081
MAL	hsa:4118
MAN2A2	hsa:4122
MATN2	hsa:4147
MGST1	hsa:4257
ASCL1	hsa:429
KRTAP5-2	hsa:440021
ZYG11A	hsa:440590
OR2J3	hsa:442186
ASS1	hsa:445
MST1	hsa:4485
MSX2	hsa:4488
ASTN1	hsa:460
MYBL1	hsa:4603
MYH2	hsa:4620
ZFHX3	hsa:463
MYT1	hsa:4661
ATF3	hsa:467
NCAM1	hsa:4684
NEFM	hsa:4741
NEFL	hsa:4747
NRP2	hsa:4753
ATP1B2	hsa:482
NKX6-1	hsa:4825
NOTCH1	hsa:4851
NT5E	hsa:4907
NTF3	hsa:4908
NR4A2	hsa:4929
TNFRSF11B	hsa:4982
ZNF295	hsa:49854
ALDH7A1	hsa:501
P2RX3	hsa:5024
NOX4	hsa:50507
ARHGEF4	hsa:50649
CNTN3	hsa:5067
PAPPA	hsa:5069
PAX3	hsa:5077
AK3L1	hsa:50808
TAS2R4	hsa:50832
SPOCK3	hsa:50859
SLMO2	hsa:51012
LAP3	hsa:51056
LEF1	hsa:51176
GCNT4	hsa:51301
CHST15	hsa:51363
PDE1C	hsa:5137
AMOTL2	hsa:51421
SCARA3	hsa:51435
PDE4D	hsa:5144
ENPP2	hsa:5168
PFKFB3	hsa:5209
PGM5	hsa:5239
SERPINI1	hsa:5274
PLCD1	hsa:5333
LRP1B	hsa:53353
PLXNA2	hsa:5362
PNOC	hsa:5368
PMP2	hsa:5375
POLB	hsa:5423
GNG2	hsa:54331
SEMA5B	hsa:54437
FAM35A	hsa:54537
PARP14	hsa:54625
PDP1	hsa:54704
DCHS2	hsa:54798
SAMD9	hsa:54809
SYTL2	hsa:54843
SEMA4C	hsa:54910
TMEM132A	hsa:54972
SOBP	hsa:55084
C10orf118	hsa:55088
NET1	hsa:55119
TRIM68	hsa:55128
FIGN	hsa:55137
CENPQ	hsa:55166
RNF220	hsa:55182
SBNO1	hsa:55206
PPP2R2B	hsa:5521
KLHDC8A	hsa:55220
PPP2R5A	hsa:5525
PRCP	hsa:5547
HES6	hsa:55502
SLC30A10	hsa:55532
ZNF823	hsa:55552
SOX6	hsa:55553
FAM46A	hsa:55603
FRMD4A	hsa:55691
CDK5RAP2	hsa:55755
PRKCA	hsa:5578
FGD6	hsa:55785
CACNA2D3	hsa:55799
PSENEN	hsa:55851
PBK	hsa:55872
PRKG1	hsa:5592
C1orf183	hsa:55924
MAPK8	hsa:5599
PCDHB2	hsa:56133
CA11	hsa:56287
PRPH	hsa:5630
UBQLN4	hsa:56893
ARNTL2	hsa:56938
RGMA	hsa:56963
STOX2	hsa:56977
PRDM8	hsa:56978
CAMK1D	hsa:57118
CHMP1B	hsa:57132
MAN1C1	hsa:57134
SALL4	hsa:57167
SEPN1	hsa:57190
KIAA1199	hsa:57214
NHSL1	hsa:57224
PTCH1	hsa:5727
PTGDS	hsa:5730
BAI1	hsa:575
SIPA1L2	hsa:57568
MAL	hsa:57591
C8orf79	hsa:57604
SLAIN2	hsa:57606
KIAA1618	hsa:57674
RNF213	hsa:57674
KRTAP5-2	hsa:57830
PTPRE	hsa:5791
PLEKHB1	hsa:58473
QDPR	hsa:5860
RAP2A	hsa:5911
RARB	hsa:5915
C21orf63	hsa:59271
CACNG7	hsa:59284
SCPEP1	hsa:59342
PRPH	hsa:5961
REV3L	hsa:5980
RNASEL	hsa:6041
ROBO2	hsa:6092
RPL21	hsa:6144
SNORA41	hsa:619569
RXRG	hsa:6258
C17orf75	hsa:64149
ROBO3	hsa:64221
SFRP2	hsa:6423
BLVRA	hsa:644
WBSCR17	hsa:64409
SGCG	hsa:6445
SH3GL2	hsa:6456
SMYD3	hsa:64754
CRTC3	hsa:64784
DEPDC6	hsa:64798
BMI1	hsa:648
PINK1	hsa:65018
NET1	hsa:6530
SLC6A9	hsa:6536
SLC12A4	hsa:6560
LRRC61	hsa:65999
SNRPG	hsa:6637
SORD	hsa:6652
SOX2	hsa:6657
SPP1	hsa:6696
SPTAN1	hsa:6709
SPTB	hsa:6710
STAC	hsa:6769
ZFP36L1	hsa:677
SCARNA17	hsa:677769
SNORA49	hsa:677829
MST1	hsa:6789
VAMP1	hsa:6843
TACR1	hsa:6869
KLF9	hsa:687
CNTN2	hsa:6900
TCEA3	hsa:6920
TCF4	hsa:6925
TCF4	hsa:6934
NR2F1	hsa:7025
DBI	hsa:706
THBS4	hsa:7060
TIMP2	hsa:7077
TLE1	hsa:7088
TLE3	hsa:7090
TM7SF2	hsa:7108
TNFAIP3	hsa:7128
C4A	hsa:720
TRPS1	hsa:7227
TST	hsa:7263
C13orf38	hsa:728591
TYRO3	hsa:7301
UCP2	hsa:7351
VEGFC	hsa:7424
