	ACAA1	ACOX3	ACSBG1	ACSF3	ADH6	AKR1B10	AKR1C3	ALDH2	ALDH7A1	ATF3	BMI1	CERK	CERS4	CERS5	CPS1	CTCF	CYP21A2	CYP39A1	DACH1	DGAT1	DGKE	DNMT3B	EBF1	EHHADH	ENPP2	FOXP1	GBF1	GCDH	GLYCTK	HDAC2	HMG20A	HNF4G	HNRNPL	HPGDS	HSD11B1	HSD17B3	HSD3B7	IRF5	JMJD7-PLA2G4B	KAT2B	KLF6	KLF9	L3MBTL2	LBR	LCAT	LEF1	LIPC	LIPH	MCM5	MCM7	MIXL1	MYNN	NR2C1	NR2F1	PATZ1	PEMT	PGS1	PISD	PKNOX1	PLA2G12A	PLD3	POLR2A	PRDM4	PTGDS	PYGO2	RBBP5	RERE	RXRA	SCRT2	SGMS1	SMAD2	SMARCE1	SOX13	SOX6	THRAP3	TM7SF2	WT1	YY1	ZBTB11	ZIC2	ZKSCAN1	ZNF140	ZNF217	ZNF366	ZNF423	ZNF488	ZNF626	ZNF707	ZZZ3
KLF9	2	2	2	2	1	2	0	2	2	2	2	2	2	2	1	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	0	2	2	
L3MBTL2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
LEF1	2	2	2	2	0	0	2	2	2	2	1	2	2	2	0	2	0	0	2	2	2	2	2	1	2	2	2	2	2	2	2	0	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	0	2	2	
MCM5	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	2	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	
MCM7	0	0	0	2	0	0	0	2	1	1	0	0	0	1	0	0	0	0	0	0	2	1	2	0	0	0	0	2	0	2	2	0	2	1	0	1	2	2	0	2	2	0	2	1	0	2	2	0	2	2	1	1	0	0	2	0	1	2	2	0	2	2	2	0	2	2	1	1	0	2	0	2	2	0	2	0	0	0	0	0	2	2	2	1	2	0	0	1	2	
MIXL1	2	2	0	2	1	1	2	2	2	2	2	1	1	2	1	2	0	0	0	2	2	1	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2	2	2	2	1	2	2	2	0	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	0	2	2	2	0	1	0	0	2	1	
MYNN	2	2	1	2	0	2	1	2	2	2	2	1	2	2	0	2	2	0	1	2	2	1	2	0	0	2	2	2	2	2	2	0	2	1	2	2	2	2	2	2	2	1	2	2	2	1	2	0	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	1	2	1	2	2	2	2	2	2	2	2	2	2	1	2	1	0	1	0	2	0	
NR2C1	2	2	2	2	0	0	1	2	2	2	2	2	2	2	2	2	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	0	2	1	2	2	2	2	2	1	2	2	0	2	2	2	1	1	1	0	2	2	
NR2F1	2	2	2	2	1	2	1	2	2	2	2	2	2	2	2	2	2	0	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	1	2	2	0	2	2	2	2	2	2	0	2	0	
PATZ1	2	1	2	2	0	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	0	2	2	
PKNOX1	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	
POLR2A	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
PRDM4	1	1	0	2	0	2	0	2	2	2	2	2	2	2	0	2	0	1	2	0	2	2	2	0	0	2	2	2	2	2	2	0	2	1	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	0	0	2	2	
PYGO2	1	0	0	1	0	0	1	2	0	2	2	0	0	2	0	2	2	0	0	0	0	1	2	1	0	0	2	2	0	0	2	0	2	0	0	0	2	2	0	2	2	2	1	2	0	0	2	0	0	2	2	1	1	0	1	2	1	2	2	0	2	2	2	0	2	2	2	0	0	2	0	2	2	2	2	0	0	2	1	0	2	2	2	1	0	0	0	2	0	
RBBP5	0	0	0	2	0	0	0	2	0	0	0	0	2	1	0	2	0	0	0	0	2	0	2	0	0	0	1	0	0	0	2	0	2	0	1	0	2	0	0	0	0	1	0	0	2	0	0	2	0	0	0	2	2	0	2	0	0	0	0	0	0	2	0	0	0	2	0	0	0	2	0	2	0	1	2	0	0	2	2	0	0	0	1	0	0	0	0	0	0	
RERE	2	1	0	2	1	0	1	0	2	0	1	1	1	1	1	2	0	0	0	0	2	0	1	2	1	2	2	2	2	1	2	0	2	1	0	1	2	2	1	0	2	2	2	2	2	2	1	2	2	2	0	2	2	1	2	1	2	1	2	0	2	2	0	0	2	2	2	2	2	2	1	2	2	2	2	2	2	2	0	2	2	2	2	0	0	0	0	2	2	
RXRA	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	0	2	2	
SCRT2	2	2	2	2	0	1	0	2	2	2	2	2	1	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	1	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	1	2	2	
SMAD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	2	0	
SMARCE1	2	1	2	2	0	2	2	2	2	2	2	2	2	2	1	2	2	0	1	2	2	2	2	1	1	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	1	2	1	0	2	2	
SOX13	2	1	0	2	2	1	2	2	2	2	2	2	2	2	1	2	2	0	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	1	1	1	2	2	
SOX6	2	2	1	2	0	0	2	2	2	2	2	2	2	2	0	2	2	0	0	2	2	2	2	1	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	0	2	2	2	1	2	1	0	2	2	
THRAP3	0	0	0	2	0	0	0	1	2	0	0	0	1	2	0	2	0	0	0	2	0	0	2	0	0	0	0	2	0	0	0	0	2	0	0	0	0	2	0	2	2	0	2	2	2	0	0	2	2	2	2	2	2	0	0	0	0	0	2	0	0	2	2	0	2	2	2	0	0	2	0	2	2	0	2	0	0	2	0	0	2	2	1	0	2	0	0	2	0	
WT1	0	0	2	2	0	0	0	2	2	2	2	2	2	2	0	2	2	1	2	0	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	1	1	0	2	2	
YY1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	
ZBTB11	2	2	2	2	0	2	0	2	2	2	2	0	0	2	0	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	0	2	2	2	2	2	0	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	0	2	2	2	0	2	0	0	2	2	
ZIC2	2	2	2	2	0	0	0	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	0	2	2	
ZKSCAN1	2	2	2	2	0	0	0	2	2	2	2	1	2	2	0	2	1	0	0	2	2	2	2	0	2	2	2	2	2	2	2	0	2	1	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	1	2	1	2	2	2	0	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	0	0	2	2	2	1	2	1	0	2	0	
ZNF140	0	0	1	2	0	0	0	2	0	0	2	0	0	1	0	1	0	2	0	0	0	1	2	0	0	0	2	0	0	0	0	0	2	0	0	0	2	0	0	2	1	0	2	2	0	0	1	0	1	0	0	2	2	2	2	1	2	0	2	0	2	2	1	0	2	0	0	0	0	2	1	2	0	0	2	0	0	1	2	0	0	0	1	0	0	0	0	2	1	
ZNF217	2	2	2	2	0	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2	2	2	2	2	2	2	0	2	2	2	1	0	1	2	2	2	
ZNF366	2	1	2	2	0	2	0	2	2	2	2	2	2	2	0	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	0	2	2	
ZNF423	2	0	2	2	0	0	0	2	2	2	2	2	0	2	0	2	0	2	2	2	2	0	1	2	2	2	2	2	2	2	2	2	2	2	0	1	2	2	2	2	2	2	2	2	2	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	0	2	0	2	2	0	2	2	2	2	1	2	1	0	2	2	
ZNF488	0	0	0	1	0	0	0	2	0	1	2	0	0	0	0	0	0	0	2	0	0	0	2	0	1	1	2	2	0	0	1	0	2	0	0	0	2	0	0	0	2	0	2	0	0	0	2	0	0	0	2	2	0	2	0	0	2	2	2	0	2	2	0	0	2	2	1	1	0	2	1	2	2	0	0	2	1	1	0	0	0	2	2	0	0	0	0	1	2	
ZNF626	0	0	0	2	0	0	0	2	2	0	2	0	0	0	0	2	0	0	0	0	2	0	1	0	0	0	2	0	0	0	2	0	2	0	0	0	2	2	0	1	0	1	0	2	2	0	0	2	0	0	2	0	2	2	2	0	2	0	0	0	0	2	2	0	0	2	1	0	0	1	0	0	0	0	2	0	0	2	0	0	0	2	2	0	0	0	0	2	2	
ZNF707	0	1	0	1	0	0	0	1	0	2	0	0	0	1	0	1	0	0	0	0	1	0	2	0	0	0	2	2	0	0	0	0	2	0	0	0	2	0	0	0	2	0	2	2	0	0	2	2	1	0	0	0	1	2	1	2	1	2	2	0	0	2	2	2	2	2	0	1	0	1	0	2	2	0	0	0	0	2	0	1	2	0	2	0	0	0	0	0	0	
ZZZ3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
