InputTerm,Symbol,GHIDs,GHtype,NumGenesAway,OtherGeneTargets,Score,Sources,TFBSs,TSSdistance
EGR1,EGR1,GH05J138463,Promoter/Enhancer,0,lnc-ETF1-3||RPL7P19||lnc-EGR1-1||REEP2||HSPA9||ETF1||FAM53C||KDM3B||CDC23||CDC25C||MN298114-189||LRRTM2||FAM13B||RF00017-4923||HNRNPA0||BRD8||KIF20A||KLHL3||MATR3,614.9097,Ensembl||FANTOM5||ENCODE||EPDnew||CraniofacialAtlas||dbSUPER,BRCA1||ARHGAP35||SP1||CREB1||GATAD2A||CTCF||ZBTB33||HNRNPL||PRDM10||ZNF629||REST||TFE3||LEF1||IKZF1||NFKBIZ||ZNF692||POLR2A||RCOR2||BACH1||FOS||JUND||ETV6||LARP7||DDX20||PRDM1||ZNF143||PHF21A||ZIC2||HNRNPUL1||RBFOX2||ZNF24||RXRB||MTA1||PATZ1||SMAD5||NR2C1||TCF12||IRF2||BRD4||IKZF2||BRD9||ZNF501||TRIM22||ZNF747||EZH2||ELF4||HDAC1||GABPA||ELK1||ZNF600||GTF2F1||FUS||SOX6||ZNF341||FOXJ2||PKNOX1||GATAD2B||CEBPA||MCM7||ZNF561||EP300||SCRT2||KMT2B||MNT||NRF1||EED||ARNT||ZBTB44||CEBPB||NONO||MGA||KLF9||ZBTB20||SIN3A||ARID3A||SP2||ZNF512B||GTF2E2||RAD21||TARDBP||CBX3||ZNF639||ELK4||NKRF||ATF1||ZNF766||DPF2||ZNF524||RELB||CHD2||USF2||KLF7||MTA3||EGR1||ZNF10||ZXDB||BHLHE40||CTBP1||SNRNP70||RUNX3||ZBTB10||TAF9B||ZBTB26||RNF2||ZKSCAN8||TGIF2||HDAC2||ZBED1||ZNF585B||ZNF444||BCLAF1||OSR2||NFRKB||ZBTB40||CBFB||BCL11A||PHB2||NR2C2||ATF3||RCOR1||ZBTB11||ZBTB48||ESRRA||YY1||ZBTB5||ZNF318||SMC3||SFPQ||ZNF592||AFF1||MLLT1||MAX||ZBTB17||CHD1||TBL1XR1||MYC||ZKSCAN1||ZNF423||RBM22||EP400||XRCC3||TRIM24||TFDP1||SREBF2||NCOR1||MIER1||PCBP1||MAZ||RFX5||CREM||NR2F2||GTF2A2||ELF1||MBD2||KLF13||PTBP1||FOXM1||NFIC||NBN||ZSCAN9||WT1||HDGF||ZC3H8||ZFHX2||KLF8||STAT5A||HCFC1||ZNF792||BMI1||SAP130||MYNN||ZNF777||ZNF189||TBP||NR2F1||CEBPG||ZNF335||MAFK||PHF8||ZNF610||STAT1||GABPB1||ZNF395||SPI1||STAT3||ZNF511||KLF6||ZGPAT||ZBTB1||PRDM4||ZNF384||SMARCA5||IRF4||ZFP69B||SAFB||ZNF584||DNMT3B||GATAD1||SKIL||EBF1||NFIB||KLF17||ZNF654||DRAP1||ZHX1||PHF20||HIC1||ZSCAN5A||SIN3B||CBX1||SMAD4||NR2F6||BCL6||RB1||SUPT5H||ZNF366||SSRP1||TFAP4||HLTF||CHD4||KLF5||ZNF687||HNF4A||NFATC3||MXI1||KLF11||ZSCAN23||VEZF1||CBLL2||NFIL3||BCL11B||IKZF5||RXRA||ZBTB7B||KLF1||THAP11||ETV1||RARA||TOE1||ZNF624||ID3||NFIA||THRAP3||ZNF521||ZNF660||GLIS1||ZNF398||ZNF2||KHSRP||ARID4B||KDM1A||ZEB2||NFXL1||ETV4||KLF10||KLF16||ATF7||MEIS2||TAF1||SMARCA4||YY2||TEAD3||ZFP37||ZNF184||NELFE||IRF9||MTA2||KDM3A||XRCC5||TAF7||ZBTB12||SRF||SP3||INSM2||ZNF48||ZSCAN29||SMARCE1||MXD3||SOX5||ZBTB21||ZNF217||FOXK2||HLF||ZHX2||ZNF197||CEBPZ||E2F7||ZFP36||ZNF579||RLF||EGR2||RUNX1||L3MBTL2||RBPJ||RBM39||PRDM2||TEAD4||ZNF362||ZNF169||ZNF473||ELF3||MLX||PPP1R10||SREBF1||ZFX||POLR2B||ZNF148||ZBTB6||CBFA2T3||KLF14||ARID1B||SP7||ZSCAN21||ZBTB7A||ZNF644||HNF1A||ZNF121||E2F1||GLIS2||SP5||ZBTB8A||PML||ERF||ARID2||GMEB1||KAT8,1264
EGR1,EGR1,GH05J138461,Enhancer,1,lnc-ETF1-3||ENSG00000271196||REEP2||SNORD63||SNORD63B||ETF1||HSPA9||MN298114-189||RF00017-4923||FAM53C,0.6656286,FANTOM5||dbSUPER,PRDM10||NFKBIZ||PRDM1||USF1||MAX||USF2||RAD51||NFYC||BCL3,-3951
EGR1,EGR1,GH05J138472,Enhancer,0,RPL7P19||lnc-EGR1-1||REEP2||ETF1||HSPA9||MN298114-189||RF00017-4923||LRRTM2,0.4424177,Ensembl||ENCODE,PRDM10||POLR2A,7022
EGR1,EGR1,GH05J138458,Enhancer,1,ENSG00000271196||lnc-ETF1-3||REEP2||SNORD63B||ETF1||HSPA9||CDC25C||SNORD63||RF00017-4923||FAM53C||FAM13B||MN298114-189||LRRTM2||NME5,1.838658,FANTOM5||ENCODE||dbSUPER,GATAD2A||PRDM10||TFE3||RXRB||IKZF2||GABPA||PKNOX1||KMT2B||MGA||RUNX3||RNF2||TGIF2||CREB1||MAX||ZBTB25||MBD1||TEAD1||MYRF||TFDP1||CREM||ELF1||KLF9||ZSCAN9||IKZF1||RELA||ZNF792||SAP130||MIER3||GABPB1||ZNF511||KLF6||ZGPAT||PRDM4||MXD4||DNMT3B||GATAD1||EBF1||MAZ||SMAD4||DPF2||HOMEZ||MXI1||KLF11||NFIL3||THAP11||RARA||TBX21||ARID4B||ATF7||TEAD3||NFATC1||KLF16||BHLHE40||MXD3||SOX5||HLF||ATF1||HBP1||RBPJ||ELF3||FOXA3||MLX||ZNF687||MIXL1||ZFX||SP5||ERF||SMARCA4,-6019
EGR1,EGR1,GH05J138471,Enhancer,0,RPL7P19||lnc-EGR1-1||REEP2||KDM3B||ETF1||HSPA9||CDC23||MN298114-189||RF00017-4923||HNRNPA0||BRD8,0.4424177,ENCODE||dbSUPER,POLR2A||FUS||ESRRA||NCOR1||NFIB||SUPT5H||REST||POLR2B,5238
EGR1,EGR1,GH05J138470,Enhancer,0,RPL7P19||lnc-EGR1-1||REEP2||KDM3B||ETF1||HSPA9||CDC23||MN298114-189||RF00017-4923||HNRNPA0||BRD8,0.4424177,ENCODE||dbSUPER,ZBTB33||IKZF1||PHF21A||POLR2A||ELF4||FUS||MCM7||CHD2||MTA3||BHLHE40||SNRNP70||ATF3||ZBTB5||PKNOX1||TRIM24||NCOR1||JUND||CEBPG||MNT||NFIB||SMAD5||SMAD4||SUPT5H||HLTF||HDAC2||CEBPB||REST||NFIL3||RARA||THRAP3||ZNF24||KDM1A||ZEB2||ZHX1||IRF9||FOXK2||HLF||MAFF||TAF1||NFE2L2||PPP1R10||POLR2B||GATAD2B,5078
EGR1,EGR1,GH05J138474,Enhancer,2,RPL7P19||lnc-EGR1-1||FJ601684-390||SNORD63B||ETF1||HSPA9||SNORD63||RF00017-4923||MN298114-189,0.4424177,FANTOM5,,9471
EGR1,EGR1,GH05J138473,Enhancer,0,RPL7P19||lnc-EGR1-1||REEP2||KDM3B||ETF1||HSPA9||CDC23||MN298114-189||RF00017-4923||HNRNPA0||BRD8,0.4424177,ENCODE||dbSUPER,HNRNPUL1||POLR2A||FUS||ESRRA||NR2F2||NFIB||SUPT5H||REST||PPP1R10||POLR2B||XRCC5,5328
EGR1,EGR1,GH05J138479,Enhancer,2,FJ601684-390||RPL7P19||lnc-EGR1-1||REEP2||SNORD63||HSPA9||SNORD63B||ETF1||MN298114-189||RF00017-4923||BRD8,0.409542,FANTOM5,,14430
EGR1,EGR1,GH05J138454,Enhancer,1,ENSG00000271196||lnc-ETF1-3||REEP2||CDC25C||RF00017-4923||MN298114-189,0.409542,Ensembl||dbSUPER,PRDM1||SCRT2,-10378
