InputTerm,Symbol,GHIDs,GHtype,NumGenesAway,OtherGeneTargets,Score,Sources,TFBSs,TSSdistance
AGXT2L1,ETNPPL,GH04J108896,Enhancer,7,lnc-OSTC-6||RF00017-4385||COL25A1||lnc-ETNPPL-2,9.812119,Ensembl,CREB1||ATF2,-133947
AGXT2L1,ETNPPL,GH04J108649,Promoter/Enhancer,13,OSTC||RF00026-815||RNU6-431P||RPL34||RPL34-DT||SEC24B||CDC42P4||SETP20,0.1389141,Ensembl||EPDnew||ENCODE||CraniofacialAtlas,SP1||CREB1||REST||IKZF1||POLR2A||NFRKB||ZNF7||LARP7||GABPA||ZNF143||PHF21A||RBFOX2||RXRB||PATZ1||SMAD5||IRF2||IKZF2||RCOR1||BRD9||ZNF501||TRIM22||ELF4||HDAC1||ZNF600||YY1||PKNOX1||ZFX||GATAD2B||KMT2B||EED||MNT||NRF1||SOX13||KLF9||MGA||ZBTB20||TAF1||ARID3A||SP2||RAD21||PAX8||NKRF||ZNF524||RELB||MTA3||ZXDB||RUNX3||TAF9B||ZBTB2||FOXK2||RNF2||TGIF2||CTCF||E2F5||ZNF316||BCLAF1||FOXA2||ZBTB40||CBFB||LEF1||KAT7||E2F4||ZBTB26||EP300||ZBTB25||MAFK||MBD1||ZNF217||MYC||TEAD1||EP400||TFDP1||ZNF623||MAX||JUND||HCFC1||ARNT||CREM||ELF1||MBD2||KLF13||ZBTB11||NFIC||SIN3A||HNRNPH1||SAP130||ZNF189||TBP||NR2F1||RFX5||FOXM1||ZNF207||PHF8||ZNF335||CHD1||GABPB1||SPI1||KLF6||ZGPAT||MXD4||ZNF530||TCF7L2||GATAD1||DRAP1||PHF20||E4F1||SIN3B||SUPT5H||KLF5||HNF4A||MXI1||VEZF1||FEZF1||ZFP64||STAT5A||THAP11||ETV1||TOE1||DMAP1||ZNF660||TBX21||NFE2||ZNF2||ARID4B||ETV4||RAD51||KLF16||ATF7||MEIS2||YY2||TEAD3||TAF7||SP3||ZNF48||ZNF518A||MXD3||HSF1||ZNF197||ZNF580||RB1||NFYC||PYGO2||HBP1||L3MBTL2||CHAMP1||ELF3||EGR1||ZNF687||POLR2B||ZBTB6||CSDE1||GTF2F1||ZNF121||E2F1||GLIS2||SP5||EMSY||ZBTB8A||PML||ERF||GMEB1||KAT8||ATF1||SMARCA4,111653
AGXT2L1,ETNPPL,GH04J108876,Enhancer,6,lnc-OSTC-6||lnc-COL25A1-4||COL25A1||lnc-ETNPPL-2,0.1389141,Ensembl,RAD21,-114147
AGXT2L1,ETNPPL,GH04J108931,Enhancer,8,RF00017-4385||piR-47162-108||COL25A1||lnc-ETNPPL-2,0.09834627,Ensembl,,-168747
AGXT2L1,ETNPPL,GH04J108972,Enhancer,8,RF00017-4385||piR-47162-108||lnc-ETNPPL-2||COL25A1,0.07481341,Ensembl||VISTA,PKNOX1||ZNF24||HDAC1||SOX6||EP300||MGA||CTBP1||HDAC2||STAT5A||ZNF592||NCOA1||BATF||CEBPB||ZEB2||MEIS2||SMARCA4||SMARCE1||RNF2||L3MBTL2||TEAD4||ARID1B,-210042
AGXT2L1,ETNPPL,GH04J108944,Enhancer,8,RF00017-4385||piR-47162-108||COL25A1||lnc-ETNPPL-2,0.09026783,Ensembl,NR2F2,-181447
AGXT2L1,ETNPPL,GH04J108962,Enhancer,8,piR-47162-108||RF00017-4385||COL25A1||lnc-ETNPPL-2,0.08053857,Ensembl,,-199847
AGXT2L1,ETNPPL,GH04J108961,Enhancer,8,piR-47162-108||RF00017-4385||COL25A1||lnc-ETNPPL-2,0.08053857,Ensembl,,-199046
AGXT2L1,ETNPPL,GH04J108889,Enhancer,7,lnc-OSTC-6||RF00017-4385||COL25A1||lnc-ETNPPL-2,0.1285175,Ensembl||CraniofacialAtlas,NR2F2||RXRA,-127269
AGXT2L1,ETNPPL,GH04J108888,Enhancer,7,lnc-OSTC-6||RF00017-4385||COL25A1||lnc-ETNPPL-2,0.1285175,Ensembl,,-125647
