GH04J109206	PRDM10||ZNF629||ZNF692||PRDM1||ZIC2||PATZ1||ZNF501||ZNF600||ZNF341||ZNF561||ZBTB44||ZNF639||ZNF10||ZXDB||CTBP1||TSHZ1||CEBPB||ZSCAN5C||CHD2||OSR2||ZNF580||BCL11A||RCOR1||ZBTB48||ZBTB17||ZNF423||ATF2||NFIC||EP300||WT1||ZFHX2||KLF8||ZNF189||RFX5||ZNF335||ZNF610||STAT3||PRDM4||ZNF213||ZFP69B||KLF17||ZNF18||ZSCAN16||HIC1||ZNF366||ZNF843||ZSCAN23||VEZF1||FEZF1||BCL11B||PRDM6||ZNF324||ZNF660||GLIS1||TRIM28||ZNF398||ZNF2||ZNF24||KDM1A||ZNF664||ZEB2||KLF10||MAFF||SP3||INSM2||ZBTB21||EGR2||GFI1B||ZNF19||BCL6B||MZF1||ZNF488||SP7||ZSCAN21||ZBTB8A||PKNOX1
GH04J109205	YY1||HCFC1||ZNF143||SIX5
GH04J109122	
GH04J109211	CEBPB||EP300
GH04J109212	EP300||CEBPB
GH04J109125	IKZF1||PKNOX1||DPF2||ZBTB20||NFE2||ZSCAN29||ZNF316||MAFG||MAFK||ZNF592||CEBPB||ATF3||ETV1||PRDM10||KDM1A||ZEB2||MEIS2||ATF2||MAFF||BACH1||ATF7||ELF1||ARID1B||EMSY||GMEB1||SMARCA4
GH04J109214	ATF7||NFE2||ATF2||NFIC||ZNF366||JUN||JUND
GH04J109068	
GH04J109069	
GH04J109066	
GH04J109065	
GH04J109358	RUNX3
GH04J109361	
GH04J109067	ZNF512||IKZF1||CEBPB||CHD2||JUN||RCOR1||JUND||MAX||EP300||RAD21||CEBPG||STAT3||TCF7L2||USF2
GH04J109072	CEBPG||PRDM10||ZNF692||ZIC2||CEBPB||JUN||RCOR1||JUND||MAX||EP300||RFX5||STAT3||TCF7L2||NFE2L2||ZNF398
GH04J109232	
GH04J109146	
GH04J109078	PRDM10||ZNF600||ZXDB||CEBPB||OSR2||JUN||FOS||ZBTB17||JUND||EP300||BCOR||RAD21||MAFK||PRDM6||IKZF1||ZMYM3||SP7||ZSCAN21
GH04J109154	
GH04J109155	PKNOX1||POLR2A||NFIC||PRDM6||MEIS2
GH04J109159	
GH04J109265	SCRT2
GH04J109088	
GH04J109163	TEAD4||ZNF24||CEBPB
GH17J008036	ZNF580||ZNF146||ZMYM3
GH17J008031	ATF7||CEBPA||FOXA1||FOXA2||FOXP1||MIER3||FOSL2||RARA||LCORL||NR2F6||FOXA3||NR3C1
GH17J008033	PRDM1||FOXA1
GH17J008029	CTBP1||NFE2||PKNOX1||FOS
GH17J008023	CEBPG||ATF4||CEBPB||ATF3
GH17J008028	ATF4
GH17J008062	ZNF221||PRDM10||ZNF629||IKZF1||JUND||PRDM1||PKNOX1||MTA1||PATZ1||EZH2||DPF2||HDAC1||ZNF600||SOX6||TCF12||ZNF561||NONO||ZNF639||ZNF524||HMBOX1||MTA3||ZNF10||CTBP1||ZNF157||ZEB1||TSHZ1||OSR2||BCLAF1||BCL11A||ZBTB17||FOSL1||NFIC||WT1||KLF8||OVOL3||ZNF184||ZNF189||ZNF335||ZNF610||PRDM4||TCF7L2||TAL1||KLF17||ZNF768||ZNF513||ZNF18||ATF4||SIN3A||ZFP91||ZNF366||ZNF843||FEZF1||FOXK2||BCL11B||CHD1||PRDM6||ZNF660||TRIM28||ZNF2||ZNF24||ZEB2||KLF16||MEIS2||YY2||SMARCA4||INSM2||SMARCE1||ZNF280D||ZNF133||ESRRA||ATF7||RNF2||CBFA2T3||ARID1B||SP7||ZBTB7A||YY1||GLIS2||ATF1
GH17J008060	CTCF||ZHX2||REST||RAD21||YY1||ZNF561||ZBTB20||EZH2||SMC3||ZBTB17||CUX1||ZNF184||POLR2A||ZNF654||ZNF660||ZNF143||KLF10||YY2||RXRA
GH17J008067	PRDM10||RFX1
GH17J008066	
GH17J008012	SCRT2||SCRT1||MYC
GH17J007981	RAD21||CTCF||HMBOX1||ZSCAN29||JUN||FOS||SMC3||JUND||FOSL1||MAFK||DPF2||ATF3||SMARCE1||ARID1B||SMARCA4
GH17J007992	RFX1||PKNOX1||BMI1||RFX5||KLF9||FOS
GH17J007991	
GH17J008072	CREB1||CTCF||ZNF629||RFX1||ZNF143||REST||TRIM22||EZH2||ZNF600||SCRT2||MNT||KLF9||SP1||ZNF524||BMI1||ZNF444||ZBTB48||SMC3||ZBTB17||YY1||ZNF623||ZBTB11||IKZF1||RAD21||ZNF335||SMARCA5||KLF17||ZNF654||CREM||HIC1||SIN3A||ZNF24||ZBTB33||ZFP37||ZNF416||XRCC5||KLF1||CHD2||BHLHE40||ZNF547||SP7||ATF1||ZEB2
GH17J008068	CEBPB||ATF2||NR2F2||HLF
GH17J008007	
GH17J008004	PRDM1||NRF1||JUND||EGR1||CEBPB||FOS||ZNF189||PRDM4||EZH2
GH17J008082	SOX6||HMBOX1||TAL1||NRF1||ZEB2||CBFA2T2||CBFA2T3||ARID1B
GH17J007988	CTCF||PRDM10||ZNF692||REST||RAD21||TRIM22||MGA||ZNF10||USF1||SMC3||MNT||MYC||MAX||USF2||ZNF335||ZFP69B||ZNF654||ZFP3||ZNF660||ZNF2||BHLHE40||ZNF558||RAD51||L3MBTL2||ZNF384||SP7||CC2D1A
GH17J007987	CREB1||ZNF341||ATF2||ZBTB21||ATF1
GH17J008133	KDM1A||ZNF341||JUN||USF1||MYC||FOSL2||SIN3A||ATF3||FOS||POLR2A||USF2||EGR1
GH17J008128	RFX1||ZBTB2||ZNF366||MAFK
GH17J008105	BRD9||ZNF600||EP300||MGA||UBTF||CEBPB||NFRKB||EP400||ZFHX2||CEBPG||ZNF592||ATF4||ATF3||ETV1||ZEB2||IKZF1||KLF1||L3MBTL2||SMARCA4
GH17J007958	CEBPB||NR3C1||HLF||ZNF121
GH17J007969	CTCF||ZNF316||MAFF||MAFK||MAFG||POLR2A||EMSY
GH17J008110	CTCF||ZNF143||ZIC2||PATZ1||REST||TRIM22||EZH2||MGA||ARID3A||RAD21||MTA3||CTBP1||RUNX3||GATAD2B||USF1||YY1||NFIC||NBN||HDGF||ZFHX2||IKZF1||GABPB1||SMARCA5||SAFB||SKIL||STAT1||NFIB||PHF20||SIN3A||MAZ||RB1||BHLHE40||ZNF687||ZNF2||ZEB2||KLF1||RAD51||KDM1A||L3MBTL2||USF2||ATF7||RNF2||ZBTB8A||ARID2||GMEB1||ATF1
GH17J008111	CTCF||ZBTB33||ZNF143||ZIC2||PATZ1||REST||RAD21||TRIM22||EZH2||MGA||ARID3A||MTA3||CTBP1||RUNX3||GATAD2B||SMC3||YY1||NFIC||NBN||HDGF||ZFHX2||IKZF1||GABPB1||SMARCA5||SAFB||SKIL||STAT1||NFIB||PHF20||SIN3A||MAZ||RB1||ZNF687||GLIS1||ZNF398||ZNF2||ZEB2||XRCC5||KLF1||BHLHE40||KDM1A||L3MBTL2||PRDM2||ATF7||RNF2||KLF14||ZBTB8A||ARID2||GMEB1||ATF1
GH17J007867	PRDM10||ZNF341||ZNF10||ATF2||CTCF||SPI1||ZNF146||ATF7||ZNF121
GH17J007917	
GH17J007912	CTCF||JUND||PRDM1||RXRB||REST||RAD21||TRIM22||CEBPB||SP1||CTBP1||BCLAF1||SMC3||ZBTB17||NR2F2||ZFHX2||RFX5||SPI1||ZNF384||ZNF654||DPF2||ZNF366||ATF2||THAP11||ARID4B||ZNF664||YY1||EGR2||ZNF362||ZNF143||RXRA||ZEB2
GH17J007864	KLF1||MZF1||ZNF121
GH17J007781	RUNX3||CBFB||HHEX||NR2F1||NR2F6||RARA||ATF7||MTA2||CBFA2T3||SPI1||IKZF1||IKZF2||MLLT1
GH17J007804	GABPA||RFX5||POLR2A
GH17J007773	CEBPG||GATAD2A||TFE3||IKZF1||NFKBIZ||JUND||PRDM1||ZIC2||RXRB||REST||IRF2||CEBPA||SOX13||RFX3||CEBPB||SMARCC2||CTBP1||FOS||CHD2||JUN||RCOR1||E4F1||MBD1||GTF2F1||TEAD1||FOSL1||MAX||DEK||MXI1||EP300||ZNF792||SAP130||RFX5||POLR3A||DPF2||MIER3||SMC3||BHLHE40||STAT1||GABPB1||NR2F1||STAT3||ZNF511||KLF6||ZGPAT||TBP||TCF7L2||GATAD1||USF2||ZKSCAN1||FOSL2||ATF4||SMAD4||NFIL3||IKZF5||ATF3||THAP11||RARA||TRIM28||ARID4B||ZNF664||ETV4||KDM1A||HMG20A||IRF9||NR2F6||KDM3A||KLF16||ZNF48||SOX5||HLF||ZNF580||RBPJ||ELF3||FOXA3||MIXL1||TRIM24||PPARG||ARID1B||CREB1||ZNF644||ERF||KAT8
GH17J007862	GATAD2A||CTCF||SOX13||IKZF1||PATZ1||REST||RAD21||TRIM22||ZNF341||CEBPA||FOXK2||SCRT2||TCF7||FOXA1||ZNF444||FOXA2||SMC3||TEAD1||SCRT1||KDM6A||HHEX||CREM||NBN||SIN3A||SAP130||RFX5||ZNF335||MXD4||ZNF384||ZNF654||FOSL2||SMAD4||BCL6||CHD4||NFIL3||THAP11||RARA||KDM1A||TEAD3||HMG20A||YY1||SOX5||LCORL||RBPJ||ZNF362||ELF3||FOXA3||MIXL1||PPARG||HMG20B||SP1||ERF||KAT8
GH17J007896	CTCF||REST||RAD21||MGA||ZNF585B||YY1||SMC3||MYC||EP400||TFDP1||NFIC||MNT||NFIB||ZNF654||ARID4B||MAX||L3MBTL2||USF2||TRIM22||ARID2
GH17J007808	CEBPA||CEBPB||JUND||EP300||TCF7L2||POLR2A||ZNF384||CEBPG||ZNF121
GH17J007767	ZIC2||ZNF140||RFX1||ZNF18
GH17J007755	USF1||POLR2A||USF2||KLF1
GH17J007754	
GH17J007749	ZSCAN4||JUND||ZEB1||TSHZ1||JUN||FOS||EP300||ZNF184||FEZF1||PRDM6||ZNF624||TRIM28||ZNF664
