EGR1 ENSG00000120738
ELK1 ENSG00000126767
ETV1 ENSG00000006468
KDM4B ENSG00000127663
KLF10 ENSG00000155090
LEF1 ENSG00000138795
NFIB ENSG00000147862
RBPJ ENSG00000168214
SP1 ENSG00000185591
SUZ12 ENSG00000178691
TEAD1 ENSG00000187079
ZKSCAN1 ENSG00000106261
ZNF16 ENSG00000170631
ZNF197 ENSG00000186448
ZNF197 ENSG00000281709
ZNF207 ENSG00000010244
ZNF3 ENSG00000166526
ZNF662 ENSG00000182983
ZNF664 ENSG00000179195
ZNF7 ENSG00000147789
