"","GeneFeature","X1792A","X1835_3","X1835_5_44","X2038A","X2038B","X3440","X3651AA","X4506BA","X93192A","X94293A_6_20","BJ2A","FoldChange","p.value"
"17484","RNASEL",986,546,703,367,630,135,168,479,149,267,310,2.57188328912467,0.0133375063622725
"17557","RNF224",49,31,3,23,31,47,66,64,138,38,86,0.374487471526196,0.0258468486432833
"17602","ROCK1P1",156,54,134,96,153,67,40,51,19,55,87,2.2307210031348,0.0235783172717961
"17604","ROD1",12367,11239,9762,6578,9524,3697,3275,7283,6166,7762,4862,1.79645937358148,0.00761372759237641
"17630","RPAP2",1003,645,882,894,1033,659,603,848,780,676,400,1.34856278366112,0.0363687634150799
"17650","RPL13AP20",10,10,13,14,15,8,8,9,9,12,10,1.32857142857143,0.0392105842460711
"17704","RPL41",9395,7317,11039,9057,10481,7822,2974,9371,7221,4660,7461,1.43630058973905,0.0356145984879758
"17709","RPL7L1",2539,1915,2148,2236,2562,1619,834,2530,1747,1561,1165,1.44670050761421,0.0311405047019217
"17825","RSC1A1",190,131,186,123,197,105,56,121,131,91,52,1.78489208633094,0.00749972150974861
"17866","RTTN",578,474,826,578,706,567,342,514,485,505,334,1.38128867855843,0.0465145995307214
"17980","SASH1",4538,4196,4524,3616,4797,3216,1868,4808,3704,3228,2002,1.38134494847551,0.0458183484597045
"17987","SATL1",53,39,37,21,22,9,7,10,16,8,21,2.90704225352113,0.0156534688338805
"18067","SCIN",69,92,169,175,82,80,31,78,26,40,7,2.68854961832061,0.0271165958631205
"18177","SECISBP2",2392,1765,2606,1828,2211,1702,1033,1907,1847,1249,1617,1.38561197220738,0.0218779214394577
"18192","SELRC1",1675,947,1649,884,1005,685,496,749,620,671,1145,1.6930829134219,0.0437318253072749
"18278","SERPINB1",311,107,232,169,282,94,68,98,60,52,210,2.27010309278351,0.0268385019600029
"18307","SESN1",1978,1708,2422,1611,1803,1291,788,2077,1572,1346,870,1.43836858006042,0.0399476114370896
"18312","SETBP1",11348,15483,14603,6938,6673,3881,4671,4919,4182,8294,3406,2.250332163663,0.0260001927850544
"18381","SGMS2",708,657,1168,453,712,475,212,748,442,362,155,1.85363408521303,0.048653192695872
"18392","SGTB",4305,1769,4227,2720,3733,1827,1272,2093,2481,2262,1866,1.70365223286162,0.0435809943476252
"18426","SH3PXD2B",18548,21496,18132,14236,14925,14702,7233,15198,11925,10493,11244,1.48039268309909,0.0117057194160281
"18441","SHC3",8200,6774,8863,6307,7188,7077,3879,5178,4157,4109,4479,1.55124484919838,0.00355110908421694
"18535","SKIV2L2",4556,2872,5382,3280,4354,2686,1630,3881,2912,2737,1734,1.57463414634146,0.0304932582531308
"18557","SLC11A2",7155,4249,6198,4412,5451,4147,2323,4359,4006,3553,2518,1.57648521955419,0.0175144671145965
"18569","SLC13A3",453,450,393,212,269,121,113,146,262,200,353,1.78443514644351,0.0361487743090098
"18571","SLC13A5",52,36,36,62,78,15,25,12,24,33,43,2.08421052631579,0.0226939454336707
"18617","SLC22A1",35,35,23,21,21,22,21,21,18,9,13,1.55769230769231,0.0427172218869553
"18630","SLC22A23",7168,8298,8233,4920,4808,3266,3005,2709,3335,5661,4308,1.80005385029618,0.0137614750108404
"18779","SLC36A1",1636,1048,1883,1073,1547,724,667,707,498,1054,1368,1.71869270625747,0.0202787004056626
"18832","SLC46A3",166,285,301,140,213,105,81,197,67,185,71,1.87818696883853,0.0321547093398187
"18845","SLC4A8",3329,1805,2663,2022,3074,1247,1064,1070,1077,1792,2501,1.76798080219403,0.0176144172578827
"18866","SLC6A15",3038,1335,4389,1784,2468,496,782,586,1037,2209,1613,2.32289156626506,0.047739540855444
"18885","SLC7A2",5122,4932,4920,1934,2805,2385,1390,3134,2151,1783,582,2.07051203501094,0.0330038848212077
"18931","SLFN13",9,93,115,89,121,45,13,28,37,21,8,3.37105263157895,0.0376430286181165
"18933","SLFN5",498,602,553,678,1149,272,137,419,330,594,81,2.27823240589198,0.0264303057582649
"18993","SMCHD1",8742,5505,8175,5980,8942,4989,3141,6851,5979,5793,2981,1.50712315867357,0.0299519313391458
"19006","SMG7",8792,4689,9434,5568,6998,5137,3285,6591,4448,4079,3695,1.56332660179916,0.04622505069165
"19155","SNORA51",12,6,2,5,10,18,12,13,20,8,15,0.488372093023256,0.0173382069615883
"19489","SNTG1",463,443,440,450,547,237,209,177,356,302,548,1.5372334609076,0.030495382978719
"19548","SORD",1033,685,1017,773,1059,517,246,990,656,659,671,1.46573950254079,0.0460644791016899
"19570","SOX5",2268,3131,2416,2101,3064,1402,1001,1731,1614,1995,841,1.81453867660764,0.00269652245171601
"19572","SOX7",33,43,40,24,36,22,25,28,25,19,24,1.47692307692308,0.0219109658381759
"19575","SP1",6675,4982,5154,5147,6928,4727,3285,5511,4567,4046,2743,1.3932714337393,0.0222208512145512
"19577","SP110",165,323,351,192,238,91,93,158,135,169,106,2.025,0.0201182092067157
"19585","SP7",8,8,6,4,2,6,10,10,15,8,18,0.501492537313433,0.0329244852899632
"19673","SPG11",5618,4907,6152,4904,6683,4774,2499,6254,3350,4102,2152,1.46629198910553,0.0371265291596056
"19702","SPINT1",97,112,141,90,61,21,13,101,41,100,32,1.95194805194805,0.042956079278367
"19727","SPRED1",6217,5089,8408,7461,10066,4243,2671,7227,4495,4895,3343,1.66291582942621,0.0252736183057459
"19744","SPRY2",3056,4418,6176,3382,3340,1898,1358,3041,2478,2440,2566,1.77392061533996,0.0326280141177733
"19746","SPRY4",1853,1655,1587,1872,1811,1411,1183,1985,1049,1061,1432,1.29708164019209,0.0373578237632197
"19761","SPTBN5",70,46,44,42,41,89,124,200,83,49,101,0.451393188854489,0.0366343866523633
"19770","SQRDL",295,186,324,178,348,75,56,249,56,215,74,2.20303448275862,0.0179246671551935
"19787","SRFBP1",1051,796,1213,833,1069,833,450,1004,835,623,555,1.38474418604651,0.0405250815814852
"19831","SRXN1",2271,1743,1849,1454,1723,1251,646,1589,1176,980,1589,1.50020744018808,0.014326465483767
"19900","ST8SIA1",8182,6578,8450,4962,6066,4231,3194,4049,5080,5967,4834,1.50194114421495,0.0211023893555407
"19914","STAG3L1",16,12,11,31,18,99,124,213,364,58,97,0.110575916230367,0.0276566780158931
"19941","STAT6",497,541,473,780,762,180,219,539,237,530,484,1.67364093193239,0.0306993066546492
"19947","STC2",517,935,719,1117,1053,294,226,842,299,559,472,1.93506686478455,0.0193472411286198
"19969","STK32A",322,73,273,177,177,64,78,50,42,179,56,2.61492537313433,0.0400115959706458
"19978","STK4",3575,2776,4063,3263,3814,2817,1676,3562,3084,2344,1683,1.38396413029144,0.0336821252088075
"20031","STXBP5L",978,402,702,453,707,184,394,222,306,485,393,1.96088709677419,0.0334692208186348
"20092","SUSD5",325,264,703,245,381,79,77,214,109,97,77,3.52465543644717,0.0277581281668085
"20140","SYNJ2",682,1198,1009,1013,1239,314,421,1038,390,640,255,2.01739699149771,0.00837542845698964
"20154","SYT1",10220,6465,12051,5703,9737,1881,2578,2626,3889,5860,8481,2.0940628086115,0.0179470807985973
"20189","TAB3",3985,2101,4054,2230,3273,1933,1479,2425,2094,2306,1581,1.58839059062447,0.0469319630955952
"20237","TAMM41",380,294,435,324,341,271,208,326,325,206,222,1.36636713735558,0.0199212051588563
"20241","TAOK1",25217,15623,25527,19360,30049,16311,8491,20707,14934,17039,8190,1.62166402091699,0.0254557945482602
"20400","TCF4",16478,17395,23087,12457,21645,8174,7073,16733,9645,14453,8993,1.67931029183507,0.0168182580687272
"20566","THAP6",689,446,694,533,708,457,383,560,450,451,286,1.42404329339003,0.0235803759169822
"20622","TIGD6",660,465,645,390,574,435,235,570,421,317,307,1.43579868708972,0.0459954017699148
"20719","TMCC1",7953,5469,7230,6161,7601,4587,3090,6172,5043,4603,4278,1.48694055377525,0.00590422628437189
"20728","TMCO7",933,684,1217,945,1053,737,444,900,664,610,707,1.4274741506647,0.0280831432953977
"20775","TMEM131",5339,4038,5992,3873,5119,3859,2233,5053,3715,3797,2221,1.40019158923269,0.0450587911966906
"20816","TMEM168",2103,1533,2520,1372,1941,1184,923,1798,974,1362,963,1.57729039422543,0.025356791797261
"20819","TMEM170A",1333,905,981,1091,1444,859,540,1150,1021,718,472,1.45058823529412,0.0410300397912973
"20877","TMEM217",115,185,176,139,89,49,41,95,75,79,57,2.13333333333333,0.0104720061006475
"21030","TNFRSF10D",452,416,329,431,534,98,80,260,47,188,157,3.12578313253012,0.000137012221442212
"21063","TNIP3",38,20,29,16,24,9,5,14,4,11,7,3.048,0.00788724495662876
"21066","TNKS",18242,11013,18410,12107,15983,9089,6634,12244,8857,10993,7229,1.65145514660466,0.0132657964360716
"21082","TNPO1",17730,10477,20170,13537,18922,9561,5792,14837,11162,12566,7199,1.58717214522964,0.0305043226185331
"21143","TP53RK",1966,1570,2366,1924,2505,1413,588,1627,1371,1142,1440,1.63529877324891,0.00640895365209464
"21207","TRAF5",1112,1147,1190,1025,1476,719,591,1357,930,929,472,1.42857142857143,0.0442719790443153
"21250","TRIB2",18903,11689,20011,10119,9901,8667,5653,10989,8251,8849,6120,1.74632899915514,0.0493878436158973
"21255","TRIM13",3672,1997,4208,2688,3202,1956,1584,2448,2678,1858,1943,1.51763856581375,0.0455835468619113
"21315","TRIM66",2478,1847,3686,1814,2248,1098,1634,1247,1418,1394,1437,1.76076810889645,0.0361069488486024
"21346","TRMT5",2085,1486,2685,1836,2267,1436,910,2142,1599,1387,901,1.48427462686567,0.0380481259484877
"21358","TRPC1",1319,762,1240,795,1017,599,499,731,835,767,638,1.51378717129516,0.0329232641693229
"21373","TRPM8",27,20,49,28,37,10,6,12,10,23,18,2.44556962025316,0.0144938869380878
"21374","TRPS1",6186,5007,4006,3421,5542,2477,2644,4754,1823,4586,1423,1.63745411419213,0.0356197663208167
"21386","TSC1",6378,4652,4467,3906,5181,4287,2876,4313,4107,3579,3077,1.32653446647781,0.0439734292803933
"21488","TTC3",72653,41970,73117,40496,61902,41043,24865,48340,40384,41596,29937,1.53943183074304,0.0440331813789429
"21530","TTPAL",2396,2058,3283,2075,2488,1905,1155,2118,1782,1528,1975,1.41068527191054,0.0302936620581398
"21641","TXNRD1",11089,6401,8783,10323,12503,7902,3348,8916,6689,5976,7258,1.46969991768315,0.0437554154641873
"21655","TYW1B",399,512,514,570,681,443,135,167,502,110,101,2.20246913580247,0.00958053890772562
"21675","UBAC2-AS1",107,101,126,100,110,71,38,90,90,69,77,1.50068965517241,0.00411542541650057
"21748","UBR1",4717,3210,3929,3981,5105,2946,1901,4463,2896,3240,1636,1.47116262732701,0.0324227156020284
"21893","USH2A",36,48,40,49,44,19,46,19,41,26,13,1.58780487804878,0.0310213152442704
"21915","USP24",8063,4160,7202,5142,7670,4391,3327,5956,4316,4618,2632,1.53266244057052,0.0414856891503367
"21936","USP44",109,47,74,83,127,75,40,31,12,45,41,2.16393442622951,0.0234988894556977
"22069","VPS33A",1812,1203,2286,1362,1648,1248,638,1551,1208,906,1122,1.49456016784055,0.0451854400214424
"22078","VPS41",9128,7538,12130,7374,9131,6994,3444,9514,6851,6205,4670,1.44278358723924,0.0472988748201339
"22108","VTI1A",1840,1545,1603,1587,2171,1624,945,1693,1378,1300,730,1.36834419817471,0.0386412010629145
"22151","WBSCR27",84,56,53,32,43,35,8,15,49,5,37,2.15838926174497,0.0340456896054214
"22180","WDR4",710,644,767,570,621,597,399,636,518,432,618,1.242,0.0393072830916199
"22205","WDR67",465,360,553,402,588,274,229,441,468,328,259,1.42151075537769,0.043180632124408
"22350","XPO1",15744,9323,17594,12414,15948,9129,5484,13356,11413,9608,6981,1.52270997480838,0.0323264610507721
"22366","XRRA1",805,717,592,594,892,670,377,572,411,347,236,1.6532721010333,0.00988876110234763
"22367","XYLB",157,159,246,84,118,69,69,56,90,87,81,2.0283185840708,0.0446332276531831
"22373","YARS2",862,526,1146,765,959,551,365,816,563,455,546,1.5502427184466,0.0413241247848503
"22378","YEATS2",6695,4956,4874,4936,5892,4252,2671,5377,4916,3939,4294,1.28977955911824,0.0431291431387991
"22394","YOD1",2174,979,1952,1288,1773,1039,623,1351,1279,1034,813,1.59622088287995,0.0477072267682345
"22406","YTHDF3",9226,5962,11164,6491,8675,5643,3576,7923,6102,5488,3804,1.53127612490779,0.0390868730548264
"22427","ZBED4",4312,3422,3464,3352,4002,2936,2180,3260,3523,2365,2198,1.35235086866723,0.0110924827710315
"22446","ZBTB33",5435,3463,6641,3580,4854,3474,1756,4589,3199,3222,1551,1.61697487493677,0.0416030873701352
"22450","ZBTB39",2363,1612,1833,1629,2243,1536,1054,1914,1623,1102,1122,1.3909711411807,0.0311945580728597
"22487","ZC3HAV1",2448,2309,3243,1988,2666,1883,1035,1945,1574,1728,1473,1.57551359203154,0.00745846070920869
"22495","ZCCHC14",7486,5015,6989,5274,6578,4994,3244,4683,5459,4183,4692,1.37994496422675,0.0196295574821903
"22571","ZFP90",3542,2624,5093,3022,3645,2293,1977,3008,2667,2373,1610,1.54445720850086,0.0359857504943236
"22587","ZFYVE26",3456,3666,3910,2797,3316,2967,1937,2985,2889,2233,2024,1.36840705021616,0.00845784238415693
"22598","ZHX3",5306,3709,3261,3212,4107,2824,2415,2747,2895,2354,3215,1.42942249240122,0.0340228320044471
"22604","ZIK1",1051,652,810,776,959,602,374,867,787,524,308,1.47244367417678,0.0416188259828951
"22620","ZMYM1",1270,958,1739,1062,1437,768,577,1277,1063,899,616,1.49215384615385,0.0425548844809882
"22621","ZMYM2",9884,5758,8983,8247,10532,5836,4634,8477,7411,6339,3720,1.4302331328775,0.0424014603008016
"22634","ZNF10",1316,674,1761,919,1325,561,475,823,820,680,587,1.82311201216422,0.0416571462116046
"22642","ZNF124",235,142,356,219,215,68,141,105,130,129,93,2.1027027027027,0.0209780215564323
"22646","ZNF134",1527,1098,1490,954,1313,966,599,1370,1036,755,674,1.41822222222222,0.0439646377388137
"22648","ZNF136",1361,793,1178,824,1056,579,541,1005,955,698,563,1.44077401520387,0.0475134721568468
"22652","ZNF140",1610,986,1761,1255,1283,1100,760,1040,1179,827,819,1.44524017467249,0.0331251026170163
"22662","ZNF160",2252,1453,1940,1747,2182,1173,1059,1733,1507,1393,898,1.4799433208811,0.0114236787418136
"22666","ZNF17",954,614,804,553,662,485,420,605,670,479,383,1.41499013806706,0.0431637380490361
"22677","ZNF189",2581,1616,2542,1882,2473,1441,1196,2117,1903,1435,1132,1.44327840416305,0.0272761310544579
"22705","ZNF227",1720,1158,1303,1117,1425,945,872,1123,1253,788,771,1.40257301808067,0.0216331730800187
"22717","ZNF248",3845,1677,3549,2241,2779,30,1586,1443,2160,1922,1291,2.0053605313093,0.0234946506547762
"22722","ZNF253",836,618,1185,681,1047,562,463,553,550,638,366,1.67318007662835,0.0273051399837157
"22723","ZNF254",2584,1491,2669,2120,2493,1367,1377,1962,2271,1643,1069,1.40658478687171,0.0468265187308635
"22727","ZNF26",736,412,777,580,794,408,413,516,593,422,329,1.47661320402835,0.0399072470065195
"22728","ZNF260",4042,2453,5399,3250,4114,2482,1462,3389,2374,2844,1684,1.62343519494204,0.037551570043446
"22734","ZNF271",3174,2083,3632,2629,3351,1948,1459,3018,2330,1829,1557,1.46963182604398,0.0296057220198195
"22743","ZNF280C",560,434,491,512,706,355,350,435,489,411,292,1.39090909090909,0.0269488979434851
"22747","ZNF283",658,450,682,413,596,217,357,579,464,323,335,1.4763956043956,0.0398989927768576
"22758","ZNF300",2024,1026,2075,1089,1346,557,581,1175,617,1158,785,1.86168684588549,0.0328387564138911
"22767","ZNF320",2700,1724,3479,2220,2519,1598,1181,2024,2053,1392,1802,1.50949253731343,0.0389067621384823
"22789","ZNF35",730,565,742,579,768,414,371,521,550,430,261,1.59434628975265,0.00257628401681589
"22796","ZNF365",560,412,817,376,514,165,215,385,229,384,401,1.8070826306914,0.0339840549191116
"22799","ZNF37A",3260,2094,2202,2345,2967,276,1974,1117,1992,1814,1388,1.80371451933185,0.0102108211512932
"22821","ZNF415",1467,682,1085,832,1194,505,425,1023,697,550,475,1.71755102040816,0.0314808409365516
"22827","ZNF423",3469,5980,6934,4178,3797,1544,1652,3852,2473,3117,2342,1.95124165554072,0.0200033502786396
"22829","ZNF426",875,757,932,652,825,525,399,778,631,514,251,1.56526791478373,0.0105423388589706
"22834","ZNF431",1488,876,1210,1106,1430,684,710,853,1167,808,622,1.51362510322048,0.0173887214502454
"22836","ZNF433",445,323,307,358,422,236,247,317,286,330,277,1.314825753101,0.0266823265982348
"22839","ZNF438",382,326,415,253,367,142,161,333,242,256,236,1.52671532846715,0.0143688187407932
"22841","ZNF44",634,469,604,420,481,398,375,424,441,350,260,1.39217081850534,0.0201033675020977
"22852","ZNF454",338,270,229,237,183,59,88,126,94,228,135,2.06630136986301,0.00531829926295086
"22867","ZNF484",881,502,813,830,1215,491,391,733,585,584,265,1.66913742210561,0.0381215811067091
"22868","ZNF485",151,104,123,97,139,55,72,78,96,108,116,1.40342857142857,0.0326698781689072
"22873","ZNF491",366,270,426,265,340,164,239,193,357,249,210,1.41671388101983,0.0410911933060524
"22883","ZNF506",2018,1084,1699,1407,1823,883,997,418,1102,996,926,1.8108229988726,0.00764499172606396
"22884","ZNF507",3286,2142,2553,2260,3330,1787,1591,2356,2475,1754,1648,1.40256653173715,0.0344070476912615
"22894","ZNF518B",1566,1367,2564,1219,1723,643,741,1569,625,1301,895,1.75386214063041,0.0365181502251022
"22895","ZNF519",597,349,716,422,644,250,349,325,385,420,323,1.5953216374269,0.0389159318516931
"22898","ZNF525",354,247,516,224,321,144,155,180,147,143,116,2.2535593220339,0.0221662526270075
"22915","ZNF549",1637,1079,1362,1150,1409,919,766,1123,1053,868,844,1.42910461151983,0.0114831606832418
"22917","ZNF551",737,749,761,502,566,372,452,455,524,382,312,1.5931117340809,0.00616882289111861
"22928","ZNF562",3080,2265,3434,2508,2417,1130,1746,1830,2354,1945,2349,1.44837061828431,0.0180234076481259
"22934","ZNF568",1147,759,1027,848,1173,513,530,767,953,701,644,1.44712755598832,0.0192551462521619
"22939","ZNF572",119,80,81,48,75,27,47,55,57,62,31,1.73333333333333,0.0364840596960778
"22945","ZNF578",532,456,555,511,675,222,264,326,135,537,304,1.83154362416107,0.00523440084218586
"22953","ZNF585B",1637,980,1274,1146,1707,809,843,717,1114,927,818,1.54797245600612,0.0233920462821907
"22954","ZNF586",668,456,520,541,524,339,476,504,517,409,242,1.30711700844391,0.0493417341954638
"22959","ZNF594",1105,887,1340,859,1043,627,690,869,677,733,530,1.5222491517208,0.0100340461618646
"22962","ZNF597",289,211,206,221,262,102,93,319,128,139,52,1.71284513805522,0.0497346933032336
"22967","ZNF606",2472,1483,2323,1801,2443,1438,1115,2102,1961,1277,1079,1.40731163620152,0.0488189810379082
"22976","ZNF616",947,580,889,574,860,487,325,685,504,504,396,1.59255429162358,0.0192814291570972
"22977","ZNF618",7587,5639,7133,5479,6130,3764,3531,5574,3680,4281,4280,1.52774193548387,0.0029174957057096
"22982","ZNF623",2225,1724,2364,1652,2071,1690,918,2083,1402,1416,1619,1.3193689745837,0.0458070496877716
"22984","ZNF625",298,228,162,250,289,142,171,213,189,170,122,1.46216484607746,0.0301797061494722
"23023","ZNF677",384,227,359,319,357,201,134,117,87,270,160,2.03839009287926,0.00191593532480198
"23028","ZNF682",400,278,503,330,317,208,208,246,279,247,266,1.50866574965612,0.0329958983362424
"23053","ZNF708",1795,1136,2155,1492,2089,1096,849,1509,1294,1307,1089,1.45582306830907,0.0435197854866437
"23070","ZNF736",255,379,462,377,442,22,33,234,208,413,192,2.08529945553539,0.0204519646896785
"23071","ZNF737",1197,1136,2299,1647,1938,619,901,896,1173,1217,1220,1.6363093262529,0.0410563166211164
"23098","ZNF778",1125,827,1035,632,948,621,443,736,586,749,761,1.40667351129363,0.0347057502834944
"23099","ZNF780A",2471,1326,1762,1624,2472,1430,850,1816,1432,1236,754,1.54110135674381,0.0455996587370962
"23100","ZNF780B",3380,2042,2476,2357,3019,1509,2100,1676,2124,2004,1147,1.50840909090909,0.0166468372590483
"23108","ZNF788",354,361,605,326,402,145,185,133,232,255,250,2.048,0.010366808227072
"23114","ZNF793",2521,1473,2841,1656,2297,1292,1529,1564,1173,1405,1726,1.48988376107722,0.0493341274022934
"23144","ZNF84",7177,3498,6789,4582,6242,3120,2921,4360,4384,3686,2905,1.58802395209581,0.0364476190497941
"23147","ZNF844",758,590,919,593,675,356,342,416,349,567,298,1.82216494845361,0.0032281353207604
"23148","ZNF845",728,473,664,399,566,306,229,585,452,348,266,1.55352241537054,0.0355195092976505
"23213","ZSWIM6",5215,4300,4808,4451,5247,3784,2156,5636,3560,3442,2472,1.36936817102138,0.0494713269242542
"23219","ZXDA",740,342,716,363,717,2,329,34,4,361,316,3.30172084130019,0.00865072725702849
"23220","ZXDB",2306,1192,2689,1412,1925,1145,712,1653,1221,1225,819,1.68690774907749,0.0461225448549054
