"","GeneFeature","X1792A","X1835_3","X1835_5_44","X2038A","X2038B","X3440","X3651AA","X4506BA","X93192A","X94293A_6_20","BJ2A","FoldChange","p.value"
"7745","GUF1",3591,2695,5129,2729,3863,1805,1005,2658,1965,2337,1386,1.93693079956974,0.0130368342882482
"7971","HFE",182,99,134,65,110,54,45,87,23,98,38,2.05217391304348,0.0338473274490534
"8009","HIP1",9551,12318,13507,8813,11336,8880,4960,9770,9336,5885,7165,1.44860422645447,0.0178988986811431
"8032","HIST1H2AK",41,30,27,31,16,24,23,13,14,17,16,1.62616822429907,0.0471505707837873
"8045","HIST1H2BK",602,320,411,426,554,311,204,273,312,203,472,1.56371830985916,0.0334368862097062
"8059","HIST1H3J",1,12,2,2,3,7,18,12,9,5,16,0.358208955223881,0.0360974988257165
"8090","HIVEP2",5085,4568,4439,3722,5326,4255,2498,4891,3487,3250,2629,1.32165635411709,0.0415201510587548
"8301","HS3ST6",110,82,131,34,118,12,24,104,1,37,28,2.76699029126214,0.0272438713087372
"8314","HSD17B12",9120,6504,11418,10818,10614,8073,3689,9559,6377,5019,7280,1.4543290746806,0.0370817074704571
"8360","HSPA4L",2362,1930,2724,1804,2338,1174,643,1900,1280,1504,906,1.80769542324828,0.00278017533441185
"8385","HTATIP2",530,454,478,413,565,411,179,146,211,222,179,2.17210682492582,0.000425584724812864
"8442","ICK",2112,1217,2403,1431,1868,1000,789,1442,1164,1258,961,1.6385243423042,0.0275447595332624
"8454","IDH1",15048,13429,24950,14264,16062,12808,6587,13660,11684,10449,10566,1.52847887580984,0.0483962747337246
"8460","IDI2",131,111,172,93,102,67,57,85,110,49,77,1.64224719101124,0.0243242101705058
"8464","IDS",44012,25694,39423,38504,49800,26056,12981,33232,27334,26987,29478,1.51805366891355,0.0262167490479639
"8473","IFI16",1752,2299,2992,2380,2885,1292,622,2367,1846,1839,1159,1.61858630136986,0.0210427450507712
"8479","IFI44",395,530,694,349,475,98,146,222,147,369,276,2.33036565977742,0.00591843425167502
"8480","IFI44L",1754,2039,3691,1534,1973,316,366,310,436,1487,821,3.53029978586724,0.0105838113178901
"8552","IGFBPL1",586,593,735,252,84,59,73,44,37,272,222,3.81895332390382,0.0491182816234539
"8610","IL17RB",561,457,683,329,468,291,284,499,271,272,239,1.61508620689655,0.0300263752231755
"8698","IMPG1",50,29,56,37,41,13,12,30,25,32,14,2.02857142857143,0.00722111658837501
"8746","INSM1",695,357,848,497,303,145,118,184,194,253,562,2.22527472527473,0.0449495547333567
"8759","INTS6",2326,1657,2524,1677,2087,1529,970,2062,1626,1466,951,1.43249651324965,0.0318271914425715
"8767","IP6K3",47,105,50,86,104,35,38,64,60,16,36,1.88915662650602,0.0419862257026047
"8781","IQCB1",1757,1166,1869,1146,1599,1196,495,1438,1160,1088,834,1.45619062952826,0.044662149613223
"8859","ITGA2",128,42,112,70,121,52,39,43,29,72,22,2.20856031128405,0.0315238769160042
"8909","ITPRIPL1",125,60,42,145,108,37,11,45,30,40,44,2.78260869565217,0.0319848146592008
"8993","KC6",528,245,138,251,469,14,110,130,102,110,131,3.278391959799,0.0351502200313844
"9036","KCNIP4",605,269,752,557,329,195,229,378,258,349,92,2.00826115922718,0.045342155617508
"9097","KCTD12",7825,4222,8380,2952,2786,1467,949,2266,1978,3818,1108,2.7099948213361,0.0486610844825618
"9106","KCTD20",6431,5354,6605,6608,8913,4698,2268,6953,4394,4922,5004,1.44102836502709,0.036301511742506
"9109","KCTD4",42,48,60,62,34,10,34,22,39,25,22,1.9421052631579,0.00765922087118275
"9129","KDM4D",282,306,463,233,328,197,125,295,279,171,183,1.54752,0.0435372899410918
"9132","KDM5B",14780,9066,12736,10833,12863,8730,5294,12695,9340,8745,5207,1.44635380216352,0.0353860650654042
"9172","KIAA0317",7876,4723,8022,5542,6573,5232,2449,6262,4483,4190,4549,1.44609607951408,0.0394766823133029
"9186","KIAA0586",960,827,1494,982,1214,732,517,1002,693,777,633,1.50950849793294,0.0314497693946648
"9200","KIAA0922",801,605,871,637,803,487,345,818,638,542,426,1.36990171990172,0.0448688663868758
"9202","KIAA0947",5217,3691,5323,4033,5525,3543,2092,4966,3608,3195,2096,1.46393846153846,0.0283133757142909
"9205","KIAA1033",3730,2339,3760,3471,4882,2596,1371,3434,2599,2209,982,1.65403684330225,0.0282043942981098
"9259","KIAA1797",4189,3065,5931,2869,3629,2910,1639,3521,1952,2700,1125,1.70575575937026,0.0418708097122025
"9393","KLHL28",5275,3603,4993,4269,5736,2842,1969,4036,4326,3537,2146,1.51947390750955,0.0158607060843273
"9459","KRBA2",949,555,661,592,719,468,175,588,554,530,551,1.45540823447313,0.0463348988069755
"9675","LARS",12163,9054,15711,11570,14352,10083,5205,12090,9241,8423,5825,1.48269015275129,0.0291617457329629
"9724","LCOR",4415,2171,2963,2981,3552,2338,1906,2352,2328,2165,2067,1.46688963210702,0.0497733706901005
"9734","LDHAL6A",22,25,28,24,18,16,17,16,22,9,19,1.41818181818182,0.0192525139842524
"9820","LIFR",16913,15626,22286,11178,14314,5703,5499,5745,8199,11720,4201,2.3469062751114,0.00377915490461123
"9862","LINS",635,418,542,439,633,369,238,476,411,311,217,1.58278931750742,0.0119401880680545
"9938","LOC100128398",386,208,264,371,374,104,200,184,345,186,236,1.53274900398406,0.047454528802984
"9953","LOC100128788",28,25,22,25,23,14,6,11,15,7,27,1.845,0.0134978164095429
"10022","LOC100130691",576,746,583,463,648,505,389,403,554,413,319,1.40116144018583,0.018235268876232
"10027","LOC100130855",50,71,73,67,86,30,51,18,42,55,22,1.91009174311927,0.00378183208425825
"10065","LOC100132111",11,10,16,11,14,4,5,1,5,1,6,3.38181818181818,0.000281231265564646
"10217","LOC100292680",31,32,16,31,47,10,21,11,22,12,26,1.84705882352941,0.0406133920646796
"10220","LOC100294145",1149,662,1795,885,1109,489,258,560,530,644,471,2.27642276422764,0.0272274637055972
"10225","LOC100303728",174,129,169,128,165,116,86,141,136,105,136,1.275,0.0378587274151142
"10232","LOC100379224",582,190,362,430,440,192,154,189,276,245,199,1.91617529880478,0.0371500931050021
"10240","LOC100499466",10556,6460,9965,7125,9690,6662,5189,7589,7265,4732,5795,1.41155994843146,0.0330429179675636
"10322","LOC100506207",94,100,114,96,136,39,39,92,35,66,113,1.6875,0.0215590565213473
"10329","LOC100506334",310,169,149,140,198,38,100,34,15,49,54,3.99724137931034,0.00661074242862215
"10379","LOC100506930",1001,739,1187,895,960,745,544,835,898,523,820,1.31463917525773,0.044672011016222
"10385","LOC100507032",295,315,422,233,323,146,159,199,257,239,172,1.6259385665529,0.0116281975270738
"10435","LOC100507462",43,49,36,35,39,29,26,29,12,23,29,1.63783783783784,0.00227247986252977
"10466","LOC100631378",32,52,29,24,54,2,22,8,21,15,11,2.90126582278481,0.0111987090461972
"10477","LOC144438",3044,1786,3230,2397,3059,1990,1331,2875,2203,1510,963,1.49183222958057,0.0478675115273496
"10501","LOC148189",719,265,603,315,491,58,247,359,226,315,100,2.20045977011494,0.0349777942681853
"10509","LOC149837",61,51,58,12,48,2,29,1,5,24,26,3.17241379310345,0.0192887709104501
"10583","LOC255167",59,72,33,35,63,37,11,23,8,35,53,1.88263473053892,0.0451179350298511
"10600","LOC283143",12,45,55,95,78,2,26,18,10,16,11,4.12048192771084,0.0368627968408677
"10715","LOC286190",26,22,14,21,15,18,16,14,6,12,12,1.50769230769231,0.047849591824998
"10718","LOC286367",128,148,164,147,223,106,134,85,136,103,86,1.49538461538462,0.0262613932905061
"10722","LOC286467",81,134,36,42,118,5,19,5,9,13,68,4.14453781512605,0.0298449463512147
"10739","LOC339524",7,4,4,8,7,13,9,21,12,18,5,0.461538461538462,0.0311928268438605
"10778","LOC374443",475,416,664,444,655,401,309,357,482,370,258,1.46293063849334,0.0318140075502287
"10852","LOC400685",130,44,100,45,64,15,32,2,27,63,32,2.68771929824561,0.0428210995086214
"10864","LOC401074",76,58,53,47,33,173,114,222,180,91,17,0.402007528230866,0.0458754293105
"10936","LOC442421",41,37,59,10,23,1,4,4,15,10,31,3.13846153846154,0.0480457731649905
"10958","LOC613037",31,19,13,35,33,10,12,15,26,11,11,1.84941176470588,0.0488386344965498
"11009","LOC644554",135,103,258,86,129,8,52,62,49,87,64,2.64968944099379,0.0399854774609574
"11018","LOC645166",177,268,216,256,302,182,91,173,253,143,143,1.48507614213198,0.0298822157327615
"11165","LOC730101",1705,1599,1899,1242,1673,1127,396,1431,893,1104,874,1.67237768240343,0.00533192402481372
"11241","LRBA",3568,3247,4987,3108,4643,3283,1915,3790,3207,2587,1024,1.4844742502847,0.0499512013082642
"11269","LRP4",4864,6296,5178,3875,4289,4294,2944,4781,3888,2808,796,1.50696530162472,0.0477914687570085
"11273","LRP8",3925,2849,5737,3649,3647,2802,1449,2823,2282,2571,2626,1.63323026180169,0.0287293757692116
"11365","LRTM1",12,23,38,27,30,5,19,20,16,4,18,1.90243902439024,0.0475940615109953
"11528","MAGI2",4404,2144,4097,2019,2691,1666,1988,1827,1160,1857,1534,1.83672248803828,0.0461843274084451
"11530","MAGIX",39,30,34,27,44,63,39,49,48,37,74,0.673548387096774,0.0358460690070092
"11602","MAP6",21569,11044,18888,12515,13627,8979,6179,13046,12006,8754,9780,1.58606155522266,0.043405471059621
"11646","MARCKS",52644,37593,71332,34193,37036,20909,12104,27026,24195,37136,40292,1.7280350360629,0.0487226842710724
"11753","MCTP1",335,317,653,255,303,232,104,230,222,141,83,2.20909090909091,0.0428999888038688
"11773","ME2",3346,1983,3396,3152,3541,2201,1077,3212,2082,2157,2198,1.43123694592713,0.0435449155815157
"11785","MED13",10358,5528,10991,8037,10920,6837,4684,8289,7042,6604,3673,1.48134342427752,0.0498646673609097
"11801","MED28",2724,2247,3690,2078,2551,2070,970,2568,1933,2009,1343,1.46405948774442,0.0489649282042774
"11806","MED6",1354,1076,1592,991,1054,821,591,1122,1101,728,932,1.37495750708215,0.0488837326891385
"11859","METTL15",1086,742,1002,906,1291,724,476,911,947,717,555,1.39316397228637,0.0433711148652932
"11877","METTL7A",4077,2118,2791,2912,3052,1655,1025,1730,2510,1313,2198,1.71987345412712,0.0130244611072912
"11879","METTL8",1335,958,1787,1172,1475,824,644,1211,956,871,825,1.51423747889702,0.0271873638369544
"11881","MEX3A",9483,7245,9758,8415,9215,6346,4167,9361,7835,6058,6080,1.32856174868873,0.0334110148276637
"11914","MGAM",33,11,31,29,58,81,24,82,63,52,55,0.54453781512605,0.0437529241101245
"11921","MGAT5",2918,2085,2249,1553,2180,1604,960,1826,1027,1737,1475,1.52763935566114,0.022695379566212
"11923","MGC12916",185,117,211,60,74,18,24,64,15,104,36,2.97471264367816,0.0420239809587144
"11951","MGLL",440,427,541,435,662,71,161,474,61,329,313,2.13342796309439,0.0102649449277626
"11952","MGMT",523,304,531,241,465,114,208,168,66,178,364,2.25573770491803,0.0143541515057786
"12154","MIR155HG",14,18,22,24,29,5,21,7,16,6,9,2.00625,0.0168557530551746
"13312","MN1",6383,10123,9781,5974,6886,5819,2896,6680,5745,5652,4015,1.52486123283669,0.0367374567918725
"13368","MPHOSPH9",1141,739,1085,1051,1324,749,605,888,928,714,290,1.53521801629133,0.0215187571087989
"13496","MRVI1",633,2046,2052,1093,1395,141,460,584,599,888,658,2.60144144144144,0.0284911863391516
"13563","MTAP",1460,1137,1745,1395,1895,1024,725,1282,1158,1087,645,1.54676574902888,0.01269364320526
"13601","MTMR8",110,98,79,81,85,41,59,48,66,75,94,1.41932114882507,0.0235389391548293
"13688","MYCN",2076,1704,2612,1940,1579,1464,547,1651,1689,1304,1377,1.48072709163347,0.0293369434103161
"13689","MYCNOS",32,44,51,24,41,25,12,18,12,25,35,1.81417322834646,0.0203573370915969
"13752","MYO6",7386,6007,6468,6510,8761,3865,3321,6997,6404,5965,3245,1.41485384434675,0.0379188291456346
"13789","NAA15",4328,2386,4310,2896,3987,2407,1845,3196,2921,2450,1885,1.46139825897715,0.0449368145034647
"13860","NAV1",12169,12522,10463,6245,7140,2219,5826,7352,3059,8913,6009,1.74506561207981,0.0359662878928261
"13889","NCAM2",1180,2183,3183,2083,3548,159,26,215,1494,1730,14,4.01660252886201,0.00892879727240529
"13911","NCKAP5",1544,1301,1249,1026,1439,565,597,413,1250,751,1215,1.6428303068253,0.0160463703529302
"13917","NCOA2",3348,2005,3520,1791,2748,1662,1398,2421,1643,1978,939,1.60286824021512,0.0424945010441599
"13921","NCOA6",9598,7172,8190,5897,7535,5218,4560,6217,6348,4843,4600,1.44939281444661,0.0128773252524311
"14227","NHSL2",302,296,177,165,328,103,110,213,108,211,191,1.62564102564103,0.047484652261474
"14247","NIPSNAP3B",98,78,103,86,117,65,54,84,59,56,71,1.48688946015424,0.00576206942240572
"14274","NKX3-1",22,28,28,10,27,29,7,6,10,10,6,2.02941176470588,0.0440767944719752
"14378","NOX4",125,94,185,101,89,56,48,106,31,71,43,2.00788732394366,0.0244722173739861
"14435","NQO1",1633,3467,3443,1862,2603,1020,605,2107,1050,1948,1448,1.90873074101247,0.0293074097994015
"14469","NRCAM",14070,11817,22680,10849,15339,5658,4877,11258,7727,11875,7728,1.82615068297946,0.0281368983826474
"14507","NSUN4",1743,1334,1890,1278,1570,1118,635,1514,1236,935,971,1.4632547979404,0.0167577381793903
"14512","NSUN7",1132,788,754,608,589,336,446,742,462,334,281,1.78592848904268,0.0227267916605342
"14577","NUDT7",368,323,335,281,330,218,143,255,238,178,379,1.39220411055989,0.0392577337765865
"14589","NUP153",5889,4002,6164,3707,4837,4102,2085,4445,4080,3044,2424,1.46277502477701,0.0388746903613662
"14637","OAS3",120,259,507,91,228,4,48,26,9,62,2,9.57615894039735,0.0419788383199471
"14643","OBFC1",1354,996,1262,1024,1207,1004,547,1306,762,804,673,1.37590266875981,0.0392052257856208
"14656","OCLN",620,730,937,651,850,490,394,566,649,473,73,1.71856332703214,0.0126932555373186
"14671","ODZ2",8500,10369,7457,6334,6649,1780,2847,6271,2576,6943,3100,2.00581706850364,0.00716923274433404
"14712","OPHN1",2978,1975,2298,1574,2318,1315,935,1713,1586,2056,1529,1.46393693890957,0.037555263236225
"15141","OSBPL6",2704,1868,3133,1430,1726,870,940,1312,1179,1706,1495,1.73729672087443,0.041787038978249
"15238","PABPC4L",202,190,214,84,160,41,87,136,20,137,18,2.32346241457859,0.0154988207435482
"15260","PAG1",6874,7146,10869,4694,6328,2157,2056,3125,2345,6620,3412,2.18580776058838,0.014919564866753
"15274","PAK2",13624,8600,14099,10749,14596,9478,5996,12508,9712,8962,6839,1.3833367604449,0.0495769884853812
"15275","PAK3",4285,3733,2478,2311,3365,1432,1206,1958,1357,2913,2568,1.69725380444289,0.0227707649106728
"15336","PARP11",1503,1172,1813,1253,1735,1076,714,1200,1025,934,700,1.58810408921933,0.00789182931534852
"15337","PARP12",470,449,710,296,406,233,144,341,429,238,181,1.78620689655172,0.0383073906519915
"15338","PARP14",3727,3424,3022,2878,4660,2111,1580,2812,923,2410,1406,1.89051770147661,0.00387069823601681
"15346","PARP9",3003,1996,2348,2023,2265,1937,783,2359,1246,1616,806,1.59620441294158,0.0233295983429998
"15405","PCDHA1",79,50,91,71,40,19,29,53,49,27,35,1.87358490566038,0.0263408460785623
"15434","PCDHB5",1213,1214,715,921,1061,274,566,62,124,208,510,3.5256880733945,0.000315851495414045
"15448","PCDHGA7",801,314,327,1109,1363,9,169,60,18,72,582,5.16131868131868,0.0353926594018901
"15455","PCDHGB5",523,251,154,145,243,77,117,33,63,58,29,4.18885941644562,0.0417477510898543
"15485","PCNXL2",2722,2021,1799,2220,2609,1308,1235,1446,1476,1669,1939,1.50393475146038,0.0077054774119742
"15524","PDE10A",10179,4978,7963,7020,10356,3712,3928,4972,5490,5817,3546,1.76935008192245,0.0212476370962008
"15526","PDE12",2420,1666,3450,1931,2313,1396,862,2585,1139,1441,1178,1.64352982211371,0.0456824417000628
"15678","PGAP1",8482,5256,9495,6205,9295,3658,4005,4869,4709,6639,4722,1.62504719949654,0.0207586078385089
"15730","PHF16",647,541,926,424,581,313,310,489,371,471,324,1.64302019315189,0.0402812910200442
"15734","PHF20",4097,2658,4165,2735,3315,2238,1478,2891,2494,2412,2922,1.41073779009352,0.0370544297090696
"15742","PHF6",6006,3549,7276,4957,5820,3526,1997,5495,4298,3953,2314,1.53498586850762,0.0440394534800406
"15750","PHKB",4093,4790,7234,4760,5593,4305,2012,5551,3450,3415,2379,1.50454717696097,0.0436255158423941
"15830","PIK3R3",7898,5374,9224,5550,5840,4125,2716,6656,3398,4105,3996,1.62678828612578,0.0249752397902929
"15982","PLEKHA8",3365,1852,3330,2237,3232,1815,1409,2706,1816,1969,1196,1.54149023920814,0.0353290601368404
"16031","PLS1",179,92,132,105,132,88,45,67,116,105,52,1.62367864693446,0.0321869249659557
"16043","PLXNA2",5957,7959,6394,4253,3555,1496,1910,2774,2661,3823,4411,1.97608199121523,0.019820717077317
"16061","PMFBP1",154,102,125,109,139,73,94,45,116,71,35,1.73917050691244,0.00759861020149529
"16076","PMS2P5",242,142,163,182,197,134,107,136,141,140,151,1.37354758961681,0.0377686891330428
"16088","PNMA2",23396,15372,23584,14793,18556,10091,6066,13024,15378,11973,17460,1.55207590009731,0.0248052935627775
"16099","PNOC",345,606,383,369,256,139,141,163,16,127,291,2.68050171037628,0.00900646710472327
"16116","POC5",626,420,833,432,462,312,212,378,444,299,310,1.70209718670077,0.040791900905368
"16175","POLR3G",181,208,253,199,187,154,119,168,185,146,185,1.28902821316614,0.0224758886844762
"16224","POU3F2",9544,5425,6510,8161,8593,5038,4119,6560,6756,5513,4673,1.40480725068128,0.0390296142032429
"16226","POU3F4",1080,1376,1989,871,952,570,287,34,1070,667,709,2.25400059934073,0.024892738301166
"16236","POU6F2",135,115,126,58,138,30,51,6,41,50,68,2.79024390243902,0.00398559570664536
"16438","PRDM4",2950,1797,3012,2316,2780,1842,1020,2595,1937,1581,1346,1.49462261408778,0.0260461268157901
"16452","PRELID2",113,97,120,98,145,41,19,19,30,98,29,2.9135593220339,0.000830983667012151
"16712","PSMD5",2325,1280,1777,1396,1948,755,347,1340,239,1373,685,2.20958008018569,0.00673543782768632
"16735","PSTPIP2",235,202,262,231,222,180,139,183,181,239,119,1.32795389048991,0.0202411496529187
"16786","PTP4A2",17547,11663,17186,13140,17451,12522,5091,15136,11714,9705,9488,1.45130702526078,0.0304234264192986
"16788","PTPDC1",917,711,679,602,906,491,433,674,570,647,387,1.42973141786384,0.0203360848025929
"16833","PTPRZ1",50808,27104,31908,43415,52227,20474,16237,31859,29520,33715,23061,1.59204990120491,0.0355319134068659
"16846","PUM1",18173,12883,18716,12816,15370,12977,6823,16525,12120,9891,8008,1.4100687326661,0.0425050470413242
"16848","PURA",1582,1269,2004,1739,2423,1550,679,1627,1483,1073,833,1.49349896480331,0.0464842923992268
"16854","PUS7",341,225,465,347,379,185,138,284,259,258,202,1.59004524886878,0.0240156708359267
"16855","PUS7L",1266,809,1364,976,1537,670,626,987,690,1076,645,1.52160204516404,0.0342040039345145
"16898","QKI",74018,46029,77328,73529,93973,52053,27203,64335,68154,47752,30265,1.51107598649926,0.0422672908695798
"16920","RAB11FIP2",5410,4045,7255,4801,6333,3156,1847,4586,3402,5155,2757,1.59846911926518,0.022593336893331
"16941","RAB27B",1889,1378,2137,924,675,249,271,265,437,1115,834,2.65014191106906,0.0310445166820876
"17046","RALGAPB",7742,5589,7813,5601,7952,5660,3299,6963,4903,5208,3127,1.42786008230453,0.0303985342849571
"17049","RALGPS2",14431,8864,12604,7054,11463,8868,4061,9353,8854,6199,2652,1.63301072848676,0.0407630761478236
"17058","RANBP17",372,229,471,393,438,226,235,334,227,313,227,1.46197183098592,0.041726386065364
"17118","RASSF10",1209,1009,632,643,658,380,380,556,665,339,694,1.65268745852687,0.048851928522889
"17136","RBBP5",2104,1531,2007,1883,2507,1585,888,2006,1692,1577,1211,1.3437213974774,0.0486105436526221
"17147","RBL1",384,311,530,496,533,263,209,330,314,291,310,1.5753057658707,0.0165166396887882
"17152","RBM12B",3859,3238,3687,2913,4380,2886,1803,3410,2630,3100,2891,1.29739234449761,0.0380600037134654
"17166","RBM26-AS1",414,338,348,309,500,252,210,346,232,272,162,1.55413839891452,0.0131952356157639
"17177","RBM43",1987,1142,1547,682,915,502,464,497,82,935,277,2.730359085963,0.0223518171411394
"17326","RFX7",6115,4271,5933,4700,5869,3419,2995,5197,3697,3591,2045,1.54056531703591,0.00841310815901812
"17344","RGPD1",19,6,1,21,9,15,22,28,69,34,34,0.332673267326733,0.0333701089591702
"17406","RHOU",1665,1465,1681,734,797,162,341,384,337,1366,930,2.16204545454546,0.0397751341546979
