GH11J068836	HCFC1||KLF6||SP1||KLF17||NCOR1||CTCF||ZNF600||ZIC2||KLF9||YY1||HIC1||CEBPA||REST||NFIC||DEK||MAZ||RCOR1||ZNF592||MBD2||NONO||MNT||SIN3A||ZMYM3||TBP||ZNF217||ZNF341||MAX||NR2C1||KLF7||CHD4||EP300||IRF2||RAD51||SMAD5||POLR2A||ELF1||BHLHE40||FEZF1||CTBP1||SAP130||RAD21||HOMEZ||FOXA2||SP2||MIER3||THAP11||NFATC3||SMC3||NKRF||SMARCA5||ZNF316||NBN||EBF1||SMAD4||RXRA||DDX20||CBFB||SKIL||KAT7||TAL1||USF2||GABPA||NFE2||RARA||TEAD3||ZFP91||ZNF143||DMAP1||ASH2L||BCL6||THRB||CREM||MBD1||CBX1||ZNF205||FOXP1||SUPT5H||ZBTB40||ZBTB48||SPI1||HDAC2||MYC||JUND||PKNOX1||KDM1A||EP400||FOXK2||ZNF189||SOX5||ZNF2||NRF1||MAFG||NFE2L2||CBX2||TCF12||ZBTB33||IKZF1||ZNF384||RB1||HMG20A||HNF4A||EGR1||MTA2||ZNF24||GATAD1||HBP1||NR2F1||HDGF||MXD3||RBPJ||HMG20B||MTA3||TAF1||ZNF48||ZHX1||FOXA1||HNRNPL||ZNF3||TOE1||NFYC||BACH1||GLIS1||RLF||TFAP4||ZFP69B||TEAD4||RXRB||MEIS2||NR2F6||PYGO2||IKZF5||DPF2||ELF3||KLF1||SP7||L3MBTL2||CEBPG||RFX5||SREBF1||KLF5||CEBPB||HDAC1||KDM3A||ZNF580||NFIA||GABPB1||ZNF366||POU5F1||ARID1B||ARID4B||ZFP3||NFIL3||GMEB1||ZNF687||NCOA6||KLF10||CREB1||PPARG||MLLT1||TBL1XR1||MLX||ZSCAN21||MIXL1||SP3||ZBTB8A||SP5||DACH1||ZXDB||ZFX||ATF1||GATAD2A||GTF2F1||ZEB2||XRCC5||TARDBP||NFKBIZ||TGIF2||MAFK||ZNF629||CBFA2T2||ZNF692||CHD2||PATZ1||ZNF512||ZHX2||OSR2||IKZF2||KAT8||LARP7||ZNF354B||ESRRA||ZKSCAN8||TRIM22||ZBTB17||RNF2||GLIS2||ZNF579||SOX13||SOX6||BCL11A||ZNF512B||TFDP1||EED||ZNF207||ETS1||ZNF501||ATF3||ATF7||PHF8||CBX3||GATAD2B||RUNX3||KLF8||FOXA3||ZBTB20||LEF1||USF1||ZNF121||BCOR||RCOR2||EZH2||ZBTB11||CBFA2T3||NR2F2||ZBTB25||RBFOX2||ZFHX2||TFE3||SKI||ZGPAT||ZNF423||PBX2||EMSY||ZBTB26||ZNF37A||SREBF2||ZNF335||ZNF444||SCRT2||ERF||ZBTB44||MGA||UBTF
GH11J068854	KLF6||ATF3||NCOR1||ZIC2||DNMT3B||YY1||HIC1||CEBPA||FOXA1||CTCF||CEBPB||ZNF592||ZNF341||ZSCAN16||MAX||EP300||MXD4||KDM6A||KMT2B||FOXA2||CTBP1||SAP130||ZNF511||HOMEZ||MAFF||MIER3||THAP11||ZSCAN9||STAT3||ZNF316||SMAD4||RXRA||ZBTB33||ETV4||KAT7||FOSL2||NFE2||RARA||DRAP1||TEAD3||DMAP1||TBP||JUND||MAFK||BCL6||THRB||CREM||MBD1||ZNF205||FOXP1||RAD21||SPI1||HDAC2||KDM1A||FOXK2||TBX3||SOX5||ZEB2||NFE2L2||RCOR1||HHEX||HMG20A||HNF4A||GATAD1||HBP1||RBPJ||HMG20B||ZNF792||MIER2||BHLHE40||GLIS1||REST||TFAP4||LCORL||GATA4||ATF1||RXRB||NR2F6||IKZF5||ELF3||ARID3A||SP1||L3MBTL2||CEBPG||HDAC1||ZNF580||NFIA||ARID4B||NFIL3||ZNF687||NR2F1||HNF1A||PPARG||ZNF644||SOX13||MLX||HLF||ZSCAN21||PHF21A||ZNF24||ZSCAN4||MNT||MIXL1||ZBTB8A||SP5||GATAD2A||XRCC5||NFKBIZ||TGIF2||SMARCC2||TCF7||PATZ1||RNF2||KAT8||IKZF1||ESRRA||IRF2||ZKSCAN8||HNF4G||GLIS2||ZBTB17||GABPA||SOX6||TCF12||ZHX2||TFDP1||ETS1||EGR1||CREB1||KLF8||FOXA3||RFX3||RFXANK||ATF7||ZBTB20||RCOR2||ZNF777||EZH2||RERE||MTA2||NR2F2||ZBTB25||TFE3||SKI||ZGPAT||SIN3A||TEAD1||EMSY||ZBTB26||ZNF335||SCRT2||ERF||MGA
GH11J068869	KLF9||CTCF||MNT||NBN||TAL1||TEAD3||RAD21||HDAC2||PRDM10||SMARCA4||ZEB2||TCF12||EGR1||MTA2||ZNF652||DPF2||L3MBTL2||ARID1B||SMARCE1||MLLT1||SMC3||GTF2F1||ZNF512||CDC5L||RNF2||MTA3||BCOR||CBFA2T3||ZBTB25||HDAC1||PRDM1||IKZF1||MGA
GH02J038105	JUND||BCL11A||ZNF341||IRF4||TAL1||NFE2||BATF||NFATC1||ATF2||JUNB||MEIS2||GATA2||IKZF1||POLR2A||PKNOX1||RFX5||CHD2||CREM||IKZF2||EED||RUNX3||ETV6||CBFA2T3||ZFHX2||BCLAF1
GH02J038095	SP1||POLR2A||ZNF580||KLF17||ZNF600||BCL11A||ZBTB10||ZNF639||ZNF217||ZNF341||KLF7||MBD2||ZNF623||FEZF1||CTBP1||CUX1||KLF9||SP2||ZBTB7B||GABPA||EBF1||RXRA||ZNF843||ZBTB48||SPI1||PRDM6||PKNOX1||MAZ||ZNF24||FOXA1||SCRT1||PAX5||SMARCE1||INSM2||ZNF664||REST||DPF2||MTA3||CBLL2||ATF2||ZNF518A||TOE1||ZBTB21||NFIB||GLIS1||PRDM4||ZNF18||ZNF398||ZFP69B||NCOA3||SP7||L3MBTL2||ZC3H11A||GATA2||ZNF366||TRIM28||KLF1||ZNF687||ZNF792||IKZF1||MNT||SP3||ZNF660||ZBTB8A||ZXDB||EGR2||CREB1||FOS||NANOG||RAD21||ZNF629||MTA1||EP300||CREM||PATZ1||RFX1||OSR2||IKZF2||ESRRA||MZF1||MYNN||PRDM10||GLIS2||TARDBP||EED||TCF12||BMI1||SREBF1||ARNT||KLF8||RUNX3||TSHZ1||CEBPB||ZBTB20||ZBTB11||ZFHX2||OVOL3||GATAD2B||PRDM1||ZNF335||ZNF444||NR2F2||SCRT2||ZBTB44||WT1
GH02J038094	L3MBTL2
GH02J038067	GATA2||RFX5||CHD2
GH02J038070	POLR2A||SP1||CTCF||ZNF600||ZIC2||YY1||HIC1||BCL11A||ZBTB10||TARDBP||TCF12||ZNF217||MAX||ZNF223||KLF7||EP300||ELF1||CTBP1||RAD21||FOXA2||SP2||SMC3||STAT3||EBF1||SIN3A||CBFB||RXRA||ZBTB33||MAFK||ZNF843||FOXP1||SPI1||JUND||ZBTB1||PKNOX1||BATF||MAZ||BHLHE40||STAT5A||PAX5||IKZF1||INSM2||NFATC1||HNF4A||NR2F1||FOXA1||HDAC2||BACH1||GLIS1||REST||ZNF398||NCOA3||ZFX||SP7||ARID3A||RFX5||KLF5||EGR1||KLF1||ZNF202||ZNF561||ZNF687||L3MBTL2||KLF10||NFXL1||MNT||SP3||SMAD5||ZNF660||TBP||ZBTB8A||ZXDB||EGR2||ZNF143||ZEB2||ZNF692||PATZ1||CREM||TAF1||LARP7||MZF1||HNF4G||PRDM10||ZBTB17||E2F8||ZNF579||GLIS2||GTF2F1||NRF1||TFDP1||EED||DPF2||ATF3||ZNF592||TRIM22||RNF2||ARNT||RUNX3||ZBTB20||GATAD2B||FOS||EZH2||CHD1||ZFHX2||ZNF423||KDM1A||ZBTB26||SREBF2||ZNF335||ZNF444||SCRT2||BCLAF1||WT1
GH02J038145	DPF2||SP1||POLR2A||JUND||ATF3||ZNF10||ZIC2||CEBPG||YY1||BCL11A||CEBPA||NFIC||DEK||CEBPB||ZNF592||MBD2||TRIM22||TCF12||ZNF217||MAX||NR2C1||EP300||TAF9B||BHLHE40||FOXA2||CTBP1||SAP130||MAFF||ZBTB7B||RFX5||IRF4||MIER3||THAP11||SMC3||STAT3||ZNF316||EBF1||TBP||SMAD4||RXRA||ZBTB33||TCF7L2||FOSL2||USF2||GABPA||NFE2||RARA||ASH2L||BCL6||THRB||ATF1||ZNF146||MYC||KDM1A||BATF||ELF1||MAFK||EP400||ZNF24||STAT5A||MAFG||NFE2L2||PAX5||SMARCE1||IKZF1||NFATC1||BMI1||HMG20A||EGR1||HNF4A||NR2F1||RAD21||MTA3||ARHGAP35||FOXA1||ATF2||ATF4||JUNB||ZBTB21||NFIB||GLIS1||REST||ZNF398||ZMYM3||RXRB||MEIS2||NR2F6||CREM||ELF3||SP7||L3MBTL2||KLF5||NFIA||TEAD2||GABPB1||NKRF||ZNF785||ARID1B||NFIL3||ZNF687||CREB1||ZNF644||TBL1XR1||HLF||SP3||SPI1||TARDBP||EGR2||NCOR1||GATAD2A||ZEB2||FOS||RAD51||NFKBIZ||ZNF629||MTA1||PATZ1||ZHX2||MTA2||HDGF||IKZF2||RNF2||TRIM24||ESRRA||HNF4G||ATF7||SOX13||NFRKB||EED||ETS1||BACH1||SREBF1||NBN||RELB||RUNX3||FOXA3||ETV6||LEF1||ARNT||GATAD2B||BCOR||RERE||NR2F2||MEF2D||ZFHX2||SKI||ZGPAT||TEAD1||EMSY||SMARCA4||BCLAF1||SCRT2||MGA
GH02J038036	POLR2A||ZNF600||MAZ||TRIM22||CTCF||SMC3||SMARCA5||EBF1||YY1||CBFB||MAX||TBP||BATF||ELF1||PAX5||IKZF1||HDGF||TAF7||RAD21||TAF1||ATF2||JUNB||ZNF217||SP1||BCL6B||E2F4||TBL1XR1||TARDBP||ZNF687||MTA2||IKZF2||EED||TCF12||NBN||RELB||RUNX3||ETV6||ARNT||GATAD2B||ELK1||MLLT1||SCRT2
