GH04J008410	ZNF654||IKZF1||ZNF600||REST||CTCF||SP2||SMAD4||RAD21||SMC3||SKIL||PKNOX1||ZBTB33||SP1||NRF1||MEIS2||HDAC1||TRIM28||ZNF687||MNT||EGR2||SP5||ZNF143||XRCC5||CTBP1||ZBTB17||TARDBP||TRIM22||MTA3||SMARCA5||ATF7||BACH1||HDGF||GATAD2B||MTA2||ZFHX2||PBX2||TEAD1||ZNF335||ZNF444
GH04J008468	ZNF654||ZNF592||CTCF||REST||TRIM22||SIN3A||ELF1||RAD21||SMC3||SKIL||SPI1||ZNF189||ETV1||ZEB2||ZC3H8||ZNF143||L3MBTL2||CEBPB||E2F4||ARID2||XRCC5||CTBP1||HDGF||YY1||SOX6||IKZF1||RB1||CC2D1A||ZNF335
GH04J008469	ZIC2||CTCF||L3MBTL2
GH04J008493	
GH04J008391	CEBPG||CEBPB
GH04J008383	ATF2||NFIC||ZIC2||REST||BHLHE40||MNT||RAD51||RXRA||RARA||THRB||GLI4||BATF||NCOA1||IKZF1||NR2F1||NR2F6||ZBTB21||CREM||CREB1||NR2C1||ZNF687||ATF1||ATF3||ZNF629||CBFA2T2||ESRRA||USF2||ZBTB33||GLIS2||TRIM24||BCL11A||ATF7||USF1||ZFHX2||SCRT2||THRA
GH04J008380	POLR2A
GH04J008378	
GH04J008376	ZIC2||EP300
GH04J008504	ZIC2
GH04J008501	
GH04J008528	BATF||RFX1||FOS
GH04J008351	ZIC2||ETS1||ZFP64||EP300||YY1||HHEX||CAVIN1||NR2F1||RFX1||TOE1||TCF12||SP1||TEAD2||POU5F1||POLR2A||PTTG1||MNT||TCF7||FOS||MTA2||ZBTB33||SOX13||DPF2||NR4A1||USF1||RELB||PRDM1
GH04J008525	ZIC2||ATF4||GLIS1||CEBPB||ATF3||EGR2||NR2F2||ZFHX2||CEBPG
GH04J008509	CBX1||ZMYM3||BCOR
GH04J008514	ZNF316||NFE2||JUND||MAFG||RFX5||ATF3||FOS||EMSY
GH04J008512	ZNF316||MAFK||L3MBTL2||TRIM24||TRIM28||MNT||MGA
GH04J008531	JUND||ATF3||NFIC||POLR2A||CEBPB||SIN3A||ZNF217||IRF2||MBD2||CTBP1||PRDM1||RXRA||IRF4||EBF1||FOSL2||PRDM10||BHLHE40||CTCF||SMARCE1||ETV1||BATF||MAZ||TAF1||IKZF1||NRF1||NR2F1||ATF4||DPF2||JUNB||TCF12||SP1||NFIA||CREB1||MNT||ZNF687||FOS||RAD51||SOX6||RUNX3||USF1||RELB||EP300||GATAD2B||SMARCA4||CEBPG
