pathway	all_cluster	TGcluster1	TGcluster2	TGcluster3	TGcluster4	TGcluster5	TGcluster6	TGcluster7
hsa04960	1	0	0	1	0	0	0	0
hsa04972	1	0	1	0	0	0	0	0
hsa04975	3	1	1	1	0	0	0	0
hsa04976	2	0	0	0	1	0	1	0
hsa04979	3	0	0	0	1	1	0	1
hsa05014	3	0	0	1	1	0	0	1
hsa05016	4	0	1	2	0	0	1	0
hsa05017	2	0	0	0	0	0	2	0
hsa05020	2	0	0	0	0	0	1	1
hsa05022	4	0	0	1	1	0	0	2
hsa05030	2	0	0	0	0	1	0	1
hsa05031	4	0	1	1	0	1	0	1
hsa05034	2	0	1	0	0	0	0	1
hsa05120	1	0	0	0	0	1	0	0
hsa05130	2	0	0	1	0	1	0	0
hsa05131	2	0	0	0	1	1	0	0
hsa05132	5	0	0	3	1	1	0	0
hsa05133	3	0	0	1	1	1	0	0
hsa05135	3	0	0	1	1	1	0	0
hsa05140	4	0	0	1	0	1	1	1
hsa05142	2	0	0	1	0	1	0	0
hsa05152	3	1	0	0	1	0	0	1
hsa05160	2	0	0	0	2	0	0	0
hsa05161	7	0	1	1	2	1	1	1
hsa05162	3	0	0	1	1	1	0	0
hsa05163	6	0	0	0	2	0	2	2
hsa05164	1	0	0	0	1	0	0	0
hsa05165	6	0	1	2	1	0	1	1
hsa05166	11	0	2	1	1	2	2	3
hsa05167	8	0	0	3	2	2	0	1
hsa05168	12	0	0	1	4	1	3	3
hsa05169	6	0	1	1	2	1	1	0
hsa05170	3	0	0	1	1	1	0	0
hsa05171	3	0	0	1	1	1	0	0
hsa05200	15	0	1	7	1	1	2	3
hsa05202	17	0	3	3	4	0	1	6
hsa05203	7	0	2	0	1	1	1	2
hsa05204	6	0	1	1	0	0	2	2
hsa05205	4	0	1	0	2	0	1	0
hsa05206	8	0	3	1	1	0	0	3
hsa05207	12	0	3	2	1	1	2	3
hsa05208	9	0	3	3	0	1	1	1
hsa05210	5	0	0	3	1	1	0	0
hsa05211	2	0	0	0	0	1	0	1
hsa05212	1	0	0	1	0	0	0	0
hsa05213	4	0	0	2	1	0	1	0
hsa05215	3	0	0	2	0	0	0	1
hsa05216	5	0	0	4	1	0	0	0
hsa05217	2	0	0	2	0	0	0	0
hsa05219	1	0	0	0	1	0	0	0
hsa05220	3	0	1	0	1	0	0	1
hsa05221	4	0	0	2	1	0	0	1
hsa05222	3	0	0	1	1	0	0	1
hsa05223	1	0	0	1	0	0	0	0
hsa05224	8	0	0	5	1	1	1	0
hsa05225	5	0	0	2	2	0	1	0
hsa05226	4	0	0	3	1	0	0	0
hsa05230	1	0	0	0	1	0	0	0
hsa05231	11	1	2	3	2	2	1	0
hsa05235	2	0	0	1	0	1	0	0
hsa05321	2	0	0	1	0	1	0	0
hsa05323	2	0	0	1	0	1	0	0
hsa05340	1	0	0	0	1	0	0	0
hsa05412	2	0	0	2	0	0	0	0
hsa05415	2	0	0	0	1	0	1	0
hsa05417	5	0	0	2	1	1	0	1
hsa05418	2	0	0	1	0	1	0	0
Total	951	29	188	220	164	91	101	158
