GH01J006315	HNRNPL||JUND||ZIC2||ZNF24||DPF2||HDAC1||TCF12||E2F5||FOS||FOSL1||NCOR1||MBD2||ZFHX2||TAL1||ZFP3||ATF3||NFE2||ZEB2||MEIS2||POLR2A||MTA2||KLF16||SMARCE1||EGR2||TEAD4||CBFA2T2||RNF2||CBFA2T3||ARID1B||SP7||NR3C1||ZNF121||SMARCA4
GH01J006314	NFXL1
GH01J006275	POLR2A||ZNF600||RAD21||MEF2D||MNT||MYC||WT1||ZNF189||BHLHE40||NR2F1||KLF17||TRIM28||L3MBTL2||NR2C1||GLIS2
GH01J006279	ZNF600||KLF17||KLF1
GH01J006278	ZNF600||ZFHX2||KLF17||KLF1||EGR2
GH01J006322	
GH01J006321	EGR2
GH01J006320	EGR2
GH01J006290	SP1||BACH1||RELA||SMAD5||TCF12||IKZF2||EED||ARID3A||DPF2||RELB||RUNX3||GATAD2B||ASH2L||ZBTB40||CBFB||NBN||HDGF||IKZF1||NR2F1||JUNB||SMARCA5||BATF||EBF1||MAZ||TBP||ATF2||TBX21||ATF7||MTA2||YY1||BHLHE40||ZNF24||ZNF687||SPI1||POLR2A||CREM||RAD51
GH01J006289	
GH01J006293	CEBPA||ZNF140||CEBPB||FOXP1||ZBTB33||BHLHE40||CEBPG
GH01J006280	HNRNPL||CTCF||REST||ZNF341||CTBP1||ZFHX2||SAP130||RAD21||NR2F1||ZNF213||SKIL||CREM||NR2F6||HNF4A||VEZF1||ID3||NFIA||THRB||ARID4B||ZNF143||ZBTB33||XRCC5||ZNF48||RB1||EGR2||RBPJ||ELF3||MLX||ESRRA||NR2C1||ZNF644||ZNF121||SP5||ATF1
GH01J006268	CTCF||PRDM10||ZNF629||ZNF692||JUND||ZIC2||PKNOX1||ZNF24||PATZ1||REST||ZNF600||ZNF341||SCRT2||ZBTB44||KLF9||ZBTB20||SP2||RAD21||ZNF639||RFX1||EGR1||OSR2||FOS||KLF4||ZBTB17||ZNF423||ATF2||SCRT1||FOSL1||WT1||ZFHX2||KLF8||ZNF189||POLR2A||ZNF335||ZFP69B||KLF17||HIC1||ZNF366||VEZF1||FEZF1||JUN||ZNF324||ZNF660||GLIS1||TRIM28||ZNF398||ZNF2||KLF10||ZBTB33||MEIS2||SMARCA4||KLF1||ZNF785||ZBTB21||EGR2||BCL6B||ZNF547||ZNF148||SP7||GLIS2||ZBTB8A||ZEB2
GH01J006265	
