GH0XJ040297	CTCF||IKZF1||REST||HDAC1||EP300||ARID3A||RUNX3||POLR2A||HDAC2||NR2C2||TCF12||FOSL1||BCOR||RAD21||NR2F1||SMARCA5||BATF||TAL1||EBF1||NR2F6||ADNP||ZNF507||ZEB2||MEIS2||MTA2||SMARCE1||ZMYM3||ZNF217||KDM1A||TEAD4||CBFA2T2||ESRRA||CBFA2T3||MLLT1||ARID1B
GH0XJ040056	EGR1||EBF1||SMAD5||RARA||GLIS1||FOS
GH0XJ040302	
GH0XJ040054	FOS
GH0XJ040391	ZNF143||USF1||HCFC1||RAD51||USF2
GH0XJ040376	
GH0XJ040411	CTCF||JUND||PKNOX1||FOSL1||CEBPB||CEBPG||ATF3||ZBTB33||RAD21||MAX||CBFA2T3||ZKSCAN8
GH0XJ040303	IKZF1||IKZF2||MGA||ZNF766||FOSL1||SPI1||ZFP3||ATF2||MAX||L3MBTL2||RNF2||ETV6
GH0XJ040005	MAZ||SMC3||ZNF202||ZBTB33||BACH1||EZH2
GH0XJ039957	ZNF316||RCOR1||ZNF623||BCOR||ZNF189||ZNF16||ZMYM3||EMSY
GH0XJ040435	
GH0XJ040434	LEF1||JUND||MTA2||PKNOX1||DPF2||HDAC1||SOX6||EP300||ARNT||MGA||CBX3||CTBP1||TAF9B||NFE2||ZNF316||OSR2||MAFF||ZNF318||MAFK||MNT||MYC||TRIM24||NCOR1||MAFG||PBX2||POLR2A||BHLHE40||NRF1||TCF12||SNIP1||TRIM28||MEIS2||SMARCA4||CHD2||SMARCE1||RNF2||TBL1XR1||KDM1A||L3MBTL2||BACH1||NFE2L2||CEBPB||CBFA2T2||ZNF148||CBFA2T3||ARID1B||EMSY||ATF1
GH0XJ040414	FOXA1||GATA3||JUND
GH0XJ040416	FOXA1||ZIC2||GATA3||TCF7L2
GH0XJ040440	ZNF629||POLR2A||ZNF341||CEBPA||RBAK||ZNF140||EGR1||ZXDB||ZNF580||ZNF266||ZNF623||ZBTB11||ZNF189||ZNF213||ZNF202||ZNF223||ZC3H11A||RARA||NFIA||ZFP64||KDM1A||ZNF664||ZNF791||ZNF433||ZNF781||ZNF518A||ZBTB21||HLF||ZNF697||CBFA2T3||ZNF560||ZBTB8A||ZNF680||PRDM12
GH0XJ040328	CTCF||SPI1||POLR2A||RAD21
GH0XJ040331	ZNF10||NFE2||ZNF316||MAFG
GH0XJ040420	RELA||TCF12||YY1||SOX13||RUNX3||POLR2A||FOSL1||IRF4||EBF1||FOS||EGR2||ZNF687
GH0XJ040418	RFX1||FOXA1||BMI1||GATA3||DPF2||SMARCE1
GH0XJ040318	
GH0XJ040380	ZIC2||PKNOX1||ZNF316||ZSCAN5C||USF1||HCFC1||SPI1||BATF||FEZF1||TCF12||ZNF143||USF2||CBFA2T3
GH0XJ040309	
GH0XJ040446	
GH0XJ040444	PKNOX1
GH0XJ040406	DPF2||CEBPB||TCF12||BCL11A||ARNT||IKZF1||JUNB||SPI1||IRF4||BATF||EBF1||ATF2||MTA2||ETV6
GH0XJ040402	JUND||ZIC2||SOX6||SP1||NR2C2||NCOR1||FOSL1||FOSL2||NR2F1||IRF4||BATF||TAL1||NR2F6||ATF3||TCF12||TRIM28||L3MBTL2||CBFA2T2||NR2C1||CBFA2T3||MAFK
GH0XJ040404	
GH0XJ040423	ZIC2||SCRT2||EZH2||NFE2||ZNF316||MAFG||MAFK||CEBPB||PRDM6||NFE2L2||HLF||MAFF||EMSY
GH0XJ039900	ZNF629||ZNF600||ZNF341||ZNF561||ZBTB20||TCF7L2||ZBTB48||ZBTB17||ZNF423||SCRT1||WT1||ZNF335||TRIM28||SMARCA4||ZBTB21||GATA2||SP7||ZNF121||GLIS2||ZBTB8A
GH0XJ039762	ZNF600||JUND||CEBPB||JUN||FOSL1||MAX||CEBPG||ZNF791||ZBTB40||ZNF488||POLR2A
GH0XJ040450	FOXA1||PKNOX1||MGA||NR2F1||NR2F6||GATA2
GH0XJ040512	GATAD2A||TFE3||RCOR2||FOXA1||RXRB||IRF2||SP1||ZNF341||CEBPA||SOX13||TCF7||CTBP1||NFE2||FOXK2||ZNF316||FOXA2||YY1||ZBTB33||ZNF217||TEAD1||KDM6A||JUND||FOSL1||MAFG||CREM||NR2F2||FOXP1||ZNF792||GATA3||DPF2||MIER3||NR2F1||ZGPAT||RAD21||RCOR1||FOSL2||CEBPB||SMAD4||BCL6||BHLHE40||ADNP||HOMEZ||HNF4A||TFAP4||NFIL3||RXRA||THAP11||RARA||NFIA||DMAP1||ARID4B||MAX||KDM1A||FOS||TEAD3||HMG20A||NR2F6||KDM3A||MIER2||HNF4G||SOX5||HLF||SMARCE1||ATF3||RBPJ||FOXA3||MLX||EGR1||CEBPG||MIXL1||SREBF1||ZNF652||PPARG||CBFA2T3||ZNF644||EMSY||MAFK||KAT8
GH0XJ039893	TEAD4||ZNF629||FOXA1||RELA||ZIC2||ZNF501||ZNF341||EED||RBAK||ZNF140||SP1||ZNF639||RFX1||ZXDB||RUNX3||ESR1||ZNF23||ZNF138||CBFB||ZNF266||TCF12||ZNF623||BCL11A||ZBTB11||ZFHX2||SIN3A||OVOL3||IKZF1||FOSL2||ZNF189||GATA3||SPI1||ZNF213||EBF1||KLF17||RFX5||ZNF514||ZNF202||ZNF223||ZC3H11A||CTCF||ATF2||ZFP64||ZNF664||ZNF791||FOS||ZNF433||TEAD3||ZFP37||ZNF781||MTA3||KLF1||REST||ZNF518A||BHLHE40||ZNF558||ZBTB21||MNT||EGR2||MYC||GFI1B||ZNF19||ZNF697||NR3C1||ZNF121||ZNF560||ZBTB8A||ETV6||CREB1||ZNF680||PRDM12
GH0XJ040459	POU5F1||GATA2
GH0XJ040520	POLR2A||TRIM28||MAX||SMARCA4
GH0XJ040518	CREB1||TARDBP||FOXA1||ATF7||HES1||BMI1||ZKSCAN1||CTBP1||ESRRA||ZNF592||PKNOX1||ZNF217||MBD2||ESR1||GATA3||NONO||DPF2||JUND||NFIB||RCOR1||NCOA3||ZNF687||ZNF24||RAD51||FOS||MEIS2||MTA1||RAD21||TCF7L2||SMARCE1||MYC||SREBF1
GH0XJ040519	ESRRA||ESR1
