GH0XJ040210	ZSCAN29||NFYB||RAD51
GH0XJ040133	MGA||GATAD2A||NR2C2||NCOR1||ZNF592||TAL1||DPF2||ADNP||HDAC2||TCF12||SMARCA4||L3MBTL2||TEAD4||CBFA2T2||EGR1||CBFA2T3||ARID1B||ZNF639
GH0XJ040220	ZBTB33||TEAD3
GH0XJ040141	GATAD2A||TEAD4||SP1||ZNF600||CEBPA||CEBPB||NR3C1||YY1||NFIC||NFIB||SSRP1||HNF4A||RXRA||NFIA||GLIS1||MAX||TEAD3||CEBPG||ZBTB6||HNF1A||ZBTB8A
GH0XJ040126	TCF12||POLR2A||GABPA||ZC3H11A||YY1
GH0XJ040113	GLIS1
GH0XJ040240	IKZF1||PKNOX1||CEBPA||HMBOX1||NR2C2||NCOR1||CEBPG||NR2F1||SPI1||HNF4A||CEBPB||RXRA||ZEB2||MEIS2||HLF||TBL1XR1||TEAD4||CBFA2T3||ARID1B||ZNF121||SP1
GH0XJ040237	SPI1
GH0XJ040265	CTCF||IKZF1||REST||RAD21||IKZF2||SP1||BRD9||DPF2||TCF12||EP300||EED||NRF1||ZBTB20||MTA3||CTBP1||RUNX3||CHD2||ZBTB48||YY1||ZBTB26||SMC3||ZBTB17||EP400||TRIM24||NCOR1||NFIC||STAT5A||SIN3A||SAP130||POLR2A||ZNF189||FOXM1||ZNF335||ZNF592||GABPB1||ZNF395||SPI1||ZNF384||TAL1||EBF1||ZNF654||CREM||TFAP4||HDAC2||HNF4A||VEZF1||RXRA||ETV1||GLIS1||ZNF2||ARID4B||KDM1A||MAX||MTA2||KLF16||KDM3A||SMARCA4||TBL1XR1||RB1||L3MBTL2||TEAD4||ZNF362||CBFA2T2||ATF7||ZNF143||RNF2||ZNF652||DACH1||CBFA2T3||ARID1B||CC2D1A||TRIM22||ZBTB8A||PML
GH0XJ040082	HNRNPL||CREB1||GATAD2A||PRDM10||ZNF629||IKZF1||POLR2A||ZNF692||BACH1||FOXA1||LARP7||STAT3||RELA||ZIC2||RBFOX2||PKNOX1||RXRB||PATZ1||REST||ZNF740||RCOR1||SP1||ZNF501||EZH2||ZNF600||GTF2F1||YY1||SOX6||ZNF341||ZFX||CEBPA||ZNF561||EP300||SCRT2||NRF1||ARNT||SOX13||NONO||KLF9||ZBTB20||ARID3A||SP2||GTF2E2||RAD21||ELK1||UBTF||ZNF639||DPF2||KLF7||MTA3||EGR1||ZNF10||ZXDB||CEBPB||CTBP1||RUNX3||ZBTB10||GATAD2B||ZBED1||KDM4B||ZNF316||CHD2||FOXA2||OSR2||ZNF580||BCL11A||TCF12||ZBTB48||MEF2D||ZBTB26||MYNN||AFF1||ZBTB17||CHD1||MYC||ZKSCAN1||ZNF423||EP400||TRIM28||ATF2||KDM6A||NCOR1||MAZ||MBD2||FOXP1||ZBTB11||NFIC||RFX5||WT1||ZFHX2||KLF8||BCOR||SIN3A||SAP130||TBP||ZNF644||ZNF189||NR2F1||GATA3||JUNB||MNT||ZNF335||ZNF592||GABPB1||ZNF395||JUND||ZGPAT||ZBTB1||PRDM4||IRF4||ZFP69B||SAFB||BATF||EBF1||KLF17||CREM||ZNF513||HIC1||ZFP91||CBX1||SMAD5||SMAD4||BCL6||SUPT5H||BHLHE40||ZNF366||ZNF223||HNF4A||ZNF843||VEZF1||FEZF1||TBL1XR1||NFIL3||RXRA||PRDM6||ETV1||RARA||ID3||NFIA||ZNF660||GLIS1||TBX21||THRB||ZNF398||ZNF2||ARID4B||MAX||KLF10||ZBTB33||TEAD3||CTCF||MLLT1||KLF16||SP3||ZNF48||KLF1||HNF4G||RNF2||SOX5||ZBTB21||TAF1||NANOG||ZNF217||SMARCE1||ZNF197||RB1||NR2F6||ZNF579||RLF||EGR2||L3MBTL2||ZNF362||NR4A1||ELF3||FOXA3||MLX||POU5F1||ATF7||ZNF143||ZNF652||POLR2B||ZNF148||ZBTB6||TRIM24||PPARG||CBFA2T3||CSDE1||SPI1||ZBTB40||MZF1||SP7||ZBTB7A||ZKSCAN8||HDAC1||GLIS2||SP5||ZBTB8A||PML||GMEB1||ATF1||ZEB2
GH0XJ040261	JUND||GABPA||SOX6||ZNF341||EP300||ZNF140||MGA||TCF7L2||ZNF766||EGR1||NR2C2||NCOR1||NR2F2||GTF2A2||HDAC8||ZNF592||GABPB1||NR2F1||ZNF584||CTCF||ATF4||TFAP4||VEZF1||CEBPG||ATF3||ETV1||RARA||TRIM28||ATF1||PYGO2||NR4A1||BACH1||ESRRA||ATF7||NR2C1||ZFX||ELF1||TRIM24||DACH1||CBFA2T3||ZKSCAN8
GH0XJ040260	EGR1||NRF1||EGR2||ZNF148
GH0XJ040258	NFIC||ZKSCAN8
GH0XJ040111	ZNF740||VEZF1
GH0XJ040243	ZNF316||MAFF||MAFK||MAFG||TRIM28||EMSY
GH0XJ040245	ZBTB33||CTCF||MAX||MEIS2||GATA2
GH0XJ040246	PRDM10||NRF1||NR2F2||ATF7
GH0XJ040298	
GH0XJ040058	POLR2A||TOE1||RAD51||RAD21||HNF4A||RXRA
